time,sm
2015-04-01 08:30:00,81.92
2015-04-01 09:17:00,
2015-04-01 10:11:00,
2015-04-01 10:57:00,79.0
2015-04-01 11:49:00,
2015-04-02 08:09:00,
2015-04-02 08:57:00,82.7
2015-04-02 09:50:00,
2015-04-02 10:36:00,81.75999499999998
2015-04-02 11:28:00,
2015-04-03 07:49:00,
2015-04-03 08:36:00,75.68
2015-04-03 09:29:00,
2015-04-03 10:16:00,82.77
2015-04-03 11:08:00,
2015-04-03 11:54:00,
2015-04-04 08:14:00,
2015-04-04 09:09:00,
2015-04-04 09:56:00,
2015-04-04 10:48:00,81.14
2015-04-04 11:34:00,
2015-04-05 07:54:00,
2015-04-05 08:48:00,83.00999499999998
2015-04-05 09:35:00,
2015-04-05 10:28:00,82.95
2015-04-05 11:13:00,
2015-04-06 08:27:00,78.45
2015-04-06 09:14:00,
2015-04-06 10:08:00,
2015-04-06 10:53:00,60.579997999999996
2015-04-06 11:45:00,
2015-04-07 08:05:00,
2015-04-07 08:53:00,46.03
2015-04-07 09:47:00,
2015-04-07 10:33:00,44.899998
2015-04-07 11:25:00,
2015-04-08 08:32:00,54.61
2015-04-08 09:26:00,
2015-04-08 10:13:00,44.829997999999996
2015-04-08 11:05:00,51.789997
2015-04-08 11:50:00,
2015-04-09 08:10:00,
2015-04-09 09:05:00,46.579997999999996
2015-04-09 09:52:00,
2015-04-09 10:45:00,47.37
2015-04-09 11:30:00,
2015-04-10 07:50:00,
2015-04-10 08:44:00,46.469997
2015-04-10 09:31:00,
2015-04-10 10:25:00,41.079997999999996
2015-04-10 11:10:00,
2015-04-11 08:23:00,53.55
2015-04-11 09:10:00,
2015-04-11 10:04:00,
2015-04-11 10:50:00,39.01
2015-04-11 11:42:00,
2015-04-12 08:02:00,
2015-04-12 08:49:00,37.85
2015-04-12 09:43:00,
2015-04-12 10:30:00,33.54
2015-04-12 11:22:00,
2015-04-13 08:28:00,53.149998
2015-04-13 09:22:00,
2015-04-13 10:09:00,
2015-04-13 11:02:00,49.55
2015-04-13 11:47:00,
2015-04-14 08:07:00,
2015-04-14 09:02:00,46.16
2015-04-14 09:49:00,
2015-04-14 10:41:00,43.44
2015-04-14 11:27:00,
2015-04-15 07:47:00,
2015-04-15 08:41:00,53.05
2015-04-15 09:27:00,
2015-04-15 10:21:00,38.45
2015-04-15 11:06:00,
2015-04-16 08:19:00,
2015-04-16 09:07:00,
2015-04-16 10:01:00,
2015-04-16 10:46:00,30.34
2015-04-16 11:39:00,
2015-04-17 07:59:00,
2015-04-17 08:46:00,27.73
2015-04-17 09:40:00,
2015-04-17 10:26:00,24.23
2015-04-17 11:18:00,
2015-04-18 08:25:00,35.149998
2015-04-18 09:19:00,
2015-04-18 10:06:00,
2015-04-18 10:58:00,36.38
2015-04-18 11:44:00,
2015-04-19 08:04:00,
2015-04-19 08:58:00,30.119999
