time,sm
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-18,
2015-04-19,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-25,
2015-04-26,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,47.350883
2015-05-08,
2015-05-09,
2015-05-10,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-16,
2015-05-17,
2015-05-18,
2015-05-19,56.891838
2015-05-20,
2015-05-21,61.07491
2015-05-22,61.45113
2015-05-23,63.394073
2015-05-24,60.39207
2015-05-25,60.499523
2015-05-26,60.17759
2015-05-27,69.44513
2015-05-28,84.59697
2015-05-29,70.53343
2015-05-30,73.433685
2015-05-31,68.673096
2015-06-01,67.9027
2015-06-02,79.32076
2015-06-03,75.87596
2015-06-04,69.19862
2015-06-05,67.994156
2015-06-06,65.25954
2015-06-07,80.87646
2015-06-08,65.91666
2015-06-09,64.55137
2015-06-10,67.559525
2015-06-11,66.30386
2015-06-12,62.06718
2015-06-13,63.500298
2015-06-14,62.114918
2015-06-15,65.03704
2015-06-16,64.070045
2015-06-17,65.083275
2015-06-18,64.740364
2015-06-19,67.57426
2015-06-20,61.54524
2015-06-21,66.01276
2015-06-22,67.53166
2015-06-23,72.42327
2015-06-24,68.016464
2015-06-25,88.33158
2015-06-26,79.15378
2015-06-27,76.65255
2015-06-28,67.100006
2015-06-29,68.06281
2015-06-30,68.50915
2015-07-01,67.862686
2015-07-02,72.61533
2015-07-03,76.98537
2015-07-04,86.66489
2015-07-05,72.75131
2015-07-06,71.2516
2015-07-07,85.88763
2015-07-08,92.77734
2015-07-09,90.64583
2015-07-10,87.8976
2015-07-11,81.68977
2015-07-12,75.06961
2015-07-13,74.58564
2015-07-14,77.71047
2015-07-15,76.762665
2015-07-16,81.47153
2015-07-17,69.28291
2015-07-18,63.7612
2015-07-19,90.16149
2015-07-20,68.04857
2015-07-21,76.91856
2015-07-22,81.153175
2015-07-23,80.70668
2015-07-24,79.23441
2015-07-25,78.54324
2015-07-26,75.68119
2015-07-27,98.800674
2015-07-28,87.01399
2015-07-29,78.30437
2015-07-30,90.280685
2015-07-31,89.93993
2015-08-01,76.736496
2015-08-02,93.137924
2015-08-03,97.75311
2015-08-04,73.58245
2015-08-05,73.20433
2015-08-06,71.22197
2015-08-07,85.50039
2015-08-08,83.741165
2015-08-09,67.581924
2015-08-10,66.34395
2015-08-11,71.64524
2015-08-12,74.893166
2015-08-13,63.69165
2015-08-14,67.60939
2015-08-15,65.66562
2015-08-16,63.573647
2015-08-17,65.85768
2015-08-18,67.37376
2015-08-19,65.33235
2015-08-20,73.56413
2015-08-21,67.81947
2015-08-22,69.48584
2015-08-23,66.023476
2015-08-24,65.113815
2015-08-25,65.1631
2015-08-26,61.832985
2015-08-27,68.28923
2015-08-28,84.228386
2015-08-29,70.53058
2015-08-30,62.401794
2015-08-31,61.732796
2015-09-01,65.27084
2015-09-02,55.625694
2015-09-03,51.452858
2015-09-04,55.605766
2015-09-05,56.302834
2015-09-06,
2015-09-07,56.893696
2015-09-08,52.64644
2015-09-09,55.065887
2015-09-10,56.32148
2015-09-11,55.616787
2015-09-12,52.591553
2015-09-13,59.468594
2015-09-14,64.47107
2015-09-15,61.697456
2015-09-16,56.908745
2015-09-17,69.94522
2015-09-18,95.559204
2015-09-19,90.361015
2015-09-20,73.05717
2015-09-21,83.34956
2015-09-22,75.50134
2015-09-23,69.56094
2015-09-24,82.197845
2015-09-25,77.936966
2015-09-26,77.77548
2015-09-27,76.48151
2015-09-28,59.873123
2015-09-29,67.11417
2015-09-30,74.52175
2015-10-01,62.161057
2015-10-02,57.53352
2015-10-03,60.44591
2015-10-04,65.9592
2015-10-05,59.498787
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-10,
2015-10-11,
2015-10-12,57.569656
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,
2015-10-17,
2015-10-18,
2015-10-19,
2015-10-20,
2015-10-21,
2015-10-22,68.98915
2015-10-23,
2015-10-24,
2015-10-25,
2015-10-26,
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-10-31,64.40275
2015-11-01,66.91504
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-07,
2015-11-08,74.34349
2015-11-09,
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-14,
2015-11-15,
2015-11-16,
2015-11-17,
2015-11-18,
2015-11-19,
2015-11-20,
2015-11-21,
2015-11-22,
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-26,
2015-11-27,
2015-11-28,
2015-11-29,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-05,
2015-12-06,
2015-12-07,
2015-12-08,
2015-12-09,
2015-12-10,
2015-12-11,
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-19,
2015-12-20,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09,
2016-01-10,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-23,
2016-01-24,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-01-30,
2016-01-31,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-06,
2016-02-07,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
