time,sm
2015-04-01,
2015-04-02,0.24053054
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,0.24348953
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,0.29611573
2015-04-17,
2015-04-18,
2015-04-19,0.2640568
2015-04-20,0.24242835
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-25,0.23081905
2015-04-26,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-02,0.29895446
2015-05-03,
2015-05-04,0.24749587
2015-05-05,
2015-05-06,0.28521436
2015-05-07,0.2448431
2015-05-08,0.24522455
2015-05-09,0.23778658
2015-05-10,
2015-05-11,0.23389103
2015-05-12,
2015-05-13,0.25990814
2015-05-14,0.23843475
2015-05-15,
2015-05-16,0.20699161
2015-05-17,
2015-05-18,0.23842704
2015-05-19,
2015-05-20,0.24064986
2015-05-21,
2015-05-22,0.20878133
2015-05-23,0.2327071
2015-05-24,
2015-05-25,0.22087972
2015-05-26,
2015-05-27,0.21724612
2015-05-28,
2015-05-29,0.24597885
2015-05-30,0.24939148
2015-05-31,
2015-06-01,0.23754972
2015-06-02,
2015-06-03,0.24227463
2015-06-04,
2015-06-05,0.22060266
2015-06-06,
2015-06-07,0.22508308
2015-06-08,0.21570253
2015-06-09,
2015-06-10,0.22728446
2015-06-11,
2015-06-12,
2015-06-13,
2015-06-14,0.27093124
2015-06-15,0.22165912
2015-06-16,0.18716018
2015-06-17,
2015-06-18,
2015-06-19,0.24838302
2015-06-20,
2015-06-21,
2015-06-22,
2015-06-23,
2015-06-24,0.26779234
2015-06-25,
2015-06-26,
2015-06-27,
2015-06-28,0.2451853
2015-06-29,
2015-06-30,0.23159766
2015-07-01,0.26787212
2015-07-02,0.22464442
2015-07-03,0.25534555
2015-07-04,
2015-07-05,0.21848886
2015-07-06,
2015-07-07,0.24490236
2015-07-08,
2015-07-09,0.2516196
2015-07-10,0.27771834
2015-07-11,
2015-07-12,0.2528681
2015-07-13,
2015-07-14,0.2574937
2015-07-15,
2015-07-16,0.22744049
2015-07-17,0.26983467
2015-07-18,0.23835811
2015-07-19,0.24913925
2015-07-20,
2015-07-21,0.2468275
2015-07-22,
2015-07-23,0.23611839
2015-07-24,
2015-07-25,0.2187814
2015-07-26,0.29311228
2015-07-27,
2015-07-28,0.2658032
2015-07-29,
2015-07-30,0.27403915
2015-07-31,
2015-08-01,0.24384014
2015-08-02,0.24895099
2015-08-03,0.21818005
2015-08-04,0.24281304
2015-08-05,
2015-08-06,0.25348118
2015-08-07,
2015-08-08,0.22240669
2015-08-09,0.2507648
2015-08-10,0.21936053
