time,sm
2015-04-01 00:00:00,43.4
2015-04-01 03:00:00,43.4
2015-04-01 06:00:00,43.4
2015-04-01 09:00:00,43.398
2015-04-01 12:00:00,43.4
2015-04-01 15:00:00,43.4
2015-04-01 18:00:00,43.4
2015-04-01 21:00:00,43.4
2015-04-02 00:00:00,43.4
2015-04-02 03:00:00,43.4
2015-04-02 06:00:00,43.4
2015-04-02 09:00:00,43.4
2015-04-02 12:00:00,43.4
2015-04-02 15:00:00,43.4
2015-04-02 18:00:00,43.4
2015-04-02 21:00:00,43.4
2015-04-03 00:00:00,43.4
2015-04-03 03:00:00,43.4
2015-04-03 06:00:00,43.4
2015-04-03 09:00:00,43.4
2015-04-03 12:00:00,43.4
2015-04-03 15:00:00,43.4
2015-04-03 18:00:00,43.4
2015-04-03 21:00:00,43.4
2015-04-04 00:00:00,43.4
2015-04-04 03:00:00,43.4
2015-04-04 06:00:00,43.4
2015-04-04 09:00:00,43.398
2015-04-04 12:00:00,43.4
2015-04-04 15:00:00,43.4
2015-04-04 18:00:00,43.4
2015-04-04 21:00:00,43.4
2015-04-05 00:00:00,43.4
2015-04-05 03:00:00,43.4
2015-04-05 06:00:00,43.4
2015-04-05 09:00:00,43.4
2015-04-05 12:00:00,43.4
2015-04-05 15:00:00,43.4
2015-04-05 18:00:00,43.4
2015-04-05 21:00:00,43.4
2015-04-06 00:00:00,43.4
2015-04-06 03:00:00,43.4
2015-04-06 06:00:00,43.4
2015-04-06 09:00:00,43.4
2015-04-06 12:00:00,43.4
2015-04-06 15:00:00,43.4
2015-04-06 18:00:00,43.4
2015-04-06 21:00:00,43.4
2015-04-07 00:00:00,43.4
2015-04-07 03:00:00,43.4
2015-04-07 06:00:00,43.4
2015-04-07 09:00:00,43.4
2015-04-07 12:00:00,43.4
2015-04-07 15:00:00,43.4
2015-04-07 18:00:00,43.4
2015-04-07 21:00:00,43.4
2015-04-08 00:00:00,43.399
2015-04-08 03:00:00,43.396
2015-04-08 06:00:00,43.393
2015-04-08 09:00:00,43.4
2015-04-08 12:00:00,43.4
2015-04-08 15:00:00,43.4
2015-04-08 18:00:00,43.4
2015-04-08 21:00:00,43.4
2015-04-09 00:00:00,43.399
2015-04-09 03:00:00,43.399
2015-04-09 06:00:00,43.4
2015-04-09 09:00:00,43.4
2015-04-09 12:00:00,43.4
2015-04-09 15:00:00,43.4
2015-04-09 18:00:00,43.398
2015-04-09 21:00:00,43.398
2015-04-10 00:00:00,43.398
2015-04-10 03:00:00,43.397
2015-04-10 06:00:00,43.4
2015-04-10 09:00:00,43.4
2015-04-10 12:00:00,43.4
2015-04-10 15:00:00,43.4
2015-04-10 18:00:00,43.4
2015-04-10 21:00:00,43.4
2015-04-11 00:00:00,43.4
2015-04-11 03:00:00,43.4
2015-04-11 06:00:00,43.4
2015-04-11 09:00:00,43.4
2015-04-11 12:00:00,43.4
2015-04-11 15:00:00,43.4
2015-04-11 18:00:00,43.4
2015-04-11 21:00:00,43.4
2015-04-12 00:00:00,43.4
2015-04-12 03:00:00,43.4
2015-04-12 06:00:00,43.4
2015-04-12 09:00:00,43.4
2015-04-12 12:00:00,43.4
2015-04-12 15:00:00,43.4
2015-04-12 18:00:00,43.399
2015-04-12 21:00:00,43.393
2015-04-13 00:00:00,43.383
2015-04-13 03:00:00,43.38
2015-04-13 06:00:00,43.371
2015-04-13 09:00:00,43.4
2015-04-13 12:00:00,43.4
2015-04-13 15:00:00,43.4
2015-04-13 18:00:00,43.379
2015-04-13 21:00:00,43.373
2015-04-14 00:00:00,43.367
2015-04-14 03:00:00,43.365
2015-04-14 06:00:00,43.357
2015-04-14 09:00:00,43.4
2015-04-14 12:00:00,43.4
2015-04-14 15:00:00,43.4
2015-04-14 18:00:00,43.398
2015-04-14 21:00:00,43.398
2015-04-15 00:00:00,43.398
2015-04-15 03:00:00,43.398
2015-04-15 06:00:00,43.4
2015-04-15 09:00:00,43.4
2015-04-15 12:00:00,43.4
2015-04-15 15:00:00,43.4
2015-04-15 18:00:00,43.4
2015-04-15 21:00:00,43.399
2015-04-16 00:00:00,43.399
2015-04-16 03:00:00,43.399
2015-04-16 06:00:00,43.393
2015-04-16 09:00:00,43.4
2015-04-16 12:00:00,43.4
2015-04-16 15:00:00,43.4
2015-04-16 18:00:00,43.4
2015-04-16 21:00:00,43.399
2015-04-17 00:00:00,43.399
2015-04-17 03:00:00,43.399
2015-04-17 06:00:00,43.4
2015-04-17 09:00:00,43.4
2015-04-17 12:00:00,43.4
2015-04-17 15:00:00,43.4
2015-04-17 18:00:00,43.398
2015-04-17 21:00:00,43.394
2015-04-18 00:00:00,43.392
2015-04-18 03:00:00,43.392
2015-04-18 06:00:00,43.391
2015-04-18 09:00:00,43.4
2015-04-18 12:00:00,43.4
2015-04-18 15:00:00,43.4
2015-04-18 18:00:00,43.397
2015-04-18 21:00:00,43.387
2015-04-19 00:00:00,43.382
2015-04-19 03:00:00,43.379
2015-04-19 06:00:00,43.4
2015-04-19 09:00:00,43.4
2015-04-19 12:00:00,43.4
2015-04-19 15:00:00,43.4
2015-04-19 18:00:00,43.4
2015-04-19 21:00:00,43.262
2015-04-20 00:00:00,42.848
2015-04-20 03:00:00,42.61
2015-04-20 06:00:00,42.502
2015-04-20 09:00:00,42.22
2015-04-20 12:00:00,41.75
2015-04-20 15:00:00,39.784
2015-04-20 18:00:00,37.253
2015-04-20 21:00:00,36.024
2015-04-21 00:00:00,35.5
2015-04-21 03:00:00,35.287
2015-04-21 06:00:00,35.211
2015-04-21 09:00:00,35.02
2015-04-21 12:00:00,33.93
2015-04-21 15:00:00,32.927
2015-04-21 18:00:00,32.065998
2015-04-21 21:00:00,31.355
2015-04-22 00:00:00,30.886
2015-04-22 03:00:00,30.694
2015-04-22 06:00:00,30.584
2015-04-22 09:00:00,30.294
2015-04-22 12:00:00,29.813
2015-04-22 15:00:00,29.195
2015-04-22 18:00:00,28.807
2015-04-22 21:00:00,28.664999
2015-04-23 00:00:00,28.412
2015-04-23 03:00:00,28.182
2015-04-23 06:00:00,28.044
2015-04-23 09:00:00,27.825
2015-04-23 12:00:00,27.491
2015-04-23 15:00:00,27.209
2015-04-23 18:00:00,26.975
2015-04-23 21:00:00,26.818
2015-04-24 00:00:00,26.739
2015-04-24 03:00:00,26.692
2015-04-24 06:00:00,26.619
2015-04-24 09:00:00,26.451
2015-04-24 12:00:00,26.227
2015-04-24 15:00:00,25.980999
2015-04-24 18:00:00,25.818
2015-04-24 21:00:00,25.718
2015-04-25 00:00:00,25.677
2015-04-25 03:00:00,25.664
2015-04-25 06:00:00,25.611
2015-04-25 09:00:00,25.435
2015-04-25 12:00:00,25.244
2015-04-25 15:00:00,25.118
2015-04-25 18:00:00,25.631
2015-04-25 21:00:00,25.534
2015-04-26 00:00:00,25.463
2015-04-26 03:00:00,25.426
2015-04-26 06:00:00,25.572
2015-04-26 09:00:00,25.675
2015-04-26 12:00:00,25.652
2015-04-26 15:00:00,25.739
2015-04-26 18:00:00,25.876
2015-04-26 21:00:00,25.998
2015-04-27 00:00:00,25.924
2015-04-27 03:00:00,25.875
2015-04-27 06:00:00,25.822
2015-04-27 09:00:00,25.697
2015-04-27 12:00:00,25.505
2015-04-27 15:00:00,25.34
2015-04-27 18:00:00,25.265
2015-04-27 21:00:00,25.204
2015-04-28 00:00:00,25.141
2015-04-28 03:00:00,25.097
2015-04-28 06:00:00,25.039
2015-04-28 09:00:00,24.862999
2015-04-28 12:00:00,24.579
2015-04-28 15:00:00,24.318
2015-04-28 18:00:00,24.197
2015-04-28 21:00:00,24.157
2015-04-29 00:00:00,24.145
2015-04-29 03:00:00,24.14
2015-04-29 06:00:00,24.085
2015-04-29 09:00:00,23.948
2015-04-29 12:00:00,23.742
2015-04-29 15:00:00,23.583
2015-04-29 18:00:00,23.539999
2015-04-29 21:00:00,23.543
2015-04-30 00:00:00,23.526
2015-04-30 03:00:00,23.519
2015-04-30 06:00:00,23.48
2015-04-30 09:00:00,23.328
2015-04-30 12:00:00,23.112999
2015-04-30 15:00:00,22.99
2015-04-30 18:00:00,22.934
2015-04-30 21:00:00,22.911
2015-05-01 00:00:00,23.327
2015-05-01 03:00:00,23.387
2015-05-01 06:00:00,23.513
2015-05-01 09:00:00,23.525
2015-05-01 12:00:00,23.48
2015-05-01 15:00:00,23.428999
2015-05-01 18:00:00,23.41
2015-05-01 21:00:00,23.437
2015-05-02 00:00:00,23.417
2015-05-02 03:00:00,23.409
2015-05-02 06:00:00,23.38
