date,sm
01/01/2015 08:30,63.23
01/02/2015 08:30,57.42
01/03/2015 08:30,65.15
01/04/2015 08:30,63.3
01/05/2015 08:30,71.939995
01/06/2015 08:30,62.059998
01/07/2015 08:30,64.02
01/08/2015 08:30,63.8
01/09/2015 08:30,70.29
01/10/2015 08:30,70.229996
01/11/2015 08:30,77.049995
01/12/2015 08:30,87.83
01/13/2015 08:30,87.24
01/14/2015 08:30,81.61
01/15/2015 08:30,77.81
01/16/2015 08:30,69.01
01/17/2015 08:30,70.43
01/18/2015 08:30,69.21
01/19/2015 08:30,76.77
01/20/2015 08:30,80.90999599999998
01/21/2015 08:30,76.11999499999997
01/22/2015 08:30,76.36
01/23/2015 08:30,83.11999499999997
01/24/2015 08:30,84.92
01/25/2015 08:30,71.72
01/26/2015 08:30,66.17
01/27/2015 08:30,74.96
01/28/2015 08:30,74.77
01/29/2015 08:30,71.36
01/30/2015 08:30,66.38
01/31/2015 08:30,75.54
02/01/2015 08:30,72.189995
02/02/2015 08:30,75.28
02/03/2015 08:30,73.11
02/04/2015 08:30,72.13
02/05/2015 08:30,73.81
02/06/2015 08:30,66.29
02/07/2015 08:30,68.2
02/08/2015 08:30,63.77
02/09/2015 08:30,60.07
02/10/2015 08:30,69.32
02/11/2015 08:30,61.89
02/12/2015 08:30,57.43
02/13/2015 08:30,61.91
02/14/2015 08:30,63.92
02/15/2015 08:30,70.34
02/16/2015 08:30,72.28
02/17/2015 08:30,64.85
02/18/2015 08:30,65.59
02/19/2015 08:30,71.99
02/20/2015 08:30,78.04
02/21/2015 08:30,67.96
02/22/2015 08:30,72.729996
02/23/2015 08:30,78.229996
02/24/2015 08:30,72.42
02/25/2015 08:30,78.79
02/26/2015 08:30,80.82
02/27/2015 08:30,76.29
02/28/2015 08:30,70.6
03/01/2015 08:30,73.299995
03/02/2015 08:30,77.939995
03/03/2015 08:30,75.049995
03/04/2015 08:30,71.15
03/05/2015 08:30,70.59
03/06/2015 08:30,77.65
03/07/2015 08:30,78.52
03/08/2015 08:30,82.0
03/09/2015 08:30,78.00999499999998
03/10/2015 08:30,69.7
03/11/2015 08:30,77.36
03/12/2015 08:30,84.25
03/13/2015 08:30,90.95
03/14/2015 08:30,83.72
03/15/2015 08:30,79.979996
03/16/2015 08:30,86.85
03/17/2015 08:30,88.22
03/18/2015 08:30,82.65
03/19/2015 08:30,75.77
03/20/2015 08:30,75.77
03/21/2015 08:30,85.57
03/22/2015 08:30,87.11
03/23/2015 08:30,90.4
03/24/2015 08:30,82.54
03/25/2015 08:30,81.53
03/26/2015 08:30,96.479996
03/27/2015 08:30,81.42
03/28/2015 08:30,79.479996
03/29/2015 08:30,81.82
03/30/2015 08:30,93.299995
03/31/2015 08:30,82.21
04/01/2015 08:30,95.11
04/02/2015 08:30,80.88
04/03/2015 08:30,83.49
04/04/2015 08:30,74.68
04/05/2015 08:30,81.43
04/06/2015 08:30,73.34
04/07/2015 08:30,38.35
04/08/2015 08:30,44.3
04/09/2015 08:30,50.51
04/10/2015 08:30,51.059998
04/11/2015 08:30,55.12
04/12/2015 08:30,42.0
04/13/2015 08:30,63.93
04/14/2015 08:30,43.1
04/15/2015 08:30,36.46
04/16/2015 08:30,41.67
04/17/2015 08:30,31.5
04/18/2015 08:30,28.66
04/19/2015 08:30,42.03
04/20/2015 08:30,34.79
04/21/2015 08:30,45.079998
04/22/2015 08:30,24.33
04/23/2015 08:30,37.13
04/24/2015 08:30,30.15
04/25/2015 08:30,30.349998
04/26/2015 08:30,35.61
04/27/2015 08:30,43.399998
04/28/2015 08:30,29.519999
04/29/2015 08:30,26.14
04/30/2015 08:30,35.579998
05/01/2015 08:30,46.42
05/02/2015 08:30,36.7
05/03/2015 08:30,32.309998
05/04/2015 08:30,39.36
05/05/2015 08:30,39.899998
05/06/2015 08:30,41.78
05/07/2015 08:30,52.35
05/08/2015 08:30,50.829998
05/09/2015 08:30,70.36999499999997
05/10/2015 08:30,64.57
05/11/2015 08:30,62.91
05/12/2015 08:30,74.97
05/13/2015 08:30,68.39
05/14/2015 08:30,59.719997
05/15/2015 08:30,64.28
05/16/2015 08:30,60.17
05/17/2015 08:30,55.01
05/18/2015 08:30,71.92
05/19/2015 08:30,80.88
05/20/2015 08:30,69.21
05/21/2015 08:30,67.25
05/22/2015 08:30,72.49
05/23/2015 08:30,76.24
05/24/2015 08:30,70.229996
05/25/2015 08:30,72.9
05/26/2015 08:30,62.75
05/27/2015 08:30,84.61
05/28/2015 08:30,79.21
05/29/2015 08:30,78.92
05/30/2015 08:30,73.5
05/31/2015 08:30,78.29
06/01/2015 08:30,66.58
06/02/2015 08:30,78.54
06/03/2015 08:30,83.2
06/04/2015 08:30,73.17
06/05/2015 08:30,67.76
06/06/2015 08:30,59.52
06/07/2015 08:30,81.36999499999997
06/08/2015 08:30,70.5
06/09/2015 08:30,64.9
06/10/2015 08:30,63.85
06/11/2015 08:30,64.61
06/12/2015 08:30,67.13
06/13/2015 08:30,65.28
06/14/2015 08:30,68.95
06/15/2015 08:30,59.03
06/16/2015 08:30,62.0
06/17/2015 08:30,64.4
06/18/2015 08:30,66.86
06/19/2015 08:30,68.89
06/20/2015 08:30,70.53
06/21/2015 08:30,74.439995
06/22/2015 08:30,79.13
06/23/2015 08:30,75.14
06/24/2015 08:30,73.88
06/25/2015 08:30,82.86999499999997
06/26/2015 08:30,81.83
06/27/2015 08:30,74.21
06/28/2015 08:30,76.979996
06/29/2015 08:30,69.049995
06/30/2015 08:30,63.609997
07/01/2015 08:30,78.35
07/02/2015 08:30,74.61
07/03/2015 08:30,82.42
07/04/2015 08:30,69.86
07/05/2015 08:30,68.46
07/06/2015 08:30,73.56
07/07/2015 08:30,100.0
07/08/2015 08:30,96.81
07/09/2015 08:30,98.7
07/10/2015 08:30,89.65
07/11/2015 08:30,79.00999499999998
07/12/2015 08:30,80.89
07/13/2015 08:30,73.83
07/14/2015 08:30,73.15
07/15/2015 08:30,100.0
07/16/2015 08:30,82.59
07/17/2015 08:30,76.439995
07/18/2015 08:30,74.299995
07/19/2015 08:30,83.33
07/20/2015 08:30,89.46
07/21/2015 08:30,87.5
07/22/2015 08:30,86.03
07/23/2015 08:30,76.229996
07/24/2015 08:30,75.25
07/25/2015 08:30,80.34
07/26/2015 08:30,75.89
07/27/2015 08:30,84.28
07/28/2015 08:30,83.68
07/29/2015 08:30,73.26
07/30/2015 08:30,100.0
07/31/2015 08:30,89.0
08/01/2015 08:30,79.27
08/02/2015 08:30,95.15
08/03/2015 08:30,76.6
08/04/2015 08:30,80.82
08/05/2015 08:30,75.799995
08/06/2015 08:30,89.4
08/07/2015 08:30,80.85
08/08/2015 08:30,79.68
08/09/2015 08:30,75.74
08/10/2015 08:30,80.93
08/11/2015 08:30,70.06
08/12/2015 08:30,69.15
08/13/2015 08:30,75.46
08/14/2015 08:30,70.979996
08/15/2015 08:30,71.1
08/16/2015 08:30,65.68
08/17/2015 08:30,67.42
08/18/2015 08:30,75.79
08/19/2015 08:30,77.229996
08/20/2015 08:30,81.9
08/21/2015 08:30,75.15
08/22/2015 08:30,75.14
08/23/2015 08:30,69.79
08/24/2015 08:30,74.299995
08/25/2015 08:30,72.2
08/26/2015 08:30,66.11999499999999
08/27/2015 08:30,76.84
08/28/2015 08:30,95.24
08/29/2015 08:30,73.689995
08/30/2015 08:30,68.04
08/31/2015 08:30,60.629997
09/01/2015 08:30,61.109997
09/02/2015 08:30,62.35
09/03/2015 08:30,67.92
09/04/2015 08:30,60.18
09/05/2015 08:30,57.44
09/06/2015 08:30,60.949997
09/07/2015 08:30,59.16
09/08/2015 08:30,61.57
09/09/2015 08:30,55.0
09/10/2015 08:30,58.399998
09/11/2015 08:30,74.439995
09/12/2015 08:30,55.27
09/13/2015 08:30,63.489998
09/14/2015 08:30,55.26
09/15/2015 08:30,59.789997
09/16/2015 08:30,82.1
09/17/2015 08:30,82.299995
09/18/2015 08:30,96.75
09/19/2015 08:30,87.99
09/20/2015 08:30,81.049995
09/21/2015 08:30,87.049995
09/22/2015 08:30,86.5
09/23/2015 08:30,80.53
09/24/2015 08:30,79.36999499999997
09/25/2015 08:30,71.34
09/26/2015 08:30,79.28
09/27/2015 08:30,75.61999499999997
09/28/2015 08:30,69.54
09/29/2015 08:30,69.58
09/30/2015 08:30,62.039997
10/01/2015 08:30,66.54
10/02/2015 08:30,72.689995
10/03/2015 08:30,59.539997
10/04/2015 08:30,58.989998
10/05/2015 08:30,49.51
10/06/2015 08:30,30.05
10/07/2015 08:30,42.25
10/08/2015 08:30,45.27
10/09/2015 08:30,42.45
10/10/2015 08:30,54.1
10/11/2015 08:30,48.43
10/12/2015 08:30,54.379997
10/13/2015 08:30,44.46
10/14/2015 08:30,49.03
10/15/2015 08:30,58.98
10/16/2015 08:30,50.629997
10/17/2015 08:30,57.449997
10/18/2015 08:30,46.44
10/19/2015 08:30,34.93
10/20/2015 08:30,26.33
10/21/2015 08:30,43.149998
10/22/2015 08:30,62.8
10/23/2015 08:30,70.1
10/24/2015 08:30,39.85
10/25/2015 08:30,69.93
