date_time,soil moisture,sm
2016-05-26 09:00:00,0.198,50.02
2016-05-27 09:00:00,0.193,49.78
2016-05-27 10:00:00,0.193,38.09
2016-05-28 09:00:00,0.188,34.89
2016-05-29 09:00:00,0.187,43.899998
2016-05-29 11:00:00,0.188,35.26
2016-05-30 10:00:00,0.194,76.979996
2016-05-31 09:00:00,0.188,62.59
2016-05-31 11:00:00,0.188,34.64
2016-06-01 10:00:00,0.187,44.879997
2016-06-02 09:00:00,0.183,44.829998
2016-06-03 09:00:00,0.182,60.239998
2016-06-03 11:00:00,0.183,39.77
2016-06-04 10:00:00,0.181,38.559998
2016-06-05 09:00:00,0.178,48.62
2016-06-05 11:00:00,0.179,34.59
2016-06-06 10:00:00,0.176,30.619999
2016-06-07 09:00:00,0.173,41.5
2016-06-08 09:00:00,0.171,40.989998
2016-06-08 10:00:00,0.171,40.629997
2016-06-09 09:00:00,0.17,30.06
2016-06-09 10:00:00,0.17,30.23
2016-06-10 09:00:00,0.17,31.25
2016-06-10 11:00:00,0.17,34.079998
2016-06-11 10:00:00,0.169,24.51
2016-06-12 09:00:00,0.168,40.649998
2016-06-13 09:00:00,0.167,53.469997
2016-06-13 10:00:00,0.167,26.529999
2016-06-14 09:00:00,0.168,41.2
2016-06-15 09:00:00,0.168,59.51
2016-06-15 11:00:00,0.169,42.76
2016-06-16 10:00:00,0.181,65.11999499999999
2016-06-17 09:00:00,0.174,52.27
2016-06-17 11:00:00,0.175,43.95
2016-06-18 10:00:00,0.17,41.87
2016-06-19 09:00:00,0.168,23.65
2016-06-20 09:00:00,0.168,39.2
2016-06-20 10:00:00,0.169,28.189999
2016-06-21 10:00:00,0.22,66.96
2016-06-22 09:00:00,0.219,84.15
2016-06-22 11:00:00,0.216,57.19
2016-06-23 10:00:00,0.201,52.78
2016-06-24 09:00:00,0.204,67.2
2016-06-25 09:00:00,0.191,48.5
2016-06-25 10:00:00,0.19,45.18
2016-06-26 09:00:00,0.228,79.64
2016-06-27 09:00:00,0.212,65.02
2016-06-27 11:00:00,0.23,54.71
2016-06-28 10:00:00,0.215,60.789997
2016-06-29 09:00:00,0.23,60.539997
