,soil moisture,sm
2015-04-13 08:30:00,0.6075,63.329998
2015-04-16 10:00:00,0.6076,66.18
2015-04-16 11:00:00,0.6076,61.59
2015-04-19 10:30:00,0.6082,62.989998
2015-04-21 08:30:00,0.6086,64.799995
2015-04-21 10:30:00,0.6085,67.65
2015-04-23 08:30:00,0.6087,62.67
2015-04-23 10:00:00,0.6088,62.52
2015-04-24 09:00:00,0.6088,64.90999599999999
2015-04-24 10:30:00,0.6088,64.32
2015-04-27 08:30:00,0.6089,65.18
2015-04-27 10:30:00,0.6091,67.18
2015-04-28 08:30:00,0.609,62.539997
2015-04-28 10:00:00,0.6092,65.38
2015-04-29 09:00:00,0.6089,67.06
2015-04-29 10:30:00,0.6091,65.79
2015-04-30 08:30:00,0.6089,64.51
2015-04-30 10:00:00,0.609,66.9
2015-05-01 10:30:00,0.1497,65.86
2015-05-02 08:30:00,0.5869,63.719997
2015-05-02 10:30:00,0.5874,62.17
2015-05-03 08:00:00,0.6068,62.46
2015-05-03 11:00:00,0.6065999999999999,66.82
2015-05-04 09:00:00,0.6074,70.1
2015-05-04 10:30:00,0.6074,69.90999599999999
2015-05-05 10:00:00,0.6091,61.35
2015-05-06 09:00:00,0.6091,67.40999599999999
2015-05-06 10:30:00,0.6091,64.18
2015-05-07 08:30:00,0.609,74.51
2015-05-07 10:00:00,0.609,75.11
2015-05-08 08:00:00,0.6096,62.75
2015-05-08 10:30:00,0.6095,69.76
2015-05-09 08:30:00,0.6097,63.39
2015-05-09 10:30:00,0.6098,66.52
2015-05-10 08:30:00,0.6096,71.93
2015-05-10 10:00:00,0.6097,68.61
2015-05-11 09:00:00,0.6097,67.56
2015-05-11 10:30:00,0.6096,68.939995
2015-05-12 08:30:00,0.6096,67.06
2015-05-12 10:00:00,0.6096,67.939995
2015-05-13 10:30:00,0.6093,68.90999599999999
2015-05-14 08:30:00,0.6093,66.84
2015-05-14 10:30:00,0.6093,66.729996
2015-05-15 10:00:00,0.6093,74.46
2015-05-15 11:00:00,0.6093,62.69
2015-05-16 10:30:00,0.6093999999999999,63.1
2015-05-17 08:30:00,0.6093,55.69
2015-05-17 10:00:00,0.6093999999999999,60.1
2015-05-18 10:30:00,0.6093999999999999,64.11999499999999
2015-05-19 08:30:00,0.6093999999999999,68.47
2015-05-19 10:30:00,0.6093999999999999,71.1
2015-05-20 08:00:00,0.6093999999999999,78.54
2015-05-20 10:30:00,0.6093999999999999,72.5
2015-05-21 08:30:00,0.6093999999999999,67.9
2015-05-21 10:30:00,0.6093999999999999,66.09
2015-05-22 08:30:00,0.6093999999999999,69.65
2015-05-22 10:00:00,0.6092,71.39
2015-05-23 09:00:00,0.6093,80.11
2015-05-23 10:30:00,0.6093,73.47
2015-05-24 08:30:00,0.6093999999999999,70.689995
2015-05-24 10:00:00,0.6093999999999999,71.72
2015-05-25 10:30:00,0.6093999999999999,62.73
2015-05-26 08:30:00,0.6093999999999999,77.439995
2015-05-26 10:30:00,0.6093999999999999,71.729996
2015-05-27 08:30:00,0.6093999999999999,86.31
2015-05-27 10:00:00,0.6093999999999999,85.799995
2015-05-27 11:00:00,0.6093999999999999,80.14
2015-05-28 09:00:00,0.6093999999999999,75.27
2015-05-28 10:30:00,0.6093999999999999,72.15
2015-05-29 08:30:00,0.6093999999999999,63.059998
2015-05-29 10:00:00,0.6093999999999999,81.799995
2015-05-30 10:30:00,0.6093999999999999,68.90999599999999
2015-05-31 08:30:00,0.6093999999999999,76.09
2015-05-31 10:30:00,0.6093999999999999,72.17
2015-06-01 08:00:00,0.15710000000000002,69.03
2015-06-01 11:00:00,0.1593,68.02
2015-06-02 09:00:00,0.589,74.65
2015-06-02 10:30:00,0.5895,74.65
2015-06-03 08:30:00,0.6065999999999999,75.85
2015-06-03 10:00:00,0.6065999999999999,78.63
2015-06-04 09:00:00,0.6074,65.75
2015-06-04 10:30:00,0.6074,68.86999499999999
2015-06-05 08:30:00,0.6093,64.78
2015-06-05 10:00:00,0.6093,65.85
2015-06-06 08:00:00,0.6091,56.26
2015-06-06 10:30:00,0.6091,59.02
2015-06-07 08:30:00,0.6092,79.86999499999997
2015-06-07 10:30:00,0.6092,84.25
2015-06-08 08:30:00,0.6097,70.0
2015-06-08 10:00:00,0.6097,71.40999599999998
2015-06-09 09:00:00,0.6097,64.02
2015-06-09 10:30:00,0.6097,66.78
2015-06-10 08:30:00,0.6093999999999999,59.12
2015-06-10 10:00:00,0.6096,64.56
2015-06-13 11:00:00,0.6092,63.469997
2015-06-14 09:00:00,0.6092,61.09
2015-06-14 10:30:00,0.6091,61.18
2015-06-15 08:30:00,0.6092,61.649998
2015-06-15 10:00:00,0.6092,62.5
2015-06-18 10:30:00,0.6092,62.69
2015-06-19 08:30:00,0.6092,66.57
2015-06-19 10:30:00,0.6091,66.56
2015-06-20 08:30:00,0.6092,69.81
2015-06-20 10:00:00,0.6091,68.43
2015-06-23 10:30:00,0.6091,72.63
2015-06-24 08:30:00,0.6091,65.24
2015-06-24 10:30:00,0.6091,70.61
2015-06-25 08:30:00,0.6092,78.07
2015-06-25 10:00:00,0.6091,78.71
2015-06-28 10:30:00,0.6092,79.78
2015-06-29 08:30:00,0.6093,77.15999599999998
2015-06-29 10:30:00,0.609,73.65
2015-06-30 08:00:00,0.6093,73.21
2015-06-30 11:00:00,0.6092,70.46
