,soil moisture,sm
2015-04-01 08:30:00,0.2361,71.049995
2015-04-01 10:00:00,0.2363,73.65
2015-04-02 10:00:00,0.2638,75.25
2015-04-03 08:30:00,0.2822,68.729996
2015-04-03 10:30:00,0.28190000000000004,64.90999599999999
2015-04-04 08:00:00,0.264,56.739998
2015-04-04 10:00:00,0.2636,54.829998
2015-04-05 09:00:00,0.1362,62.57
2015-04-05 10:30:00,0.1358,58.829998
2015-04-06 08:30:00,0.1827,73.54
2015-04-06 10:00:00,0.17920000000000005,67.28
2015-05-07 10:00:00,0.11,59.71
2015-05-10 10:00:00,0.07277,71.81
2015-05-13 10:00:00,0.1457,91.0
2015-05-14 08:30:00,0.1968,72.21
2015-05-14 10:30:00,0.2014,67.21
2015-05-15 10:00:00,0.1998,55.649998
2015-05-16 09:00:00,0.1966,58.949997
2015-05-16 10:30:00,0.196,51.76
2015-05-17 08:30:00,0.2529,69.93
2015-05-17 10:00:00,0.2546,71.979996
2015-05-19 10:30:00,0.2441,59.07
2015-05-20 10:00:00,0.2419,70.18
2015-05-21 08:30:00,0.2362,62.079998
2015-05-21 10:30:00,0.2355,57.14
2015-05-22 08:30:00,0.2293,45.469997
2015-05-22 10:00:00,0.229,54.559998
2015-05-24 10:00:00,0.2133,63.079998
2015-05-25 10:00:00,0.2053,51.579998
2015-05-26 08:30:00,0.1992,48.379997
2015-05-26 10:30:00,0.1986,52.34
2015-05-27 08:30:00,0.1914,45.649998
2015-05-27 10:00:00,0.1908,49.55
2015-05-28 09:00:00,0.185,60.6
2015-05-28 10:30:00,0.1844,55.489998
2015-05-29 10:00:00,0.1775,53.69
2015-05-30 10:00:00,0.17,59.239998
2015-05-31 08:30:00,0.2067,60.0
2015-05-31 10:30:00,0.2077,57.34
2015-06-01 08:00:00,0.2292,79.11999499999997
2015-06-01 10:00:00,0.2283,75.67
2015-06-02 09:00:00,0.2611,62.42
2015-06-02 10:30:00,0.2611,51.39
2015-06-03 10:00:00,0.2776,66.71
2015-06-05 08:30:00,0.1344,61.59
2015-06-05 10:00:00,0.1348,58.539997
2015-06-06 10:00:00,0.17190000000000005,55.05
2015-06-07 08:30:00,0.0991,60.969997
2015-06-07 10:30:00,0.0979,56.42
2015-06-08 10:00:00,0.1744,59.02
2015-06-09 09:00:00,0.06982000000000001,60.309998
2015-06-09 10:30:00,0.07115,57.879997
2015-06-10 08:30:00,0.06662999999999998,52.77
2015-06-10 10:00:00,0.06907999999999999,51.52
2015-06-11 10:00:00,0.05897,53.53
2015-06-14 09:00:00,0.1386,73.83
2015-06-14 10:30:00,0.14029999999999998,63.44
2015-06-15 08:30:00,0.1475,52.48
2015-06-15 10:00:00,0.1434,58.53
2015-06-19 08:30:00,0.1309,52.91
2015-06-19 10:30:00,0.1324,55.18
2015-06-20 08:30:00,0.1301,52.05
2015-06-20 10:00:00,0.1305,49.61
2015-06-24 08:30:00,0.1493,83.25
2015-06-24 10:30:00,0.1547,77.86
2015-06-25 08:30:00,0.1673,51.84
2015-06-25 10:00:00,0.1677,53.539997
2015-06-29 08:30:00,0.1545,54.14
2015-06-29 10:30:00,0.1548,58.07
2015-06-30 08:00:00,0.1475,55.07
2015-06-30 10:00:00,0.1466,50.89
2015-07-01 09:00:00,0.2282,65.26
2015-07-01 10:30:00,0.2282,61.19
2015-07-02 10:00:00,0.2608,75.03
2015-07-04 08:30:00,0.2563,61.92
2015-07-04 10:00:00,0.2554,66.06
2015-07-05 10:00:00,0.1344,53.35
2015-07-06 08:30:00,0.1686,51.559998
2015-07-06 10:30:00,0.16870000000000002,59.899998
2015-07-07 10:00:00,0.1018,65.58
2015-07-08 09:00:00,0.1704,74.28
2015-07-08 10:30:00,0.16879999999999998,58.07
2015-07-09 08:30:00,0.07042999999999998,65.38
2015-07-09 10:00:00,0.06986000000000002,72.93
2015-07-10 10:00:00,0.06682,83.65
2015-07-11 08:30:00,0.05914,73.04
2015-07-11 10:30:00,0.05943,69.65
2015-07-12 10:00:00,0.1566,62.059998
2015-07-13 08:30:00,0.1566,47.84
2015-07-14 08:30:00,0.15439999999999998,56.48
2015-07-14 10:00:00,0.1508,58.25
2015-07-16 10:30:00,0.1402,64.85
2015-07-17 10:00:00,0.17800000000000002,62.78
2015-07-18 08:30:00,0.17550000000000002,83.439995
2015-07-18 10:30:00,0.17739999999999995,59.17
2015-07-19 08:30:00,0.1757,49.57
2015-07-19 10:00:00,0.1764,54.32
2015-07-21 10:00:00,0.16329999999999995,58.84
2015-07-22 10:00:00,0.15869999999999998,61.699997
2015-07-23 08:30:00,0.172,58.19
2015-07-23 10:30:00,0.17309999999999998,55.41
2015-07-24 08:30:00,0.17850000000000002,55.18
2015-07-24 10:00:00,0.17629999999999998,62.399998
2015-07-25 09:00:00,0.17010000000000006,66.83
2015-07-25 10:30:00,0.16820000000000002,56.19
2015-07-26 10:00:00,0.2067,95.229996
2015-07-27 10:00:00,0.2048,85.08
2015-07-28 08:30:00,0.1978,59.649998
2015-07-28 10:00:00,0.1977,60.199997
2015-07-29 10:00:00,0.1936,56.739998
2015-07-30 09:00:00,0.2193,89.049995
2015-07-30 10:30:00,0.2195,69.15999599999999
2015-07-31 10:00:00,0.2125,68.5
2015-08-02 08:30:00,0.26,54.86
2015-08-02 10:00:00,0.25980000000000003,58.969997
2015-08-03 10:00:00,0.2725,63.62
2015-08-04 08:30:00,0.2486,67.09
2015-08-04 10:30:00,0.2473,70.27
2015-08-05 10:00:00,0.1364,85.25
2015-08-06 09:00:00,0.16140000000000002,65.76
2015-08-06 10:30:00,0.1625,58.69
2015-08-07 08:30:00,0.0991,65.939995
2015-08-07 10:00:00,0.0988,61.73
2015-08-08 10:00:00,0.1605,63.77
2015-08-09 08:30:00,0.0693,68.729996
2015-08-09 10:30:00,0.07092000000000001,68.35
2015-08-10 10:00:00,0.06713,64.689995
2015-08-11 08:30:00,0.08039999999999999,58.48
2015-08-11 10:30:00,0.0814,54.059998
2015-08-12 08:30:00,0.1474,61.6
2015-08-12 10:00:00,0.14800000000000002,60.66
2015-08-14 10:30:00,0.111,72.08
2015-08-15 10:00:00,0.1055,59.57
2015-08-16 08:30:00,0.1018,61.289997
2015-08-16 10:30:00,0.1003,61.14
2015-08-17 08:30:00,0.0965,66.56
2015-08-17 10:00:00,0.0956,56.539997
2015-08-19 08:30:00,0.0886,64.74
2015-08-19 10:00:00,0.08789999999999999,63.359997
2015-08-20 10:00:00,0.08449999999999999,48.989998
2015-08-21 08:30:00,0.0814,58.09
2015-08-21 10:30:00,0.0815,58.43
2015-08-22 08:30:00,0.07865,63.02
2015-08-22 10:00:00,0.07881,54.879997
2015-08-23 09:00:00,0.07685,61.93
2015-08-23 10:30:00,0.07671,59.52
2015-08-24 08:30:00,0.07535,65.11
2015-08-24 10:00:00,0.07564,57.94
2015-08-25 10:00:00,0.0745,59.629997
2015-08-26 08:30:00,0.0756,62.379997
2015-08-26 10:00:00,0.07587000000000002,55.449997
2015-08-27 08:00:00,0.07477,62.35
2015-08-27 10:00:00,0.07535,53.239998
2015-08-28 09:00:00,0.07264999999999999,56.03
2015-08-28 10:30:00,0.07202999999999997,60.03
2015-08-29 08:30:00,0.07028999999999999,62.46
2015-08-29 10:00:00,0.06965,54.469997
2015-08-31 08:30:00,0.06732,52.6
2015-08-31 10:00:00,0.06761,52.309998
2015-09-01 10:00:00,0.2361,47.64
2015-09-02 10:30:00,0.2582,96.72
2015-09-03 10:00:00,0.269,90.71
2015-09-04 09:00:00,0.2406,69.83
2015-09-04 10:30:00,0.2398,51.809998
2015-09-05 08:30:00,0.1365,65.52
2015-09-05 10:00:00,0.1361,65.18
2015-09-06 10:00:00,0.15960000000000002,72.22
2015-09-07 08:30:00,0.125,63.07
2015-09-07 10:30:00,0.12960000000000002,61.739998
2015-09-08 08:30:00,0.1515,55.21
2015-09-08 10:00:00,0.1497,56.57
2015-09-09 08:30:00,0.06775,50.37
2015-09-09 10:30:00,0.07066,50.059998
2015-09-10 08:30:00,0.05829,53.87
2015-09-10 10:00:00,0.061739999999999996,53.14
2015-09-12 08:30:00,0.1558,60.129997
2015-09-12 10:30:00,0.1558,53.059998
2015-09-13 10:00:00,0.07386999999999999,49.55
2015-09-14 08:30:00,0.07322000000000001,56.34
2015-09-14 10:30:00,0.07443999999999999,55.71
2015-09-15 08:30:00,0.06973,52.36
2015-09-15 10:00:00,0.06896000000000001,67.47
2015-09-17 08:30:00,0.06986000000000002,94.229996
2015-09-18 10:00:00,0.08560000000000001,96.61
2015-09-19 08:30:00,0.08869999999999999,79.71
2015-09-19 10:30:00,0.0898,73.14
2015-09-21 09:00:00,0.08130000000000001,68.82
2015-09-21 10:30:00,0.08310000000000001,57.43
2015-09-22 08:30:00,0.08220000000000001,63.059998
2015-09-22 10:00:00,0.08259999999999999,63.43
2015-09-23 10:00:00,0.084,93.79
2015-09-25 08:00:00,0.1121,73.1
2015-09-25 10:00:00,0.1155,73.5
2015-09-27 08:30:00,0.1132,69.18
2015-09-27 10:00:00,0.1156,65.27
2015-09-30 10:00:00,0.091,55.289997
2015-10-01 08:30:00,0.2309,59.12
2015-10-01 10:30:00,0.2293,63.969997
2015-10-02 08:30:00,0.2602,70.85
2015-10-02 10:00:00,0.2606,64.74
2015-10-04 08:30:00,0.2333,53.62
2015-10-04 10:00:00,0.2324,47.92
2015-10-05 10:00:00,0.1351,43.66
2015-10-08 08:30:00,0.1414,38.059998
2015-10-08 10:30:00,0.1399,44.18
2015-10-09 08:30:00,0.06965,36.32
2015-10-09 10:00:00,0.07148,38.39
2015-10-11 08:30:00,0.07235,45.77
2015-10-11 10:30:00,0.0741,46.399998
2015-10-12 08:00:00,0.1531,48.75
2015-10-12 10:00:00,0.15380000000000002,39.12
2015-10-13 08:30:00,0.06269,37.54
2015-10-13 10:30:00,0.06477999999999999,42.19
2015-10-14 08:30:00,0.0566,36.92
2015-10-14 10:00:00,0.05982000000000001,40.649998
2015-10-16 08:30:00,0.05417999999999999,37.89
2015-10-16 10:00:00,0.05665,46.789997
2015-10-17 10:00:00,0.055720000000000006,34.32
2015-10-18 08:30:00,0.05617999999999999,39.5
2015-10-18 10:30:00,0.05980000000000001,50.68
2015-10-19 08:30:00,0.05762000000000001,42.55
2015-10-30 08:30:00,0.055,41.51
2015-10-30 10:30:00,0.0564,47.739998
2015-10-31 08:30:00,0.05751000000000001,57.079998
2015-11-01 10:30:00,-0.05296,54.48
2015-11-02 08:30:00,0.2652,52.739998
2015-11-02 10:00:00,0.2652,53.17
2015-11-04 10:30:00,0.2256,57.34
2015-11-06 10:30:00,0.1505,55.829998
2015-11-07 08:30:00,0.17350000000000002,83.7
2015-11-07 10:00:00,0.1707,87.939995
2015-11-09 08:30:00,0.07012,97.17
2015-11-10 08:00:00,0.05996000000000001,86.979996
2015-11-10 10:00:00,0.06352999999999999,80.03
2015-11-11 08:30:00,0.06976,63.3
2015-11-11 10:30:00,0.0709,71.99
2015-11-12 08:30:00,0.1485,83.33
2015-11-12 10:00:00,0.1496,83.28
2015-11-14 08:30:00,0.0885,86.79
2015-11-14 10:00:00,0.0888,82.939995
2015-11-15 10:00:00,0.0864,53.3
2015-11-16 08:30:00,0.08929999999999999,77.77
2015-11-16 10:30:00,0.08990000000000001,72.11999499999997
2015-11-17 08:00:00,0.0942,80.59
2015-11-17 10:00:00,0.0951,81.50999499999998
2015-11-18 09:00:00,0.0979,91.14
2015-11-18 10:30:00,0.0986,80.47
2015-11-19 08:30:00,0.0963,71.11999499999997
2015-11-19 10:00:00,0.0971,73.67
2015-11-25 09:00:00,0.097,74.43
2015-11-26 08:30:00,0.1024,76.64
2015-11-26 10:00:00,0.1017,74.229996
2015-11-27 10:00:00,0.1112,80.439995
2015-11-28 08:30:00,0.1117,78.0
2015-11-28 10:30:00,0.1112,76.39
2015-11-29 08:30:00,0.1078,65.54
2015-11-29 10:00:00,0.1091,70.17
2015-11-30 09:00:00,0.1174,68.51
2015-11-30 10:30:00,0.1186,65.08
2015-12-03 08:30:00,0.259,78.47
2015-12-03 10:30:00,0.2585,73.07
2015-12-04 10:00:00,0.2209,98.229996
2015-12-05 08:30:00,0.1341,89.13
2015-12-05 10:30:00,0.1469,82.83
2015-12-06 08:30:00,0.14980000000000002,85.939995
2015-12-06 10:00:00,0.14429999999999998,85.1
2015-12-09 10:00:00,0.07315,80.78
2015-12-10 08:30:00,0.05728,83.86999499999997
2015-12-10 10:30:00,0.06175,80.24
2015-12-11 08:30:00,0.07372999999999999,70.03
2015-12-11 10:00:00,0.07446000000000001,72.35
2015-12-17 09:00:00,0.1326,69.96
2015-12-17 10:30:00,0.1328,61.19
2015-12-18 10:00:00,0.156,99.65
2015-12-19 10:00:00,0.1572,79.27
2016-01-31 08:30:00,0.15439999999999998,52.26
2016-01-31 10:00:00,0.1549,52.64
2016-02-09 08:30:00,0.1072,85.27
2016-02-09 10:00:00,0.1063,89.46
2016-03-09 08:30:00,0.0928,66.439995
2016-03-09 10:00:00,0.0931,61.18
2016-03-11 08:30:00,0.1082,61.44
2016-03-11 10:30:00,0.1092,62.12
2016-03-12 08:30:00,0.1457,63.64
2016-03-12 10:00:00,0.1452,56.6
2016-03-13 09:00:00,0.1674,74.63
2016-03-13 10:30:00,0.16899999999999998,66.2
2016-03-14 08:30:00,0.1714,78.29
2016-03-14 10:00:00,0.17350000000000002,81.79
2016-03-17 10:00:00,0.1663,78.58
2016-03-18 08:30:00,0.1597,67.72
2016-03-18 10:30:00,0.16010000000000002,59.27
2016-03-21 08:30:00,0.1599,72.049995
2016-03-21 10:00:00,0.1612,69.4
2016-03-22 10:00:00,0.16,57.67
2016-03-23 08:30:00,0.1642,82.07
2016-03-23 10:30:00,0.1654,77.52
2016-03-24 08:30:00,0.1641,77.04
2016-03-24 10:00:00,0.16510000000000002,78.38
2016-03-25 09:00:00,0.166,70.40999599999998
2016-03-25 10:30:00,0.16699999999999998,61.129997
2016-03-28 08:30:00,0.1612,72.65999599999998
2016-03-28 10:30:00,0.1632,75.27
2016-03-29 08:30:00,0.1574,65.939995
2016-03-29 10:00:00,0.1578,61.03
2016-03-30 08:30:00,0.1552,61.449997
2016-03-30 10:30:00,0.15789999999999998,59.6
2016-03-31 08:30:00,0.1527,60.41
2016-03-31 10:00:00,0.1535,65.1
2016-04-02 08:30:00,0.1522,60.059998
2016-04-02 10:30:00,0.1526,68.36999499999999
2016-04-03 10:00:00,0.147,61.59
2016-04-04 08:30:00,0.1543,60.629997
2016-04-04 10:30:00,0.1572,63.78
2016-04-05 08:30:00,0.1545,78.49
2016-04-05 10:00:00,0.1532,80.27
