,soil moisture,sm
2015-04-13 11:00:00,0.1709,56.62
2015-04-29 09:00:00,0.4912,57.11
2015-05-19 11:00:00,0.4824,26.84
2015-05-26 11:00:00,0.4428,20.76
2015-05-30 11:30:00,0.4385,19.9
2015-05-31 11:00:00,0.4341,23.08
2015-06-01 09:00:00,0.1805,33.46
2015-06-01 11:00:00,0.1791,38.35
2015-06-02 09:00:00,0.1714,37.43
2015-06-02 10:30:00,0.1716,53.73
2015-06-02 11:00:00,0.17059999999999995,34.98
2015-06-03 08:30:00,0.17079999999999998,36.059998
2015-06-03 11:00:00,0.1705,30.869999
2015-06-04 09:00:00,0.1686,20.17
2015-06-04 10:30:00,0.1686,32.0
2015-06-04 11:30:00,0.1686,36.25
2015-06-05 08:30:00,0.5091,20.64
2015-06-05 11:00:00,0.5096,38.489998
2015-06-06 09:00:00,0.4227,25.619999
2015-06-06 10:30:00,0.4244,33.78
2015-06-06 11:30:00,0.4161,24.55
2015-06-07 08:30:00,0.3768,26.269999
2015-06-07 11:00:00,0.3817,31.88
2015-06-08 08:30:00,0.3752,27.59
2015-06-08 11:00:00,0.3757,27.949999
2015-06-09 10:30:00,0.35229999999999995,25.93
2015-06-10 08:30:00,0.3871,22.35
2015-06-11 11:30:00,0.3894,35.899998
2015-06-12 11:00:00,0.1718,38.19
2015-06-13 11:00:00,0.4131,36.82
2015-06-14 09:00:00,0.3982,27.22
2015-06-14 10:30:00,0.3959,42.64
2015-06-15 08:30:00,0.3893,28.82
2015-06-16 11:30:00,0.4013000000000001,44.35
2015-06-17 11:00:00,0.3915,36.89
2015-06-18 09:00:00,0.3788,34.13
2015-06-18 10:30:00,0.3688,31.39
2015-06-19 08:30:00,0.3778,31.26
2015-06-20 08:30:00,0.3701,37.96
2015-06-21 11:30:00,0.369,43.129997
2015-06-22 11:00:00,0.35850000000000004,43.469997
2015-06-23 09:00:00,0.3758,46.69
2015-06-23 10:30:00,0.3727,51.149998
2015-06-24 08:30:00,0.3963,62.01
2015-06-25 08:30:00,0.4074,71.29
2015-06-26 11:30:00,0.4011,54.5
2015-06-27 11:00:00,0.3921,53.18
2015-06-28 09:00:00,0.3944,48.0
2015-06-28 10:30:00,0.3916,52.949997
2015-06-29 08:30:00,0.3881,44.87
2015-06-30 09:00:00,0.3744,46.87
2015-06-30 11:00:00,0.3726,58.14
2015-07-01 09:00:00,0.1729,50.559998
2015-07-01 10:30:00,0.1728,58.35
2015-07-01 11:00:00,0.1726,55.71
2015-07-02 08:30:00,0.168,56.67
2015-07-02 11:00:00,0.1685,48.7
2015-07-03 09:00:00,0.1704,62.77
2015-07-03 10:30:00,0.1702,67.75
2015-07-03 11:30:00,0.17,70.88
2015-07-04 08:30:00,0.1686,59.23
2015-07-04 11:00:00,0.1684,68.22
2015-07-05 09:00:00,0.5049,62.109997
2015-07-05 10:30:00,0.4988,64.27
2015-07-05 11:30:00,0.4953,54.039997
2015-07-06 08:30:00,0.4205,57.76
2015-07-06 11:00:00,0.4289,57.289997
2015-07-07 08:30:00,0.3809,56.92
2015-07-07 11:00:00,0.3899,70.27
2015-07-08 09:00:00,0.3678,53.98
2015-07-08 10:30:00,0.3669,67.83
2015-07-08 11:30:00,0.3686,62.649998
2015-07-09 08:30:00,0.35350000000000004,66.75
2015-07-09 11:00:00,0.3533,73.93
2015-07-10 09:00:00,0.3933,69.74
2015-07-10 10:30:00,0.389,73.229996
2015-07-10 11:30:00,0.3887,69.43
2015-07-11 08:30:00,0.3896,68.79
2015-07-11 11:00:00,0.3884,70.89
2015-07-12 08:30:00,0.2813,64.979996
2015-07-12 10:30:00,0.2936,66.64
2015-07-13 08:30:00,0.3701,68.85
2015-07-14 08:30:00,0.3624,67.54
2015-07-14 11:00:00,0.3577,75.88
2015-07-15 09:00:00,0.37,68.68
2015-07-15 10:30:00,0.3626,74.439995
2015-07-15 11:30:00,0.3616,66.92
2015-07-16 08:30:00,0.3769,64.9
2015-07-16 11:00:00,0.3712,66.76
2015-07-17 09:00:00,0.3712,61.32
2015-07-17 10:30:00,0.3681,65.01
2015-07-18 08:30:00,0.3628,65.35
2015-07-18 11:00:00,0.3568,73.76
2015-07-19 08:30:00,0.3599,70.22
2015-07-19 11:00:00,0.3586,75.86
2015-07-20 11:30:00,0.3854,96.18
2015-07-21 08:30:00,0.38,90.38
2015-07-21 11:00:00,0.3754,88.27
2015-07-22 09:00:00,0.3692,71.32
2015-07-22 10:30:00,0.3688,75.82
2015-07-22 11:30:00,0.3671,75.06
2015-07-23 08:30:00,0.3672,71.97
2015-07-23 11:00:00,0.3643,80.81
2015-07-24 08:30:00,0.3768,73.35
2015-07-24 11:00:00,0.3625,83.67
2015-07-25 09:00:00,0.355,75.75999499999998
2015-07-25 10:30:00,0.3565,77.67
2015-07-25 11:00:00,0.3562,71.57
2015-07-26 08:30:00,0.3676,74.68
2015-07-26 11:00:00,0.3638,66.33
2015-07-27 09:00:00,0.3906,96.46
2015-07-27 10:30:00,0.3898,96.479996
2015-07-27 11:30:00,0.3905,95.64
2015-07-28 08:30:00,0.385,82.04
2015-07-28 11:00:00,0.3746,87.08
2015-07-29 09:00:00,0.3670000000000001,79.22
2015-07-29 11:00:00,0.3736,79.40999599999998
2015-07-31 08:30:00,0.3931,97.86
2015-07-31 11:00:00,0.3845,93.009995
2015-08-01 09:00:00,0.1729,96.0
2015-08-01 10:30:00,0.1732,96.049995
2015-08-01 11:30:00,0.1734,91.979996
2015-08-02 08:30:00,0.1703,88.75
2015-08-03 11:30:00,0.16940000000000002,90.39
2015-08-04 08:30:00,0.16940000000000002,88.25
2015-08-04 11:00:00,0.16940000000000002,84.86
2015-08-05 08:30:00,0.5132,87.75
2015-08-05 11:00:00,0.5123,79.93
2015-08-06 09:00:00,0.4132,74.29
2015-08-06 10:30:00,0.419,81.86999499999997
2015-08-06 11:30:00,0.4184000000000001,82.07
2015-08-07 08:30:00,0.3881,81.46
2015-08-07 11:00:00,0.3898,88.65
2015-08-08 09:00:00,0.3783,86.229996
2015-08-08 10:30:00,0.3777,87.729996
2015-08-08 11:30:00,0.3762,80.86
2015-08-09 08:30:00,0.3501,77.36
2015-08-09 11:00:00,0.3507,77.229996
2015-08-10 08:30:00,0.3891,77.82
2015-08-10 10:30:00,0.3867,74.28
2015-08-11 08:30:00,0.3867,75.59
2015-08-11 10:30:00,0.3846,81.11999499999997
2015-08-11 11:30:00,0.3846,82.22
2015-08-12 08:30:00,0.3199,87.68
2015-08-12 11:00:00,0.3168,89.13
2015-08-13 09:00:00,0.3765,86.2
2015-08-13 10:30:00,0.3759,89.9
2015-08-13 11:30:00,0.3756,82.24
2015-08-14 08:30:00,0.3697,84.5
2015-08-14 11:00:00,0.3654,82.39
2015-08-15 09:00:00,0.3612,83.13
2015-08-15 10:30:00,0.36,82.86999499999997
2015-08-16 08:30:00,0.3515,80.46
2015-08-16 11:00:00,0.349,88.22
2015-08-17 08:30:00,0.3444,80.34
2015-08-17 11:00:00,0.3417,82.189995
2015-08-18 09:00:00,0.3411,85.83
2015-08-18 10:30:00,0.3418,78.42
2015-08-18 11:30:00,0.3397,88.07
2015-08-19 08:30:00,0.3396,88.46
2015-08-19 11:00:00,0.3375,84.42
2015-08-20 09:00:00,0.33409999999999995,76.00999499999998
2015-08-20 10:30:00,0.331,76.11
2015-08-20 11:30:00,0.3301,87.18
2015-08-21 08:30:00,0.3319,82.6
2015-08-21 11:00:00,0.3285,88.59
2015-08-22 08:30:00,0.3317,79.08
2015-08-22 11:00:00,0.3296,85.43
2015-08-23 09:00:00,0.3323,87.52
2015-08-23 10:30:00,0.3276,81.54
2015-08-23 11:00:00,0.3285,83.24
2015-08-24 08:30:00,0.33020000000000005,85.40999599999998
2015-08-24 11:00:00,0.3239,81.71
2015-08-25 09:00:00,0.3289,74.61999499999997
2015-08-25 10:30:00,0.32909999999999995,78.83
2015-08-25 11:30:00,0.32630000000000003,82.14
2015-08-26 08:30:00,0.3421,72.40999599999998
2015-08-26 11:00:00,0.3355,85.03
2015-08-27 08:00:00,0.3451,85.2
2015-08-27 11:00:00,0.3446,87.29
2015-08-29 11:00:00,0.3457,94.549995
2015-08-30 09:00:00,0.3461,76.61999499999997
2015-08-30 10:30:00,0.3443,77.04
2015-08-30 11:30:00,0.3404,79.42
2015-08-31 08:30:00,0.34979999999999994,83.53
2015-08-31 11:00:00,0.3496,92.34
2015-09-01 09:00:00,0.1729,91.31
2015-09-01 10:30:00,0.1727,85.54
2015-09-01 11:30:00,0.1729,76.7
2015-09-02 08:30:00,0.1702,74.86
2015-09-02 11:00:00,0.1702,70.90999599999998
2015-09-03 08:30:00,0.16949999999999998,78.45
2015-09-03 11:00:00,0.16949999999999998,74.49
2015-09-04 09:00:00,0.17010000000000006,70.76
2015-09-04 10:30:00,0.1702,70.29
2015-09-04 11:30:00,0.1702,74.54
2015-09-05 11:00:00,0.5165,91.759995
2015-09-06 09:00:00,0.4152,87.90999599999998
2015-09-06 10:30:00,0.4171,85.54
2015-09-06 11:30:00,0.4165,76.729996
2015-09-07 08:30:00,0.3729,76.79
2015-09-07 11:00:00,0.3768,75.299995
2015-09-08 08:30:00,0.3712,78.58
2015-09-08 10:30:00,0.3702,76.0
2015-09-09 08:30:00,0.3529,82.84
2015-09-09 10:30:00,0.3497,86.63
2015-09-09 11:30:00,0.3506,85.2
2015-09-10 08:30:00,0.3838,77.56
2015-09-10 11:00:00,0.3815,85.36999499999997
2015-09-11 09:00:00,0.3828,82.64
2015-09-11 10:30:00,0.3815,81.71
2015-09-11 11:30:00,0.3825,80.479996
2015-09-12 08:30:00,0.17850000000000002,85.799995
2015-09-12 11:00:00,0.17620000000000002,80.06
