datetime_utc,soil moisture,sm
2015-05-01 10:30:00,0.2144,63.3
2015-06-01 08:00:00,0.2123,69.06
2015-06-01 11:00:00,0.2123,67.01
2015-07-01 09:00:00,0.2114,72.99
2015-07-01 10:30:00,0.2114,76.56
2015-08-01 10:30:00,0.2122,70.93
2015-09-01 08:00:00,0.2129,56.66
2015-09-01 10:30:00,0.2129,61.94
2015-10-01 08:30:00,0.2114,61.52
2015-10-01 10:30:00,0.2114,62.21
2015-11-01 09:00:00,0.2086,56.18
2015-11-01 10:30:00,0.2086,55.84
2015-04-02 10:30:00,0.2056,65.22
2015-05-02 08:30:00,0.2056,63.62
2015-05-02 10:30:00,0.2056,60.59
2015-06-02 09:00:00,0.2047,72.82
2015-06-02 10:30:00,0.2047,73.7
2015-07-02 08:30:00,0.2053,78.08
2015-07-02 10:00:00,0.2053,77.53
2015-08-02 08:30:00,0.2054,75.5
2015-08-02 10:00:00,0.2054,74.63
2015-09-02 08:30:00,0.2059,57.989998
2015-09-02 10:30:00,0.206,57.44
2015-10-02 08:30:00,0.2061,64.45
2015-10-02 10:00:00,0.2061,64.1
2015-11-02 08:30:00,0.2061,57.48
2015-11-02 10:00:00,0.2062,58.68
2015-05-03 08:00:00,0.2123,60.219997
2015-05-03 11:00:00,0.2123,63.66
2015-06-03 08:30:00,0.2119,74.0
2015-06-03 10:00:00,0.2119,78.82
2015-07-03 10:30:00,0.2108,77.86
2015-08-03 08:00:00,0.2104,62.6
2015-08-03 10:30:00,0.2102,71.939995
2015-09-03 08:30:00,0.2104,57.89
2015-09-03 10:00:00,0.2105,56.35
2015-10-03 09:00:00,0.2115,55.07
2015-10-03 10:30:00,0.2115,52.899998
2015-11-03 10:30:00,0.2127,60.079998
2015-05-04 09:00:00,0.2121,67.97
2015-05-04 10:30:00,0.2122,66.4
2015-06-04 10:30:00,0.2122,67.45
2015-07-04 08:30:00,0.2129,69.63
2015-07-04 10:00:00,0.2129,69.07
2015-08-04 08:30:00,0.2276,73.09
2015-08-04 10:30:00,0.2279,72.74
2015-09-04 09:00:00,0.23010000000000005,50.62
2015-09-04 10:30:00,0.23010000000000005,55.39
2015-10-04 08:30:00,0.2391,57.26
2015-10-04 10:00:00,0.2391,56.809998
2015-11-04 08:30:00,0.2443,52.199997
2015-11-04 10:30:00,0.2443,52.14
2015-04-13 08:30:00,0.2535,60.41
2015-04-13 10:00:00,0.2553,60.489998
2015-04-21 08:30:00,0.248,62.25
2015-04-21 10:30:00,0.2472,62.579998
2015-04-27 10:30:00,0.2504,62.59
2015-04-28 10:00:00,0.24850000000000005,60.879997
2015-04-29 09:00:00,0.2488,62.699997
2015-04-29 10:30:00,0.2482,62.42
2015-04-30 08:30:00,0.2496,62.0
2015-04-30 10:00:00,0.2486,64.65999599999999
2015-06-05 08:30:00,0.2746,63.6
2015-06-05 10:00:00,0.2726,65.68
2015-07-05 08:00:00,0.2901,61.66
2015-07-05 10:30:00,0.2851,63.17
2015-08-05 08:30:00,0.2626,73.95
2015-08-05 10:00:00,0.2667,70.7
2015-09-05 08:30:00,0.2546,60.84
2015-09-05 10:00:00,0.255,58.76
2015-10-05 10:30:00,0.2556,53.149998
2015-05-13 10:30:00,0.242,68.29
2015-05-14 08:30:00,0.25170000000000003,66.22
2015-05-14 10:30:00,0.2519,66.01
2015-05-15 10:00:00,0.2718,72.51
2015-05-15 11:00:00,0.2711,61.809998
2015-05-16 09:00:00,0.25370000000000004,59.92
2015-05-16 10:30:00,0.2566,60.149998
2015-05-17 08:30:00,0.2469,56.44
2015-05-17 10:00:00,0.2472,59.449997
2015-05-18 10:30:00,0.2425,61.64
2015-05-19 08:30:00,0.2669,69.97
2015-05-19 10:30:00,0.2699,68.51
2015-05-20 08:00:00,0.2549,74.36999499999997
2015-05-20 10:30:00,0.26530000000000004,68.189995
2015-05-21 08:30:00,0.2733,68.17
2015-05-21 10:30:00,0.2664,63.989998
2015-05-22 08:30:00,0.2725,67.08
2015-05-22 10:00:00,0.2614,70.36999499999997
2015-05-23 10:30:00,0.2913,73.02
2015-05-24 08:30:00,0.2847,69.2
2015-05-24 10:00:00,0.2688,72.25
2015-05-25 10:30:00,0.257,60.21
2015-05-26 08:30:00,0.28,75.35
2015-05-26 10:30:00,0.2775,72.75
2015-05-27 08:30:00,0.2968,84.84
2015-05-27 10:00:00,0.3002,85.18
2015-05-28 09:00:00,0.2758,73.59
2015-05-28 10:30:00,0.2776,70.99
2015-05-29 08:30:00,0.2585,61.69
2015-05-29 10:00:00,0.25670000000000004,79.95
2015-05-30 10:30:00,0.27440000000000003,69.049995
2015-05-31 08:30:00,0.2713,75.96
2015-05-31 10:30:00,0.2811,72.57
2015-05-06 10:30:00,0.26280000000000003,61.859997
2015-06-06 08:00:00,0.2445,56.16
2015-06-06 10:30:00,0.247,57.5
2015-07-06 08:30:00,0.2862,68.049995
2015-07-06 10:30:00,0.2905,70.46
2015-08-06 09:00:00,0.2806,71.17
2015-08-06 10:30:00,0.2774,65.02
2015-09-06 10:30:00,0.2636,60.82
2015-11-06 10:30:00,0.2438,54.149998
2015-06-13 11:00:00,0.2685,63.309998
2015-06-14 09:00:00,0.2457,59.879997
2015-06-14 10:30:00,0.2457,58.079998
2015-06-15 08:30:00,0.2473,61.53
2015-06-15 10:00:00,0.2453,61.39
2015-06-18 10:30:00,0.2258,63.489998
2015-06-19 08:30:00,0.2292,63.69
2015-06-19 10:30:00,0.2243,64.67
2015-06-20 08:30:00,0.229,66.24
2015-06-20 10:00:00,0.2232,67.71
2015-06-23 10:30:00,0.2179,70.53
2015-06-24 08:30:00,0.2158,64.39
2015-06-24 10:30:00,0.2137,68.65
2015-06-25 08:30:00,0.2559,76.64
2015-06-25 10:00:00,0.2566,75.799995
2015-06-28 10:30:00,0.2644,77.53
2015-06-29 08:30:00,0.2575,75.40999599999998
2015-06-29 10:30:00,0.2551,74.18
2015-06-30 08:00:00,0.2848,72.18
2015-06-30 11:00:00,0.28550000000000003,69.5
2015-05-07 08:30:00,0.2437,75.2
2015-05-07 10:00:00,0.2411,74.28
2015-06-07 08:30:00,0.2412,76.59
2015-06-07 10:30:00,0.2333,82.65
2015-07-07 08:30:00,0.29600000000000004,93.86
2015-07-07 10:00:00,0.2974,92.07
2015-08-07 08:30:00,0.287,73.57
2015-08-07 10:00:00,0.2863,69.799995
2015-09-07 08:30:00,0.2827,56.28
2015-09-07 10:30:00,0.2854,54.77
2015-10-07 08:30:00,0.2705,48.12
2015-10-07 10:00:00,0.2729,50.0
2015-10-07 10:30:00,0.2756,47.879997
2015-11-07 08:30:00,0.248,62.75
2015-11-07 10:00:00,0.248,64.78
2015-07-13 08:30:00,0.2397,70.56
2015-07-14 08:30:00,0.2252,68.57
2015-07-14 10:00:00,0.2233,70.65
2015-07-15 10:30:00,0.2626,77.28
2015-07-16 08:30:00,0.2491,77.479996
2015-07-16 10:30:00,0.2472,74.59
2015-07-17 08:00:00,0.2285,72.03
2015-07-17 10:30:00,0.2316,70.83
2015-07-18 08:30:00,0.2208,66.25
2015-07-18 10:30:00,0.2209,61.76
2015-07-19 08:30:00,0.2533,71.49
2015-07-19 10:00:00,0.2525,74.0
2015-07-20 10:30:00,0.2277,72.799995
2015-07-21 08:30:00,0.2258,71.21
2015-07-21 10:00:00,0.222,70.229996
2015-07-22 10:30:00,0.2047,69.83
2015-07-23 08:30:00,0.2565,71.299995
2015-07-23 10:30:00,0.2562,68.32
2015-07-24 08:30:00,0.2568,68.76
2015-07-24 10:00:00,0.25370000000000004,73.74
2015-07-25 09:00:00,0.256,77.15
2015-07-25 10:30:00,0.2515,72.21
2015-07-26 08:30:00,0.2255,70.31
2015-07-26 10:00:00,0.2273,72.59
2015-07-27 10:30:00,0.28350000000000003,84.25
2015-07-28 08:30:00,0.2639,76.43
2015-07-28 10:00:00,0.2647,75.0
2015-07-29 08:00:00,0.2446,71.34
2015-07-29 11:00:00,0.2453,71.32
2015-07-30 09:00:00,0.268,85.56
2015-07-30 10:30:00,0.2703,88.5
2015-07-31 08:30:00,0.2656,78.229996
2015-07-31 10:00:00,0.2651,78.75999499999998
2015-05-08 08:00:00,0.2322,61.48
2015-05-08 10:30:00,0.2306,68.40999599999999
2015-06-08 08:30:00,0.2212,69.15999599999999
2015-06-08 10:00:00,0.223,69.74
2015-07-08 09:00:00,0.25120000000000003,77.11
2015-07-08 10:30:00,0.247,78.1
2015-08-08 10:30:00,0.2351,70.93
2015-09-08 08:30:00,0.2263,59.579998
2015-09-08 10:00:00,0.2201,54.82
2015-09-08 10:30:00,0.2195,50.399998
2015-10-08 08:30:00,0.2242,44.649998
2015-10-08 10:30:00,0.2151,48.19
2015-11-08 10:30:00,0.2089,63.92
2015-08-13 10:30:00,0.1932,66.35
2015-08-14 08:30:00,0.1993,63.39
2015-08-14 10:30:00,0.1939,66.26
2015-08-15 10:30:00,0.1861,61.379997
2015-08-16 08:30:00,0.1848,60.82
2015-08-16 10:30:00,0.1837,63.67
2015-08-17 08:30:00,0.18600000000000005,65.61
2015-08-17 10:00:00,0.182,63.829998
2015-08-18 10:30:00,0.1789,70.65999599999998
2015-08-19 08:30:00,0.17920000000000005,69.81
2015-08-19 10:00:00,0.1765,69.979996
2015-08-20 08:00:00,0.1791,70.6
2015-08-20 10:30:00,0.1754,70.26
2015-08-21 08:30:00,0.1747,63.09
2015-08-21 10:30:00,0.1729,66.97
2015-08-22 08:30:00,0.17579999999999998,68.34
2015-08-22 10:00:00,0.17129999999999998,59.0
2015-08-23 09:00:00,0.1666,64.33
2015-08-23 10:30:00,0.1693,70.88
2015-08-24 08:30:00,0.1703,69.07
2015-08-24 10:00:00,0.16820000000000002,64.97
2015-08-25 10:30:00,0.1657,66.75
2015-08-26 08:30:00,0.1647,61.129997
2015-08-26 10:00:00,0.16329999999999995,59.16
2015-08-27 08:00:00,0.1632,66.93
2015-08-27 11:00:00,0.16690000000000002,63.66
2015-08-28 09:00:00,0.2309,75.59
2015-08-28 10:30:00,0.2315,73.82
2015-08-29 08:30:00,0.2114,67.15999599999999
2015-08-29 10:00:00,0.2107,63.969997
2015-08-30 10:30:00,0.2006,61.12
2015-08-31 08:30:00,0.1882,58.989998
2015-08-31 10:00:00,0.1865,59.14
2015-05-09 08:30:00,0.16140000000000002,62.0
2015-05-09 10:30:00,0.163,65.81
2015-06-09 09:00:00,0.1833,64.57
2015-06-09 10:30:00,0.1859,65.96
2015-07-09 08:30:00,0.17559999999999998,90.7
2015-07-09 10:00:00,0.1788,84.54
2015-08-09 08:30:00,0.1696,68.689995
2015-08-09 10:30:00,0.1716,66.689995
2015-09-09 08:30:00,0.16699999999999998,50.98
2015-09-09 10:30:00,0.1698,55.469997
2015-10-09 08:30:00,0.16210000000000002,42.66
2015-10-09 10:00:00,0.1648,44.34
2015-11-09 08:30:00,0.158,66.84
2015-11-09 10:30:00,0.1634,75.45
2015-09-13 08:00:00,0.1525,61.719997
2015-09-13 10:30:00,0.15460000000000002,54.34
2015-09-14 08:30:00,0.15460000000000002,54.629997
2015-09-14 10:30:00,0.1575,58.1
2015-09-15 08:30:00,0.1534,54.57
2015-09-15 10:00:00,0.15460000000000002,57.5
2015-09-16 10:30:00,0.1679,72.47
2015-09-17 08:30:00,0.2105,85.54
2015-09-17 10:00:00,0.2097,79.14
2015-09-18 08:00:00,0.3032,97.2
2015-09-18 10:30:00,0.2956,94.13
2015-09-19 08:30:00,0.2437,76.71
2015-09-19 10:30:00,0.2446,71.93
2015-09-20 08:30:00,0.2243,63.02
2015-09-20 10:00:00,0.2255,66.65999599999999
2015-09-21 09:00:00,0.2191,78.92
2015-09-21 10:30:00,0.222,74.78
2015-09-22 08:30:00,0.2162,69.03
2015-09-22 10:00:00,0.2183,65.74
2015-09-23 10:30:00,0.25920000000000004,80.86999499999997
2015-09-24 08:30:00,0.2419,74.32
2015-09-24 10:00:00,0.2412,72.64
2015-09-25 08:00:00,0.2448,74.04
2015-09-25 11:00:00,0.2741,82.2
2015-09-26 09:00:00,0.2313,71.1
2015-09-26 10:30:00,0.2337,68.88
2015-09-27 08:30:00,0.221,65.90999599999999
2015-09-27 10:00:00,0.2227,65.08
2015-09-28 10:30:00,0.2105,61.27
2015-09-29 08:30:00,0.2006,53.98
2015-09-29 10:00:00,0.2036,58.96
2015-09-30 08:00:00,0.1953,58.0
2015-09-30 10:30:00,0.1992,62.07
2015-05-10 08:30:00,0.1844,70.09
2015-05-10 10:00:00,0.1864,67.799995
2015-06-10 08:30:00,0.17559999999999998,58.87
2015-06-10 10:00:00,0.17859999999999998,62.449997
2015-07-10 10:30:00,0.1831,86.15999599999998
2015-08-10 08:30:00,0.17739999999999995,72.24
2015-08-10 10:00:00,0.1809,69.78
2015-08-10 10:30:00,0.181,62.73
2015-09-10 08:30:00,0.1745,54.649998
2015-09-10 10:00:00,0.1765,53.629997
2015-10-10 10:30:00,0.17309999999999998,49.559998
2015-11-10 08:00:00,0.1642,64.26
2015-11-10 10:30:00,0.17170000000000002,53.98
2015-10-13 08:30:00,0.1623,37.12
2015-10-13 10:30:00,0.165,47.539997
2015-10-14 10:00:00,0.17010000000000006,53.42
2015-10-15 10:30:00,0.1686,54.879997
2015-10-16 10:00:00,0.1704,55.449997
2015-10-17 08:00:00,0.1689,55.17
2015-10-17 10:30:00,0.1725,54.629997
2015-10-18 10:30:00,0.165,51.89
2015-10-21 08:30:00,0.154,55.129997
2015-10-21 10:00:00,0.1548,54.91
2015-10-22 10:30:00,0.1949,57.62
2015-10-23 08:30:00,0.2181,64.86999499999999
2015-10-23 10:00:00,0.2181,64.26
2015-10-24 11:00:00,0.2004,54.23
2015-10-25 09:00:00,0.2094,67.24
2015-10-25 10:30:00,0.2135,63.609997
2015-10-31 08:30:00,0.1852,54.37
2015-10-31 10:00:00,0.1864,51.449997
2015-05-11 09:00:00,0.1752,66.65999599999999
2015-05-11 10:30:00,0.17550000000000002,66.76
2015-07-11 08:30:00,0.1951,79.9
2015-07-11 10:30:00,0.198,75.64
2015-08-11 08:30:00,0.2256,62.44
2015-08-11 10:30:00,0.2256,66.01
2015-09-11 10:30:00,0.2184,62.77
2015-10-11 08:30:00,0.229,41.57
2015-10-11 10:30:00,0.2279,53.69
2015-12-11 08:30:00,0.1966,52.32
2015-12-11 10:00:00,0.1966,59.129997
2015-11-14 08:30:00,0.2328,64.75
2015-11-14 10:00:00,0.2314,54.75
2015-11-15 10:30:00,0.2161,51.91
2015-11-17 08:00:00,0.2108,86.2
2015-11-17 10:00:00,0.2292,81.58
2015-11-18 09:00:00,0.2302,66.61999499999999
2015-11-18 10:30:00,0.2302,72.5
2015-11-25 10:30:00,0.1843,70.46
2015-11-27 10:30:00,0.1904,53.61
2015-11-28 08:30:00,0.1951,73.45
2015-11-28 10:30:00,0.2017,74.51
2015-11-29 08:30:00,0.2146,59.609997
2015-11-29 10:00:00,0.2153,62.0
2015-11-30 09:00:00,0.2272,57.0
2015-11-30 10:30:00,0.2266,53.699997
2015-05-12 08:30:00,0.1945,66.9
2015-05-12 10:00:00,0.1945,68.46
2015-07-12 10:00:00,0.1944,73.36999499999997
2015-07-12 10:30:00,0.1946,60.949997
2015-08-12 08:30:00,0.1914,66.67
2015-08-12 10:00:00,0.1914,62.329998
2015-09-12 08:30:00,0.1922,59.21
2015-09-12 10:30:00,0.1935,55.25
2015-10-12 08:00:00,0.2019,51.48
2015-10-12 10:30:00,0.2026,55.25
2015-12-12 10:30:00,0.2056,54.09
2015-12-13 08:30:00,0.1968,61.75
2015-12-13 10:00:00,0.196,65.17
2015-12-14 08:00:00,0.1868,60.01
2015-12-14 10:30:00,0.1857,60.78
2016-05-01 08:30:00,0.1723,69.2
2016-05-01 10:30:00,0.1722,71.43
2016-06-01 08:30:00,0.1664,75.979996
2016-06-01 10:30:00,0.1656,74.65999599999998
2016-07-01 08:30:00,0.1583,66.79
2016-07-01 10:00:00,0.1577,64.36999499999999
2016-09-01 08:30:00,0.1193,63.05
2016-09-01 10:30:00,0.1192,62.26
2016-10-01 08:30:00,0.1193,61.21
2016-10-01 10:00:00,0.1193,62.71
2016-01-18 08:30:00,0.1267,70.40999599999998
2016-01-18 10:00:00,0.1267,71.82
2016-04-02 08:30:00,0.1244,70.479996
2016-04-02 10:30:00,0.1244,65.35
2016-05-02 08:00:00,0.1243,66.08
2016-05-02 10:30:00,0.1243,65.54
2016-06-02 08:30:00,0.1229,76.99
2016-06-02 10:00:00,0.1229,70.65999599999998
2016-07-02 09:00:00,0.1243,76.29
2016-07-02 10:30:00,0.1243,68.21
2016-08-02 08:00:00,0.1249,62.01
2016-08-02 10:30:00,0.1249,62.16
2016-09-02 08:30:00,0.1255,65.06
2016-09-02 10:00:00,0.1257,65.88
2016-10-02 09:00:00,0.1257,56.78
2016-10-02 10:30:00,0.1257,59.719997
2016-05-03 08:30:00,0.13269999999999998,70.08
2016-05-03 10:30:00,0.1325,65.78
2016-06-03 10:30:00,0.1324,74.979996
2016-07-03 08:30:00,0.1324,82.7
2016-07-03 10:00:00,0.1324,80.35
2016-08-03 08:30:00,0.1322,64.40999599999999
2016-08-03 10:30:00,0.1322,65.75
2016-09-03 09:00:00,0.1316,65.26
2016-09-03 10:30:00,0.1316,64.939995
2016-10-03 08:30:00,0.1316,52.489998
2016-10-03 10:00:00,0.1316,55.67
2016-03-04 08:30:00,0.16449999999999998,72.26
2016-03-04 10:30:00,0.16449999999999998,71.7
2016-05-04 08:30:00,0.1668,72.939995
2016-05-04 10:00:00,0.16699999999999998,73.34
