,soil moisture,sm
2015-04-13,0.6074,63.85396
2015-04-16,0.6076,63.30866999999999
2015-04-20,0.6084,63.021503
2015-04-21,0.6086,62.486473
2015-04-22,0.6086,65.01745
2015-04-23,0.6087,62.620833999999995
2015-04-24,0.6087,64.94185999999999
2015-04-26,0.6088,63.88779399999999
2015-04-27,0.6088,73.20487
2015-04-28,0.6088,64.35104
2015-04-29,0.6088,65.32330999999999
2015-05-01,0.5334,65.181656
2015-05-02,0.5863,68.46088
2015-05-03,0.6068,65.24002
2015-05-04,0.6074,66.345894
2015-05-05,0.6092,62.260259999999995
2015-05-06,0.609,67.67661
2015-05-07,0.6088,82.973175
2015-05-08,0.6096,69.18918000000001
2015-05-09,0.6097,63.37931999999999
2015-05-10,0.6095,68.647354
2015-05-11,0.6096,67.79944
2015-05-12,0.6095,67.28426999999999
2015-05-13,0.6093,68.223434
2015-05-14,0.6093,67.8156
2015-05-15,0.6093,67.41234
2015-05-16,0.6093999999999999,63.9931
2015-05-17,0.6092,60.720290000000006
2015-05-18,0.6093,62.338640000000005
2015-05-19,0.6093999999999999,65.93229000000001
2015-05-20,0.6093,63.32479
2015-05-21,0.6093,68.505196
2015-05-22,0.6093,69.7753
2015-05-23,0.6093999999999999,75.87201
2015-05-24,0.6093,67.66943
2015-05-25,0.6093999999999999,69.3409
2015-05-26,0.6093999999999999,75.3587
2015-05-27,0.6093999999999999,77.98697
2015-05-28,0.6093999999999999,74.52866999999999
2015-05-29,0.6093999999999999,66.75803
2015-05-30,0.6093,70.6805
2015-05-31,0.6093999999999999,74.57378
2015-06-01,0.1526,68.04993
2015-06-02,0.5882000000000001,73.356995
2015-06-03,0.6065999999999999,69.554276
2015-06-04,0.6074,71.17728000000001
2015-06-05,0.6092,66.24938
2015-06-06,0.6091,64.59161999999999
2015-06-07,0.609,80.98319000000001
2015-06-08,0.6096,69.36395
2015-06-09,0.6096,66.01222
2015-06-10,0.6093,58.83022
2015-06-11,0.6096,66.78519399999999
2015-06-12,0.6096,62.604523
2015-06-13,0.6091,64.77174000000001
2015-06-14,0.6091,60.298687
2015-06-15,0.6091,61.26173000000001
2015-06-16,0.609,64.964455
2015-06-17,0.6091,59.513769999999994
2015-06-18,0.609,59.50374
2015-06-19,0.609,66.69175
2015-06-20,0.6088,69.23435
2015-06-21,0.609,67.702324
2015-06-22,0.6089,68.63875999999999
2015-06-23,0.6089,69.720375
2015-06-24,0.6089,65.204124
2015-06-25,0.6091,94.7238
2015-06-26,0.6092,75.722374
2015-06-27,0.6092,88.98185
2015-06-28,0.6091,78.95798
2015-06-29,0.6091,76.84783
2015-06-30,0.6091,71.02515
2015-07-01,0.1779,72.75635
2015-07-02,0.5902000000000001,76.757515
2015-07-03,0.6065999999999999,80.434715
2015-07-04,0.6074,76.43942
2015-07-05,0.6092,72.845825
2015-07-06,0.6091,64.41013000000001
2015-07-07,0.609,86.46055600000001
2015-07-08,0.6097,91.02181999999999
2015-07-09,0.6098,84.81801
2015-07-10,0.6095,97.36565
2015-07-11,0.6095,80.08504
2015-07-12,0.6096,79.32378
2015-07-13,0.6093,71.60393
2015-07-14,0.6093,70.005516
2015-07-15,0.6093,73.711426
2015-07-16,0.6093,76.62375
2015-07-17,0.6093,78.10713
2015-07-18,0.6093,70.08377
2015-07-19,0.6093999999999999,82.15768
2015-07-20,0.6095,71.47208
2015-07-21,0.6093999999999999,69.93526999999999
2015-07-22,0.6093999999999999,68.04314000000001
2015-07-23,0.6095,72.46768
2015-07-24,0.6093999999999999,83.97389
2015-07-25,0.6093999999999999,81.39287
2015-07-26,0.6093999999999999,69.68111999999999
2015-07-27,0.6096,93.91398000000001
2015-07-28,0.6093999999999999,88.097595
2015-07-29,0.6093999999999999,71.58377
2015-07-30,0.6093999999999999,84.53390999999999
2015-07-31,0.6093999999999999,80.980354
2015-08-01,0.2989,80.13584
2015-08-02,0.5927,79.24577
2015-08-03,0.6065999999999999,75.775856
2015-08-04,0.6075,71.744156
2015-08-05,0.6093,73.143814
2015-08-06,0.6092,76.222946
2015-08-07,0.6091,76.04098499999999
2015-08-08,0.6097,72.72537
2015-08-09,0.6091,65.38571
2015-08-10,0.6095,66.20589
2015-08-11,0.6097,66.17846999999999
2015-08-12,0.6093999999999999,71.67931
2015-08-13,0.6095,64.8315
2015-08-14,0.6093999999999999,62.114371999999996
2015-08-15,0.6093999999999999,64.63969399999999
2015-08-16,0.6093999999999999,60.658497
2015-08-17,0.6093999999999999,67.26462
2015-08-18,0.6093999999999999,66.06501999999999
2015-08-19,0.6093999999999999,65.33749
2015-08-20,0.6093999999999999,65.32478
2015-08-21,0.6093999999999999,65.24016
2015-08-22,0.6093999999999999,66.337585
2015-08-23,0.6095,63.142509999999994
2015-08-24,0.6095,63.031464
2015-08-25,0.6097,66.78473000000001
2015-08-26,0.6096,62.34105699999999
2015-08-27,0.6093999999999999,74.38499499999999
2015-08-28,0.6093999999999999,83.94929
2015-08-30,0.6093999999999999,64.25279
2015-08-31,0.6097,60.27711
2015-09-01,0.3793,60.839603000000004
2015-09-02,0.5948,55.487945999999994
2015-09-03,0.6065999999999999,54.641259999999996
2015-09-04,0.6075,53.369926
2015-09-05,0.6092,60.20368199999999
2015-09-06,0.609,68.61641
2015-09-07,0.6091,54.326859999999996
2015-09-08,0.6096,54.266586
2015-09-09,0.6082,51.449856
2015-09-10,0.6096,55.291527
