,soil moisture,sm
2015-04-02,0.2645,60.735347999999995
2015-04-03,0.2825,63.72438399999999
2015-04-05,0.1365,59.527916000000005
2015-04-07,0.1147,65.60901
2015-04-10,0.07395,65.72771999999999
2015-04-11,0.05875,70.29268
2015-04-12,0.1378,65.89067
2015-04-13,0.2176,61.423267
2015-04-14,0.2116,56.892914000000005
2015-04-15,0.2093,66.64537
2015-04-16,0.1974,58.264465
2015-04-17,0.1986,70.57354000000001
2015-04-20,0.179,63.772521999999995
2015-04-21,0.1722,58.997555000000006
2015-04-22,0.1661,55.3706
2015-04-23,0.16010000000000002,63.418507
2015-04-24,0.154,56.164673
2015-04-25,0.1489,48.271359999999994
2015-04-26,0.1452,61.571856999999994
2015-04-27,0.1412,57.044540000000005
2015-04-28,0.13699999999999998,51.553444
2015-04-29,0.1334,48.481629999999996
2015-05-01,0.2367,58.299206000000005
2015-05-02,0.2632,83.097466
2015-05-03,0.2804,58.148113
2015-05-04,0.2622,50.69983
2015-05-05,0.13449999999999998,61.77094
2015-05-06,0.1732,75.702896
2015-05-07,0.1071,67.26680999999999
2015-05-08,0.16,73.29619
2015-05-09,0.06847,64.12234000000001
2015-05-10,0.07037,58.820834999999995
2015-05-11,0.05125,61.016422
2015-05-12,0.1482,60.19472
2015-05-13,0.1353,72.24207
2015-05-14,0.1918,75.20245
2015-05-15,0.2021,57.125263000000004
2015-05-16,0.1977,58.049637
2015-05-17,0.1977,48.101867999999996
2015-05-18,0.266,80.58451
2015-05-19,0.2529,68.80986
2015-05-20,0.2433,76.24406
2015-05-21,0.2376,66.84827
2015-05-22,0.2306,55.702938
2015-05-23,0.2248,66.47203
2015-05-24,0.2222,60.541462
2015-05-25,0.2131,65.59902
2015-05-26,0.2009,52.389153
2015-05-27,0.1998,53.255917000000004
2015-05-28,0.1867,58.212990000000005
2015-05-29,0.1795,57.332882
2015-05-30,0.1724,55.52862
2015-05-31,0.1979,90.856255
2015-06-01,0.23260000000000006,58.65427
2015-06-02,0.2618,64.63495
2015-06-03,0.2758,75.8463
2015-06-04,0.2631,80.96994000000001
2015-06-05,0.1337,69.13136
2015-06-06,0.16920000000000002,60.326730000000005
2015-06-07,0.0973,63.530269999999994
2015-06-08,0.1704,76.21007
2015-06-09,0.06922000000000003,63.777
2015-06-10,0.0647,61.527719999999995
2015-06-11,0.057470000000000014,68.622765
2015-06-14,0.1237,76.67280600000001
2015-06-15,0.1394,75.26759
2015-06-16,0.1382,49.843063
2015-06-19,0.1284,57.961906000000006
2015-06-20,0.1272,51.73298
2015-06-21,0.1227,59.870937
2015-06-24,0.1332,85.84702
2015-06-25,0.16390000000000002,70.75295
2015-06-26,0.1652,84.122345
2015-06-29,0.153,68.63739
2015-06-30,0.1459,59.173042
2015-07-01,0.2273,65.22425
2015-07-02,0.2608,74.92076999999999
2015-07-03,0.277,75.737526
2015-07-04,0.2572,72.05388
2015-07-05,0.1344,70.31915
2015-07-06,0.1661,60.778675
2015-07-07,0.0999,80.22106
