,soil moisture,sm
2015-06-01,0.1822,46.216496
2015-06-02,0.174,42.029713
2015-06-03,0.17120000000000002,32.31669
2015-06-04,0.1686,32.152091999999996
2015-06-05,0.5041,29.420272999999998
2015-06-06,0.4452,33.598953
2015-06-07,0.3945,28.499203
2015-06-08,0.3847,30.048485
2015-06-09,0.3607,32.64264
2015-06-18,0.4152,26.103185999999997
2015-06-25,0.4016,45.648903000000004
2015-06-26,0.4157,72.47549000000001
2015-06-30,0.4098,46.282135
2015-07-01,0.1739,49.4892
2015-07-02,0.16879999999999998,51.049324
2015-07-03,0.1702,74.33098000000001
2015-07-04,0.1685,57.275276
2015-07-05,0.5141,53.271384999999995
2015-07-06,0.4331,52.271526
2015-07-07,0.4037,65.95917
2015-07-08,0.3839,62.607353
2015-07-09,0.3621,70.99896
2015-07-10,0.4017,65.692154
2015-07-11,0.3895,66.05783000000001
2015-07-12,0.224,62.375336
2015-07-13,0.3896,66.53624
2015-07-14,0.3864,66.94012
2015-07-15,0.3822,68.0632
2015-07-16,0.3828,68.14601
2015-07-17,0.3894,61.929676
2015-07-18,0.381,63.171319999999994
2015-07-19,0.3743,69.64254
2015-07-20,0.3832,76.48076999999999
2015-07-21,0.3884,89.47134399999999
2015-07-22,0.3855,71.533936
2015-07-23,0.3846,69.25027
2015-07-24,0.3801,72.617065
2015-07-25,0.3788,70.19884
2015-07-26,0.3861,72.84705
2015-07-27,0.3864,74.129326
2015-07-28,0.3923,96.08954
2015-07-29,0.3875,72.2984
2015-07-30,0.3974,97.1261
2015-07-31,0.4024,99.66431999999999
2015-08-01,0.1752,96.2218
2015-08-02,0.16949999999999998,92.33235
2015-08-03,0.16949999999999998,98.82414
2015-08-04,0.16879999999999998,90.62115
2015-08-05,0.5156000000000001,78.02034
2015-08-06,0.4384,89.10779000000001
2015-08-07,0.3997,84.90665
2015-08-08,0.3789,76.067474
2015-08-09,0.3617,76.91362
2015-08-10,0.3946,70.52014
2015-08-11,0.3865,75.180084
2015-08-12,0.3157,96.21109
2015-08-13,0.3825,73.65955
2015-08-14,0.3776,75.04025
2015-08-15,0.3771,71.56825
2015-08-16,0.3720000000000001,78.62704000000001
2015-08-17,0.3779,76.36783
2015-08-18,0.3725,76.24985
2015-08-19,0.3706,78.17319
2015-08-20,0.3669,79.2536
2015-08-21,0.3644,80.4159
2015-08-22,0.3514,78.59107
2015-08-23,0.359,80.92954
2015-08-24,0.354,78.63003499999999
2015-08-25,0.3491,79.29422
2015-08-26,0.3423,77.91141999999999
2015-08-27,0.3444,75.99675
2015-08-28,0.34619999999999995,89.78729
2015-08-29,0.3512,99.22879
2015-08-30,0.3536,80.94891
2015-08-31,0.3532,77.75072
2015-09-01,0.1732,86.2468
2015-09-02,0.1702,70.823425
2015-09-03,0.1693,70.78583
2015-09-04,0.1698,72.076355
2015-09-05,0.52,73.634964
2015-09-06,0.4319,96.83493
2015-09-07,0.3993,73.25277
2015-09-08,0.3833,75.63565
2015-09-09,0.355,75.69318
2015-09-10,0.3938,78.697975
2015-09-11,0.3879,72.49359
2015-09-12,0.2414,74.66127
2015-09-13,0.365,70.76869
2015-09-14,0.3436,74.15581999999999
2015-09-15,0.3402000000000001,75.04025
2015-09-16,0.3428,74.60376
2015-09-17,0.33990000000000004,75.85515
2015-09-18,0.3454,83.3855
2015-09-20,0.3674,96.262985
2015-09-21,0.3637,83.8495
2015-09-22,0.3643,95.86333
2015-09-24,0.3752,92.46401999999999
2015-09-25,0.3786,75.80455
2015-09-26,0.3741,98.89688000000001
2015-09-27,0.386,99.95901500000001
2015-09-28,0.3832,85.18829000000001
2015-09-29,0.3837,83.77095
2015-09-30,0.3839,98.528114
2015-10-01,0.1748,81.36359
2015-10-02,0.1672,75.94228000000001
2015-10-03,0.16949999999999998,73.10001
2015-10-08,0.3935,64.32929
2015-10-12,0.17550000000000002,72.97106
2015-10-13,0.3864,73.31875600000001
2015-10-14,0.3887,70.090324
2015-10-15,0.3796,71.907425
2015-10-16,0.3848,69.035934
2015-10-17,0.3803,74.3986
2015-10-18,0.3742,80.17446
2015-10-19,0.3752,72.11861
2015-10-20,0.3787,70.19783000000001
2015-10-25,0.3805,68.00079000000001
2015-11-01,0.17850000000000002,67.11771
2015-11-02,0.168,80.06629000000001
2015-11-03,0.171,79.179016
2016-05-15,0.4673,34.2872
2016-05-17,0.4551,40.083892999999996
2016-05-19,0.4534,37.736202
2016-05-20,0.4464,39.75332
2016-05-21,0.4335,39.3079
2016-05-24,0.4231,44.734562
2016-05-25,0.4217,41.8792
2016-05-26,0.4202,36.747726
2016-05-27,0.4216,46.694305
2016-05-28,0.4098,44.420933000000005
2016-05-29,0.407,46.25554
2016-05-30,0.3977000000000001,54.0239
2016-05-31,0.3935,59.110825
