date_time,soil moisture,sm
2015-04-01,0.303,0.2795188
2015-04-02,0.291,0.24256550000000002
2015-04-03,0.282,0.23326945
2015-04-04,0.275,0.22464979
2015-04-08,0.257,0.21619627
2015-04-09,0.251,0.21713232
2015-04-10,0.248,0.20949854
2015-04-12,0.259,0.2400478
2015-04-13,0.302,0.27044404
2015-04-15,0.282,0.24995314
2015-04-16,0.283,0.23212297
2015-04-17,0.274,0.21149693
2015-04-18,0.265,0.2109811
2015-04-19,0.259,0.20919858
2015-04-20,0.251,0.19710238
2015-04-21,0.246,0.19974637
2015-04-24,0.235,0.2039215
2015-04-25,0.232,0.18026129999999999
2015-04-26,0.248,0.22464186
2015-04-27,0.242,0.17988038
2015-04-28,0.238,0.17952104
2015-04-29,0.235,0.21163234
2015-04-30,0.239,0.2229397
2015-05-01,0.274,0.22837226
2015-05-02,0.264,0.23119569
2015-05-03,0.255,0.20493306
2015-05-04,0.304,0.2506433
2015-05-05,0.278,0.23542473
2015-05-06,0.286,0.23429959
2015-05-07,0.292,0.23120365
2015-05-08,0.287,0.22482670000000002
2015-05-09,0.275,0.20814463
2015-05-10,0.284,0.23316415
2015-05-11,0.278,0.21045454
2015-05-12,0.267,0.19978234
2015-05-13,0.292,0.23180209
2015-05-14,0.291,0.22912614
2015-05-15,0.279,0.19579153
2015-05-16,0.269,0.18471435
2015-05-17,0.273,0.21171175
2015-05-18,0.268,0.21213123
2015-05-19,0.308,0.26142678
2015-05-20,0.291,0.21869670000000002
2015-05-21,0.282,0.20763008
2015-05-22,0.273,0.20174292
2015-05-23,0.27,0.22179025
2015-05-24,0.263,0.17133442
2015-05-25,0.254,0.20302878
2015-05-26,0.248,0.1941372
2015-05-27,0.244,0.17704721
2015-05-28,0.241,0.17792238
2015-05-29,0.242,0.20702757
2015-05-30,0.297,0.23802188
2015-05-31,0.311,0.22888440000000002
2015-06-01,0.311,0.24665153
2015-06-02,0.283,0.20854884
2015-06-03,0.309,0.23135671
2015-06-04,0.286,0.20820709
2015-06-05,0.271,0.18955345
2015-06-06,0.258,0.19567220000000002
2015-06-07,0.249,0.17924726
2015-06-08,0.242,0.16819276
2015-06-09,0.237,0.17636476
2015-06-10,0.229,0.15963933
2015-06-11,0.217,0.15841
2015-06-12,0.202,0.18415689999999998
2015-06-13,0.176,0.17873092
2015-06-14,0.249,0.24772684
2015-06-15,0.237,0.20618238
2015-06-16,0.23,0.186673
2015-06-17,0.222,0.15210852
2015-06-18,0.274,0.2229448
2015-06-19,0.258,0.21853565
2015-06-20,0.247,0.20398796
2015-06-21,0.24,0.20498358
2015-06-22,0.25,0.1947222
2015-06-23,0.273,0.19027194
2015-06-24,0.251,0.18964571
2015-06-25,0.242,0.19781764
2015-06-26,0.233,0.2072574
2015-06-27,0.228,0.18438894
