,soil moisture,sm
2015-04-13,0.6074,0.21956968
2015-04-16,0.6076,0.19745019
2015-04-20,0.6084,0.1949717
2015-04-21,0.6086,0.19861086
2015-04-22,0.6086,0.21300405
2015-04-23,0.6087,0.21164316
2015-04-24,0.6087,0.208826
2015-04-26,0.6088,0.21300173
2015-04-27,0.6088,0.2521796
2015-04-28,0.6088,0.21222104
2015-04-29,0.6088,0.21017812
2015-05-01,0.5334,0.23621885
2015-05-02,0.5863,0.24665666
2015-05-03,0.6068,0.23154648
2015-05-04,0.6074,0.21972685
2015-05-05,0.6092,0.23470071
2015-05-06,0.609,0.24524084
2015-05-07,0.6088,0.280923
2015-05-08,0.6096,0.263204
2015-05-09,0.6097,0.25180292
2015-05-10,0.6095,0.24668539
2015-05-11,0.6096,0.24702781
2015-05-12,0.6095,0.26100203
2015-05-13,0.6093,0.26061112
2015-05-14,0.6093,0.26003733
2015-05-15,0.6093,0.25074685
2015-05-16,0.6093999999999999,0.24398814
2015-05-17,0.6092,0.22413611
2015-05-18,0.6093,0.24681433
2015-05-19,0.6093999999999999,0.24193786
2015-05-20,0.6093,0.24205482
2015-05-21,0.6093,0.26532948
2015-05-22,0.6093,0.2617965
2015-05-23,0.6093999999999999,0.27486697
2015-05-24,0.6093,0.25516182
2015-05-25,0.6093999999999999,0.25865900000000003
2015-05-26,0.6093999999999999,0.27575263
2015-05-27,0.6093999999999999,0.28805277
2015-05-28,0.6093999999999999,0.26887646
2015-05-29,0.6093999999999999,0.25578135
2015-05-30,0.6093,0.25948346
2015-05-31,0.6093999999999999,0.26782957
2015-06-01,0.1526,0.2625139
2015-06-02,0.5882000000000001,0.26394728
2015-06-03,0.6065999999999999,0.2539851
2015-06-04,0.6074,0.26078585
2015-06-05,0.6092,0.24179098
2015-06-06,0.6091,0.25299093
2015-06-07,0.609,0.27780768
2015-06-08,0.6096,0.25417334
2015-06-09,0.6096,0.24666038
2015-06-10,0.6093,0.22804168
2015-06-11,0.6096,0.2487415
2015-06-12,0.6096,0.23778574
2015-06-13,0.6091,0.23829839
2015-06-14,0.6091,0.22173953
2015-06-15,0.6091,0.22767118
2015-06-16,0.609,0.23923787
2015-06-17,0.6091,0.22542483
2015-06-18,0.609,0.22262889
2015-06-19,0.609,0.24739282
2015-06-20,0.6088,0.24826139
2015-06-21,0.609,0.23912157
2015-06-22,0.6089,0.25082788
2015-06-23,0.6089,0.25232717
2015-06-24,0.6089,0.23215191
2015-06-25,0.6091,0.30207140000000005
2015-06-26,0.6092,0.26691204
2015-06-27,0.6092,0.28755826
2015-06-28,0.6091,0.2745878
2015-06-29,0.6091,0.26413777
2015-06-30,0.6091,0.2400942
2015-07-01,0.1779,0.25887594
2015-07-02,0.5902000000000001,0.26453426
2015-07-03,0.6065999999999999,0.2671799
2015-07-04,0.6074,0.25683826
