datetime_utc,soil moisture,sm
2015-05-01,0.3662,0.24924684
2015-06-01,0.3635,0.2744156
2015-07-01,0.3609000000000001,0.24162851
2015-08-01,0.35960000000000003,0.24500309
2015-09-01,0.3613,0.26048777
2015-10-01,0.3894,0.23921816
2015-11-01,0.3968,0.25786087
2015-12-01,0.3831,0.27948603
2015-04-02,0.3678,0.28092793
2015-05-02,0.3654,0.2538245
2015-06-02,0.3633,0.22825801
2015-07-02,0.3616,0.24461828
2015-08-02,0.3661,0.2288192
2015-09-02,0.3647,0.26697284
2015-10-02,0.3633,0.25418258
2015-11-02,0.3619,0.25550207
2015-05-03,0.3667,0.24041149999999997
2015-06-03,0.3647,0.28089840000000005
2015-07-03,0.3645000000000001,0.24431889999999998
2015-08-03,0.3627,0.24803665
2015-09-03,0.35960000000000003,0.25799507
2015-10-03,0.35729999999999995,0.2345005
2015-11-03,0.3554,0.2658594
2015-04-04,0.3722,0.26709262
2015-05-04,0.3681,0.25166246
2015-06-04,0.3649,0.2273551
2015-07-04,0.3615,0.23813018
2015-08-04,0.3587,0.25538492
2015-09-04,0.35450000000000004,0.25672856
2015-10-04,0.3514,0.2555902
2015-11-04,0.3488,0.26520872
2015-04-14,0.3734,0.27014637
2015-04-16,0.3879,0.28647232
2015-04-17,0.3757,0.26685432
2015-04-18,0.3689,0.27023283
2015-04-19,0.3637,0.26024523
2015-04-21,0.3541,0.25900504
2015-04-22,0.34990000000000004,0.25760117
2015-04-23,0.3467,0.25158978
2015-04-24,0.3439,0.25155768
2015-04-25,0.3416,0.25535718
2015-04-26,0.3398,0.2718554
2015-04-27,0.3428,0.26952529999999997
2015-04-28,0.3427,0.24485292
2015-04-30,0.3391,0.2616072
2015-05-05,0.34740000000000004,0.26138097
2015-06-05,0.3644,0.23514788
2015-07-05,0.3538,0.25485644
2015-08-05,0.35200000000000004,0.24727723
2015-09-05,0.3469,0.24748036
2015-10-05,0.3431,0.23749201
2015-05-13,0.3775,0.26426750000000004
2015-05-14,0.3667,0.2758684
2015-05-15,0.3577,0.23953651
2015-05-16,0.34979999999999994,0.24065045
2015-05-17,0.3458,0.26566282
2015-05-18,0.3436,0.26355442
2015-05-19,0.34729999999999994,0.26569492
2015-05-20,0.3795,0.26954240000000007
2015-05-21,0.3655,0.23360429999999996
2015-05-22,0.3582,0.23876104
2015-05-23,0.3528,0.24032988
2015-05-24,0.349,0.23105547
2015-05-25,0.345,0.22987953
2015-05-26,0.3429,0.23945297
2015-05-27,0.3395,0.23478994
2015-05-28,0.33659999999999995,0.22273111
2015-05-29,0.334,0.25487164
2015-05-30,0.3305,0.22232959
2015-05-31,0.3333,0.23772028
2015-05-06,0.3421,0.281141
2015-06-06,0.3365,0.24315593
2015-07-06,0.3322,0.25757527
2015-08-06,0.3289,0.2518786
2015-09-06,0.3254,0.25343853
2015-10-06,0.32170000000000004,0.2452584
2015-11-06,0.3177,0.2761499
2015-06-13,0.3103,0.21371844
2015-06-14,0.311,0.27961513
2015-06-15,0.31420000000000003,0.2282689
2015-06-16,0.3106,0.23792420000000003
2015-06-18,0.3215,0.26233432
2015-06-19,0.3544,0.2739263
2015-06-20,0.3874,0.24698465
2015-06-23,0.3679,0.2565433
2015-06-24,0.3692,0.26180398
2015-06-25,0.35979999999999995,0.23966987
2015-06-28,0.3715,0.2670804
2015-06-29,0.3579,0.24634089
2015-06-30,0.3641,0.26665965
2015-05-07,0.3268,0.27063940000000003
2015-06-07,0.31980000000000003,0.24547860000000002
2015-07-07,0.3255,0.25631735
2015-08-07,0.3209,0.23984239
2015-09-07,0.3544,0.25508335
2015-10-07,0.3603,0.26104084
2015-11-07,0.3519,0.27559456
2015-07-13,0.3371,0.23145248
2015-07-14,0.3551,0.25836706
2015-07-15,0.341,0.23566566
2015-07-16,0.3002,0.24819738
2015-07-17,0.29460000000000003,0.2383188
2015-07-18,0.2897,0.25082782
2015-07-19,0.2851,0.23708963
2015-07-20,0.2965,0.23308162
2015-07-21,0.322,0.25081748
2015-07-22,0.3098,0.23595892
2015-07-23,0.3005,0.25763965
2015-07-24,0.2933,0.2459741
2015-07-25,0.2879,0.23271829
2015-07-26,0.35090000000000005,0.2714145
2015-07-27,0.33520000000000005,0.23993216
2015-07-28,0.3251,0.25407705
2015-07-29,0.35340000000000005,0.25920933
2015-07-30,0.3404,0.27126503
2015-07-31,0.326,0.2507908
2015-04-08,0.2924,0.26191267
2015-05-08,0.3948,0.26080722
2015-06-08,0.3421,0.23562707
2015-07-08,0.32520000000000004,0.23930883
2015-08-08,0.3144,0.25696617
2015-09-08,0.308,0.23383825
2015-10-08,0.2999,0.22880174
2015-11-08,0.2919,0.30967063
2015-08-13,0.2925,0.24901487
2015-08-14,0.2858,0.24119195
2015-08-15,0.2777,0.25464970000000003
2015-08-16,0.2675,0.251767
2015-08-17,0.2576,0.24307434
2015-08-18,0.24670000000000006,0.22207324
2015-08-19,0.2366,0.23336555
2015-08-20,0.2266,0.23265429999999995
2015-08-21,0.2164,0.21537612
2015-08-22,0.2081,0.22331259
2015-08-23,0.1985,0.18547477
2015-08-24,0.1887,0.221235
2015-08-25,0.185,0.2464732
2015-08-26,0.1854,0.25029153
2015-08-27,0.1853,0.23863721
2015-08-28,0.1851,0.26197052
2015-08-29,0.1822,0.2541013
2015-08-30,0.1796,0.21759537
2015-08-31,0.1761,0.23660976
2015-04-09,0.1866,0.26409093
2015-05-09,0.2023,0.24732932
2015-06-09,0.2814,0.19430012
2015-07-09,0.2842,0.26310107
2015-08-09,0.269,0.24660696
2015-09-09,0.2548,0.23399742
