datetime_utc,soil moisture,sm
2015-04-01,0.0027199999999999998,0.29689446
2015-05-01,-0.01047,0.26728213
2015-06-01,-0.00627,0.251104
2015-07-01,-0.004070000000000001,0.21014547
2015-08-01,0.1008,0.26393494
2015-09-01,0.07943,0.28101176
2015-10-01,0.05914,0.25819594
2015-11-01,0.02259,0.25578466
2015-05-02,0.4079,0.24970184
2015-06-02,0.4087,0.23544803
2015-07-02,0.4092,0.19748388
2015-08-02,0.4093,0.24936414
2015-09-02,0.398,0.31482655
2015-10-02,0.4039,0.24472156
2015-05-03,0.3901,0.23670353
2015-06-03,0.3809,0.27875320000000003
2015-07-03,0.3882,0.19526523
2015-08-03,0.3816,0.24585113
2015-09-03,0.391,0.2681648
2015-10-03,0.3781000000000001,0.25031218
2015-05-04,0.3283,0.23877423
2015-06-04,0.3236,0.23203924
2015-07-04,0.321,0.20591943
2015-08-04,0.3199,0.26829663
2015-09-04,0.31620000000000004,0.26601237
2015-10-04,0.1698,0.2432772
2015-04-16,0.2722,0.28619894
2015-04-21,0.2709,0.22203536
2015-04-24,0.07011,0.23335029
2015-04-25,0.06894,0.24133179999999999
2015-04-26,0.06952,0.2775126
2015-04-27,0.06906,0.22441524
2015-05-05,0.1039,0.2664275
2015-06-05,0.2087,0.2106145
2015-07-05,0.2048,0.20415728
2015-08-05,0.2011,0.2647555
2015-09-05,0.1782,0.26271033
2015-10-05,0.1686,0.22898892
2015-05-13,0.1965,0.27882186
2015-05-14,0.199,0.2638815
2015-05-15,0.1873,0.22520797
2015-05-17,0.161,0.25552768
2015-05-18,0.1534,0.23323493
2015-05-19,0.1432,0.22628075
2015-05-20,0.1369,0.23300841
2015-05-21,0.1376,0.2441925
2015-05-22,0.1106,0.20773019
2015-05-23,0.2286,0.23656157
2015-05-24,0.1384,0.21368173
2015-05-25,0.1234,0.19957927
2015-05-26,0.1152,0.19787414
2015-05-27,0.12,0.23202348
2015-05-28,0.1197,0.20295978
2015-05-29,0.2113,0.25867522
2015-05-30,0.1957,0.22705352
2015-05-31,0.1983,0.25296474
2015-05-06,0.1649,0.28520158
2015-06-06,0.1523,0.24470061
2015-07-06,0.1444,0.23866737
2015-08-06,0.136,0.2598182
2015-09-06,0.1286,0.30299273
2015-10-06,0.123,0.25359786
2015-06-13,0.1091,0.1549472
2015-06-14,0.1534,0.24185693
2015-06-15,0.1359,0.18972495
2015-06-18,0.2347,0.24345148
2015-06-19,0.238,0.2598592
2015-06-20,0.202,0.21127187
2015-06-23,0.2039,0.2245895
2015-06-24,0.1838,0.19262536
2015-06-25,0.1647,0.1871517
2015-06-28,0.1307,0.14882328
2015-06-29,0.1275,0.19376722
2015-06-30,0.1263,0.17138055
2015-05-07,0.1087,0.2591059
2015-06-07,0.1063,0.24804507
2015-07-07,0.2171,0.2557085
2015-08-07,0.2531,0.25786665
2015-09-07,0.2544,0.2676388
2015-10-07,0.2523,0.23669407
2015-07-13,0.2042,0.20061159
2015-07-14,0.1929,0.20550203
2015-07-15,0.1778,0.2172129
2015-07-16,0.1908,0.22500941
2015-07-17,0.17190000000000005,0.21301149
2015-07-18,0.1543,0.22244939
2015-07-19,0.1418,0.2304792
2015-07-20,0.1336,0.19548059
2015-07-21,0.12869999999999998,0.2355304
2015-07-22,0.1864,0.26073638
2015-07-23,0.1657,0.24816106
2015-07-24,0.1436,0.23230022
2015-07-25,0.13,0.19769172
2015-07-26,0.2518,0.2840341
2015-07-27,0.2518,0.26637506
2015-07-28,0.2356,0.25997233
2015-07-29,0.259,0.26815242
2015-07-30,0.2622,0.27701005
2015-07-31,0.258,0.27095214
2015-05-08,0.2139,0.27502123
2015-06-08,0.2259,0.2106239
2015-07-08,0.2027,0.24021750000000003
2015-08-08,0.1743,0.22489925
2015-09-08,0.1557,0.25449857
2015-10-08,0.1395,0.22903247
2015-08-13,0.1253,0.21397948
2015-08-14,0.1199,0.2522192
2015-08-15,0.1132,0.23402476
2015-08-16,0.1098,0.243405
2015-08-17,0.1055,0.20316413
2015-08-18,0.1016,0.20736028
2015-08-19,0.0975,0.20814918
2015-08-20,0.0943,0.21538332
2015-08-21,0.0917,0.21166754
2015-08-22,0.0885,0.15422328
2015-08-23,0.0863,0.2011953
2015-08-24,0.0857,0.21838857
2015-08-25,0.12710000000000002,0.26778520000000006
2015-08-26,0.2219,0.28553742
2015-08-27,0.1947,0.26092064
2015-08-28,0.2502,0.29196227
2015-08-29,0.2349,0.2558118
2015-08-30,0.2229,0.24925737
2015-08-31,0.2103,0.23350045
2015-05-09,0.2312,0.25192168
2015-06-09,0.2772,0.1593731
2015-07-09,0.2328,0.2508545
2015-08-09,0.2078,0.25692489999999996
2015-09-09,0.1826,0.2308145
2015-10-09,0.172,0.22787534
2015-12-09,0.16,0.32679775
2015-09-13,0.1616,0.2504496
2015-09-14,0.1684,0.23649515
2015-09-15,0.2192,0.26479775
2015-09-16,0.259,0.26273504
2015-09-17,0.2756,0.28654397
2015-09-18,0.2422,0.28942009999999996
2015-09-19,0.2376,0.2750736
2015-09-20,0.2181,0.25260058
2015-09-21,0.2071,0.26427788
2015-09-22,0.2011,0.25920898
2015-09-23,0.2624,0.29583037
2015-09-24,0.2477,0.26619264
2015-09-25,0.2589,0.2761034
2015-09-26,0.2604,0.27120720000000004
2015-09-27,0.2416,0.25500900000000004
2015-09-28,0.2283,0.25099662
2015-09-29,0.2176,0.23738718
2015-09-30,0.2104,0.25015923
2015-05-10,0.1876,0.27343616
2015-06-10,0.1816,0.17303182
2015-07-10,0.172,0.22830838
2015-08-10,0.16510000000000002,0.20746103
2015-09-10,0.163,0.23427457
2015-10-10,0.16260000000000002,0.23983388
2015-11-10,0.1623,0.31478247
2015-10-13,0.162,0.23592506
2015-10-14,0.1605,0.23461151
2015-10-16,0.15710000000000002,0.23062862
2015-10-17,0.1578,0.21844734
2015-10-19,0.1603,0.20271026
2015-10-20,0.1611,0.23872471
2015-05-11,0.3207,0.25142696
2015-06-11,0.3541,0.23713087
2015-07-11,0.34119999999999995,0.23794226
2015-08-11,0.3863,0.24580292
2015-09-11,0.3675,0.24837382
2015-10-11,0.3864,0.24034740000000002
