,soil moisture,sm
2015-04-02,0.2645,0.25602266
2015-04-03,0.2825,0.2551202
2015-04-05,0.1365,0.24900113
2015-04-07,0.1147,0.2632372
2015-04-10,0.07395,0.25631502
2015-04-11,0.05875,0.26732403
2015-04-12,0.1378,0.26268795
2015-04-13,0.2176,0.24573132
2015-04-14,0.2116,0.24523923
2015-04-15,0.2093,0.25377625
2015-04-16,0.1974,0.23634858
2015-04-17,0.1986,0.27042347
2015-04-20,0.179,0.23776287
2015-04-21,0.1722,0.24824396
2015-04-22,0.1661,0.24391218
2015-04-23,0.16010000000000002,0.25465664
2015-04-24,0.154,0.24096976
2015-04-25,0.1489,0.22467287
2015-04-26,0.1452,0.25365037
2015-04-27,0.1412,0.24104786
2015-04-28,0.13699999999999998,0.22461404
2015-04-29,0.1334,0.234725
2015-05-01,0.2367,0.23695153
2015-05-02,0.2632,0.27597076
2015-05-03,0.2804,0.23304899999999998
2015-05-04,0.2622,0.22680183
2015-05-05,0.13449999999999998,0.2539362
2015-05-06,0.1732,0.26508984
2015-05-07,0.1071,0.2557742
2015-05-08,0.16,0.26439333
2015-05-09,0.06847,0.24533708
2015-05-10,0.07037,0.24071907
2015-05-11,0.05125,0.24319142
2015-05-12,0.1482,0.23494884
2015-05-13,0.1353,0.2604744
2015-05-14,0.1918,0.2680714
2015-05-15,0.2021,0.24116309
2015-05-16,0.1977,0.23451567
2015-05-17,0.1977,0.23429108
2015-05-18,0.266,0.2730588
2015-05-19,0.2529,0.24453399
2015-05-20,0.2433,0.269024
2015-05-21,0.2376,0.24365309999999998
2015-05-22,0.2306,0.23288131
2015-05-23,0.2248,0.23894458
2015-05-24,0.2222,0.22486936
2015-05-25,0.2131,0.23640794
2015-05-26,0.2009,0.23862822
2015-05-27,0.1998,0.22363172
2015-05-28,0.1867,0.23816990000000002
2015-05-29,0.1795,0.21749635
2015-05-30,0.1724,0.22685777
2015-05-31,0.1979,0.27860177
2015-06-01,0.23260000000000006,0.24048127
2015-06-02,0.2618,0.24611393
2015-06-03,0.2758,0.25360364
2015-06-04,0.2631,0.2686128
2015-06-05,0.1337,0.24834335
2015-06-06,0.16920000000000002,0.23406659
2015-06-07,0.0973,0.2384026
2015-06-08,0.1704,0.25636256
2015-06-09,0.06922000000000003,0.23884897
2015-06-10,0.0647,0.23170474
2015-06-11,0.057470000000000014,0.23621799999999998
2015-06-12,0.1555,0.21747501
2015-06-14,0.1237,0.23997839
2015-06-15,0.1394,0.2600349
2015-06-16,0.1382,0.2181415
2015-06-17,0.1333,0.22796199
2015-06-18,0.1301,0.23696999
2015-06-19,0.1284,0.2378114
2015-06-20,0.1272,0.23246098
2015-06-21,0.1227,0.22535053
2015-06-22,0.1197,0.23696999
2015-06-23,0.12619999999999998,0.27288398
2015-06-24,0.1332,0.25262585
2015-06-25,0.16390000000000002,0.25401944
2015-06-26,0.1652,0.25155783
2015-06-27,0.16210000000000002,0.25568745
2015-06-28,0.1549,0.24734050000000002
2015-06-29,0.153,0.24286431
2015-06-30,0.1459,0.22298948
2015-07-01,0.2273,0.24939805
2015-07-02,0.2608,0.25971773
2015-07-03,0.277,0.25061238
2015-07-04,0.2572,0.25009584
2015-07-05,0.1344,0.23841703
2015-07-06,0.1661,0.24269612
2015-07-07,0.0999,0.25471279999999996
2015-07-08,0.1659,0.2507044
2015-07-09,0.06629,0.2671757
2015-07-10,0.0614,0.29038787
2015-07-11,0.05961,0.26878867
2015-07-12,0.1595,0.24447025
2015-07-13,0.15380000000000002,0.23142100000000002
2015-07-14,0.146,0.22752912
2015-07-15,0.1406,0.24198356
2015-07-16,0.13720000000000002,0.25130883
2015-07-17,0.1484,0.23769863
2015-07-18,0.17370000000000002,0.27239203
2015-07-19,0.1744,0.24254401
2015-07-20,0.1685,0.24677631
2015-07-21,0.16010000000000002,0.24632546
2015-07-22,0.1557,0.25771445
2015-07-23,0.1656,0.23885107
2015-07-24,0.172,0.24455868
2015-07-25,0.1662,0.24951802
2015-07-26,0.1978,0.29988736
