,soil moisture,sm
2015-06-01,0.1822,0.14204982
2015-06-02,0.174,0.13070291
2015-06-03,0.17120000000000002,0.10437894
2015-06-04,0.1686,0.10393286
2015-06-05,0.5041,0.09652915599999999
2015-06-06,0.4452,0.10785410000000002
2015-06-07,0.3945,0.09403289999999999
2015-06-08,0.3847,0.09823171
2015-06-09,0.3607,0.105262324
2015-06-18,0.4152,0.08753928
2015-06-25,0.4016,0.14051154
2015-06-26,0.4157,0.21776636
2015-06-30,0.4098,0.14222771
2015-07-01,0.1739,0.15091941
2015-07-02,0.16879999999999998,0.15514761
2015-07-03,0.1702,0.22637548
2015-07-04,0.1685,0.17202102
2015-07-05,0.5141,0.16116979999999997
2015-07-06,0.4331,0.15845999
2015-07-07,0.4037,0.19567308
2015-07-08,0.3839,0.18647186
2015-07-09,0.3621,0.21229444
2015-07-10,0.4017,0.19493370000000002
2015-07-11,0.3895,0.19594629
2015-07-12,0.224,0.18584307
2015-07-13,0.3896,0.19727108
2015-07-14,0.3864,0.19838946
2015-07-15,0.3822,0.2014994
2015-07-16,0.3828,0.20172872
2015-07-17,0.3894,0.18463525
2015-07-18,0.381,0.18800029999999998
2015-07-19,0.3743,0.20726758
2015-07-20,0.3832,0.2366663
2015-07-21,0.3884,0.2759365
2015-07-22,0.3855,0.21427701
2015-07-23,0.3846,0.20581384
2015-07-24,0.3801,0.21840213
2015-07-25,0.3788,0.2093292
2015-07-26,0.3861,0.21947207
2015-07-27,0.3864,0.22543737
2015-07-28,0.3923,0.2917442
2015-07-29,0.3875,0.2171101
2015-07-30,0.3974,0.29534927
2015-07-31,0.4024,0.34551892
2015-08-01,0.1752,0.29220419999999997
2015-08-02,0.16949999999999998,0.28149727
2015-08-03,0.16949999999999998,0.32541770000000003
2015-08-04,0.16879999999999998,0.27817129999999995
2015-08-05,0.5156000000000001,0.24324492
2015-08-06,0.4384,0.27522987
2015-08-07,0.3997,0.26491812
2015-08-08,0.3789,0.23464462
2015-08-09,0.3617,0.2387837
2015-08-10,0.3946,0.21051994
2015-08-11,0.3865,0.23032564
2015-08-12,0.3157,0.29216695
2015-08-13,0.3825,0.22325192
2015-08-14,0.3776,0.22967511
2015-08-15,0.3771,0.2144042
2015-08-16,0.3720000000000001,0.24541196
2015-08-17,0.3779,0.23611385
2015-08-18,0.3725,0.23553672
2015-08-19,0.3706,0.24379085
2015-08-20,0.3669,0.24764998
2015-08-21,0.3644,0.25115144
2015-08-22,0.3514,0.24528350000000002
2015-08-23,0.359,0.2526988
2015-08-24,0.354,0.24542268
2015-08-25,0.3491,0.24777235
2015-08-26,0.3423,0.24285586
2015-08-27,0.3444,0.23429866
2015-08-28,0.34619999999999995,0.2765506
2015-08-29,0.3512,0.33509886
2015-08-30,0.3536,0.25275716
2015-08-31,0.3532,0.24228184
2015-09-01,0.1732,0.2684597
2015-09-02,0.1702,0.2116439
2015-09-03,0.1693,0.21150456
2015-09-04,0.1698,0.21628721
2015-09-05,0.52,0.22313753
2015-09-06,0.4319,0.29433662
2015-09-07,0.3993,0.22135952
2015-09-08,0.3833,0.23253226
2015-09-09,0.355,0.23281367
2015-09-10,0.3938,0.24566536
2015-09-11,0.3879,0.21783346
2015-09-12,0.2414,0.22791204
2015-09-13,0.365,0.21144105
2015-09-14,0.3436,0.22556064
2015-09-15,0.3402000000000001,0.22967511
2015-09-16,0.3428,0.22764449
2015-09-17,0.33990000000000004,0.233606
2015-09-18,0.3454,0.2603654
2015-09-19,0.3741,0.35355
2015-09-20,0.3674,0.29234743
2015-09-21,0.3637,0.26184252
2015-09-22,0.3643,0.29095745
2015-09-23,0.3734,0.35355
2015-09-24,0.3752,0.28175318
2015-09-25,0.3786,0.23335847
2015-09-26,0.3741,0.32715797
2015-09-27,0.386,0.35256943
2015-09-28,0.3832,0.26566243
2015-09-29,0.3837,0.26159248
2015-09-30,0.3839,0.31833524
2015-10-01,0.1748,0.25400639999999997
2015-10-02,0.1672,0.23403223
2015-10-03,0.16949999999999998,0.22064887
2015-10-08,0.3935,0.19115975
2015-10-12,0.17550000000000002,0.22004896
2015-10-13,0.3864,0.22166649
2015-10-14,0.3887,0.20892705
2015-10-15,0.3796,0.21566115
2015-10-16,0.3848,0.20501955
2015-10-17,0.3803,0.22669005
2015-10-18,0.3742,0.25042412
2015-10-19,0.3752,0.21644378
2015-10-20,0.3787,0.20932546
2015-10-25,0.3805,0.2013266
2015-11-01,0.17850000000000002,0.19888122
2015-11-02,0.168,0.25009823
2015-11-03,0.171,0.24738356
2016-05-15,0.4673,0.109719366
2016-05-17,0.4551,0.1254294
2016-05-19,0.4534,0.11906676
2016-05-20,0.4464,0.12453349
2016-05-21,0.4335,0.123326324
2016-05-24,0.4231,0.13803352
2016-05-25,0.4217,0.130295
2016-05-26,0.4202,0.11638782
2016-05-27,0.4216,0.14334476
2016-05-28,0.4098,0.13718353
2016-05-29,0.407,0.14215563
2016-05-30,0.3977000000000001,0.16320923
2016-05-31,0.3935,0.17699568
2016-06-01,0.1836,0.1833065
2016-06-02,0.16149999999999998,0.16510166
2016-06-03,0.16870000000000002,0.18013963
2016-06-04,0.2098,0.15463887
2016-06-05,0.5054,0.13682069
2016-06-06,0.4013000000000001,0.13663423
2016-06-07,0.4067,0.14537807
2016-06-08,0.33640000000000003,0.16592339
2016-06-09,0.3294,0.13783489999999998
2016-06-10,0.3188,0.1406691
2016-06-11,0.1305,0.1361754
2016-06-12,0.1147,0.14971800000000002
2016-06-13,0.3846,0.14684758
2016-06-14,0.3879,0.16087358
2016-06-15,0.3996,0.15315385
2016-06-16,0.3908,0.13211882
2016-06-17,0.3894,0.1690797
2016-06-18,0.3901,0.24458382
2016-06-19,0.3994,0.21281767
2016-06-20,0.4032,0.20704122
2016-06-21,0.4146,0.16726045
2016-06-22,0.4023,0.19841415
2016-06-23,0.3986,0.18606639
2016-06-24,0.3887,0.19961503
2016-06-25,0.3992,0.20255181
2016-06-26,0.3895,0.20825727
2016-06-27,0.3768,0.21678437
2016-06-28,0.3729,0.24497978
2016-06-29,0.3775,0.2270013
2016-06-30,0.3967,0.28771892
2016-07-01,0.1913,0.24540700000000001
2016-07-02,0.1716,0.25720729999999997
2016-07-03,0.1609,0.27914882
2016-07-04,0.17170000000000002,0.24792026
2016-07-05,0.5023,0.24804035
2016-07-06,0.3897,0.2966958
2016-07-07,0.4104,0.28811929999999997
2016-07-08,0.3358,0.28266764
2016-07-09,0.3309,0.25606802
2016-07-10,0.3184,0.24111289
2016-07-11,0.13140000000000002,0.2843369
2016-07-12,0.1125,0.26415816
2016-07-13,0.3829,0.27664079999999996
2016-07-14,0.3839,0.2603197
2016-07-15,0.3854,0.24871808
2016-07-16,0.3853,0.24144489
2016-07-17,0.4117,0.21740749999999998
2016-07-18,0.4031,0.25715804
2016-07-19,0.4017,0.26359838
2016-07-20,0.4009,0.23386253
2016-07-21,0.3987,0.24073984
2016-07-22,0.3824,0.26301482
2016-07-23,0.3766,0.26555887
2016-07-24,0.3734,0.27026126
2016-07-25,0.3774,0.28764709999999993
2016-07-26,0.3748,0.27941350000000004
2016-07-27,0.34130000000000005,0.28093186
2016-07-28,0.3469,0.29416397
2016-07-29,0.3431,0.28498379999999995
2016-07-30,0.34240000000000004,0.2882494
2016-07-31,0.3395,0.27679673
2016-08-01,0.1972,0.28070059999999997
2016-08-02,0.1698,0.27910498
2016-08-03,0.1625,0.322806
2016-08-04,0.17620000000000002,0.28865185
2016-08-05,0.4962,0.26652104
2016-08-06,0.4005,0.2655244
2016-08-07,0.4044,0.26495028
2016-08-08,0.33520000000000005,0.25770926
2016-08-09,0.33030000000000004,0.32668522
2016-08-10,0.3195,0.2738265
2016-08-11,0.1237,0.23301554
2016-08-12,0.1284,0.29704908
2016-08-13,0.3447,0.3377266
2016-08-14,0.3414,0.26846838
2016-08-15,0.3393,0.22642285
2016-08-16,0.3373,0.2449721
2016-08-17,0.3358,0.22704175
2016-08-18,0.3336,0.249319
2016-08-19,0.33140000000000003,0.24740282
2016-08-20,0.33240000000000003,0.28023118
2016-08-21,0.3305,0.25507218
2016-08-22,0.3321,0.25954688
2016-08-23,0.3298,0.25665265
2016-08-24,0.3306,0.23366599
2016-08-25,0.32880000000000004,0.23538162
2016-08-26,0.3284,0.22285047
2016-08-27,0.3269,0.22011921
2016-08-28,0.3309,0.22100660000000003
2016-08-29,0.3294,0.20454308
2016-08-30,0.3284,0.21109816
2016-08-31,0.32770000000000005,0.23620582
2016-09-01,0.1725,0.26533872
2016-09-02,0.1678,0.25809887
2016-09-03,0.17809999999999998,0.23867896
2016-09-04,0.29960000000000003,0.25203538
2016-09-05,0.4927,0.25150442
2016-09-06,0.4005,0.21444528
2016-09-07,0.398,0.295695
2016-09-08,0.34369999999999995,0.32492778
2016-09-09,0.3297,0.25744116
2016-09-10,0.3187,0.26973805
2016-09-11,0.1222,0.2520085
2016-09-12,0.1494,0.3495237
2016-09-13,0.33140000000000003,0.27075273
2016-09-14,0.3306,0.25916013
2016-09-15,0.3306,0.27568996
2016-09-16,0.33130000000000004,0.23621924
2016-09-17,0.3297,0.22030012
2016-09-18,0.32880000000000004,0.24200752
2016-09-19,0.3261,0.24189183
2016-09-20,0.3255,0.25019258
2016-09-21,0.3244,0.24658819
2016-09-22,0.3236,0.24262351
2016-09-23,0.32280000000000003,0.24570744
2016-09-24,0.3231,0.23833913
2016-09-25,0.3232,0.24631244
2016-09-26,0.3244,0.29063278
2016-09-27,0.3236,0.2531203
2016-09-28,0.3231,0.24950218
2016-09-30,0.3206,0.27609938
2016-10-01,0.1776,0.27370745
2016-10-02,0.1598,0.26387164
2016-10-03,0.1918,0.23627941
2016-10-06,0.3983,0.2705058
2016-10-07,0.3952000000000001,0.2680916
2016-10-08,0.3421,0.20773138
2016-10-09,0.3284,0.19974263
2016-10-11,0.1192,0.24081898
2016-10-12,0.1203,0.24232784
2016-10-13,0.313,0.25929070000000004
2016-10-14,0.3129,0.22006804
2016-10-15,0.3128,0.20917317
2017-03-15,0.131,0.23728265
2017-03-16,0.131,0.2589924
2017-03-17,0.1321,0.24390292
2017-03-18,0.1317,0.24888764
2017-03-31,0.13140000000000002,0.24647388
2017-04-10,0.331,0.24832657
2017-04-11,0.2096,0.23306374
2017-04-14,0.1348,0.25472826
2017-04-17,0.1342,0.23444055
2017-04-18,0.1347,0.24191526
2017-04-19,0.1325,0.21302379999999999
2017-04-21,0.1347,0.23980688
2017-04-22,0.1348,0.2765965
2017-04-23,0.1347,0.24464718
2017-04-24,0.1348,0.24986461
