datetime_utc,soil moisture,sm
2015-05-01,0.2174,0.21708727
2015-06-01,0.2135,0.25955355
2015-07-01,0.2115,0.2605836
2015-08-01,0.2122,0.27273992
2015-09-01,0.2128,0.22409718
2015-10-01,0.2122,0.23460893
2015-05-02,0.2056,0.24017337
2015-06-02,0.2052,0.27126548
2015-07-02,0.2047,0.26287758
2015-08-02,0.2054,0.2866993
2015-09-02,0.2057,0.20611165
2015-10-02,0.2061,0.24667436
2015-05-03,0.2119,0.21971168
2015-06-03,0.2123,0.26772785
2015-07-03,0.2112,0.2760376
2015-08-03,0.2104,0.25700092
2015-09-03,0.2104,0.20241679
2015-10-03,0.2111,0.23091745
2015-05-04,0.2115,0.2302027
2015-06-04,0.2122,0.25705007
2015-07-04,0.2128,0.2662036
2015-08-04,0.2246,0.24951603
2015-09-04,0.2298,0.21586770000000002
2015-10-04,0.2377,0.22678614
2015-04-13,0.2525,0.20604877
2015-04-21,0.2525,0.20038496
2015-04-27,0.2515,0.23799703
2015-04-28,0.2525,0.20899610000000002
2015-05-05,0.2547,0.22445077
2015-06-05,0.2607,0.24618623
2015-07-05,0.2779,0.25561976
2015-08-05,0.2576,0.25852759999999997
2015-09-05,0.2479,0.22118415
2015-05-13,0.2352,0.25627816
2015-05-14,0.2421,0.2579522
2015-05-15,0.2535,0.25676748
2015-05-16,0.2514,0.24989612
2015-05-17,0.2299,0.22070628
2015-05-18,0.2323,0.2379601
2015-05-19,0.2339,0.24437054
2015-05-20,0.2452,0.24893437
2015-05-21,0.2579,0.26514763
2015-05-22,0.2368,0.25625646
2015-05-23,0.2455,0.27352878
2015-05-24,0.2555,0.25168914
2015-05-25,0.2472,0.2583488
2015-05-26,0.2552,0.27121922
2015-05-27,0.2913,0.28218904
2015-05-28,0.2691,0.27217445
2015-05-29,0.25120000000000003,0.2596366
2015-05-30,0.2602,0.25563058
2015-05-31,0.2527,0.26383850000000003
2015-05-06,0.2501,0.24290422
2015-06-06,0.2346,0.2473217
2015-07-06,0.2903,0.24095626
2015-08-06,0.27,0.2638459
2015-09-06,0.2488,0.24227546
2015-06-13,0.2204,0.24261835
2015-06-14,0.2273,0.23295259999999998
2015-06-15,0.2309,0.23587579
2015-06-16,0.2232,0.24063623
2015-06-17,0.2151,0.23612306
2015-06-18,0.2035,0.22844473
2015-06-19,0.2092,0.25460088
2015-06-20,0.2013,0.257308
2015-06-21,0.1935,0.23915654
2015-06-22,0.1891,0.25025576
2015-06-23,0.2037,0.2772031
2015-06-24,0.193,0.25793734
2015-06-25,0.24850000000000005,0.27806613
2015-06-26,0.256,0.28286412
2015-06-27,0.2911,0.30740532
2015-06-28,0.26030000000000003,0.26093876
2015-06-29,0.2367,0.2545155
2015-06-30,0.2496,0.24482585
2015-05-07,0.2424,0.28456223
2015-06-07,0.2172,0.28502268
2015-07-07,0.27190000000000003,0.29018492
2015-08-07,0.28300000000000003,0.27295676
2015-09-07,0.26,0.2154195
2015-10-07,0.27940000000000004,0.18977086
2015-07-13,0.2298,0.25548097
2015-07-14,0.2121,0.25601527
2015-07-15,0.2045,0.24414937
2015-07-16,0.2463,0.26760384
2015-07-17,0.2302,0.26465225
2015-07-18,0.2084,0.254708
2015-07-19,0.25420000000000004,0.27809104
2015-07-20,0.2204,0.24633507
2015-07-21,0.2056,0.24759568
2015-07-22,0.197,0.23844899
2015-07-23,0.2564,0.26534572
2015-07-24,0.247,0.24998063
2015-07-25,0.2496,0.26733756
2015-07-26,0.2268,0.24361295
2015-07-27,0.2783,0.3210172
2015-07-28,0.2597,0.28678286
2015-07-29,0.2342,0.25444004
2015-07-30,0.277,0.28044468
2015-07-31,0.2652,0.27742097
2015-05-08,0.2186,0.26522875
2015-06-08,0.2193,0.25906354
2015-07-08,0.2384,0.29834253
2015-08-08,0.226,0.26337119999999997
2015-09-08,0.2136,0.20468473
2015-10-08,0.2003,0.16942379
2015-11-08,0.1995,0.29119290000000003
