date_time,soil moisture,sm
2015-05-12,0.167,0.26
2015-05-13,0.189,0.37
2015-05-14,0.18,0.35
2015-05-15,0.167,0.31
2015-05-16,0.164,0.29
2015-05-17,0.167,0.31
2015-05-18,0.163,0.32
2015-05-19,0.223,0.38
2015-05-20,0.188,0.38
2015-05-21,0.171,0.32
2015-05-22,0.166,0.32
2015-05-23,0.164,0.32999998
2015-05-24,0.162,0.28
2015-05-25,0.161,0.35999998
2015-05-26,0.161,0.3
2015-05-27,0.161,0.32999998
2015-05-28,0.159,0.25
2015-05-29,0.159,0.31
2015-05-30,0.2,0.41
2015-05-31,0.167,0.38
2015-06-01,0.194,0.37
2015-06-02,0.155,0.34
2015-06-03,0.189,0.38
2015-06-04,0.162,0.32
2015-06-05,0.154,0.32
2015-06-06,0.151,0.29
2015-06-07,0.149,0.26
2015-06-08,0.148,0.28
2015-06-09,0.148,0.27
2015-06-10,0.147,0.29
2015-06-11,0.145,0.25
2015-06-12,0.145,0.35
2015-06-13,0.142,0.25
2015-06-14,0.199,0.42999998
2015-06-15,0.163,0.32
2015-06-16,0.156,0.27
2015-06-17,0.152,0.3
2015-06-18,0.19,0.39
2015-06-19,0.172,0.38
2015-06-20,0.167,0.32
2015-06-21,0.159,0.32999998
2015-06-22,0.222,0.35999998
2015-06-23,0.171,0.37
2015-06-24,0.156,0.31
2015-06-25,0.153,0.27
2015-06-26,0.15,0.3
2015-06-27,0.15,0.28
2015-06-28,0.151,0.38
2015-06-29,0.182,0.38
2015-06-30,0.159,0.26
2015-07-01,0.15,0.3
2015-07-02,0.142,0.22999999
2015-07-03,0.129,0.29
2015-07-04,0.124,0.25
2015-07-05,0.118,0.32999998
2015-07-06,0.136,0.32999998
2015-07-07,0.136,0.3
2015-07-08,0.137,0.31
2015-07-09,0.197,0.39
2015-07-10,0.176,0.34
2015-07-11,0.156,0.32999998
2015-07-12,0.154,0.37
2015-07-13,0.151,0.32
2015-07-14,0.145,0.35999998
2015-07-15,0.137,0.28
2015-07-16,0.125,0.27
2015-07-17,0.114,0.34
2015-07-18,0.11,0.27
2015-07-19,0.103,0.31
2015-07-20,0.167,0.37
2015-07-21,0.151,0.45999998
2015-07-22,0.15,0.31
2015-07-23,0.135,0.35
2015-07-24,0.119,0.32
2015-07-25,0.109,0.14
2015-07-26,0.22,0.47
2015-07-27,0.172,0.35999998
2015-07-28,0.237,0.44
2015-07-29,0.182,0.35
2015-07-30,0.171,0.45999998
2015-07-31,0.163,0.37
2015-08-01,0.155,0.39
2015-08-02,0.148,0.35
2015-08-03,0.142,0.34
2015-08-04,0.132,0.37
2015-08-05,0.185,0.39
2016-05-15,0.153,0.25
2016-05-16,0.153,0.25
2016-05-17,0.153,0.24
2016-05-18,0.152,0.26
2016-05-19,0.153,0.22
2016-05-20,0.153,0.3
2016-05-21,0.152,0.29
2016-05-22,0.157,0.42
