,soil moisture,sm
2015-04-13,0.6074,0.5130429
2015-05-01,0.5334,0.6914216
2015-05-02,0.5863,0.71547633
2015-05-06,0.609,0.7489581999999999
2015-05-09,0.6097,0.8284421999999999
2015-05-11,0.6096,0.78378874
2015-05-14,0.6093,0.8227082
2015-05-19,0.6093999999999999,0.71685994
2015-05-27,0.6093999999999999,0.9100370000000001
2015-05-29,0.6093999999999999,0.78470206
2015-06-01,0.1526,0.87388027
2015-06-06,0.6091,0.82436115
2015-06-11,0.6096,0.74297285
2015-06-14,0.6091,0.659791
2015-06-16,0.609,0.71598136
2015-06-19,0.609,0.7340582
2015-06-24,0.6089,0.67445743
2015-06-25,0.6091,0.7653211999999999
2015-06-29,0.6091,0.7126635
2015-07-04,0.6074,0.6760868
2015-07-07,0.609,0.8574815999999998
2015-07-13,0.6093,0.7426795999999999
2015-07-15,0.6093,0.62867147
2015-07-17,0.6093,0.6803140000000001
2015-07-22,0.6093999999999999,0.6425435
2015-07-25,0.6093999999999999,0.7333898
2015-07-27,0.6096,0.8678068999999999
2015-07-30,0.6093999999999999,0.73038703
2015-07-31,0.6093999999999999,0.7293738000000001
2015-08-04,0.6075,0.6867135999999999
2015-08-07,0.6091,0.6723014
2015-08-09,0.6091,0.6445776
2015-08-12,0.6093999999999999,0.64700246
2015-08-14,0.6093999999999999,0.62867147
2015-08-17,0.6093999999999999,0.66723615
2015-08-18,0.6093999999999999,0.64319515
2015-08-20,0.6093999999999999,0.6745759
2015-08-22,0.6093999999999999,0.6674607
2015-08-25,0.6097,0.6604189
2015-08-27,0.6093999999999999,0.5849707
2015-08-30,0.6093999999999999,0.64949536
2015-09-01,0.3793,0.5558014
2015-09-04,0.6075,0.6608976
2015-09-05,0.6092,0.5818561999999999
2015-09-09,0.6082,0.6914216
2015-09-10,0.6096,0.6383647
2015-09-12,0.6095,0.7037628
2015-09-14,0.6045,0.5365768
2015-09-17,0.6064,0.72478485
2015-09-19,0.6093999999999999,0.74946445
2015-09-22,0.6096,0.74650246
2015-09-27,0.6098,0.73705226
2015-09-30,0.6096,0.8022664
2015-12-21,0.6093999999999999,0.56181127
2016-03-17,0.6088,0.29934952
2016-05-05,0.6101,0.7767708999999999
2016-05-06,0.61,0.78176975
2016-05-08,0.4339,0.8895095
2016-05-10,0.4091,0.8427225
2016-05-13,0.6101,0.80578965
2016-05-15,0.6101,0.7658074
2016-05-20,0.6098,0.72512424
2016-05-23,0.6099,0.8376879
2016-05-24,0.6101,0.8169955
2016-05-26,0.6101,0.7730509
2016-05-31,0.6099,0.7173797
2016-06-02,0.1344,0.68402314
2016-06-05,0.6101,0.7326179
2016-06-07,0.6101,0.67501205
2016-06-10,0.4098,0.82344985
2016-06-11,0.4048,0.69923836
2016-06-13,0.6098,0.6983883000000001
2016-06-15,0.6098,0.69636357
2016-06-18,0.6088,0.7914166
2016-06-20,0.6097,0.6722735
2016-06-23,0.6099,0.70046383
2016-06-28,0.6101,0.75783575
2016-06-29,0.6101,0.75536567
2016-07-01,0.1311,0.67194456
2016-07-03,0.605,0.72739106
2016-07-08,0.4382,0.63919187
2016-07-11,0.4053,0.6906675
2016-07-13,0.6099,0.6859385
2016-07-16,0.5506,0.71705407
2016-07-17,0.5497,0.698655
2016-07-19,0.5473,0.6696359000000001
2016-07-21,0.5496,0.7141706999999999
2016-07-24,0.5471,0.6782976
2016-07-26,0.5451,0.6269174
2016-07-29,0.4381,0.6418918
2016-07-31,0.442,0.48378456
2016-08-03,0.6064,0.64231527
2016-08-08,0.4356,0.6670301
2016-08-11,0.4057,0.6875226999999999
2016-08-13,0.4335,0.6796644000000001
2016-08-16,0.4326,0.65315706
2016-08-18,0.4358,0.5093894
2016-08-21,0.4385,0.67624617
2016-08-26,0.4363,0.71187544
2016-08-27,0.4368,0.72951865
2016-08-29,0.4258,0.6964876999999999
2016-08-31,0.4254,0.5714279000000001
2016-09-03,0.6071,0.6930193
2016-09-08,0.435,0.707994
2016-09-13,0.4231,0.7493927
2016-09-14,0.4263,0.6657463
2016-09-18,0.4224,0.7704065999999999
2016-09-26,0.4256,0.7375175
2016-10-02,0.3464,0.7555946
2016-11-21,0.4058,0.5026390000000001
2017-05-05,0.4056,0.60997725
2017-05-18,0.4181,0.7123676999999999
2017-05-20,0.4176,0.8126603
2017-05-23,0.4237,0.783748
2017-05-28,0.4238,0.73398995
2017-05-29,0.4235,0.8450863999999999
2017-05-31,0.4265,0.6876485
2017-06-02,0.1787,0.7936726
2017-06-05,0.412,0.768048
2017-06-10,0.402,0.5998611999999999
2017-06-12,0.3942,0.59301513
2017-06-20,0.4325,0.6776270000000001
2017-06-23,0.4291,0.59456116
2017-06-25,0.4309000000000001,0.80677664
2017-06-30,0.4331,0.6828826
2017-07-03,0.14429999999999998,0.65902245
2017-07-08,0.4348,0.7223801999999999
2017-07-09,0.426,0.66397846
2017-07-11,0.3951,0.6309178000000001
2017-07-13,0.4411,0.68816346
2017-07-16,0.4355,0.6517929
2017-07-18,0.4355,0.5466385
2017-07-21,0.4379,0.61478984
2017-07-26,0.4418,0.6869241999999999
2017-07-27,0.4431000000000001,0.58870614
2017-07-31,0.4424,0.6917038000000001
2017-08-03,0.1407,0.57094085
2017-08-08,0.4356,0.6520478
2017-08-10,0.4012,0.5884371
2017-08-13,0.4395,0.6324659
2017-08-14,0.4318,0.6568655
2017-08-16,0.4351,0.6313886
2017-08-18,0.4328,0.60214317
2017-08-21,0.4355,0.6182001
2017-08-26,0.4285,0.7167614999999999
2017-08-31,0.4297,0.6803425999999999
2017-09-01,0.1533,0.6665015000000001
2017-09-05,0.4043,0.72704214
2017-09-13,0.4316,0.7381668
2017-09-19,0.4014,0.7750509
2017-09-21,0.4013000000000001,0.7746289000000001
2017-09-23,0.4036,0.77302885
2017-09-26,0.4045,0.73723954
2017-10-07,0.4377,0.9111456
2017-10-25,0.3962,0.93068624
2018-04-19,0.3947,0.35865313
2018-05-02,0.3938,0.6044868
2018-05-03,0.3947,0.57152593
2018-05-05,0.3956,0.6193613
2018-05-07,0.4074,0.72749573
2018-05-10,0.31120000000000003,0.8577834999999999
2018-05-15,0.4115,0.8608421
2018-05-17,0.4073,0.7365917
2018-05-21,0.4073,0.75546515
2018-05-23,0.4074,0.7162430000000001
2018-05-28,0.4095,0.69052327
2018-06-02,0.3939,0.6736393
2018-06-04,0.3945,0.49409655
2018-06-07,0.4081,0.68024784
2018-06-08,0.33140000000000003,0.6807514
2018-06-10,0.3122,0.59204626
2018-06-12,0.2884,0.6071024
2018-06-15,0.4049,0.6252055999999999
2018-06-20,0.4067,0.6676922
2018-06-22,0.4088000000000001,0.5679065999999999
2018-06-25,0.4111,0.70532453
2018-06-26,0.4089,0.6419891
2018-06-30,0.4059,0.6255455
2018-07-03,0.3947,0.5727104000000001
2018-07-08,0.3331,0.5626797
2018-07-10,0.3115,0.47938293
2018-07-13,0.4053,0.5841102
2018-07-14,0.4052,0.6556749
2018-07-16,0.4045,0.5377773
2018-07-18,0.4049,0.6753499
2018-07-21,0.4047,0.53504014
2018-07-23,0.4044,0.64583284
2018-07-26,0.4631,0.4532795
2018-07-28,0.402,0.52674335
2018-08-01,0.3941,0.6706325
2018-08-05,0.4007,0.6267109000000001
2018-08-10,0.3096,0.61908615
2018-08-13,0.3305,0.64106697
2018-08-15,0.3336,0.40322129999999995
2018-08-18,0.335,0.558836
2018-08-23,0.3298,0.8147425
2018-08-24,0.32909999999999995,0.66214585
2018-08-26,0.3271,0.6455983000000001
2018-08-28,0.3292,0.6782976
2018-08-31,0.3283,0.64798737
2018-09-02,0.3937,0.5579559000000001
2018-09-05,0.4024,0.5708196999999999
2018-09-06,0.4054,0.38339075
2018-09-10,0.3107,0.6458020999999999
2018-09-11,0.3078,0.6980999
2018-09-13,0.3261,0.6658933000000001
2018-09-15,0.3243,0.6193613
2018-09-18,0.32170000000000004,0.65902245
2018-09-20,0.3274,0.67250097
2018-09-23,0.3224,0.723954
2018-10-01,0.3938,0.63481855
2018-10-06,0.407,0.6656920000000001
2018-10-14,0.32530000000000003,0.75098133
2018-11-13,0.314,0.82003707
2018-12-01,0.394,0.87671906
2018-12-09,0.3298,0.55957437
