datetime_utc,soil moisture,sm
2015-07-03,0.3645000000000001,0.18526717
2015-08-03,0.3627,0.18926282
2015-09-03,0.35960000000000003,0.20945913
2015-10-04,0.3514,0.24892634
2015-04-22,0.34990000000000004,0.21959886
2015-04-30,0.3391,0.24578759
2015-05-05,0.34740000000000004,0.23685340000000002
2015-05-13,0.3775,0.24319841
2015-05-18,0.3436,0.27114967
2015-05-26,0.3429,0.20827867
2015-05-28,0.33659999999999995,0.18914352
2015-05-29,0.334,0.24796592
2015-05-31,0.3333,0.18881236
2015-07-06,0.3322,0.19678020000000002
2015-06-13,0.3103,0.16942893
2015-06-16,0.3106,0.17485161
2015-06-18,0.3215,0.19636764
2015-06-20,0.3874,0.16976467
2015-06-28,0.3715,0.26077256
2015-04-07,0.3331,0.27874988
2015-10-07,0.3603,0.24720160000000002
2015-07-16,0.3002,0.22331068
2015-07-21,0.322,0.21310323
2015-07-24,0.2933,0.19813125
2015-07-26,0.35090000000000005,0.20589380000000002
2015-07-29,0.35340000000000005,0.19513604
2015-05-08,0.3948,0.23560749
2015-07-08,0.32520000000000004,0.18460467
2015-09-08,0.308,0.17327867
2015-08-13,0.2925,0.21519852
2015-08-14,0.2858,0.17315650000000002
2015-08-16,0.2675,0.20314322
2015-08-21,0.2164,0.11906907
2015-08-31,0.1761,0.19497135
2015-09-13,0.2115,0.15872657
2015-09-18,0.2786,0.21705879999999997
2015-09-19,0.2627,0.21965694
2015-09-21,0.3109,0.19628225
2015-09-26,0.2877,0.21884635
2015-05-10,0.2401,0.25075307
2015-05-11,0.16699999999999998,0.2666113
2015-07-11,0.1974,0.20485425
2015-08-11,0.3461,0.20926052
2015-11-11,0.3023,0.28813067
2015-11-24,0.3211,0.27949995
2015-11-29,0.3707,0.29927582
2015-12-17,0.3345,0.35539195
2015-12-22,0.3274,0.29767126
2015-12-25,0.3517,0.28202763
2016-06-01,0.3322,0.15122128
2016-07-02,0.3416,0.24471120000000002
2016-04-03,0.3441,0.22628760000000003
2016-03-29,0.3135,0.26611763
2016-05-04,0.31010000000000004,0.25276008
2016-06-04,0.30870000000000003,0.15476842
2016-09-04,0.3422,0.21156995
2016-04-26,0.3019,0.23671328
2016-04-27,0.3058,0.5843326
2016-04-29,0.3675,0.2709683
2016-09-05,0.2827,0.21002969
2016-05-17,0.2432,0.17502473
2016-05-22,0.2345,0.25524718
2016-06-06,0.1775,0.03245678
2016-06-14,0.1559,0.16552278
2016-06-19,0.1679,0.19862184
2016-06-22,0.1543,0.14963672
2016-06-24,0.147,0.22074273
2016-06-27,0.1452,0.16859484
2016-07-07,0.3039,0.24026792
2016-08-07,0.28350000000000003,0.18674976
2016-09-07,0.305,0.19855024
2016-07-13,0.3323,0.19640517
2016-07-15,0.3012,0.15783738
2016-07-20,0.27140000000000003,0.20445001
2016-07-25,0.23010000000000005,0.18833548
2016-07-28,0.2106,0.17221165
2016-07-31,0.2465,0.16956766
2016-10-08,0.2018,0.17678370000000002
2016-08-17,0.1723,0.19273843
2016-08-18,0.1641,0.19746156
2016-08-20,0.1604,0.14921491
2016-08-25,0.1494,0.17355588
2016-04-09,0.1376,0.29573643
2016-05-09,0.1371,0.19209303
2016-06-09,0.1358,0.17749135
2016-09-17,0.1219,0.10720717
2016-09-22,0.12,0.10230664
2016-09-23,0.1198,0.16278438
2016-09-25,0.1188,0.16264732
2016-07-10,0.1983,0.20503908
2016-11-20,0.324,0.20510341
2016-08-12,0.2804,0.18921757
2016-09-12,0.2897,0.15652789
2017-04-01,0.3124,0.30669153
2017-05-01,0.3127,0.24539962
2017-12-03,0.301,0.7742054
2017-05-04,0.2912,0.25491735
2017-07-04,0.2818,0.14190006
2017-04-21,0.2995,0.33717442
2017-04-26,0.3055,0.28573796
2017-05-14,0.2702,0.30267990000000006
2017-05-19,0.2406,0.20251529999999998
2017-05-22,0.226,0.17259768
2017-05-24,0.2164,0.15094978
2017-05-25,0.2884,0.2538934
2017-05-27,0.2465,0.19252364
2017-05-06,0.2808,0.22053000000000003
2017-06-06,0.2386,0.19935058
2017-06-14,0.2774,0.1972247
2017-06-24,0.292,0.28923902
2017-06-27,0.2938,0.20235643
2017-06-30,0.2682,0.18833838
2017-08-07,0.2618,0.24571003
2017-07-17,0.2216,0.22223993
2017-07-20,0.2088,0.17525432
2017-04-08,0.35479999999999995,0.29241884
2017-08-17,0.2626,0.19793308
2017-08-22,0.2957,0.2503927
2017-08-27,0.258,0.26648083
2017-08-30,0.2381,0.23478408
2017-06-09,0.2148,0.2293938
2017-06-11,0.33990000000000004,0.209804
2017-06-12,0.3405,0.16643204
2017-08-12,0.3769,0.21989332
2017-09-12,0.3669,0.31793606
2017-12-26,0.3814,0.39931700000000003
2018-05-01,0.3714,0.28720164
2018-06-01,0.3682,0.14804025
2018-09-01,0.349,0.2642935
2018-09-02,0.3331,0.25858918
2018-03-13,0.331,0.2798753
2018-07-04,0.3442,0.19899832
2018-04-23,0.2607,0.22450256
2018-04-26,0.2759,0.33580303
2018-04-28,0.3272,0.30641574
2018-04-05,0.2582,0.362317
2018-05-16,0.1964,0.14543846
2018-05-19,0.218,0.21869609
2018-05-24,0.1746,0.18052472
2018-04-06,0.1466,0.3412112
2018-05-06,0.1441,0.23915629
2018-06-19,0.1654,0.16815384
2018-06-21,0.13570000000000002,0.103560045
2018-06-24,0.1659,0.19628225
2018-07-07,0.1163,0.16072679
2018-07-27,0.1173,0.09750222
2018-07-28,0.1153,0.11191515
2018-07-30,0.1126,0.088237524
2018-04-08,0.1261,0.341363
2018-10-08,0.365,0.68696654
2018-12-08,0.3726,0.3639598
2018-08-15,0.3102,0.28059459999999997
2018-08-17,0.2309,0.23536493
2018-07-09,0.2065,0.08723882599999999
2018-09-09,0.215,0.20527399
2018-09-19,0.1454,0.12700537
2018-09-20,0.1395,0.27504694
2018-09-22,0.1939,0.2933313
2018-09-27,0.1684,0.27198604
2018-07-10,0.2006,0.16314296
2018-05-11,0.2351,0.20197463
2018-11-17,0.2536,0.3333345
2018-11-20,0.2376,0.40349078
2018-07-12,0.276,0.18376370000000003
2018-08-12,0.3406,0.286308
