,soil moisture,sm
2015-04-02,0.2645,0.65
2015-04-03,0.2825,0.59
2015-04-04,0.265,0.63
2015-04-05,0.1365,0.59
2015-04-06,0.1723,0.56
2015-04-07,0.1147,0.65
2015-04-08,0.1702,0.65
2015-04-09,0.06726,0.56
2015-04-10,0.07395,0.5652833
2015-04-11,0.05875,0.63
2015-04-12,0.1378,0.64
2015-04-13,0.2176,0.54675555
2015-04-14,0.2116,0.59
2015-04-15,0.2093,0.54627377
2015-04-16,0.1974,0.5174773
2015-04-17,0.1986,0.65999997
2015-04-18,0.1969,0.5116504
2015-04-19,0.1851,0.65
2015-04-20,0.179,0.38149446
2015-04-21,0.1722,0.59
2015-04-22,0.1661,0.6
2015-04-23,0.16010000000000002,0.59
2015-04-24,0.154,0.56
2015-04-25,0.1489,0.52
2015-04-26,0.1452,0.61
2015-04-27,0.1412,0.55
2015-04-28,0.13699999999999998,0.49529678
2015-04-29,0.1334,0.6
2015-04-30,0.1318,0.5
2015-05-01,0.2367,0.51816887
2015-05-02,0.2632,0.59
2015-05-03,0.2804,0.5009867
2015-05-04,0.2622,0.5064124
2015-05-05,0.13449999999999998,0.61
2015-05-06,0.1732,0.58183503
2015-05-07,0.1071,0.55
2015-05-08,0.16,0.5791826
2015-05-09,0.06847,0.51
2015-05-10,0.07037,0.53
2015-05-11,0.05125,0.52605724
2015-05-13,0.1353,0.54
2015-05-14,0.1918,0.58
2015-05-15,0.2021,0.55
2015-05-16,0.1977,0.5117109999999999
2015-05-17,0.1977,0.6
2015-05-20,0.2433,0.58
2015-05-21,0.2376,0.51254016
2015-05-22,0.2306,0.5133390999999999
2015-05-23,0.2248,0.45
2015-05-24,0.2222,0.46753442
2015-05-25,0.2131,0.44
2015-05-26,0.2009,0.5491746999999999
2015-05-27,0.1998,0.48
2015-05-28,0.1867,0.52
2015-05-29,0.1795,0.45381323
2015-05-30,0.1724,0.48
2015-05-31,0.1979,0.54
2015-06-01,0.23260000000000006,0.53
2015-06-02,0.2618,0.51
2015-06-04,0.2631,0.54
2015-06-05,0.1337,0.48999998
2015-06-06,0.16920000000000002,0.5030231
2015-06-07,0.0973,0.48
2015-06-08,0.1704,0.5370640999999999
2015-06-09,0.06922000000000003,0.50424886
2015-06-10,0.0647,0.45
2015-06-11,0.057470000000000014,0.48052242
2015-06-12,0.1555,0.44
2015-06-14,0.1237,0.35999998
2015-06-15,0.1394,0.52
2015-06-16,0.1382,0.47955734
2015-06-17,0.1333,0.47
2015-06-18,0.1301,0.48999998
