datetime_utc,soil moisture,sm
2015-04-01,0.221,0.22
2015-05-01,0.2174,0.55
2015-06-01,0.2135,0.84999996
2015-07-01,0.2115,0.71
2015-08-01,0.2122,0.65
2015-09-01,0.2128,0.64
2015-10-01,0.2122,0.71999997
2015-11-01,0.2093,0.95
2015-05-02,0.2056,0.7
2015-06-02,0.2052,0.74
2015-07-02,0.2047,0.64
2015-08-02,0.2054,0.77
2015-09-02,0.2057,0.65
2015-10-02,0.2061,0.78999996
2015-11-02,0.206,0.89
2015-05-03,0.2119,0.53
2015-06-03,0.2123,0.77
2015-07-03,0.2112,0.69
2015-08-03,0.2104,0.64
2015-09-03,0.2104,0.63
2015-10-03,0.2111,0.78
2015-11-03,0.212,0.9
2015-12-03,0.2131,0.42
2015-05-04,0.2115,0.42
2015-06-04,0.2122,0.72999996
2015-07-04,0.2128,0.62
2015-08-04,0.2246,0.65
2015-09-04,0.2298,0.68
2015-10-04,0.2377,0.71999997
2015-11-04,0.2443,0.78
2015-04-13,0.2525,0.39999998
2015-04-15,0.2406,0.11
2015-04-16,0.2391,0.19999999
2015-04-17,0.2428,0.28
2015-04-20,0.254,0.09999999400000001
2015-04-21,0.2525,0.14
2015-04-22,0.2546,0.29
2015-04-23,0.2562,0.45999998
2015-04-26,0.2456,0.24
2015-04-27,0.2515,0.58
2015-04-28,0.2525,0.39
2015-04-29,0.25170000000000003,0.32
2015-05-05,0.2547,0.65999997
2015-06-05,0.2607,0.71999997
2015-07-05,0.2779,0.61
2015-08-05,0.2576,0.65999997
2015-09-05,0.2479,0.62
2015-10-05,0.234,0.74
2015-11-05,0.231,0.77
2015-05-13,0.2352,0.83
2015-05-14,0.2421,0.79999995
2015-05-15,0.2535,0.89
2015-05-16,0.2514,0.83
2015-05-17,0.2299,0.64
2015-05-18,0.2323,0.83
2015-05-19,0.2339,0.72999996
2015-05-20,0.2452,0.82
2015-05-21,0.2579,0.84
2015-05-22,0.2368,0.75
2015-05-23,0.2455,0.81
2015-05-24,0.2555,0.79999995
2015-05-25,0.2472,0.81
2015-05-26,0.2552,0.83
2015-05-27,0.2913,0.83
2015-05-28,0.2691,0.81
2015-05-29,0.25120000000000003,0.79999995
2015-05-30,0.2602,0.79999995
2015-05-31,0.2527,0.71999997
2015-05-06,0.2501,0.65
2015-06-06,0.2346,0.77
2015-07-06,0.2903,0.65
2015-08-06,0.27,0.7
2015-09-06,0.2488,0.6
2015-10-06,0.2427,0.55
2015-11-06,0.2297,0.91999996
2015-06-13,0.2204,0.7
2015-06-14,0.2273,0.68
2015-06-15,0.2309,0.75
2015-06-16,0.2232,0.66999996
2015-06-17,0.2151,0.71999997
2015-06-18,0.2035,0.69
2015-06-19,0.2092,0.66999996
2015-06-20,0.2013,0.66999996
2015-06-21,0.1935,0.65
2015-06-22,0.1891,0.71999997
2015-06-23,0.2037,0.71
2015-06-24,0.193,0.66999996
2015-06-25,0.24850000000000005,0.72999996
2015-06-26,0.256,0.74
2015-06-27,0.2911,0.69
2015-06-28,0.26030000000000003,0.71999997
2015-06-29,0.2367,0.64
2015-06-30,0.2496,0.62
2015-04-07,0.2729,0.35
2015-05-07,0.2424,0.7
2015-06-07,0.2172,0.78999996
2015-07-07,0.27190000000000003,0.78999996
2015-08-07,0.28300000000000003,0.65
2015-09-07,0.26,0.66999996
2015-10-07,0.27940000000000004,0.66999996
2015-11-07,0.2438,0.95
2015-07-13,0.2298,0.65
2015-07-14,0.2121,0.69
2015-07-15,0.2045,0.6
2015-07-16,0.2463,0.64
2015-07-17,0.2302,0.65999997
2015-07-18,0.2084,0.68
2015-07-19,0.25420000000000004,0.68
2015-07-20,0.2204,0.63
2015-07-21,0.2056,0.65
2015-07-22,0.197,0.58
2015-07-23,0.2564,0.63
2015-07-24,0.247,0.59
2015-07-25,0.2496,0.65
2015-07-26,0.2268,0.64
2015-07-27,0.2783,0.84
2015-07-28,0.2597,0.69
2015-07-29,0.2342,0.65999997
2015-07-30,0.277,0.72999996
2015-07-31,0.2652,0.65
2015-04-08,0.2351,0.19
2015-05-08,0.2186,0.81
2015-06-08,0.2193,0.78
2015-07-08,0.2384,0.71
2015-08-08,0.226,0.66999996
2015-09-08,0.2136,0.63
2015-10-08,0.2003,0.77
2015-11-08,0.1995,0.91999996
2015-08-13,0.1847,0.61
2015-08-14,0.1806,0.61
2015-08-15,0.17309999999999998,0.65999997
2015-08-16,0.1693,0.64
2015-08-17,0.1577,0.61
2015-08-18,0.1575,0.63
2015-08-19,0.1536,0.63
2015-08-20,0.154,0.58
2015-08-21,0.1537,0.6
2015-08-22,0.1499,0.62
2015-08-23,0.146,0.63
2015-08-24,0.1464,0.61
2015-08-25,0.1422,0.6
2015-08-26,0.1441,0.62
2015-08-27,0.1574,0.63
2015-08-28,0.1949,0.48
2015-08-29,0.2082,0.6
2015-08-30,0.1878,0.64
2015-08-31,0.1754,0.63
2015-05-09,0.1566,0.82
2015-06-09,0.1769,0.71999997
2015-07-09,0.1702,0.65
2015-08-09,0.16510000000000002,0.6
2015-09-09,0.1562,0.69
2015-10-09,0.1542,0.78
2015-11-09,0.1446,0.74
2015-12-09,0.1426,0.37
2015-09-13,0.1508,0.65
2015-09-14,0.1501,0.64
2015-09-15,0.1492,0.64
2015-09-16,0.1457,0.82
2015-09-17,0.206,0.69
2015-09-18,0.2545,0.76
2015-09-19,0.2569,0.71999997
2015-09-20,0.2232,0.66999996
2015-09-21,0.2102,0.71999997
2015-09-22,0.2132,0.68
2015-09-23,0.2068,0.72999996
2015-09-24,0.2502,0.72999996
2015-09-25,0.255,0.75
2015-09-26,0.233,0.77
2015-09-27,0.2196,0.71999997
2015-09-28,0.2069,0.71999997
2015-09-29,0.1953,0.77
2015-09-30,0.198,0.72999996
2015-05-10,0.1851,0.71
2015-06-10,0.1726,0.71999997
2015-07-10,0.17309999999999998,0.74
2015-08-10,0.1769,0.65
2015-09-10,0.1741,0.65
2015-10-10,0.1607,0.59
2015-11-10,0.16219999999999998,0.84999996
2015-10-13,0.1599,0.72999996
2015-10-14,0.16190000000000002,0.82
2015-10-15,0.1632,0.82
2015-10-16,0.1666,0.78
2015-10-17,0.168,0.81
2015-10-18,0.1616,0.82
2015-10-19,0.1539,0.79999995
2015-10-20,0.1472,0.76
2015-10-21,0.154,0.82
2015-10-22,0.1845,0.87
2015-10-23,0.227,0.79999995
2015-10-24,0.199,0.78
2015-10-25,0.2027,0.85999995
2015-10-26,0.2076,0.78999996
2015-10-27,0.2051,0.79999995
2015-10-29,0.1795,0.64
2015-10-30,0.1724,0.72999996
2015-10-31,0.18170000000000006,0.97999996
2015-05-11,0.1778,0.78999996
2015-06-11,0.1734,0.71
2015-07-11,0.1935,0.68
2015-08-11,0.2405,0.59
2015-09-11,0.2127,0.65999997
2015-10-11,0.2431,0.72999996
2015-11-11,0.2116,0.81
2015-11-13,0.1884,0.65
2015-11-14,0.2456,0.88
2015-11-15,0.2176,0.95
2015-11-16,0.2108,0.9
2015-11-18,0.2347,0.95
2015-11-19,0.2213,0.65999997
2015-11-20,0.2131,0.71999997
2015-11-25,0.1789,0.65999997
2015-11-26,0.1877,0.48
2015-11-27,0.1877,0.77
2015-11-28,0.1929,0.69
2015-11-30,0.2295,0.65999997
2015-04-12,0.1955,0.22
2015-05-12,0.1959,0.83
2015-06-12,0.1974,0.71
2015-07-12,0.1953,0.66999996
2015-08-12,0.1922,0.62
2015-09-12,0.1914,0.7
2015-10-12,0.2011,0.78999996
2015-11-12,0.2034,0.61
2015-12-20,0.1824,0.39999998
2015-12-21,0.1877,0.37
2015-12-25,0.2004,0.39999998
2016-05-01,0.1745,0.37
2016-06-01,0.1686,0.7
2016-07-01,0.16140000000000002,0.63
2016-08-01,0.1494,0.65999997
2016-09-01,0.1232,0.63
2016-10-01,0.1186,0.74
2016-11-01,0.1185,0.75
2016-05-02,0.1243,0.55
2016-06-02,0.1236,0.66999996
2016-07-02,0.1235,0.65999997
2016-08-02,0.1242,0.63
2016-09-02,0.1249,0.5
2016-10-02,0.1257,0.78999996
2016-11-02,0.12619999999999998,0.88
2016-05-03,0.1332,0.7
2016-06-03,0.1324,0.68
2016-07-03,0.1324,0.72999996
2016-08-03,0.1324,0.65
2016-09-03,0.1316,0.69
2016-10-03,0.1316,0.71
2016-11-03,0.1316,0.82
2016-03-16,0.1361,0.37
2016-03-17,0.14429999999999998,0.21
2016-03-29,0.1503,0.25
2016-03-30,0.1525,0.35
2016-05-04,0.1668,0.84999996
2016-06-04,0.1679,0.66999996
2016-07-04,0.1816,0.68
2016-08-04,0.1883,0.59
2016-09-04,0.189,0.64
2016-10-04,0.1898,0.69
2016-11-04,0.1951,0.69
2016-04-17,0.1846,0.38
2016-04-18,0.1958,0.11
2016-04-20,0.1966,0.22999999
2016-04-22,0.1928,0.09999999400000001
2016-04-26,0.1922,0.29
2016-04-27,0.1891,0.44
2016-04-28,0.1943,0.59
2016-04-29,0.2068,0.45
2016-04-30,0.2057,0.19
2016-04-05,0.2113,0.35
2016-05-05,0.2152,0.66999996
2016-06-05,0.2134,0.65
2016-07-05,0.2111,0.59
2016-08-05,0.199,0.63
2016-09-05,0.1939,0.69
2016-10-05,0.189,0.57
2016-12-05,0.1874,0.41
2016-05-13,0.1871,0.77
2016-05-14,0.183,0.68
2016-05-15,0.1829,0.78
2016-05-16,0.1815,0.81
2016-05-17,0.1806,0.75
2016-05-18,0.16210000000000002,0.68
2016-05-19,0.165,0.78999996
2016-05-20,0.1994,0.72999996
2016-05-21,0.1938,0.82
2016-05-22,0.1837,0.79999995
2016-05-23,0.1851,0.79999995
2016-05-24,0.24420000000000006,0.79999995
2016-05-25,0.217,0.7
2016-05-26,0.2009,0.71
2016-05-27,0.18170000000000006,0.76
2016-05-28,0.17989999999999998,0.71999997
2016-05-29,0.1705,0.74
2016-05-30,0.1654,0.71999997
2016-05-31,0.1662,0.69
2016-04-06,0.142,0.37
2016-05-06,0.1396,0.75
2016-06-06,0.1325,0.65999997
2016-07-06,0.1394,0.64
2016-08-06,0.1433,0.61
2016-09-06,0.1315,0.65999997
2016-10-06,0.1282,0.77
2016-06-13,0.1604,0.66999996
2016-06-14,0.1557,0.69
2016-06-16,0.1491,0.65
2016-06-17,0.1718,0.84999996
2016-06-18,0.2319,0.89
2016-06-19,0.2426,0.83
2016-06-20,0.208,0.69
2016-06-21,0.1949,0.65999997
2016-06-22,0.2209,0.65
2016-06-23,0.1959,0.65
2016-06-24,0.1907,0.7
2016-06-25,0.2298,0.62
2016-06-26,0.2286,0.68
2016-06-27,0.2069,0.64
2016-06-28,0.242,0.74
2016-06-29,0.2126,0.64
2016-06-30,0.1962,0.65
2016-04-07,0.2183,0.39999998
2016-05-07,0.2032,0.81
2016-06-07,0.1874,0.65
2016-07-07,0.17920000000000005,0.71999997
2016-08-07,0.1811,0.61
2016-09-07,0.2224,0.66999996
2016-10-07,0.2454,0.78
2016-07-13,0.191,0.62
2016-07-14,0.1862,0.65999997
2016-07-15,0.2384,0.65
2016-07-16,0.2444,0.64
2016-07-17,0.227,0.62
2016-07-18,0.2074,0.63
2016-07-19,0.1904,0.65
2016-07-20,0.1808,0.62
2016-07-21,0.17620000000000002,0.63
2016-07-22,0.16579999999999998,0.6
2016-07-23,0.16079999999999994,0.62
2016-07-24,0.16149999999999998,0.62
2016-07-25,0.1575,0.59
2016-07-26,0.1595,0.63
2016-07-27,0.1585,0.14
2016-07-28,0.1545,0.62
2016-07-29,0.1492,0.59
2016-07-30,0.1531,0.6
2016-07-31,0.1495,0.59
2016-02-08,0.15460000000000002,0.38
2016-04-08,0.1389,0.049999997000000004
2016-05-08,0.1324,0.79999995
2016-06-08,0.1642,0.65
2016-07-08,0.1807,0.71999997
2016-08-08,0.1574,0.6
2016-09-08,0.1814,0.65999997
2016-10-08,0.2049,0.78
2016-08-13,0.16510000000000002,0.63
2016-08-14,0.1951,0.7
2016-08-15,0.17980000000000002,0.7
2016-08-16,0.1642,0.65999997
2016-08-17,0.156,0.65999997
2016-08-18,0.1501,0.6
2016-08-19,0.1484,0.63
2016-08-20,0.147,0.68
2016-08-21,0.1567,0.64
2016-08-22,0.15380000000000002,0.64
2016-08-23,0.2034,0.68
2016-08-24,0.1772,0.65999997
2016-08-25,0.1698,0.76
2016-08-26,0.1805,0.66999996
2016-08-27,0.232,0.78
2016-08-28,0.1963,0.7
2016-08-29,0.171,0.69
2016-08-30,0.1613,0.65
2016-08-31,0.1552,0.66999996
2016-02-09,0.1559,0.39
2016-05-09,0.1586,0.83
2016-06-09,0.1412,0.64
2016-07-09,0.1528,0.72999996
