,soil moisture,swvl1
2015-04-01 00:00:00,0.5239,0.24597064
2015-04-01 01:00:00,0.5246,0.24582066
2015-04-01 02:00:00,0.5254,0.24572837
2015-04-01 03:00:00,0.5262,0.24564761
2015-04-01 04:00:00,0.527,0.24555533
2015-04-01 05:00:00,0.5278,0.24549764
2015-04-01 06:00:00,0.5288,0.24526691
2015-04-01 07:00:00,0.53,0.2451054
2015-04-01 08:00:00,0.5313,0.2449439
2015-04-01 09:00:00,0.5329,0.24479392
2015-04-01 10:00:00,0.5347,0.24464396
2015-04-01 11:00:00,0.5365,0.24450551
2015-04-01 12:00:00,0.5384,0.24435554
2015-04-01 13:00:00,0.54,0.24420558
2015-04-01 14:00:00,0.5414,0.24406713
2015-04-01 15:00:00,0.5426,0.24392870000000003
2015-04-01 16:00:00,0.5435,0.24379027
2015-04-01 17:00:00,0.5440999999999999,0.24365182
2015-04-01 18:00:00,0.5448,0.24350186
2015-04-01 19:00:00,0.5448,0.24337496
2015-04-01 20:00:00,0.5443,0.24323651
2015-04-01 21:00:00,0.5431,0.24312115
2015-04-01 22:00:00,0.541,0.24298272
2015-04-01 23:00:00,0.5848,0.24285582
2015-04-02 00:00:00,0.5849,0.24274045
2015-04-02 01:00:00,0.5849,0.24261355
2015-04-02 02:00:00,0.5849,0.24255587
2015-04-02 03:00:00,0.5849,0.24252127
2015-04-02 04:00:00,0.5849,0.24249819
2015-04-02 05:00:00,0.5849,0.24246359
2015-04-02 06:00:00,0.5849,0.24232514
2015-04-02 07:00:00,0.5851,0.24219824
2015-04-02 08:00:00,0.5851,0.24208288
2015-04-02 09:00:00,0.5852,0.24197906
2015-04-02 10:00:00,0.5853,0.24185215
2015-04-02 11:00:00,0.5853,0.24175987
2015-04-02 12:00:00,0.5852,0.24165604
2015-04-02 13:00:00,0.5856,0.2415522
2015-04-02 14:00:00,0.5854,0.24143684
2015-04-02 15:00:00,0.5856,0.24133302
2015-04-02 16:00:00,0.5857,0.24122919
2015-04-02 17:00:00,0.5859000000000001,0.24110229999999996
2015-04-02 18:00:00,0.5859000000000001,0.24101
2015-04-02 19:00:00,0.5859000000000001,0.24090618
2015-04-02 20:00:00,0.5859000000000001,0.24080235
2015-04-02 21:00:00,0.5859000000000001,0.24071005
2015-04-02 22:00:00,0.5859000000000001,0.24060623
2015-04-02 23:00:00,0.6065,0.24049087
2015-04-03 00:00:00,0.6065,0.24039857
2015-04-03 01:00:00,0.6065,0.24034089
2015-04-03 02:00:00,0.6065999999999999,0.24029475
2015-04-03 03:00:00,0.6065999999999999,0.24023707
2015-04-03 04:00:00,0.6065999999999999,0.24014477
2015-04-03 05:00:00,0.6065999999999999,0.24001788
2015-04-03 06:00:00,0.6065999999999999,0.23990251
2015-04-03 07:00:00,0.6065999999999999,0.23981021
2015-04-03 08:00:00,0.6065999999999999,0.23971793
2015-04-03 09:00:00,0.6065999999999999,0.23962563
2015-04-03 10:00:00,0.6065999999999999,0.23954488
2015-04-03 11:00:00,0.6065999999999999,0.23947567
2015-04-03 12:00:00,0.6065999999999999,0.23940645
2015-04-03 13:00:00,0.6065999999999999,0.23933724
2015-04-03 14:00:00,0.6065999999999999,0.23925647
2015-04-03 15:00:00,0.6065999999999999,0.23918726
2015-04-03 16:00:00,0.6065999999999999,0.2391065
2015-04-03 17:00:00,0.6065999999999999,0.23902574
2015-04-03 18:00:00,0.6065999999999999,0.23896806
2015-04-03 19:00:00,0.6065999999999999,0.23888731
2015-04-03 20:00:00,0.6067,0.23879503
2015-04-03 21:00:00,0.6067,0.2387258
2015-04-03 22:00:00,0.6068,0.23863351
2015-04-03 23:00:00,0.6073,0.23855276
2015-04-04 00:00:00,0.6073,0.23849508
2015-04-04 01:00:00,0.6073,0.23850662
2015-04-04 02:00:00,0.6073,0.23854122
2015-04-04 03:00:00,0.6073,0.23857583
2015-04-04 04:00:00,0.6073,0.23855276
2015-04-04 05:00:00,0.6073,0.23846047
2015-04-04 06:00:00,0.6073,0.23826435
2015-04-04 07:00:00,0.6073,0.23819514
2015-04-04 08:00:00,0.6074,0.23811437
2015-04-04 09:00:00,0.6074,0.23803362
2015-04-04 10:00:00,0.6074,0.23797594
2015-04-04 11:00:00,0.6073,0.23791826
2015-04-04 12:00:00,0.6074,0.23787211
2015-04-04 13:00:00,0.6074,0.23779136
2015-04-04 14:00:00,0.6073,0.23773368
2015-04-04 15:00:00,0.6074,0.23764138
2015-04-04 16:00:00,0.6074,0.23756063
2015-04-04 17:00:00,0.6074,0.23749141
2015-04-04 18:00:00,0.6074,0.23742220000000003
2015-04-04 19:00:00,0.6074,0.23735298
