,soil moisture,SoilMoi0_10cm_inst
2015-04-01 00:00:00,0.5239,43.4
2015-04-01 03:00:00,0.5262,43.4
2015-04-01 06:00:00,0.5288,43.4
2015-04-01 09:00:00,0.5329,43.398
2015-04-01 12:00:00,0.5384,43.4
2015-04-01 15:00:00,0.5426,43.4
2015-04-01 18:00:00,0.5448,43.4
2015-04-01 21:00:00,0.5431,43.4
2015-04-02 00:00:00,0.5849,43.4
2015-04-02 03:00:00,0.5849,43.4
2015-04-02 06:00:00,0.5849,43.4
2015-04-02 09:00:00,0.5852,43.4
2015-04-02 12:00:00,0.5852,43.4
2015-04-02 15:00:00,0.5856,43.4
2015-04-02 18:00:00,0.5859000000000001,43.4
2015-04-02 21:00:00,0.5859000000000001,43.4
2015-04-03 00:00:00,0.6065,43.4
2015-04-03 03:00:00,0.6065999999999999,43.4
2015-04-03 06:00:00,0.6065999999999999,43.4
2015-04-03 09:00:00,0.6065999999999999,43.4
2015-04-03 12:00:00,0.6065999999999999,43.4
2015-04-03 15:00:00,0.6065999999999999,43.4
2015-04-03 18:00:00,0.6065999999999999,43.4
2015-04-03 21:00:00,0.6067,43.4
2015-04-04 00:00:00,0.6073,43.4
2015-04-04 03:00:00,0.6073,43.4
2015-04-04 06:00:00,0.6073,43.4
2015-04-04 09:00:00,0.6074,43.4
2015-04-04 12:00:00,0.6074,43.4
2015-04-04 15:00:00,0.6074,43.4
2015-04-04 18:00:00,0.6074,43.4
2015-04-04 21:00:00,0.6074,43.4
2015-04-05 00:00:00,0.6091,43.4
2015-04-05 03:00:00,0.6091,43.4
2015-04-05 06:00:00,0.6091,43.4
2015-04-05 09:00:00,0.6093,43.4
2015-04-05 12:00:00,0.6095,43.4
2015-04-05 15:00:00,0.6092,43.4
2015-04-05 18:00:00,0.6092,43.4
2015-04-05 21:00:00,0.6092,43.4
2015-04-06 00:00:00,0.6091,43.4
2015-04-06 03:00:00,0.6091,43.4
2015-04-06 06:00:00,0.6091,43.4
2015-04-06 09:00:00,0.6091,43.4
2015-04-06 12:00:00,0.6092,43.4
2015-04-06 15:00:00,0.6091,43.4
2015-04-06 18:00:00,0.6091,43.4
2015-04-06 21:00:00,0.6091,43.4
2015-04-07 00:00:00,0.6087,43.4
2015-04-07 03:00:00,0.6087,43.4
2015-04-07 06:00:00,0.6088,43.4
2015-04-07 09:00:00,0.6089,43.4
2015-04-07 12:00:00,0.6089,43.4
2015-04-07 15:00:00,0.6088,43.4
2015-04-07 18:00:00,0.6088,43.4
2015-04-07 21:00:00,0.6088,43.4
2015-04-08 00:00:00,0.6096,43.4
2015-04-08 03:00:00,0.6095,43.396
2015-04-08 06:00:00,0.6096,43.4
2015-04-08 09:00:00,0.6097,43.4
2015-04-08 12:00:00,0.6097,43.4
2015-04-08 15:00:00,0.6093999999999999,43.4
2015-04-08 18:00:00,0.6095,43.4
2015-04-08 21:00:00,0.6097,43.398999999999994
2015-04-09 00:00:00,0.6098,43.398
2015-04-09 03:00:00,0.6098,43.393
2015-04-09 06:00:00,0.61,43.4
2015-04-09 09:00:00,0.6099,43.4
2015-04-09 12:00:00,0.61,43.4
2015-04-09 15:00:00,0.6099,43.4
2015-04-09 18:00:00,0.6098,43.398999999999994
2015-04-09 21:00:00,0.6097,43.376000000000005
2015-04-10 00:00:00,0.6097,43.36
2015-04-10 03:00:00,0.6097,43.36
2015-04-10 06:00:00,0.6098,43.35
