,soil moisture,SoilMoi0_10cm_inst
2015-04-01 00:00:00,0.1811,39.833
2015-04-01 03:00:00,0.1806,39.833
2015-04-01 06:00:00,0.1822,39.833
2015-04-01 09:00:00,0.1819,39.832
2015-04-01 12:00:00,0.1777,39.830999999999996
2015-04-01 15:00:00,0.1777,39.829997999999996
2015-04-01 18:00:00,0.1778,39.829997999999996
2015-04-01 21:00:00,0.1791,39.829997999999996
2015-04-02 00:00:00,0.17989999999999998,39.829997999999996
2015-04-02 03:00:00,0.1813,39.829997999999996
2015-04-02 06:00:00,0.182,39.829997999999996
2015-04-02 09:00:00,0.1822,39.829
2015-04-02 12:00:00,0.1824,39.827
2015-04-02 15:00:00,0.1835,39.827
2015-04-02 18:00:00,0.1845,39.827
2015-04-02 21:00:00,0.185,39.827
2015-04-03 00:00:00,0.1689,39.827
2015-04-03 03:00:00,0.1693,39.827
2015-04-03 06:00:00,0.16940000000000002,39.827
2015-04-03 09:00:00,0.16940000000000002,39.826
2015-04-03 12:00:00,0.16940000000000002,39.825
2015-04-03 15:00:00,0.16940000000000002,39.824
2015-04-03 18:00:00,0.16949999999999998,39.824
2015-04-03 21:00:00,0.1696,39.824
2015-04-04 00:00:00,0.1686,39.824
2015-04-04 03:00:00,0.1686,39.824
2015-04-04 06:00:00,0.16870000000000002,39.824
2015-04-04 09:00:00,0.1686,39.822998
2015-04-04 12:00:00,0.1686,39.82
2015-04-04 15:00:00,0.1686,39.819
2015-04-04 18:00:00,0.16870000000000002,39.819
2015-04-04 21:00:00,0.16879999999999998,39.819
2015-04-05 00:00:00,0.4997,39.819
2015-04-05 03:00:00,0.4999,39.819
2015-04-05 06:00:00,0.4992,39.819
2015-04-05 09:00:00,0.4977,39.818000000000005
2015-04-05 12:00:00,0.4983,39.815998
2015-04-05 15:00:00,0.5002,39.814
2015-04-05 18:00:00,0.5035000000000001,39.813
2015-04-05 21:00:00,0.5052,39.813
2015-04-06 00:00:00,0.4504,39.812
2015-04-06 03:00:00,0.4511,39.812
2015-04-06 06:00:00,0.4367,39.812
2015-04-06 09:00:00,0.4359,39.809
2015-04-06 12:00:00,0.4407,39.806
2015-04-06 15:00:00,0.4393,39.804
2015-04-06 18:00:00,0.443,39.804
2015-04-06 21:00:00,0.4459,39.804
2015-04-07 00:00:00,0.3926,39.804
2015-04-07 03:00:00,0.3947,39.804
2015-04-07 06:00:00,0.3941,39.804
2015-04-07 09:00:00,0.3793,40.058
2015-04-07 12:00:00,0.3807,40.903
2015-04-07 15:00:00,0.3865,41.394
2015-04-07 18:00:00,0.3912,41.393
2015-04-07 21:00:00,0.3975,41.393
2015-04-08 00:00:00,0.4003,41.393
2015-04-08 03:00:00,0.4002000000000001,41.393
2015-04-08 06:00:00,0.3887,41.391999999999996
2015-04-08 09:00:00,0.38,41.39
2015-04-08 12:00:00,0.3734,41.387
2015-04-08 15:00:00,0.3703,41.38399999999999
2015-04-08 18:00:00,0.3781000000000001,41.38399999999999
2015-04-08 21:00:00,0.3877,41.383
2015-04-09 00:00:00,0.3543,41.383
2015-04-09 03:00:00,0.35479999999999995,41.383
2015-04-09 06:00:00,0.35200000000000004,41.383
2015-04-09 09:00:00,0.3441,41.382
2015-04-09 12:00:00,0.337,41.38
2015-04-09 15:00:00,0.3446,41.378
2015-04-09 18:00:00,0.3493,41.376999999999995
2015-04-09 21:00:00,0.35450000000000004,41.376999999999995
2015-04-10 00:00:00,0.4058,41.376000000000005
2015-04-10 03:00:00,0.4051,41.376000000000005
2015-04-10 06:00:00,0.4061,41.376000000000005
2015-04-10 09:00:00,0.4059,41.375
2015-04-10 12:00:00,0.4076,41.373000000000005
2015-04-10 15:00:00,0.4061,41.372
2015-04-10 18:00:00,0.408,41.372
2015-04-10 21:00:00,0.4067,41.371
2015-04-11 00:00:00,0.4047,41.371
2015-04-11 03:00:00,0.4048,41.371
2015-04-11 06:00:00,0.4047,41.371
2015-04-11 09:00:00,0.4026,41.37
2015-04-11 12:00:00,0.4023,41.367
2015-04-11 15:00:00,0.4016,41.365
2015-04-11 18:00:00,0.3994,41.365
2015-04-11 21:00:00,0.3975,41.365
2015-04-12 00:00:00,0.1668,41.365
2015-04-12 03:00:00,0.1672,41.364
2015-04-12 06:00:00,0.16879999999999998,41.364
2015-04-12 09:00:00,0.1723,41.408
2015-04-12 12:00:00,0.177,41.565998
2015-04-12 15:00:00,0.1829,41.618
2015-04-12 18:00:00,0.1899,41.618
2015-04-12 21:00:00,0.1934,41.618
2015-04-13 00:00:00,0.1709,41.618
2015-04-13 03:00:00,0.1709,41.618
2015-04-13 06:00:00,0.171,41.617
2015-04-13 09:00:00,0.1709,41.615
2015-04-13 12:00:00,0.1709,41.613
2015-04-13 15:00:00,0.171,41.61
2015-04-13 18:00:00,0.171,41.608000000000004
2015-04-13 21:00:00,0.17129999999999998,41.608000000000004
2015-04-14 00:00:00,0.1715,41.608000000000004
2015-04-14 03:00:00,0.17170000000000002,41.608000000000004
2015-04-14 06:00:00,0.17170000000000002,41.608000000000004
2015-04-14 09:00:00,0.1716,41.607
2015-04-14 12:00:00,0.1716,41.605
2015-04-14 15:00:00,0.17170000000000002,41.603
2015-04-14 18:00:00,0.17170000000000002,41.603
2015-04-14 21:00:00,0.17170000000000002,41.603
2015-04-15 00:00:00,0.17170000000000002,41.602
2015-04-15 03:00:00,0.17170000000000002,41.602
2015-04-15 06:00:00,0.17170000000000002,41.602
2015-04-15 09:00:00,0.1716,41.6
2015-04-15 12:00:00,0.1716,41.597
2015-04-15 15:00:00,0.1716,41.595
2015-04-15 18:00:00,0.17170000000000002,41.595
2015-04-15 21:00:00,0.17190000000000005,41.595
2015-04-16 00:00:00,0.1721,41.595
2015-04-16 03:00:00,0.1724,41.595
2015-04-16 06:00:00,0.1725,41.595
2015-04-16 09:00:00,0.1727,41.593999999999994
2015-04-16 12:00:00,0.1726,41.688
2015-04-16 15:00:00,0.1723,41.733999999999995
2015-04-16 18:00:00,0.1723,41.733999999999995
2015-04-16 21:00:00,0.1722,41.733999999999995
2015-04-17 00:00:00,0.1721,41.733999999999995
2015-04-17 03:00:00,0.1724,41.733999999999995
2015-04-17 06:00:00,0.1724,41.733999999999995
2015-04-17 09:00:00,0.1723,41.783
2015-04-17 12:00:00,0.1723,42.013000000000005
2015-04-17 15:00:00,0.1716,42.207
2015-04-17 18:00:00,0.17170000000000002,42.208999999999996
2015-04-17 21:00:00,0.17309999999999998,42.208
2015-04-18 00:00:00,0.1739,42.208
2015-04-18 03:00:00,0.1739,42.208
2015-04-18 06:00:00,0.174,42.208
2015-04-18 09:00:00,0.1744,42.229
2015-04-18 12:00:00,0.1746,42.418
2015-04-18 15:00:00,0.1761,42.565
2015-04-18 18:00:00,0.17980000000000002,42.57899999999999
2015-04-18 21:00:00,0.1857,42.578
2015-04-19 00:00:00,0.1972,42.577
2015-04-19 03:00:00,0.2158,42.575
2015-04-19 06:00:00,0.2355,42.572998
2015-04-19 09:00:00,0.2543,42.568999999999996
2015-04-19 12:00:00,0.2718,42.56399999999999
2015-04-19 15:00:00,0.2861,42.56100000000001
2015-04-19 18:00:00,0.2987,42.559
2015-04-19 21:00:00,0.3095,42.559
2015-04-20 00:00:00,0.3196,42.558
2015-04-20 03:00:00,0.3282,42.558
2015-04-20 06:00:00,0.3356,42.606
2015-04-20 09:00:00,0.3425,42.815998
2015-04-20 12:00:00,0.3494,43.13399999999999
2015-04-20 15:00:00,0.3558,43.36
2015-04-20 18:00:00,0.3606,43.37
2015-04-20 21:00:00,0.3649,43.37
2015-04-21 00:00:00,0.3679,43.4
2015-04-21 03:00:00,0.3718,43.4
2015-04-21 06:00:00,0.3753,43.4
2015-04-21 09:00:00,0.378,43.4
2015-04-21 12:00:00,0.3806000000000001,43.4
2015-04-21 15:00:00,0.3837,43.4
2015-04-21 18:00:00,0.3887,43.4
2015-04-21 21:00:00,0.3927000000000001,43.398999999999994
2015-04-22 00:00:00,0.3966,43.398999999999994
2015-04-22 03:00:00,0.4003,43.398
2015-04-22 06:00:00,0.4035,43.398
2015-04-22 09:00:00,0.4076,43.394
