,soil moisture,soil_moisture
2015-07-10 05:00:00,0.4007,0.19526452
2015-07-11 05:00:00,0.3896,0.19697104
2015-07-12 05:00:00,0.253,0.2155278
2015-07-13 05:00:00,0.3803,0.22158548
2015-07-14 05:00:00,0.3767,0.2183554
2015-07-15 05:00:00,0.3809,0.22541514
2015-07-16 05:00:00,0.3816,0.2142301
2015-07-17 05:00:00,0.3814,0.21559493
2015-07-18 05:00:00,0.3676,0.19835001
2015-07-19 05:00:00,0.3732,0.19243771
2015-07-20 05:00:00,0.3849,0.21416447
2015-07-21 05:00:00,0.388,0.20448995
2015-07-22 05:00:00,0.3823,0.20629565
2015-07-23 05:00:00,0.38,0.21210797
2015-07-24 05:00:00,0.3748,0.21863715
2015-07-25 05:00:00,0.3746,0.21894056
2015-07-26 05:00:00,0.3801,0.22155927
2015-07-27 05:00:00,0.394,0.23382070000000002
2015-07-28 05:00:00,0.3881,0.2512552
2015-07-29 05:00:00,0.3807,0.23414937
2015-07-30 05:00:00,0.4043,0.2537658
2015-07-31 05:00:00,0.3956,0.23835894
2015-08-01 05:00:00,0.1725,0.23643532
2015-08-02 05:00:00,0.1702,0.22278737
2015-08-03 05:00:00,0.16949999999999998,0.27435043
2015-08-04 05:00:00,0.16920000000000002,0.23800455
2015-08-05 05:00:00,0.5126,0.24221869999999998
2015-08-06 05:00:00,0.4303,0.23654851
2015-08-07 05:00:00,0.3974,0.22849543
2015-08-08 05:00:00,0.3831,0.22807275
2015-08-09 05:00:00,0.3617,0.22719334
2015-08-10 05:00:00,0.3945,0.24213828
2015-08-11 05:00:00,0.3878,0.24340697
2015-08-12 05:00:00,0.3187,0.27877414
2015-08-13 05:00:00,0.3813,0.24059874
2015-08-14 05:00:00,0.3754,0.2395348
2015-08-15 05:00:00,0.3754,0.2496577
2015-08-16 05:00:00,0.364,0.22181639999999997
2015-08-17 05:00:00,0.3606,0.2246789
2015-08-18 05:00:00,0.35710000000000003,0.19876629999999998
2015-08-19 05:00:00,0.3541,0.23163769
2015-08-20 05:00:00,0.3539,0.23090902
2015-08-21 05:00:00,0.3506,0.22438979
2015-08-22 05:00:00,0.3465,0.2036946
2015-08-23 05:00:00,0.34740000000000004,0.20628339
2015-08-24 05:00:00,0.3468,0.20636065
2015-08-25 05:00:00,0.3448,0.20397420000000002
2015-08-26 05:00:00,0.34380000000000005,0.20308277
2015-08-27 05:00:00,0.3444,0.22118717
2015-08-28 05:00:00,0.3476,0.20044023
2015-08-29 05:00:00,0.3538,0.23228551
