,soil moisture,sm_surface_analysis
2015-04-01 03:00:00,0.1806,0.33579907
2015-04-01 06:00:00,0.1822,0.3353349
2015-04-01 09:00:00,0.1819,0.33519578
2015-04-01 12:00:00,0.1777,0.33547142
2015-04-01 15:00:00,0.1777,0.33530578
2015-04-01 18:00:00,0.1778,0.33515100000000003
2015-04-01 21:00:00,0.1791,0.33497596
2015-04-02 00:00:00,0.17989999999999998,0.33521497
2015-04-02 03:00:00,0.1813,0.33533552
2015-04-02 06:00:00,0.182,0.33579037
2015-04-02 09:00:00,0.1822,0.33593762
2015-04-02 12:00:00,0.1824,0.33593062
2015-04-02 15:00:00,0.1835,0.3360925
2015-04-02 18:00:00,0.1845,0.33689094
2015-04-02 21:00:00,0.185,0.33745375
2015-04-03 00:00:00,0.1689,0.3375046
2015-04-03 03:00:00,0.1693,0.33724925
2015-04-03 06:00:00,0.16940000000000002,0.33649054
2015-04-03 09:00:00,0.16940000000000002,0.33590725
2015-04-03 12:00:00,0.16940000000000002,0.3355312
2015-04-03 15:00:00,0.16940000000000002,0.33545244
2015-04-03 18:00:00,0.16949999999999998,0.33507052
2015-04-03 21:00:00,0.1696,0.33508182
2015-04-04 00:00:00,0.1686,0.33550382
2015-04-04 03:00:00,0.1686,0.33556697
2015-04-04 06:00:00,0.16870000000000002,0.33581653
2015-04-04 09:00:00,0.1686,0.33549583
2015-04-04 12:00:00,0.1686,0.3352001
2015-04-04 15:00:00,0.1686,0.33558318
2015-04-04 18:00:00,0.16870000000000002,0.3356024
2015-04-04 21:00:00,0.16879999999999998,0.33541572
2015-04-05 00:00:00,0.4997,0.33503446
2015-04-05 03:00:00,0.4999,0.33475068
2015-04-05 06:00:00,0.4992,0.3346624
2015-04-05 09:00:00,0.4977,0.33539159999999996
2015-04-05 12:00:00,0.4983,0.33567956
2015-04-05 15:00:00,0.5002,0.33577952
2015-04-05 18:00:00,0.5035000000000001,0.33609208
2015-04-05 21:00:00,0.5052,0.33575559999999993
2015-04-06 00:00:00,0.4504,0.33570623
2015-04-06 03:00:00,0.4511,0.33556846
2015-04-06 06:00:00,0.4367,0.3360014
2015-04-06 09:00:00,0.4359,0.33655164
2015-04-06 12:00:00,0.4407,0.33652940000000003
2015-04-06 15:00:00,0.4393,0.3370953
2015-04-06 18:00:00,0.443,0.33822563
2015-04-06 21:00:00,0.4459,0.33886279999999996
2015-04-07 00:00:00,0.3926,0.33935145
2015-04-07 03:00:00,0.3947,0.34002653
2015-04-07 06:00:00,0.3941,0.34016445
2015-04-07 09:00:00,0.3793,0.33947793
2015-04-07 12:00:00,0.3807,0.33925292
2015-04-07 15:00:00,0.3865,0.3388619
2015-04-07 18:00:00,0.3912,0.33864233
2015-04-07 21:00:00,0.3975,0.33894348
2015-04-08 00:00:00,0.4003,0.3389645
2015-04-08 03:00:00,0.4002000000000001,0.33904967
2015-04-08 06:00:00,0.3887,0.33949837
2015-04-08 09:00:00,0.38,0.33892417
2015-04-08 12:00:00,0.3734,0.3376958
2015-04-08 15:00:00,0.3703,0.33614364
2015-04-08 18:00:00,0.3781000000000001,0.33589327
2015-04-08 21:00:00,0.3877,0.336351
2015-04-09 00:00:00,0.3543,0.33702659999999995
2015-04-09 03:00:00,0.35479999999999995,0.33780622
2015-04-09 06:00:00,0.35200000000000004,0.33782342
2015-04-09 09:00:00,0.3441,0.33765495
2015-04-09 12:00:00,0.337,0.33786309999999997
2015-04-09 15:00:00,0.3446,0.33799255
2015-04-09 18:00:00,0.3493,0.33826926
2015-04-09 21:00:00,0.35450000000000004,0.33847532
2015-04-10 00:00:00,0.4058,0.33817437
2015-04-10 03:00:00,0.4051,0.33813176
2015-04-10 06:00:00,0.4061,0.33870506
2015-04-10 09:00:00,0.4059,0.3381863
2015-04-10 12:00:00,0.4076,0.3373383
2015-04-10 15:00:00,0.4061,0.33701602
2015-04-10 18:00:00,0.408,0.33596334
2015-04-10 21:00:00,0.4067,0.33521092
2015-04-11 00:00:00,0.4047,0.3354933
2015-04-11 03:00:00,0.4048,0.3362347
2015-04-11 06:00:00,0.4047,0.33725765
2015-04-11 09:00:00,0.4026,0.33796743
2015-04-11 12:00:00,0.4023,0.33774936
2015-04-11 15:00:00,0.4016,0.33696616
2015-04-11 18:00:00,0.3994,0.33618104
2015-04-11 21:00:00,0.3975,0.33576986
2015-04-12 00:00:00,0.1668,0.33622379999999996
2015-04-12 03:00:00,0.1672,0.33660707
2015-04-12 06:00:00,0.16879999999999998,0.33727816
2015-04-12 09:00:00,0.1723,0.33829388
2015-04-12 12:00:00,0.177,0.3393825
2015-04-12 15:00:00,0.1829,0.3408605
2015-04-12 18:00:00,0.1899,0.34012434
2015-04-12 21:00:00,0.1934,0.33984962
2015-04-13 00:00:00,0.1709,0.33856294
2015-04-13 03:00:00,0.1709,0.33635035
2015-04-13 06:00:00,0.171,0.33510038
2015-04-13 09:00:00,0.1709,0.33465275
2015-04-13 12:00:00,0.1709,0.33447698
2015-04-13 15:00:00,0.171,0.33387578
2015-04-13 18:00:00,0.171,0.33348390000000006
2015-04-13 21:00:00,0.17129999999999998,0.33372197
2015-04-14 00:00:00,0.1715,0.33375037
2015-04-14 03:00:00,0.17170000000000002,0.33313876
2015-04-14 06:00:00,0.17170000000000002,0.33266208
2015-04-14 09:00:00,0.1716,0.33214188
2015-04-14 12:00:00,0.1716,0.33182734
2015-04-14 15:00:00,0.17170000000000002,0.33157770000000003
2015-04-14 18:00:00,0.17170000000000002,0.3317766
2015-04-14 21:00:00,0.17170000000000002,0.332334
2015-04-15 00:00:00,0.17170000000000002,0.33282974
2015-04-15 03:00:00,0.17170000000000002,0.33316484
2015-04-15 06:00:00,0.17170000000000002,0.33375537
2015-04-15 09:00:00,0.1716,0.33390406
2015-04-15 12:00:00,0.1716,0.33349136
2015-04-15 15:00:00,0.1716,0.33275566
2015-04-15 18:00:00,0.17170000000000002,0.33240595
2015-04-15 21:00:00,0.17190000000000005,0.33219424
2015-04-16 00:00:00,0.1721,0.33173838
2015-04-16 03:00:00,0.1724,0.33141375
2015-04-16 06:00:00,0.1725,0.33160612
2015-04-16 09:00:00,0.1727,0.33266506
2015-04-16 12:00:00,0.1726,0.33599246
2015-04-16 15:00:00,0.1723,0.3370097
2015-04-16 18:00:00,0.1723,0.33557943
2015-04-16 21:00:00,0.1722,0.33468807
2015-04-17 00:00:00,0.1721,0.3337828
2015-04-17 03:00:00,0.1724,0.33404765
2015-04-17 06:00:00,0.1724,0.3347248
2015-04-17 09:00:00,0.1723,0.33499113
2015-04-17 12:00:00,0.1723,0.33553442
2015-04-17 15:00:00,0.1716,0.3360883
2015-04-17 18:00:00,0.17170000000000002,0.33607662
2015-04-17 21:00:00,0.17309999999999998,0.33548546
2015-04-18 00:00:00,0.1739,0.33516288
2015-04-18 03:00:00,0.1739,0.33534738
2015-04-18 06:00:00,0.174,0.33566466
2015-04-18 09:00:00,0.1744,0.33621934
2015-04-18 12:00:00,0.1746,0.33796492
2015-04-18 15:00:00,0.1761,0.34003028
2015-04-18 18:00:00,0.17980000000000002,0.33942404
2015-04-18 21:00:00,0.1857,0.3388716
2015-04-19 00:00:00,0.1972,0.33836564
2015-04-19 03:00:00,0.2158,0.33710203
2015-04-19 06:00:00,0.2355,0.33622417
2015-04-19 09:00:00,0.2543,0.3361881
2015-04-19 12:00:00,0.2718,0.3355448
2015-04-19 15:00:00,0.2861,0.33503246
2015-04-19 18:00:00,0.2987,0.33513317
2015-04-19 21:00:00,0.3095,0.33562067
2015-04-20 00:00:00,0.3196,0.33642447
2015-04-20 03:00:00,0.3282,0.33700743
2015-04-20 06:00:00,0.3356,0.33689627
2015-04-20 09:00:00,0.3425,0.33676437
2015-04-20 12:00:00,0.3494,0.339471
2015-04-20 15:00:00,0.3558,0.33942378
2015-04-20 18:00:00,0.3606,0.33825505
2015-04-20 21:00:00,0.3649,0.33711696
2015-04-21 00:00:00,0.3679,0.33626065
2015-04-21 03:00:00,0.3718,0.33609715
2015-04-21 06:00:00,0.3753,0.33597764
2015-04-21 09:00:00,0.378,0.3371725
2015-04-21 12:00:00,0.3806000000000001,0.3443172
2015-04-21 15:00:00,0.3837,0.34799309999999994
2015-04-21 18:00:00,0.3887,0.34538916
2015-04-21 21:00:00,0.3927000000000001,0.34491667
2015-04-22 00:00:00,0.3966,0.34358442
2015-04-22 03:00:00,0.4003,0.34197775
2015-04-22 06:00:00,0.4035,0.3405434
2015-04-22 09:00:00,0.4076,0.33932343
2015-04-22 12:00:00,0.4121,0.33843586
2015-04-22 15:00:00,0.4162,0.33818778
2015-04-22 18:00:00,0.4201,0.33831024
2015-04-22 21:00:00,0.4232,0.33817859999999994
2015-04-23 00:00:00,0.4261,0.33790103
2015-04-23 03:00:00,0.429,0.33742645
2015-04-23 06:00:00,0.4308,0.3371079
2015-04-23 09:00:00,0.4332,0.33706084
2015-04-23 12:00:00,0.4363,0.33746162
2015-04-23 15:00:00,0.4403,0.3377974
2015-04-23 18:00:00,0.4438,0.33759236
2015-04-23 21:00:00,0.446,0.33778515
2015-04-24 00:00:00,0.4477,0.33812365
2015-04-24 03:00:00,0.4497,0.33815515
2015-04-24 06:00:00,0.4505,0.33756617
2015-04-24 09:00:00,0.451,0.33710316
2015-04-24 12:00:00,0.4533,0.33875190000000005
2015-04-24 15:00:00,0.4565,0.34042966
2015-04-24 18:00:00,0.4606,0.33973482
2015-04-24 21:00:00,0.4621,0.33937156
2015-04-25 00:00:00,0.4634,0.33876848
2015-04-25 03:00:00,0.4649,0.3381798
2015-04-25 06:00:00,0.4653,0.33778003
2015-04-25 09:00:00,0.4645,0.33750156
2015-04-25 12:00:00,0.466,0.33779466
2015-04-25 15:00:00,0.4695,0.33769974
2015-04-25 18:00:00,0.4737,0.33743382
2015-04-25 21:00:00,0.4758,0.33753893
2015-04-26 00:00:00,0.4767,0.33770272
2015-04-26 03:00:00,0.4767,0.3376026
2015-04-26 06:00:00,0.476,0.33799723
2015-04-26 09:00:00,0.476,0.33831700000000003
2015-04-26 12:00:00,0.4749,0.33758828
2015-04-26 15:00:00,0.4778,0.33666325
2015-04-26 18:00:00,0.4817,0.33614898
2015-04-26 21:00:00,0.4832,0.3362116
2015-04-27 00:00:00,0.484,0.33641574
2015-04-27 03:00:00,0.4841,0.3363633
2015-04-27 06:00:00,0.4826,0.33647737
2015-04-27 09:00:00,0.4807,0.33675876
2015-04-27 12:00:00,0.4822,0.33676907
2015-04-27 15:00:00,0.4853,0.33636817
2015-04-27 18:00:00,0.4872,0.33618847
2015-04-27 21:00:00,0.4876,0.33507606
2015-04-28 00:00:00,0.4875,0.33394817
2015-04-28 03:00:00,0.4879,0.3329979
2015-04-28 06:00:00,0.4879,0.33272728
2015-04-28 09:00:00,0.4884000000000001,0.33355534
2015-04-28 12:00:00,0.4884000000000001,0.3340347
2015-04-28 15:00:00,0.4896,0.3339928
2015-04-28 18:00:00,0.4904,0.33432627
2015-04-28 21:00:00,0.4904,0.33558643
2015-04-29 00:00:00,0.4908,0.33655167
2015-04-29 03:00:00,0.4912,0.33711448
2015-04-29 06:00:00,0.4912,0.3370719
2015-04-29 09:00:00,0.4912,0.33718503
2015-04-29 12:00:00,0.4918,0.33712447
2015-04-29 15:00:00,0.4926,0.33690098
2015-04-29 18:00:00,0.4937,0.33695543
2015-04-29 21:00:00,0.4941,0.337302
2015-04-30 00:00:00,0.4952,0.33737
2015-04-30 03:00:00,0.4966,0.3378516
2015-04-30 06:00:00,0.4962,0.33820832
2015-04-30 09:00:00,0.4942,0.33872595
2015-04-30 12:00:00,0.4932,0.33917022
2015-04-30 15:00:00,0.4942,0.33996679999999996
2015-04-30 18:00:00,0.4956,0.3391305
2015-04-30 21:00:00,0.4961,0.33893904
2015-05-01 00:00:00,0.17980000000000002,0.33848432
2015-05-01 03:00:00,0.17989999999999998,0.33790755
2015-05-01 06:00:00,0.1806,0.33756033
2015-05-01 09:00:00,0.1815,0.33780268
2015-05-01 12:00:00,0.1818,0.33964178
2015-05-01 15:00:00,0.181,0.33997944
2015-05-01 18:00:00,0.1821,0.3379986
2015-05-01 21:00:00,0.1822,0.33700672
2015-05-02 00:00:00,0.1855,0.3362895
2015-05-02 03:00:00,0.1843,0.3355435
2015-05-02 06:00:00,0.1821,0.3351923
2015-05-02 09:00:00,0.1808,0.33507386
2015-05-02 12:00:00,0.1788,0.33779785
2015-05-02 15:00:00,0.177,0.33911964
2015-05-02 18:00:00,0.1761,0.33966616
2015-05-02 21:00:00,0.1753,0.3404467
2015-05-03 00:00:00,0.1702,0.34110690000000005
2015-05-03 03:00:00,0.1702,0.34052172
2015-05-03 06:00:00,0.17079999999999998,0.3398325
2015-05-03 09:00:00,0.171,0.33967182
2015-05-03 12:00:00,0.1711,0.33984527
2015-05-03 15:00:00,0.17129999999999998,0.33974704
2015-05-03 18:00:00,0.1718,0.33963522
2015-05-03 21:00:00,0.17129999999999998,0.34019777
2015-05-04 00:00:00,0.16870000000000002,0.3405851
2015-05-04 03:00:00,0.16879999999999998,0.34042755
2015-05-04 06:00:00,0.16870000000000002,0.34064814
2015-05-04 09:00:00,0.16870000000000002,0.340579
2015-05-04 12:00:00,0.1686,0.33988556
2015-05-04 15:00:00,0.16870000000000002,0.33970883
2015-05-04 18:00:00,0.1684,0.33991098
2015-05-04 21:00:00,0.1684,0.33987585
2015-05-05 00:00:00,0.5054,0.3397281
2015-05-05 03:00:00,0.5049,0.33927277
