date_time,soil moisture,SM
2015-04-01 05:00:00,0.579,0.23399999999999999
2015-04-02 05:00:00,0.583,0.2095
2015-04-04 05:00:00,0.567,0.19299999
2015-04-06 05:00:00,0.525,0.18699999
2015-04-07 05:00:00,0.516,0.16219999
2015-04-09 05:00:00,0.518,0.17289999
2015-04-10 05:00:00,0.521,0.1591
2015-04-11 05:00:00,0.5,0.17469999
2015-04-12 05:00:00,0.497,0.1871
2015-04-14 05:00:00,0.532,0.1936
2015-04-15 05:00:00,0.537,0.19849999
2015-04-16 05:00:00,0.544,0.1741
2015-04-17 05:00:00,0.526,0.1664
2015-04-19 05:00:00,0.512,0.088599995
2015-04-20 05:00:00,0.504,0.0382
2015-04-22 05:00:00,0.463,0.14400000000000002
2015-04-24 05:00:00,0.415,0.1152
2015-04-25 05:00:00,0.4,0.1191
2015-04-27 05:00:00,0.423,0.159
2015-04-29 05:00:00,0.386,0.078
2015-04-30 05:00:00,0.502,0.23349999
2015-05-02 05:00:00,0.482,0.1778
2015-05-03 05:00:00,0.458,0.0758
2015-05-04 05:00:00,0.506,0.2689
2015-05-05 05:00:00,0.503,0.1846
2015-05-07 05:00:00,0.547,0.2608
2015-05-08 05:00:00,0.542,0.2093
2015-05-10 05:00:00,0.541,0.2162
2015-05-12 05:00:00,0.49,0.19119999
2015-05-13 05:00:00,0.533,0.1959
2015-05-15 05:00:00,0.526,0.1697
2015-05-16 05:00:00,0.504,0.1335
2015-05-17 05:00:00,0.517,0.18339999
2015-05-18 05:00:00,0.512,0.1775
2015-05-20 05:00:00,0.551,0.1937
2015-05-21 05:00:00,0.54,0.1731
2015-05-22 05:00:00,0.528,0.17459999
2015-05-23 05:00:00,0.518,0.1748
2015-05-25 05:00:00,0.493,0.1529
2015-05-26 05:00:00,0.502,0.10759999599999999
2015-05-28 05:00:00,0.484,0.1651
2015-05-30 05:00:00,0.541,0.2717
2015-05-31 05:00:00,0.559,0.21429999
2015-06-02 05:00:00,0.557,0.2443
2015-06-03 05:00:00,0.572,0.2145
2015-06-04 05:00:00,0.556,0.21689999
2015-06-05 05:00:00,0.53,0.12789999
2015-06-07 05:00:00,0.47,0.17119999
2015-06-08 05:00:00,0.451,0.123399995
2015-06-09 05:00:00,0.439,0.1593
2015-06-10 05:00:00,0.412,0.1134
2015-06-12 05:00:00,0.306,0.123799995
2015-06-13 05:00:00,0.259,0.1068
2015-06-15 05:00:00,0.417,0.1639
2015-06-17 05:00:00,0.339,0.1619
2015-06-18 05:00:00,0.486,0.1601
2015-06-20 05:00:00,0.498,0.19759999
2015-06-21 05:00:00,0.467,0.13769999
2015-06-22 05:00:00,0.535,0.26729998
2015-06-23 05:00:00,0.527,0.0002
2015-06-25 05:00:00,0.473,0.1568
2015-06-26 05:00:00,0.413,0.1549
2015-06-28 05:00:00,0.421,0.1346
2015-07-01 05:00:00,0.352,0.0837
2015-07-03 05:00:00,0.248,0.1353
2015-07-05 05:00:00,0.227,0.2084
2015-07-06 05:00:00,0.236,0.1286
2015-07-08 05:00:00,0.225,0.163
2015-07-10 05:00:00,0.293,0.2103
2015-07-11 05:00:00,0.253,0.1459
2015-07-13 05:00:00,0.242,0.1548
2015-07-14 05:00:00,0.236,0.131
2015-07-15 05:00:00,0.223,0.1564
2015-07-16 05:00:00,0.21,0.1191
2015-07-18 05:00:00,0.197,0.11669999
2015-07-19 05:00:00,0.19,0.092599995
2015-07-21 05:00:00,0.23,0.1677
2015-07-23 05:00:00,0.224,0.0394
