,soil moisture,SM
2015-04-01 05:00:00,0.2358,0.218
2015-04-02 05:00:00,0.2642,0.21139999
2015-04-03 05:00:00,0.2826,0.2586
2015-04-05 05:00:00,0.1365,0.2764
2015-04-06 05:00:00,0.1726,0.23339999
2015-04-07 05:00:00,0.115,0.2759
2015-04-08 05:00:00,0.16879999999999998,0.3645
2015-04-10 05:00:00,0.07601000000000001,0.3895
2015-04-11 05:00:00,0.05621,0.1927
2015-04-12 05:00:00,0.1382,0.19659999
2015-04-13 05:00:00,0.2173,0.31219998
2015-04-15 05:00:00,0.2049,0.3207
2015-04-16 05:00:00,0.2009,0.3724
2015-04-17 05:00:00,0.1973,0.1828
2015-04-18 05:00:00,0.1944,0.389
2015-04-19 05:00:00,0.1845,0.1955
2015-04-20 05:00:00,0.1783,0.0676
2015-04-21 05:00:00,0.17170000000000002,0.2591
2015-04-24 05:00:00,0.1534,0.3426
2015-04-25 05:00:00,0.1487,0.3284
2015-04-26 05:00:00,0.1452,0.2638
2015-04-28 05:00:00,0.1369,0.36249998
2015-04-29 05:00:00,0.1332,0.3144
2015-04-30 05:00:00,0.1316,0.2445
2015-05-01 05:00:00,0.2361,0.27989998
2015-05-03 05:00:00,0.2795,0.2197
2015-05-04 05:00:00,0.2613,0.2701
2015-05-05 05:00:00,0.1346,0.22209999
2015-05-06 05:00:00,0.1732,0.3047
2015-05-07 05:00:00,0.1071,0.2015
2015-05-08 05:00:00,0.1609,0.33159998
2015-05-11 05:00:00,0.049280000000000004,0.2767
2015-05-12 05:00:00,0.1481,0.33699998
2015-05-13 05:00:00,0.151,0.3604
2015-05-14 05:00:00,0.2006,0.3299
2015-05-16 05:00:00,0.1974,0.3703
2015-05-17 05:00:00,0.2307,0.3091
2015-05-18 05:00:00,0.2642,0.2705
2015-05-19 05:00:00,0.2536,0.21509999
2015-05-21 05:00:00,0.2371,0.2724
2015-05-22 05:00:00,0.23,0.18789999
2015-05-23 05:00:00,0.2245,0.26479998
2015-05-24 05:00:00,0.2151,0.2929
2015-05-26 05:00:00,0.2003,0.3013
2015-05-27 05:00:00,0.1954,0.2854
2015-05-29 05:00:00,0.1789,0.3387
2015-05-30 05:00:00,0.17170000000000002,0.3425
2015-05-31 05:00:00,0.2043,0.2487
2015-06-01 05:00:00,0.2306,0.2907
2015-06-03 05:00:00,0.2755,0.2584
2015-06-04 05:00:00,0.264,0.3055
2015-06-05 05:00:00,0.1341,0.2014
2015-06-06 05:00:00,0.17010000000000006,0.2698
2015-06-08 05:00:00,0.1703,0.2608
2015-06-09 05:00:00,0.06987,0.23799999
2015-06-10 05:00:00,0.06386,0.3459
2015-06-11 05:00:00,0.057479999999999976,0.3717
2015-06-13 05:00:00,0.1342,0.37539998
2015-06-14 05:00:00,0.1346,0.3579
2015-06-16 05:00:00,0.139,0.2838
2015-06-18 05:00:00,0.1308,0.19389999
2015-06-19 05:00:00,0.1289,0.2182
2015-06-21 05:00:00,0.1236,0.2262
2015-06-22 05:00:00,0.1193,0.29299998
2015-06-24 05:00:00,0.13849999999999998,0.1814
2015-06-26 05:00:00,0.166,0.22389999
2015-06-27 05:00:00,0.1634,0.25059998
2015-06-28 05:00:00,0.1552,0.2497
2015-06-29 05:00:00,0.15130000000000002,0.34109998
2015-07-01 05:00:00,0.2272,0.3266
2015-07-02 05:00:00,0.2608,0.3567
2015-07-04 05:00:00,0.2565,0.46989998
2015-07-05 05:00:00,0.1347,0.3694
2015-07-06 05:00:00,0.1664,0.3198
2015-07-07 05:00:00,0.0997,0.281
2015-07-09 05:00:00,0.06491000000000001,0.1784
2015-07-10 05:00:00,0.061070000000000006,0.1797
2015-07-11 05:00:00,0.0595,0.28239998
2015-07-12 05:00:00,0.1572,0.1982
2015-07-14 05:00:00,0.1454,0.22909999
2015-07-15 05:00:00,0.14,0.4131
2015-07-16 05:00:00,0.1381,0.20799999
2015-07-17 05:00:00,0.1751,0.1928
