,soil moisture,SM
2015-06-26 05:00:00,0.412,0.23959999
2015-06-29 05:00:00,0.3971,0.4544
2015-06-30 05:00:00,0.3873,0.1989
2015-07-01 05:00:00,0.1736,0.22549999
2015-07-02 05:00:00,0.16879999999999998,0.0916
2015-07-04 05:00:00,0.1686,0.16849999
2015-07-05 05:00:00,0.5135000000000001,0.12329999
2015-07-06 05:00:00,0.4319,0.061699998
2015-07-07 05:00:00,0.3823,0.088599995
2015-07-09 05:00:00,0.3652,0.2065
2015-07-10 05:00:00,0.4007,0.1656
2015-07-12 05:00:00,0.253,0.1978
2015-07-13 05:00:00,0.3803,0.2174
2015-07-14 05:00:00,0.3767,0.2333
2015-07-15 05:00:00,0.3809,0.18439999
2015-07-16 05:00:00,0.3816,0.24859999
2015-07-17 05:00:00,0.3814,0.1545
2015-07-18 05:00:00,0.3676,0.18079999
2015-07-19 05:00:00,0.3732,0.2156
2015-07-20 05:00:00,0.3849,0.2191
2015-07-21 05:00:00,0.388,0.1853
2015-07-22 05:00:00,0.3823,0.2315
2015-07-23 05:00:00,0.38,0.22289999
2015-07-24 05:00:00,0.3748,0.2331
2015-07-25 05:00:00,0.3746,0.2216
2015-07-26 05:00:00,0.3801,0.1911
2015-07-27 05:00:00,0.394,0.3502
2015-07-28 05:00:00,0.3881,0.22819999
2015-07-29 05:00:00,0.3807,0.25
2015-07-30 05:00:00,0.4043,0.2773
2015-07-31 05:00:00,0.3956,0.2429
2015-08-01 05:00:00,0.1725,0.2294
2015-08-02 05:00:00,0.1702,0.2118
2015-08-03 05:00:00,0.16949999999999998,0.23789999
2015-08-04 05:00:00,0.16920000000000002,0.21139999
2015-08-05 05:00:00,0.5126,0.22899999
2015-08-06 05:00:00,0.4303,0.2444
2015-08-07 05:00:00,0.3974,0.22819999
2015-08-08 05:00:00,0.3831,0.2201
2015-08-09 05:00:00,0.3617,0.24049999
2015-08-10 05:00:00,0.3945,0.2126
2015-08-11 05:00:00,0.3878,0.23699999
2015-08-12 05:00:00,0.3187,0.264
2015-08-13 05:00:00,0.3813,0.204
2015-08-14 05:00:00,0.3754,0.2166
2015-08-15 05:00:00,0.3754,0.28059998
2015-08-16 05:00:00,0.364,0.3022
2015-08-17 05:00:00,0.3606,0.2739
2015-08-18 05:00:00,0.35710000000000003,0.27179998
2015-08-19 05:00:00,0.3541,0.2463
2015-08-20 05:00:00,0.3539,0.2543
2015-08-21 05:00:00,0.3506,0.2635
2015-08-22 05:00:00,0.3465,0.2977
2015-08-23 05:00:00,0.34740000000000004,0.2626
2015-08-24 05:00:00,0.3468,0.23709999
2015-08-25 05:00:00,0.3448,0.2445
2015-08-26 05:00:00,0.34380000000000005,0.2262
2015-08-27 05:00:00,0.3444,0.2445
2015-08-28 05:00:00,0.3476,0.261
2015-08-29 05:00:00,0.3538,0.31149998
2015-08-30 05:00:00,0.3518,0.2748
2015-08-31 05:00:00,0.3531,0.23259999
2015-09-01 05:00:00,0.1732,0.2555
2015-09-02 05:00:00,0.1703,0.2067
2015-09-03 05:00:00,0.16940000000000002,0.21149999
2015-09-04 05:00:00,0.17010000000000006,0.24929999
2015-09-05 05:00:00,0.5186,0.214
2015-09-06 05:00:00,0.4251,0.2244
2015-09-07 05:00:00,0.3936,0.20439999
2015-09-08 05:00:00,0.3752,0.2171
2015-09-09 05:00:00,0.3544,0.2537
2015-09-10 05:00:00,0.3939,0.2049
2015-09-11 05:00:00,0.3877,0.1767
2015-09-12 05:00:00,0.1959,0.20279999
2015-09-13 05:00:00,0.3643,0.18509999
2015-09-14 05:00:00,0.3489,0.21599999
2015-09-15 05:00:00,0.3404,0.1815
2015-09-16 05:00:00,0.3457,0.185
2015-09-17 05:00:00,0.3403,0.1998
2015-09-18 05:00:00,0.3594,0.2126
2015-09-19 05:00:00,0.3754,0.251
2015-09-20 05:00:00,0.3667,0.19409999
2015-09-21 05:00:00,0.3648,0.21139999
2015-09-22 05:00:00,0.3675,0.21849999
2015-09-23 05:00:00,0.3779,0.1994
2015-09-24 05:00:00,0.3736,0.23600000000000002
2015-09-25 05:00:00,0.3835,0.19409999
2015-09-26 05:00:00,0.3891,0.2698
2015-09-27 05:00:00,0.3844,0.2634
2015-09-28 05:00:00,0.383,0.2012
2015-09-29 05:00:00,0.3831,0.2057
2015-09-30 05:00:00,0.3887,0.2287
2015-10-01 05:00:00,0.1782,0.1934
2015-10-02 05:00:00,0.16649999999999998,0.23089999
2015-10-04 05:00:00,0.1709,0.0885
2015-10-05 05:00:00,0.5225,0.1767
2015-10-06 05:00:00,0.4184000000000001,0.053299997
2015-10-10 05:00:00,0.3746,0.37109998
2016-06-12 05:00:00,0.114,0.1777
2016-06-15 05:00:00,0.3876,0.17889999
2016-06-17 05:00:00,0.3818,0.1805
2016-06-20 05:00:00,0.41,0.32209998
2016-06-23 05:00:00,0.3882,0.0598
2016-06-25 05:00:00,0.3736,0.15699999
2016-06-26 05:00:00,0.3836,0.19209999
2016-06-27 05:00:00,0.3716,0.2847
2016-06-28 05:00:00,0.3746,0.4037
2016-06-29 05:00:00,0.3741,0.1274
2016-06-30 05:00:00,0.3834,0.1654
2016-07-01 05:00:00,0.1939,0.2421
2016-07-02 05:00:00,0.16879999999999998,0.2032
2016-07-03 05:00:00,0.1628,0.16489999
2016-07-04 05:00:00,0.1703,0.2084
2016-07-05 05:00:00,0.4952,0.23969999
2016-07-06 05:00:00,0.3881,0.1794
2016-07-07 05:00:00,0.4051,0.221
2016-07-08 05:00:00,0.3358,0.2687
2016-07-09 05:00:00,0.3322,0.24499999
2016-07-10 05:00:00,0.3184,0.3028
2016-07-11 05:00:00,0.1305,0.3038
2016-07-12 05:00:00,0.114,0.2641
2016-07-13 05:00:00,0.3766,0.3012
2016-07-14 05:00:00,0.3816,0.2463
2016-07-15 05:00:00,0.3852,0.2755
2016-07-16 05:00:00,0.3727,0.2412
2016-07-17 05:00:00,0.4076,0.2703
2016-07-18 05:00:00,0.4033,0.2713
