datetime_utc,soil moisture,SM
2015-05-01 05:00:00,0.2159,0.1929
2015-06-01 05:00:00,0.2131,0.3333
2015-07-01 05:00:00,0.2114,0.3258
2015-08-01 05:00:00,0.2115,0.3417
2015-09-01 05:00:00,0.2129,0.2643
2015-10-01 05:00:00,0.2122,0.3339
2015-11-01 05:00:00,0.2092,0.2653
2015-05-02 05:00:00,0.2056,0.31919998
2015-06-02 05:00:00,0.2048,0.3592
2015-07-02 05:00:00,0.2049,0.34649998
2015-08-02 05:00:00,0.2054,0.315
2015-09-02 05:00:00,0.2058,0.2643
2015-10-02 05:00:00,0.2061,0.32029998
2015-11-02 05:00:00,0.206,0.32389998
2015-05-03 05:00:00,0.2122,0.39409998
2015-06-03 05:00:00,0.2119,0.37739998
2015-07-03 05:00:00,0.2111,0.3058
2015-08-03 05:00:00,0.2104,0.2845
2015-10-03 05:00:00,0.2113,0.3006
2015-11-03 05:00:00,0.2123,0.2118
2015-05-04 05:00:00,0.2115,0.2814
2015-06-04 05:00:00,0.2122,0.33679998
2015-07-04 05:00:00,0.2129,0.3445
2015-08-04 05:00:00,0.2269,0.29749998
2015-09-04 05:00:00,0.23010000000000005,0.2753
2015-10-04 05:00:00,0.2391,0.2795
2015-11-04 05:00:00,0.2451,0.35
2015-04-29 05:00:00,0.2498,0.1964
2015-04-30 05:00:00,0.2475,0.2224
2015-05-05 05:00:00,0.2559,0.3306
2015-06-05 05:00:00,0.2624,0.41149998
2015-07-05 05:00:00,0.2733,0.3084
2015-08-05 05:00:00,0.2609,0.29299998
2015-09-05 05:00:00,0.2493,0.2242
2015-10-05 05:00:00,0.2349,0.26839998
2015-05-14 05:00:00,0.2409,0.36200000000000004
2015-05-15 05:00:00,0.2607,0.2766
2015-05-16 05:00:00,0.25,0.2744
2015-05-17 05:00:00,0.2341,0.1845
2015-05-18 05:00:00,0.2368,0.2496
2015-05-19 05:00:00,0.2472,0.3764
2015-05-21 05:00:00,0.257,0.2861
2015-05-22 05:00:00,0.2438,0.1885
2015-05-23 05:00:00,0.2652,0.2922
2015-05-24 05:00:00,0.2559,0.282
2015-05-25 05:00:00,0.2465,0.40379998
2015-05-26 05:00:00,0.2773,0.2949
2015-05-27 05:00:00,0.2952,0.4332
2015-05-28 05:00:00,0.2665,0.3274
2015-05-29 05:00:00,0.2543,0.37989998
2015-05-30 05:00:00,0.2606,0.35529998
2015-05-06 05:00:00,0.2522,0.2766
2015-06-06 05:00:00,0.2441,0.3304
2015-08-06 05:00:00,0.2663,0.3362
2015-09-06 05:00:00,0.2514,0.2478
2015-10-06 05:00:00,0.2451,0.18509999
2015-11-06 05:00:00,0.2311,0.0385
2015-06-13 05:00:00,0.2514,0.3319
2015-06-14 05:00:00,0.2341,0.34919998
2015-06-15 05:00:00,0.2342,0.2613
2015-06-16 05:00:00,0.2256,0.3295
2015-06-19 05:00:00,0.2104,0.3387
2015-06-20 05:00:00,0.2063,0.3378
2015-06-21 05:00:00,0.2002,0.3475
2015-06-22 05:00:00,0.1975,0.3143
2015-06-23 05:00:00,0.2064,0.2403
2015-06-24 05:00:00,0.201,0.27969998
2015-06-25 05:00:00,0.2536,0.36229998
2015-06-26 05:00:00,0.2575,0.30089998
2015-06-27 05:00:00,0.2836,0.34379998
2015-06-28 05:00:00,0.2551,0.2514
2015-06-29 05:00:00,0.2409,0.3172
2015-06-30 05:00:00,0.2825,0.2784
2015-05-07 05:00:00,0.2428,0.3342
2015-06-07 05:00:00,0.2212,0.39319998
2015-07-07 05:00:00,0.28350000000000003,0.3083
2015-08-07 05:00:00,0.2822,0.3308
2015-09-07 05:00:00,0.2703,0.2498
2015-10-07 05:00:00,0.26890000000000003,0.22019999
2015-11-07 05:00:00,0.2447,0.2771
2015-07-13 05:00:00,0.2332,0.33929998
2015-07-14 05:00:00,0.2145,0.3051
2015-07-15 05:00:00,0.2406,0.294
2015-07-16 05:00:00,0.2447,0.2579
2015-07-17 05:00:00,0.2256,0.32099998
2015-07-18 05:00:00,0.2078,0.2963
2015-07-19 05:00:00,0.247,0.3056
2015-07-20 05:00:00,0.2186,0.32639998
2015-07-21 05:00:00,0.20440000000000005,0.3118
2015-07-22 05:00:00,0.1989,0.3283
2015-07-23 05:00:00,0.2532,0.225
2015-07-25 05:00:00,0.2425,0.2918
2015-07-26 05:00:00,0.229,0.2864
2015-07-27 05:00:00,0.2809,0.4085
2015-07-28 05:00:00,0.2586,0.2742
2015-07-29 05:00:00,0.2373,0.2857
2015-07-30 05:00:00,0.2702,0.3299
2015-07-31 05:00:00,0.2597,0.3232
2015-05-08 05:00:00,0.2231,0.31419998
2015-06-08 05:00:00,0.2186,0.3381
2015-07-08 05:00:00,0.2366,0.2999
2015-08-08 05:00:00,0.2249,0.3094
2015-09-08 05:00:00,0.2081,0.2048
2015-10-08 05:00:00,0.1982,0.21100000000000002
2015-08-13 05:00:00,0.1824,0.2731
2015-08-14 05:00:00,0.1828,0.2683
2015-08-15 05:00:00,0.1764,0.249
2015-08-17 05:00:00,0.1598,0.2704
2015-08-18 05:00:00,0.15689999999999998,0.2643
2015-08-20 05:00:00,0.1542,0.24219999
2015-08-21 05:00:00,0.1524,0.2358
2015-08-22 05:00:00,0.1499,0.30879998
2015-08-23 05:00:00,0.14859999999999998,0.19929999
2015-08-24 05:00:00,0.1458,0.2644
2015-08-25 05:00:00,0.1429,0.24509999
2015-08-26 05:00:00,0.15,0.2525
2015-08-27 05:00:00,0.1582,0.2778
2015-08-28 05:00:00,0.2349,0.3056
2015-08-29 05:00:00,0.2048,0.1651
2015-08-30 05:00:00,0.1814,0.3048
2015-08-31 05:00:00,0.1714,0.23529999
2015-06-09 05:00:00,0.1757,0.40359998
2015-07-09 05:00:00,0.1657,0.3136
2015-08-09 05:00:00,0.1606,0.3207
2015-09-09 05:00:00,0.15689999999999998,0.2828
2015-11-09 05:00:00,0.1431,0.121199995
2015-09-13 05:00:00,0.146,0.24059999
2015-09-14 05:00:00,0.1478,0.2997
2015-09-15 05:00:00,0.1475,0.2609
2015-09-16 05:00:00,0.1535,0.2392
2015-09-17 05:00:00,0.205,0.3811
2015-09-18 05:00:00,0.2457,0.3507
2015-09-19 05:00:00,0.2416,0.42139998
2015-09-20 05:00:00,0.2202,0.13939999
2015-09-22 05:00:00,0.2128,0.37019998
2015-09-23 05:00:00,0.2068,0.2279
2015-09-24 05:00:00,0.2433,0.36139998
2015-09-25 05:00:00,0.2462,0.34939998
2015-09-26 05:00:00,0.2256,0.27989998
2015-09-27 05:00:00,0.2161,0.3196
2015-09-28 05:00:00,0.2045,0.2403
2015-09-29 05:00:00,0.1957,0.3143
2015-09-30 05:00:00,0.1915,0.39429998
2015-05-10 05:00:00,0.1793,0.3685
2015-06-10 05:00:00,0.1707,0.3275
2015-07-10 05:00:00,0.1716,0.2927
2015-08-10 05:00:00,0.17550000000000002,0.3146
2015-09-10 05:00:00,0.17190000000000005,0.22549999
2015-10-10 05:00:00,0.1611,0.27609998
2015-10-13 05:00:00,0.1592,0.1863
2015-10-14 05:00:00,0.1605,0.18339999
2015-10-16 05:00:00,0.1629,0.2305
2015-10-17 05:00:00,0.16510000000000002,0.2435
2015-10-18 05:00:00,0.16079999999999994,0.22729999
2015-10-19 05:00:00,0.1487,0.1708
2015-10-20 05:00:00,0.145,0.17989999
2015-10-21 05:00:00,0.15380000000000002,0.2875
2015-10-22 05:00:00,0.1873,0.27989998
2015-10-23 05:00:00,0.2207,0.29479998
2015-10-24 05:00:00,0.1949,0.19659999
2015-10-25 05:00:00,0.204,0.35259998
2015-10-26 05:00:00,0.2032,0.24599999
2015-10-31 05:00:00,0.1839,0.2929
2015-05-11 05:00:00,0.17379999999999998,0.3214
2015-06-11 05:00:00,0.1757,0.3777
2015-07-11 05:00:00,0.1922,0.2974
2015-08-11 05:00:00,0.2285,0.3272
2015-09-11 05:00:00,0.2115,0.2586
2015-10-11 05:00:00,0.2333,0.2061
2015-11-13 05:00:00,0.1884,0.0936
2015-05-12 05:00:00,0.1952,0.5834
2015-06-12 05:00:00,0.1981,0.35959998
2015-07-12 05:00:00,0.1951,0.3109
2015-08-12 05:00:00,0.1914,0.3134
2015-09-12 05:00:00,0.1914,0.27629998
2015-10-12 05:00:00,0.2017,0.2445
2016-07-01 05:00:00,0.1598,0.2561
2016-08-01 05:00:00,0.146,0.3032
2016-09-01 05:00:00,0.1206,0.2606
2016-10-01 05:00:00,0.1193,0.0295
2016-06-02 05:00:00,0.1229,0.3572
2016-07-02 05:00:00,0.1243,0.20789999
2016-09-02 05:00:00,0.1251,0.3202
2016-10-02 05:00:00,0.1257,0.2595
2016-05-03 05:00:00,0.1332,0.271
2016-06-03 05:00:00,0.1324,0.3302
2016-07-03 05:00:00,0.1324,0.3724
2016-08-03 05:00:00,0.1324,0.2923
2016-09-03 05:00:00,0.1316,0.2499
2016-10-03 05:00:00,0.1316,0.2464
2016-06-04 05:00:00,0.16829999999999998,0.29119998
2016-07-04 05:00:00,0.1854,0.2994
2016-08-04 05:00:00,0.1884,0.1858
2016-09-04 05:00:00,0.1891,0.2802
2016-10-04 05:00:00,0.1906,0.2961
2016-05-05 05:00:00,0.2118,0.4888
2016-06-05 05:00:00,0.214,0.3522
2016-07-05 05:00:00,0.2167,0.3294
2016-08-05 05:00:00,0.2013,0.2712
2016-09-05 05:00:00,0.1922,0.2888
2016-10-05 05:00:00,0.1882,0.152
2016-05-13 05:00:00,0.1945,0.3746
2016-05-14 05:00:00,0.1876,0.3371
2016-05-15 05:00:00,0.1832,0.42119998
2016-05-16 05:00:00,0.1831,0.3888
2016-05-17 05:00:00,0.1743,0.3717
2016-05-18 05:00:00,0.17079999999999998,0.3951
2016-05-19 05:00:00,0.1718,0.059000000000000004
2016-05-20 05:00:00,0.1972,0.354
2016-05-21 05:00:00,0.1985,0.30609998
2016-05-23 05:00:00,0.185,0.4164
2016-05-24 05:00:00,0.245,0.34059998
2016-05-25 05:00:00,0.2127,0.3369
2016-05-26 05:00:00,0.20010000000000006,0.2714
2016-05-27 05:00:00,0.1863,0.2943
2016-05-28 05:00:00,0.1824,0.0867
2016-05-29 05:00:00,0.1764,0.2923
2016-05-30 05:00:00,0.1754,0.1286
2016-05-31 05:00:00,0.1699,0.37759998
2016-05-06 05:00:00,0.14029999999999998,0.3811
2016-06-06 05:00:00,0.1401,0.2462
2016-07-06 05:00:00,0.1484,0.057
2016-09-06 05:00:00,0.1352,0.21779999
2016-10-06 05:00:00,0.1804,0.2298
2016-06-13 05:00:00,0.1678,0.24329999
2016-06-14 05:00:00,0.1578,0.2435
2016-06-15 05:00:00,0.1557,0.2695
2016-06-16 05:00:00,0.1543,0.22739999
2016-06-17 05:00:00,0.1782,0.2739
2016-06-18 05:00:00,0.2302,0.3152
2016-06-19 05:00:00,0.2336,0.2834
2016-06-20 05:00:00,0.2047,0.3017
2016-06-21 05:00:00,0.1949,0.2671
2016-06-22 05:00:00,0.2181,0.2615
2016-06-23 05:00:00,0.2031,0.3446
2016-06-24 05:00:00,0.1919,0.2884
2016-06-25 05:00:00,0.2261,0.2069
2016-06-26 05:00:00,0.2278,0.24849999
2016-06-28 05:00:00,0.2366,0.34309998
2016-06-29 05:00:00,0.2122,0.3108
2016-06-30 05:00:00,0.197,0.278
2016-05-07 05:00:00,0.2022,0.3245
2016-06-07 05:00:00,0.1898,0.295
2016-07-07 05:00:00,0.1772,0.2312
2016-08-07 05:00:00,0.17859999999999998,0.2461
2016-10-07 05:00:00,0.242,0.2287
2016-07-13 05:00:00,0.1926,0.3152
2016-07-14 05:00:00,0.1886,0.2931
2016-07-16 05:00:00,0.27140000000000003,0.3442
2016-07-17 05:00:00,0.225,0.2777
2016-07-18 05:00:00,0.2063,0.3137
2016-07-19 05:00:00,0.1916,0.26299998
2016-07-20 05:00:00,0.1836,0.2716
2016-07-21 05:00:00,0.1783,0.301
2016-07-22 05:00:00,0.171,0.26839998
2016-07-23 05:00:00,0.16399999999999998,0.3455
2016-07-24 05:00:00,0.1632,0.2731
2016-07-25 05:00:00,0.1611,0.2681
2016-07-26 05:00:00,0.16,0.3075
2016-07-28 05:00:00,0.1563,0.2943
