,soil moisture,Soil_Moisture
2015-04-01 05:00:00,0.1816,0.11778975
2015-04-02 05:00:00,0.1818,0.17924292
2015-04-03 05:00:00,0.16940000000000002,0.14999568
2015-04-04 05:00:00,0.16870000000000002,0.15030782
2015-04-06 05:00:00,0.4484,0.19111392
2015-04-07 05:00:00,0.3952000000000001,0.17733042
2015-04-09 05:00:00,0.3538,0.12851897
2015-04-11 05:00:00,0.4077,0.11510333
2015-04-12 05:00:00,0.1679,0.13335401
2015-04-13 05:00:00,0.171,0.14920866
2015-04-14 05:00:00,0.17170000000000002,0.12595727
2015-04-16 05:00:00,0.1724,0.120666966
2015-04-18 05:00:00,0.174,0.1525592
2015-04-19 05:00:00,0.2291,0.13743111
2015-04-20 05:00:00,0.3333,0.17149307
2015-04-21 05:00:00,0.3744,0.17979877
2015-04-24 05:00:00,0.4505,0.099421605
2015-04-26 05:00:00,0.4766,0.10989703
2015-04-29 05:00:00,0.4912,0.089260004
2015-04-30 05:00:00,0.4966,0.06812613
2015-05-01 05:00:00,0.18,0.11224987
2015-05-02 05:00:00,0.1827,0.08448021
2015-05-04 05:00:00,0.16879999999999998,0.10486952
2015-05-05 05:00:00,0.5041,0.1120867
2015-05-06 05:00:00,0.4436,0.17640716
2015-05-07 05:00:00,0.3951,0.28757367
2015-05-08 05:00:00,0.382,0.2537762
2015-05-09 05:00:00,0.3588,0.1786844
2015-05-10 05:00:00,0.4093,0.15120703
2015-05-12 05:00:00,0.2027,0.10214561
2015-05-13 05:00:00,0.4985,0.119127445
2015-05-14 05:00:00,0.5092,0.115833975
2015-05-15 05:00:00,0.5083,0.08306789
2015-05-17 05:00:00,0.4952,0.09904439
2015-05-18 05:00:00,0.4832,0.09896262
2015-05-19 05:00:00,0.4794,0.11656453
2015-05-22 05:00:00,0.484,0.09980737
2015-05-23 05:00:00,0.4899,0.117746405
2015-05-24 05:00:00,0.4881,0.116481595
2015-05-25 05:00:00,0.4789,0.08678015
2015-05-26 05:00:00,0.4641,0.11477596
2015-05-27 05:00:00,0.4552000000000001,0.117397316
2015-05-28 05:00:00,0.4766,0.15763666
2015-05-29 05:00:00,0.4719,0.16057438
2015-05-30 05:00:00,0.4621,0.13127120000000003
2015-05-31 05:00:00,0.4492,0.17182393
2015-06-01 05:00:00,0.1814,0.14067946
2015-06-02 05:00:00,0.17170000000000002,0.16024446
2015-06-04 05:00:00,0.1686,0.18676154
2015-06-05 05:00:00,0.5088,0.18967332
2015-06-06 05:00:00,0.4391,0.24344489
2015-06-07 05:00:00,0.3917,0.24073924
2015-06-09 05:00:00,0.3609000000000001,0.29880437
2015-06-10 05:00:00,0.3908,0.2726998
2015-06-11 05:00:00,0.3935,0.3325591
2015-06-12 05:00:00,0.16949999999999998,0.31056556
2015-06-13 05:00:00,0.4201,0.42868274
2015-06-14 05:00:00,0.4173,0.2811057
2015-06-15 05:00:00,0.401,0.28568947
2015-06-16 05:00:00,0.413,0.34216586
2015-06-18 05:00:00,0.3946,0.3226757
2015-06-19 05:00:00,0.3994,0.32254618
2015-06-20 05:00:00,0.3843,0.32918695
2015-06-22 05:00:00,0.38,0.40224245
2015-06-23 05:00:00,0.3851,0.25459892
2015-06-24 05:00:00,0.4004,0.38865134
2015-06-25 05:00:00,0.4049,0.34432882
2015-06-27 05:00:00,0.4071,0.34635735
2015-06-28 05:00:00,0.4053,0.30763897
2015-06-29 05:00:00,0.3971,0.3561048
2015-06-30 05:00:00,0.3873,0.3440897
2015-07-02 05:00:00,0.16879999999999998,0.31864634
2015-07-03 05:00:00,0.1703,0.32272238
2015-07-04 05:00:00,0.1686,0.41569078
