date_time,soil moisture,ssm
2015-04-06,0.527,85.0
2015-04-13,0.543,96.0
2015-04-18,0.517,61.0
2015-04-25,0.4,71.0
2015-04-30,0.388,93.0
2015-05-05,0.502,97.5
2015-05-07,0.527,95.0
2015-05-12,0.489,95.0
2015-05-17,0.518,72.0
2015-05-24,0.512,40.0
2015-05-29,0.493,96.5
2015-05-31,0.547,95.0
2015-06-05,0.531,62.0
2015-06-10,0.41,70.0
2015-06-12,0.308,57.5
2015-06-17,0.339,89.5
2015-06-22,0.525,83.5
2015-06-24,0.5,58.5
2015-06-29,0.496,57.5
2015-07-04,0.236,61.5
2015-07-06,0.238,70.5
2015-07-11,0.256,77.0
2015-07-16,0.21,79.0
2015-07-18,0.196,59.5
2015-07-23,0.224,66.5
2015-07-28,0.304,97.5
2015-07-30,0.293,87.5
2015-08-09,0.232,72.5
2015-08-16,0.208,68.5
2015-08-21,0.189,53.5
2015-08-23,0.176,58.0
2015-08-28,0.259,75.0
2015-09-02,0.253,79.5
2015-09-04,0.246,86.5
2015-09-09,0.265,57.5
2015-09-16,0.507,97.5
2015-09-21,0.386,92.0
2015-09-26,0.477,71.5
2015-10-03,0.34,48.0
2015-10-08,0.407,98.0
2015-10-10,0.473,74.0
2015-10-15,0.382,54.5
2015-10-20,0.38,64.0
2015-10-27,0.375,53.0
2015-11-01,0.369,66.0
2015-11-03,0.368,79.5
2015-11-15,0.577,97.0
2015-11-20,0.614,95.5
2015-11-27,0.586,75.5
2015-12-02,0.57,87.0
2015-12-09,0.596,82.0
2015-12-14,0.586,91.0
2015-12-21,0.584,68.0
2015-12-26,0.604,89.0
2016-01-14,0.576,81.0
2016-01-19,0.548,1.0
2016-01-26,0.563,75.0
2016-01-31,0.585,73.0
2016-02-07,0.585,66.5
2016-02-12,0.592,51.5
2016-02-19,0.545,2.0
2016-02-24,0.579,76.0
2016-03-02,0.561,82.0
2016-03-07,0.579,72.5
2016-03-14,0.566,37.5
2016-03-19,0.557,56.0
2016-03-31,0.58,68.5
2016-04-07,0.593,97.5
2016-04-12,0.583,87.0
2016-04-19,0.598,80.0
2016-05-01,0.61,63.0
2016-05-06,0.576,48.0
2016-05-13,0.483,17.5
2016-05-18,0.435,4.0
2016-05-25,0.534,70.5
2016-05-30,0.421,61.0
2016-06-04,0.361,30.5
2016-06-06,0.276,25.5
2016-06-11,0.213,4.5
2016-06-28,0.322,40.0
2016-06-30,0.302,61.0
2016-07-05,0.383,59.5
2016-07-17,0.525,56.0
2016-07-22,0.415,53.0
2016-07-24,0.357,42.0
2016-07-29,0.283,30.0
2016-08-03,0.271,82.5
2016-08-05,0.381,70.5
2016-08-10,0.378,31.5
2016-08-15,0.379,37.0
2016-08-17,0.343,38.5
2016-08-22,0.287,53.0
2016-08-27,0.277,29.5
2016-08-29,0.344,59.0
2016-09-03,0.298,61.5
2016-09-08,0.339,38.0
2016-09-10,0.305,43.5
2016-09-15,0.245,36.0
2016-09-20,0.224,12.0
2016-09-22,0.22,23.0
2016-09-26,0.217,10.5
2016-09-27,0.214,26.5
2016-09-28,0.213,50.0
2016-10-02,0.309,61.5
2016-10-03,0.363,73.0
2016-10-04,0.347,38.0
2016-10-08,0.318,10.5
2016-10-09,0.314,24.0
2016-10-10,0.32,62.5
2016-10-14,0.329,13.5
2016-10-15,0.322,53.5
2016-10-16,0.322,42.5
2016-10-20,0.38,36.0
2016-10-21,0.383,51.5
2016-10-22,0.399,55.0
2016-10-26,0.4,54.5
2016-10-27,0.401,55.0
2016-10-28,0.407,59.0
2016-11-01,0.386,34.0
2016-11-02,0.384,38.5
2016-11-07,0.574,7.5
2016-11-08,0.564,11.5
2016-11-13,0.435,0.0
2016-11-14,0.429,68.0
2016-11-19,0.56,80.5
2016-11-20,0.594,82.5
2016-11-21,0.6,68.5
2016-11-25,0.54,65.0
2016-11-26,0.521,66.5
2016-12-01,0.537,75.5
2016-12-02,0.54,46.5
2016-12-07,0.531,86.0
2016-12-08,0.538,58.0
2016-12-13,0.558,66.5
2016-12-14,0.554,82.5
2016-12-15,0.555,8.5
2016-12-19,0.523,63.0
2016-12-20,0.52,44.0
2016-12-25,0.577,93.0
2016-12-26,0.574,97.0
2016-12-27,0.581,61.0
2017-01-01,0.529,70.0
2017-01-02,0.556,22.5
2017-01-07,0.474,49.5
2017-01-08,0.509,34.5
2017-01-12,0.561,64.5
2017-01-13,0.565,6.5
2017-01-14,0.545,8.5
2017-01-18,0.461,73.5
2017-01-19,0.524,88.0
2017-01-20,0.53,63.5
2017-01-24,0.515,55.0
2017-01-25,0.508,50.0
2017-01-26,0.506,14.0
2017-01-30,0.518,51.0
2017-01-31,0.515,65.0
2017-02-01,0.505,32.5
2017-02-05,0.502,56.5
2017-02-06,0.507,67.5
2017-02-07,0.523,23.0
2017-02-11,0.488,24.5
2017-02-12,0.483,42.0
2017-02-13,0.477,3.0
2017-02-17,0.491,60.5
2017-02-18,0.498,50.5
2017-02-19,0.499,85.5
2017-02-23,0.587,62.5
2017-02-24,0.58,95.0
2017-02-25,0.582,18.5
2017-03-01,0.605,88.5
2017-03-02,0.606,86.0
2017-03-03,0.61,83.5
2017-03-07,0.599,64.5
2017-03-08,0.588,95.5
2017-03-09,0.604,65.0
2017-03-13,0.549,67.5
2017-03-14,0.545,74.5
2017-03-15,0.545,61.0
2017-03-19,0.574,87.0
2017-03-21,0.581,70.0
2017-03-25,0.556,71.0
2017-03-26,0.534,60.0
2017-03-27,0.534,50.0
2017-03-31,0.553,71.0
2017-04-01,0.548,74.0
2017-04-02,0.543,42.0
2017-04-06,0.512,46.0
2017-04-07,0.504,35.5
2017-04-08,0.503,40.5
2017-04-12,0.502,79.0
2017-04-13,0.552,87.0
2017-04-14,0.55,63.5
2017-04-18,0.59,68.5
2017-04-19,0.569,48.0
2017-04-20,0.562,41.0
2017-04-24,0.534,38.0
2017-04-25,0.558,73.5
2017-04-26,0.561,37.0
2017-04-30,0.569,29.5
2017-05-01,0.535,8.5
2017-05-02,0.511,16.5
2017-05-06,0.473,13.0
2017-05-07,0.46,9.5
2017-05-08,0.441,0.0
2017-05-12,0.464,13.0
2017-05-13,0.45,61.0
2017-05-14,0.445,65.5
2017-05-18,0.499,11.5
2017-05-19,0.487,29.0
2017-05-20,0.469,2.5
2017-05-24,0.372,12.5
2017-05-25,0.326,13.0
2017-05-26,0.287,8.0
2017-05-30,0.231,17.5
2017-05-31,0.229,14.5
2017-06-01,0.227,6.5
2017-06-05,0.205,20.0
2017-06-06,0.201,71.5
2017-06-07,0.197,49.0
2017-06-11,0.418,71.5
2017-06-12,0.519,41.0
2017-06-13,0.479,50.5
2017-06-18,0.324,30.0
2017-06-19,0.29,37.0
2017-06-23,0.232,42.0
2017-06-24,0.233,53.0
2017-06-25,0.295,65.0
2017-06-29,0.249,78.5
2017-06-30,0.307,81.0
2017-07-01,0.344,67.0
2017-07-05,0.289,38.0
2017-07-06,0.263,37.0
2017-07-11,0.234,56.0
2017-07-12,0.243,37.0
2017-07-13,0.251,39.5
2017-07-17,0.248,53.0
2017-07-18,0.246,43.5
2017-07-19,0.244,52.5
2017-07-23,0.251,70.5
2017-07-24,0.315,51.5
2017-07-25,0.316,63.5
2017-07-29,0.294,59.0
2017-07-30,0.389,63.0
2017-07-31,0.474,65.0
2017-08-04,0.535,61.5
2017-08-05,0.532,45.5
2017-08-06,0.517,64.0
2017-08-11,0.419,47.5
2017-08-18,0.445,74.0
2017-08-22,0.546,49.5
2017-08-23,0.512,52.5
2017-08-29,0.463,34.5
2017-08-30,0.44,32.5
2017-09-04,0.468,34.0
2017-09-05,0.444,51.0
2017-09-09,0.554,61.5
2017-09-10,0.553,80.5
2017-09-11,0.561,63.5
2017-09-16,0.595,59.0
2017-09-21,0.596,77.0
2017-09-23,0.596,55.0
2017-09-28,0.597,49.0
2017-09-29,0.591,47.5
2017-10-03,0.617,70.0
2017-10-04,0.607,70.0
2017-10-05,0.613,66.0
2017-10-09,0.612,51.0
2017-10-10,0.612,83.0
2017-10-11,0.623,81.5
2017-10-15,0.63,75.0
2017-10-16,0.614,72.0
2017-10-17,0.608,60.5
2017-10-21,0.602,64.0
2017-10-22,0.609,70.0
2017-10-23,0.603,76.0
2017-10-28,0.583,76.0
2017-10-29,0.59,61.5
