,soil moisture,ssm
2015-04-07,0.6087,16.0
2015-05-01,0.5334,98.5
2015-05-11,0.6096,91.5
2015-05-13,0.6093,99.0
2015-05-23,0.6093999999999999,98.0
2015-05-25,0.6093999999999999,99.0
2015-06-04,0.6074,95.0
2015-06-09,0.6096,92.5
2015-06-11,0.6096,99.5
2015-06-16,0.609,97.5
2015-06-18,0.609,99.5
2015-08-08,0.6097,86.0
2015-08-15,0.6093999999999999,89.5
2015-08-20,0.6093999999999999,70.5
2015-08-27,0.6093999999999999,89.5
2015-09-01,0.3793,59.0
2015-09-08,0.6096,64.5
2015-09-10,0.6096,84.0
2015-09-13,0.6045,56.5
2015-09-20,0.6096,97.5
2015-09-27,0.6098,97.5
2015-10-02,0.5969,83.0
2015-10-04,0.6075,92.5
2015-10-14,0.6095,74.5
2015-10-16,0.6098,93.5
2015-10-26,0.6096,64.5
2015-10-28,0.6093999999999999,0.0
2015-10-31,0.6093999999999999,66.5
2015-11-26,0.6095,10.5
2015-12-20,0.6095,44.0
2016-01-13,0.1285,63.5
2016-05-29,0.6101,76.5
2016-06-03,0.6035,78.5
2016-06-05,0.6101,84.0
2016-06-10,0.4098,64.0
2016-06-15,0.6098,65.5
2016-06-29,0.6101,80.0
2016-07-04,0.6079,80.0
2016-07-09,0.431,89.0
2016-07-11,0.4053,84.5
2016-07-16,0.5506,69.5
2016-07-21,0.5496,65.5
2016-07-23,0.5483,70.5
2016-07-28,0.4349,68.0
2016-08-02,0.1537,54.0
2016-08-04,0.6078,53.5
2016-08-09,0.4259000000000001,91.0
2016-08-14,0.4312,77.0
2016-08-16,0.4326,67.0
2016-08-21,0.4385,63.0
2016-08-26,0.4363,56.5
2016-08-28,0.4291,63.0
2016-09-02,0.2428,61.5
2016-09-07,0.6101,59.5
2016-09-09,0.4268,53.5
2016-09-14,0.4263,49.5
2016-09-19,0.4335,42.0
2016-09-26,0.4256,40.5
2016-10-15,0.4074,30.5
2016-10-20,0.4179,33.0
2016-10-25,0.4136,49.5
2016-11-30,0.4032,32.0
2016-12-12,0.4019,36.0
2017-01-05,0.4025,50.5
2017-01-07,0.435,15.5
2017-01-12,-0.008790000000000001,9.0
2017-01-17,0.1975,17.0
2017-01-24,0.3701,22.0
2017-01-29,0.3782,35.5
2017-01-31,0.1532,27.0
2017-02-05,0.4024,8.5
2017-02-10,0.4031,40.5
2017-02-12,-0.0088,27.0
2017-02-17,0.13699999999999998,31.0
2017-02-22,0.1376,31.5
2017-02-24,0.1414,23.5
2017-03-01,0.1485,21.0
2017-03-06,0.4186,38.5
2017-03-08,0.4352,18.5
2017-03-13,0.1999,25.0
2017-03-18,0.3502,20.5
2017-03-20,0.3682,35.0
2017-03-25,0.3786,12.0
2017-03-30,0.3809,55.5
2017-04-01,0.1395,25.5
2017-04-13,0.3958,5.5
2017-04-18,0.4002000000000001,31.0
2017-04-23,0.4014,31.5
2017-04-25,0.4017,1.5
2017-04-30,0.4025,12.0
2017-05-05,0.4056,40.0
