datetime_utc,soil moisture,ssm
2015-07-01,0.3609000000000001,99.5
2015-08-01,0.35960000000000003,97.5
2015-05-02,0.3654,73.5
2015-06-02,0.3633,90.5
2015-11-03,0.3554,93.0
2015-12-04,0.3444,61.0
2015-04-20,0.3588,81.5
2015-10-05,0.3431,55.0
2015-11-05,0.3425,72.0
2015-05-14,0.3667,88.0
2015-05-16,0.34979999999999994,80.5
2015-05-21,0.3655,85.5
2015-05-26,0.3429,73.5
2015-05-31,0.3333,95.0
2015-07-06,0.3322,99.5
2015-09-06,0.3254,99.5
2015-06-19,0.3544,97.5
2015-06-26,0.35229999999999995,93.5
2015-05-07,0.3268,96.5
2015-06-07,0.31980000000000003,79.0
2015-07-13,0.3371,98.5
2015-07-25,0.2879,99.5
2015-04-08,0.2924,82.0
2015-08-13,0.2925,90.5
2015-08-20,0.2266,94.0
2015-08-23,0.1985,97.5
2015-05-09,0.2023,74.5
2015-06-09,0.2814,98.5
2015-09-13,0.2115,84.5
2015-09-18,0.2786,87.0
2015-09-28,0.273,79.5
2015-09-30,0.2612,68.5
2015-10-10,0.19760000000000005,65.0
2015-10-17,0.1771,84.5
2015-10-24,0.1801,78.5
2015-10-31,0.17,78.5
2015-11-22,0.314,49.5
2015-10-12,0.33509999999999995,58.5
2015-12-16,0.3402000000000001,58.5
2015-12-28,0.388,45.5
2016-06-01,0.3322,79.0
2016-10-01,0.3259,67.0
2016-02-02,0.3638,59.0
2016-04-02,0.34979999999999994,44.5
2016-08-02,0.339,77.0
2016-02-14,0.35600000000000004,36.0
2016-02-26,0.3552,33.0
2016-06-03,0.3407,73.0
2016-12-03,0.3492,0.0
2016-03-21,0.3268,38.0
2016-11-04,0.3246,54.0
2016-04-14,0.3369,43.0
2016-04-26,0.3019,33.5
2016-08-05,0.2899,58.0
2016-09-05,0.2827,31.0
2016-12-05,0.2621,38.5
2016-05-20,0.2331,54.0
2016-06-06,0.1775,76.0
2016-11-06,0.16190000000000002,63.5
2016-06-13,0.1582,54.0
2016-06-15,0.1551,92.0
2016-06-30,0.1917,98.0
2016-07-07,0.3039,53.5
2016-09-07,0.305,48.5
2016-10-07,0.302,14.5
2016-07-14,0.3123,62.0
2016-07-19,0.2771,54.5
2016-07-21,0.264,65.0
2016-07-24,0.2392,91.0
2016-07-26,0.2238,62.0
2016-07-31,0.2465,54.5
2016-06-08,0.24,66.0
2016-08-14,0.1845,70.0
2016-08-17,0.1723,45.5
2016-08-19,0.163,50.5
2016-08-24,0.152,53.5
2016-08-26,0.1458,51.0
2016-08-29,0.1423,48.0
2016-08-31,0.1429,57.0
2016-01-09,0.1413,0.0
2016-03-09,0.1386,47.5
2016-07-09,0.1344,99.5
2016-11-09,0.129,32.0
2016-09-17,0.1219,20.5
2016-09-19,0.1206,12.0
2016-09-29,0.1165,53.5
2016-10-10,0.1942,35.5
2016-12-10,0.2296,47.0
2016-10-13,0.2159,14.0
2016-10-16,0.1845,49.0
2016-10-17,0.2602,42.5
2016-10-18,0.2524,48.5
2016-10-19,0.2511,71.0
2016-10-22,0.32880000000000004,74.0
2016-10-23,0.32420000000000004,58.0
2016-10-24,0.33380000000000004,82.5
2016-10-25,0.354,57.5
2016-10-28,0.2894,39.5
2016-10-29,0.31370000000000003,34.5
2016-10-30,0.2791,2.0
2016-10-31,0.2645,22.5
2016-10-11,0.2918,14.5
2016-11-16,0.34490000000000004,51.5
2016-11-18,0.3244,74.0
2016-11-21,0.314,48.5
2016-11-23,0.2964,44.0
2016-11-30,0.2745,35.0
2016-07-12,0.2721,71.0
2016-08-12,0.2804,33.5
2016-10-12,0.2841,34.5
2016-12-12,0.3124,0.0
2016-12-15,0.29510000000000003,0.0
2016-12-17,0.2899,5.5
2016-12-22,0.2841,37.0
2016-12-24,0.28600000000000003,61.0
2016-12-27,0.3281,19.5
2016-12-28,0.3122,2.0
2016-12-29,0.3031,36.0
2017-02-01,0.2934,24.0
2017-06-01,0.2985,61.5
2017-07-01,0.2899,93.5
2017-08-01,0.2899,64.0
2017-10-01,0.2902,47.0
2017-11-01,0.2906,68.5
2017-01-14,0.317,16.0
2017-01-21,0.2999,59.5
2017-01-22,0.2987,34.0
2017-01-26,0.2945,4.0
2017-02-02,0.2922,21.5
2017-04-02,0.2902,64.0
2017-05-02,0.2973,45.5
2017-07-02,0.29710000000000003,62.5
2017-10-02,0.2918,42.0
2017-02-14,0.2888,13.0
2017-02-19,0.3004,67.0
2017-02-20,0.32170000000000004,84.5
2017-02-22,0.3483,76.5
2017-02-25,0.3354,51.5
2017-02-26,0.3404,83.0
2017-02-27,0.3706,78.5
2017-01-03,0.3328,55.0
2017-02-03,0.3255,5.0
2017-03-03,0.3436,65.5
2017-04-03,0.3369,55.5
2017-05-03,0.3282,28.0
2017-06-03,0.3304,62.0
2017-07-03,0.3237,69.5
2017-08-03,0.3165,91.5
2017-03-15,0.29350000000000004,25.5
2017-03-16,0.2903,28.5
2017-03-18,0.2861,45.0
2017-03-21,0.35810000000000003,36.0
2017-03-22,0.3365,51.0
2017-03-27,0.2909,29.0
2017-03-28,0.2895,17.5
