datetime_utc,soil moisture,ssm
2015-07-01,-0.004070000000000001,29.5
2015-08-01,0.1008,57.0
2015-05-02,0.4079,32.0
2015-06-02,0.4087,40.0
2015-11-03,0.373,89.5
2015-12-04,0.2748,95.5
2015-04-20,0.2717,19.0
2015-10-05,0.1686,55.0
2015-11-05,0.1702,95.5
2015-05-14,0.199,33.0
2015-05-26,0.1152,24.0
2015-08-06,0.136,39.0
2015-09-06,0.1286,83.0
2015-06-14,0.1534,52.5
2015-06-19,0.238,29.5
2015-06-26,0.1454,27.0
2015-06-07,0.1063,35.5
2015-07-13,0.2042,38.0
2015-07-20,0.1336,43.5
2015-07-25,0.13,38.0
2015-04-08,0.2441,36.0
2015-07-08,0.2027,52.0
2015-08-13,0.1253,46.0
2015-08-18,0.1016,77.0
2015-08-23,0.0863,35.0
2015-08-25,0.12710000000000002,53.5
2015-08-30,0.2229,43.0
2015-09-16,0.259,76.0
2015-09-18,0.2422,85.0
2015-09-28,0.2283,65.5
2015-09-30,0.2104,73.0
2015-10-10,0.16260000000000002,62.5
2015-10-17,0.1578,50.5
2015-10-22,0.3678,94.5
2015-10-24,0.3551,86.0
2015-10-29,0.3292,73.0
2015-08-11,0.3863,67.0
2015-09-11,0.3675,49.0
2015-11-22,0.1421,64.5
2015-10-12,0.35810000000000003,63.5
2015-12-16,0.1796,62.5
2015-12-28,0.2762,66.0
2016-06-01,0.0647,7.5
2016-01-21,0.0843,48.5
2016-02-02,0.3144,97.5
2016-04-02,0.1878,42.5
2016-02-14,0.07807,56.5
2016-02-26,0.0981,86.5
2016-12-03,0.01365,50.5
2016-03-21,-0.02669,67.0
2016-11-04,-0.03142,87.5
2016-04-14,-0.03472,47.5
2016-04-26,0.1724,31.5
2016-08-05,0.1826,58.0
2016-09-05,0.1771,42.0
2016-12-05,0.1765,77.0
2016-05-20,0.1446,57.5
2016-06-06,0.1317,11.5
2016-10-06,0.2158,52.0
2016-06-13,0.139,13.0
2016-06-30,0.1375,51.0
2016-07-07,0.1561,30.0
2016-08-07,0.1484,45.5
2016-07-14,0.2306,43.5
2016-07-19,0.1509,40.5
2016-07-24,0.1377,53.0
2016-07-26,0.1337,34.5
2016-06-08,0.2042,19.0
2016-08-17,0.05955,46.0
2016-08-19,0.041569999999999996,33.5
2016-08-24,0.0801,32.0
2016-08-29,0.17800000000000002,67.5
2016-08-31,0.1107,56.0
2016-01-09,-0.025990000000000003,55.5
2016-03-09,-0.02754,45.0
2016-11-09,0.1505,58.5
2016-09-24,0.1794,61.5
2016-09-30,0.3362,78.0
2016-10-10,0.1896,61.0
2016-12-10,0.17579999999999998,94.5
2016-10-16,0.162,50.5
2016-10-17,0.16149999999999998,53.0
2016-10-18,0.1625,56.5
2016-10-22,-0.05193,79.0
2016-10-23,0.3109,81.5
2016-10-24,-0.05201,87.0
2016-10-28,0.2854,85.0
2016-10-29,0.2921,72.0
2016-10-30,0.2736,68.0
2016-10-11,0.2039,52.0
2016-11-11,0.2063,39.0
2016-11-16,0.3183,92.0
2016-11-28,0.2789,49.0
2016-07-12,0.07324,63.0
2016-08-12,0.3634000000000001,51.5
2016-09-12,0.33240000000000003,39.5
2016-10-12,0.34700000000000003,54.0
2016-12-15,0.181,53.0
2016-12-17,0.1017,57.5
2016-12-22,0.3158,91.5
2016-12-27,-0.052000000000000005,73.5
2016-12-28,-0.052000000000000005,66.5
2017-01-02,0.1872,59.5
2017-02-02,0.185,69.0
2017-04-02,0.1788,42.5
2017-05-02,0.1955,4.5
2017-06-02,0.2115,0.0
2017-07-02,0.1171,11.0
2017-02-13,0.026210000000000004,22.5
2017-02-14,0.02628,17.5
2017-02-15,0.02796,14.5
2017-02-19,0.1835,85.0
2017-02-20,0.228,88.5
2017-02-25,0.1199,57.5
2017-02-26,0.101,86.5
2017-02-27,0.2196,86.5
2017-01-03,0.2222,93.0
2017-02-03,0.2322,52.5
2017-04-03,0.2299,36.5
2017-05-03,0.2369,2.5
2017-06-03,0.2292,22.0
2017-07-03,0.2315,13.0
2017-03-15,0.2098,36.5
2017-03-16,0.1891,49.5
2017-03-22,0.2368,85.0
2017-03-23,0.2217,51.0
2017-03-27,0.17670000000000002,29.5
2017-03-28,0.1699,22.0
2017-03-04,0.1966,93.0
2017-04-04,0.187,53.5
2017-11-04,0.1352,85.0
2017-12-04,0.1283,58.5
2017-04-14,0.1919,53.0
2017-04-15,0.183,39.0
2017-04-16,0.1673,14.0
2017-04-20,0.1238,17.0
2017-04-21,0.12560000000000002,8.0
2017-04-26,0.2041,23.5
2017-04-27,0.1874,23.0
2017-04-28,0.17379999999999998,21.5
2017-09-05,0.1992,58.0
2017-10-05,0.1607,56.0
2017-11-05,0.135,78.0
2017-12-05,0.1476,95.0
2017-05-14,0.1332,38.5
2017-05-15,0.145,10.5
2017-05-16,0.1348,23.5
2017-05-20,0.128,1.5
2017-05-21,0.1222,0.5
2017-05-22,0.1167,0.0
2017-05-26,0.1067,6.5
2017-05-27,0.1043,9.0
2017-05-28,0.1019,0.0
2017-08-06,0.2666,50.0
2017-09-06,0.265,50.5
2017-10-06,0.263,51.0
2017-11-06,0.2346,83.5
2017-06-13,0.227,13.0
2017-06-14,0.1777,1.0
2017-06-15,0.152,7.0
2017-06-19,0.136,19.0
2017-06-20,0.1295,1.0
2017-06-21,0.1216,0.5
2017-06-25,0.1245,29.0
2017-06-26,0.1202,7.5
2017-06-27,0.117,9.5
2017-02-07,0.0999,40.0
2017-06-07,0.2416,18.5
2017-07-07,0.128,39.5
2017-08-07,0.1125,36.0
2017-09-07,0.1149,66.0
2017-10-07,0.105,57.5
2017-07-13,0.0913,40.0
2017-07-14,0.0874,22.0
2017-07-15,0.0843,29.5
