,soil moisture,ssm
2015-04-05,0.1365,79.0
2015-04-22,0.1661,88.5
2015-05-04,0.2622,78.0
2015-05-11,0.05125,99.0
2015-05-16,0.1977,92.5
2015-06-16,0.1382,96.0
2015-08-15,0.1023,97.5
2015-08-20,0.07968999999999997,92.0
2015-09-01,0.2349,78.0
2015-09-08,0.14859999999999998,84.5
2015-09-13,0.06874,83.5
2015-09-20,0.0819,90.5
2015-09-25,0.1053,96.0
2015-10-02,0.2589,84.0
2015-10-07,0.162,58.5
2015-10-14,0.05746,59.0
2015-10-19,0.054320000000000014,58.5
2015-10-26,0.05449,56.5
2015-10-31,0.05474,61.5
2015-12-06,0.1416,92.0
2016-01-23,0.1057,5.5
2016-02-16,0.1516,0.0
2016-02-28,0.14880000000000002,22.0
2016-03-11,0.1064,41.5
2016-03-23,0.162,60.0
2016-04-16,0.1514,47.5
2016-05-29,0.097,69.0
2016-06-03,0.1647,89.5
2016-06-08,0.08990000000000001,62.0
2016-06-10,0.040680000000000015,46.5
2016-06-15,0.06542999999999999,80.5
2016-07-02,0.1526,96.5
2016-07-04,0.1825,65.0
2016-07-09,0.07177,80.0
2016-07-14,0.08039999999999999,61.5
2016-07-16,0.07476000000000001,53.5
2016-07-21,0.06480000000000001,70.0
2016-07-26,0.05944,92.5
2016-07-28,0.05886,66.5
2016-08-02,0.162,53.5
2016-08-07,0.07198,54.0
2016-08-09,0.0655,37.0
2016-08-14,0.0537,51.0
2016-08-19,0.05343999999999999,70.5
2016-08-21,0.1036,61.5
2016-08-31,0.1423,52.5
2016-09-02,0.1642,49.5
2016-09-07,0.07001,57.5
2016-09-12,0.1593,39.5
2016-09-14,0.0564,34.0
2016-09-19,0.048839999999999995,35.0
2016-09-24,0.048490000000000005,29.5
2016-09-26,0.047880000000000006,24.5
2016-10-13,0.03887,11.5
2016-10-18,0.03713,12.5
2016-10-20,0.03882,22.5
2016-10-25,0.07807,59.5
2016-10-30,0.0897,26.0
2016-11-30,0.1578,3.0
2017-01-10,0.07312,26.5
2017-01-12,0.17920000000000005,38.0
2017-01-17,0.151,3.5
2017-01-24,0.1541,11.0
2017-01-29,0.1646,0.0
2017-02-05,0.0964,18.0
2017-02-15,0.1338,1.5
2017-02-17,0.1352,32.5
2017-02-22,0.16010000000000002,36.5
2017-02-27,0.1542,35.5
2017-03-01,0.1542,52.0
2017-03-06,0.05811,0.0
2017-03-11,0.1697,22.0
2017-03-13,0.1771,43.0
2017-03-18,0.16219999999999998,37.0
2017-03-23,0.1674,33.5
2017-03-25,0.1604,38.5
2017-03-30,0.1362,23.5
2017-04-04,0.1343,44.5
2017-04-06,0.06097999999999999,34.5
2017-04-11,0.1699,36.0
2017-04-16,0.0918,9.0
2017-04-18,0.0917,18.5
2017-04-23,0.0828,39.5
2017-04-28,0.0967,31.0
2017-04-30,0.1002,44.0
2017-05-05,0.0819,61.0
2017-05-06,0.06150000000000001,44.0
2017-05-10,0.07067999999999999,24.0
2017-05-11,0.1678,40.0
2017-05-12,0.16510000000000002,45.5
2017-05-16,0.06638999999999999,52.0
2017-05-17,0.07023,56.0
2017-05-18,0.07466,67.0
2017-05-22,0.06756000000000001,54.5
2017-05-23,0.06427999999999999,58.5
2017-05-24,0.06181,62.5
2017-05-28,0.06347,75.5
2017-05-29,0.06326000000000001,70.5
2017-05-30,0.054910000000000014,92.0
2017-06-03,0.1616,48.5
2017-06-04,0.1237,64.5
2017-06-05,0.0867,69.5
2017-06-09,0.05805,68.5
2017-06-10,0.07107000000000001,73.5
2017-06-11,0.16579999999999998,72.0
2017-06-15,0.0866,71.0
2017-06-16,0.08130000000000001,76.5
2017-06-17,0.07633,72.5
2017-06-21,0.0761,64.5
2017-06-22,0.0706,74.5
2017-06-23,0.06746,60.0
2017-06-27,0.06844,65.5
