,soil moisture,ssm
2015-04-02,0.17989999999999998,83.0
2015-04-03,0.1689,73.0
2015-04-07,0.3926,0.0
2015-04-10,0.4058,17.0
2015-04-12,0.1668,19.0
2015-04-14,0.1715,25.0
2015-04-15,0.17170000000000002,36.5
2015-04-22,0.3966,0.0
2015-04-24,0.4477,0.0
2015-04-26,0.4767,58.0
2015-04-27,0.484,64.0
2015-05-01,0.17980000000000002,0.0
2015-05-04,0.16870000000000002,31.0
2015-05-06,0.4475,18.0
2015-05-08,0.3909,51.0
2015-05-09,0.35450000000000004,33.5
2015-05-13,0.52,75.5
2015-05-16,0.5119,75.0
2015-05-18,0.4994,88.5
2015-05-20,0.4961,92.5
2015-05-21,0.4893,93.5
2015-06-01,0.1822,98.5
2015-06-02,0.174,98.5
2015-06-06,0.4452,99.5
2015-06-09,0.3607,98.0
2015-06-14,0.4243,90.5
2015-06-18,0.4152,99.5
2015-06-30,0.4098,98.5
2015-07-07,0.4037,98.5
2015-07-08,0.3839,93.5
2015-07-15,0.3822,99.0
2015-07-19,0.3743,97.0
2015-07-24,0.3801,95.0
2015-08-05,0.5156000000000001,96.5
2015-08-08,0.3789,96.0
2015-08-12,0.3157,99.5
2015-08-13,0.3825,91.0
2015-08-17,0.3779,96.5
2015-08-20,0.3669,94.5
2015-08-24,0.354,96.5
2015-08-25,0.3491,80.5
2015-09-01,0.1732,92.5
2015-09-06,0.4319,95.0
2015-09-10,0.3938,85.0
2015-09-13,0.365,76.0
2015-09-17,0.33990000000000004,89.5
2015-10-04,0.1705,97.0
2015-10-05,0.5225,58.5
2015-10-11,0.3828,88.5
2015-10-12,0.17550000000000002,84.5
2015-10-16,0.3848,94.5
2015-10-17,0.3803,98.0
2015-10-23,0.3857,91.0
2015-10-24,0.3852,60.0
2015-10-28,0.3668,89.5
2015-10-29,0.3802,73.0
2015-10-31,0.3034,43.0
2015-11-04,0.1714,98.0
2015-11-10,0.3892,48.5
2015-11-12,0.1748,40.0
2015-11-14,0.3005,37.0
2015-11-16,0.31170000000000003,39.5
2015-11-17,0.2315,32.0
2015-11-22,0.17559999999999998,32.5
2015-11-24,0.1718,33.5
2015-11-26,0.16949999999999998,11.0
2015-11-28,0.1824,18.5
2015-11-29,0.17670000000000002,16.0
2015-12-04,0.17170000000000002,14.0
2015-12-06,0.4309000000000001,24.5
2015-12-08,0.3728,18.5
2015-12-10,0.3856,39.5
2015-12-16,0.1702,20.5
2015-12-18,0.16829999999999998,22.5
2015-12-20,0.16879999999999998,19.0
2015-12-22,0.27940000000000004,35.0
2015-12-23,0.1811,28.5
2015-12-28,0.171,23.0
2015-12-30,0.17420000000000002,16.0
2016-01-01,0.16829999999999998,34.0
2016-01-03,0.1678,43.0
2016-01-04,0.34700000000000003,35.5
2016-01-09,0.3258,30.0
2016-01-11,0.1289,21.0
2016-01-13,0.18600000000000005,23.5
2016-01-15,0.1839,32.5
2016-01-16,0.16949999999999998,23.0
2016-01-21,0.1889,41.0
2016-01-23,0.1612,13.5
2016-01-25,0.1643,22.5
2016-01-27,0.17120000000000002,30.0
2016-01-28,0.16649999999999998,18.0
2016-02-02,0.1718,21.5
2016-02-04,0.1843,11.5
2016-02-06,0.3984,15.5
2016-02-08,0.3444,30.0
2016-02-09,0.3247,17.5
2016-02-14,0.16140000000000002,20.5
2016-02-16,0.1623,9.5
2016-02-18,0.16449999999999998,18.0
2016-02-20,0.1718,31.5
2016-02-21,0.16260000000000002,18.0
2016-02-26,0.1761,27.0
2016-02-28,0.1702,17.0
2016-03-01,0.1778,16.5
2016-03-03,0.1661,25.0
2016-03-04,0.173,23.5
2016-03-09,0.3292,22.5
2016-03-11,0.1239,24.0
2016-03-15,0.16949999999999998,59.5
2016-03-16,0.3486,3.0
2016-03-21,0.1873,55.0
2016-03-23,0.1972,47.0
2016-03-25,0.16820000000000002,33.5
2016-03-27,0.16390000000000002,44.5
2016-03-28,0.1809,50.0
2016-04-02,0.1675,53.0
2016-04-06,0.3989,61.5
2016-04-08,0.34090000000000004,7.0
2016-04-09,0.32780000000000004,32.5
2016-04-14,0.183,68.5
2016-04-16,0.1832,73.5
2016-04-18,0.25670000000000004,68.5
2016-04-20,0.2259,85.5
2016-04-21,0.197,87.5
2016-04-26,0.4124,66.0
2016-04-28,0.5019,33.0
2016-04-30,0.5215,35.5
2016-05-02,0.1643,49.5
2016-05-03,0.1668,45.0
2016-05-08,0.338,56.0
2016-05-10,0.32030000000000003,62.5
2016-05-12,0.1117,79.5
2016-05-14,0.4766,87.5
2016-05-20,0.4464,68.5
2016-05-22,0.4295000000000001,78.0
2016-05-24,0.4231,84.0
2016-05-26,0.4202,85.5
2016-05-27,0.4216,81.0
2016-05-31,0.3935,88.5
2016-06-01,0.1836,72.0
2016-07-01,0.1913,77.5
2016-07-06,0.3897,97.5
2016-07-07,0.4104,82.0
2016-07-09,0.3309,83.0
2016-07-13,0.3829,81.0
2016-07-14,0.3839,65.0
2016-07-18,0.4031,79.5
2016-07-19,0.4017,70.0
2016-07-21,0.3987,81.0
2016-07-23,0.3766,92.0
2016-07-26,0.3748,85.5
2016-07-30,0.34240000000000004,84.0
2016-07-31,0.3395,79.0
2016-08-02,0.1698,81.5
2016-08-07,0.4044,68.5
2016-08-11,0.1237,94.0
2016-08-12,0.1284,80.5
2016-08-14,0.3414,87.5
2016-08-23,0.3298,67.0
2016-08-24,0.3306,48.5
2016-08-26,0.3284,58.0
2016-08-31,0.32770000000000005,55.0
2016-09-04,0.29960000000000003,72.5
2016-09-05,0.4927,69.5
2016-09-17,0.3297,50.5
2016-10-11,0.1192,20.0
2016-10-17,0.31370000000000003,16.5
2016-10-18,0.3008,17.5
2016-10-22,0.30670000000000003,28.0
2016-10-23,0.3057,21.5
2016-10-27,0.2504,29.0
2016-10-29,0.2286,11.0
2016-11-30,0.119,0.5
2016-12-12,0.1114,3.0
2016-12-16,0.2726,57.5
2017-01-01,0.1258,15.0
2017-01-02,0.3062,23.5
2017-01-03,0.129,46.0
2017-01-04,0.131,34.0
2017-01-05,0.1317,26.5
2017-01-07,0.3373,24.5
2017-01-08,0.3427,25.0
2017-01-09,0.3442,25.0
2017-01-10,0.33240000000000003,17.0
2017-01-11,0.1232,18.5
2017-01-13,0.1207,21.5
2017-01-14,0.1181,26.0
2017-01-15,0.122,44.5
2017-01-16,0.1175,24.5
2017-01-17,0.117,12.5
2017-01-20,0.1192,29.0
2017-01-21,0.1184,35.0
2017-01-22,0.1185,21.5
2017-01-23,0.1177,19.5
2017-01-25,0.1178,15.0
2017-01-26,0.1191,13.5
2017-01-27,0.1246,34.5
2017-01-28,0.3368,3.0
2017-01-29,0.366,16.5
2017-01-31,0.3605,38.5
2017-02-01,0.1243,46.0
2017-02-02,0.1392,64.0
2017-02-03,0.1281,44.5
2017-02-04,0.13019999999999998,44.0
2017-02-06,0.3953,53.5
2017-02-07,0.3336,62.0
2017-02-08,0.35979999999999995,81.5
2017-02-09,0.3435,65.5
2017-02-10,0.3321,55.5
2017-02-12,0.1192,60.5
2017-02-13,0.1293,25.5
2017-02-14,0.15439999999999998,34.5
2017-02-15,0.1883,29.5
2017-02-16,0.2161,41.5
2017-02-18,0.1429,50.5
2017-02-19,0.1414,70.5
2017-02-20,0.1355,96.0
2017-02-21,0.1343,76.5
2017-02-22,0.1329,66.0
2017-02-24,0.13,68.0
2017-02-25,0.1305,79.0
2017-02-26,0.131,89.0
2017-02-27,0.1333,78.5
2017-02-28,0.1289,72.5
2017-03-02,0.1363,69.5
2017-03-03,0.1311,80.5
2017-03-04,0.13019999999999998,95.5
2017-03-05,0.1555,81.5
2017-03-06,0.3908,72.5
2017-03-08,0.3569,69.0
2017-03-09,0.342,76.5
2017-03-10,0.3309,84.5
2017-03-11,0.1274,71.5
2017-03-12,0.1235,67.0
2017-03-14,0.1291,68.5
2017-03-15,0.131,94.5
2017-03-16,0.131,95.5
2017-03-17,0.1321,71.5
2017-03-18,0.1317,62.0
2017-03-20,0.12960000000000002,69.0
2017-03-21,0.1288,76.5
2017-03-22,0.1303,87.0
2017-03-23,0.1308,67.0
2017-03-24,0.131,68.0
2017-03-26,0.13019999999999998,69.0
2017-03-27,0.1325,76.0
2017-03-28,0.1332,94.0
2017-03-29,0.1317,75.5
2017-03-30,0.131,63.0
2017-04-01,0.1275,70.0
2017-04-02,0.1348,79.5
2017-04-03,0.1315,85.0
2017-04-04,0.1294,35.0
2017-04-05,0.2386,37.5
2017-04-07,0.3514,63.0
2017-04-08,0.3531,73.5
2017-04-09,0.34119999999999995,98.5
2017-04-10,0.331,80.5
2017-04-11,0.2096,61.0
2017-04-13,0.1347,66.0
2017-04-14,0.1348,76.0
2017-04-15,0.1347,88.0
2017-04-16,0.1348,67.5
2017-04-17,0.1342,71.5
2017-04-19,0.1325,71.5
2017-04-20,0.1338,23.0
2017-04-21,0.1347,97.0
2017-04-22,0.1348,77.0
2017-04-23,0.1347,64.5
2017-04-25,0.1342,67.0
2017-04-26,0.1332,75.0
2017-04-27,0.1325,84.0
2017-04-28,0.1325,72.5
2017-04-29,0.1325,76.0
2017-05-04,0.1362,1.5
2017-05-05,0.2861,0.0
2017-05-07,0.349,0.5
2017-05-08,0.35,6.5
2017-05-09,0.339,0.0
2017-05-10,0.3305,38.0
2017-05-11,0.27440000000000003,53.5
2017-05-13,0.2133,0.0
2017-05-15,0.3693,0.0
2017-05-16,0.39,67.5
2017-05-17,0.414,0.0
