datetime_utc,soil moisture,ssm
2015-05-01,0.2174,72.5
2015-09-01,0.2128,60.0
2015-10-02,0.2061,67.5
2015-07-03,0.2112,92.5
2015-06-04,0.2122,85.5
2015-10-04,0.2377,51.5
2015-08-05,0.2576,95.0
2015-05-13,0.2352,76.0
2015-05-25,0.2472,72.5
2015-06-06,0.2346,94.0
2015-06-16,0.2232,84.0
2015-06-18,0.2035,76.0
2015-06-30,0.2496,88.5
2015-04-07,0.2729,54.5
2015-07-29,0.2342,98.0
2015-08-08,0.226,80.0
2015-09-08,0.2136,72.0
2015-08-15,0.17309999999999998,90.5
2015-08-17,0.1577,90.0
2015-08-20,0.154,68.5
2015-08-29,0.2082,76.5
2015-06-09,0.1769,69.5
2015-09-13,0.1508,66.5
2015-09-20,0.2232,81.0
2015-09-27,0.2196,76.5
2015-09-10,0.1741,63.0
2015-10-14,0.16190000000000002,56.5
2015-10-16,0.1666,50.5
2015-10-26,0.2076,52.5
2015-10-31,0.18170000000000006,52.5
2015-05-11,0.1778,71.0
2015-06-11,0.1734,91.5
2015-11-26,0.1877,3.5
2015-07-12,0.1953,88.0
2015-12-20,0.1824,71.0
2016-01-13,0.1333,85.0
2016-08-02,0.1242,42.0
2016-09-02,0.1249,46.0
2016-06-03,0.1324,66.5
2016-07-04,0.1816,74.0
2016-08-04,0.1883,52.0
2016-06-05,0.2134,61.5
2016-05-29,0.1705,58.5
2016-06-15,0.1469,54.5
2016-06-29,0.2126,70.5
2016-09-07,0.2224,56.5
2016-07-16,0.2444,63.0
2016-07-21,0.17620000000000002,61.0
2016-07-23,0.16079999999999994,76.5
2016-07-28,0.1545,61.5
2016-08-14,0.1951,64.5
2016-08-16,0.1642,57.0
2016-08-21,0.1567,48.5
2016-08-26,0.1805,37.5
2016-08-28,0.1963,45.0
2016-07-09,0.1528,81.0
2016-08-09,0.1523,92.0
2016-09-09,0.1471,34.0
2016-09-14,0.1471,41.5
2016-09-19,0.1369,27.0
2016-09-26,0.1192,32.5
2016-06-10,0.1383,59.5
2016-10-15,0.1152,8.5
2016-10-20,0.1206,14.0
2016-10-25,0.1159,41.0
2016-10-27,0.1391,21.5
2016-07-11,0.1161,80.0
2016-11-30,0.1548,36.0
2016-12-12,0.1226,17.0
2017-03-01,0.128,20.0
2017-04-01,0.1244,60.5
2017-06-01,0.1163,34.5
2017-07-01,0.1169,64.0
2017-11-01,0.116,0.0
2017-01-17,0.1161,35.0
2017-01-24,0.1152,29.0
2017-01-29,0.1197,47.0
2017-01-31,0.1216,39.0
2017-09-02,0.1139,21.5
2017-10-02,0.1124,73.5
2017-11-02,0.1124,4.0
2017-12-02,0.1109,8.0
2017-02-17,0.1145,40.5
2017-02-22,0.1146,60.0
2017-02-24,0.1138,54.0
2017-08-03,0.1056,55.5
2017-09-03,0.1056,45.5
2017-10-03,0.1055,77.0
2017-11-03,0.1055,39.0
2017-03-13,0.1048,25.0
2017-03-18,0.104,28.0
2017-03-20,0.1041,54.0
2017-03-25,0.1056,24.0
2017-03-30,0.1137,77.5
2017-06-04,0.1189,29.0
2017-07-04,0.1219,87.0
2017-08-04,0.1264,47.0
2017-09-04,0.12869999999999998,48.0
2017-10-04,0.1308,82.0
2017-11-04,0.1465,8.0
2017-12-04,0.1525,13.0
2017-04-13,0.1503,0.0
2017-04-18,0.1406,37.5
2017-04-23,0.1376,5.0
2017-04-25,0.1495,5.0
2017-04-30,0.1547,16.0
2017-01-05,0.1533,66.0
2017-02-05,0.1539,1.5
2017-05-05,0.1748,27.5
2017-06-05,0.177,67.0
2017-07-05,0.17120000000000002,77.0
2017-08-05,0.16440000000000002,47.0
2017-09-05,0.1562,32.0
2017-10-05,0.1533,68.0
2017-05-13,0.14980000000000002,30.5
2017-05-14,0.16510000000000002,6.0
2017-05-17,0.17559999999999998,56.0
2017-05-18,0.1912,70.5
2017-05-19,0.25420000000000004,53.5
2017-05-20,0.1825,52.5
2017-05-23,0.1501,42.5
2017-05-24,0.1383,58.0
2017-05-25,0.1418,52.0
2017-05-26,0.13449999999999998,38.5
2017-05-29,0.152,26.0
2017-05-30,0.1378,48.0
2017-05-31,0.1362,32.0
2017-03-06,0.1248,75.0
2017-04-06,0.1246,5.0
2017-05-06,0.1263,22.0
2017-06-06,0.1844,55.0
2017-07-06,0.16510000000000002,73.5
2017-08-06,0.15710000000000002,31.5
2017-06-13,0.12990000000000002,61.0
2017-06-16,0.1175,62.0
2017-06-17,0.1165,75.5
2017-06-18,0.1383,65.5
2017-06-19,0.1306,55.0
2017-06-22,0.1898,73.5
2017-06-23,0.16690000000000002,55.0
2017-06-24,0.1516,50.0
2017-06-25,0.2042,81.0
2017-06-28,0.181,52.0
2017-06-29,0.1625,69.5
2017-06-30,0.1461,66.5
2017-01-07,0.141,2.5
2017-05-07,0.1852,14.0
2017-06-07,0.19,55.5
2017-07-07,0.1653,57.0
2017-11-07,0.1408,0.0
2017-12-07,0.14029999999999998,31.5
2017-07-13,0.1956,48.5
2017-07-16,0.1679,52.0
2017-07-17,0.2032,65.5
2017-07-18,0.17679999999999998,73.0
2017-07-19,0.2,53.5
2017-07-22,0.1642,52.0
2017-07-23,0.152,60.5
2017-07-24,0.1553,64.5
2017-07-25,0.1715,55.5
2017-07-28,0.1366,42.5
2017-07-29,0.14029999999999998,67.5
2017-07-30,0.1612,67.0
2017-07-31,0.1507,52.5
2017-03-08,0.1753,34.0
2017-05-08,0.15380000000000002,19.5
2017-09-08,0.1348,75.0
2017-10-08,0.1336,58.5
2017-11-08,0.1928,22.0
2017-08-15,0.139,32.5
2017-08-16,0.1411,82.0
2017-08-17,0.1523,55.0
2017-08-22,0.1873,46.5
2017-08-23,0.1702,44.5
2017-08-24,0.1613,30.0
2017-08-27,0.1666,33.5
2017-08-28,0.1564,27.5
2017-08-29,0.159,60.5
2017-08-30,0.194,40.0
2017-08-09,0.1337,42.5
2017-09-09,0.1859,80.0
2017-10-09,0.1986,46.5
2017-11-09,0.2059,61.5
2017-12-09,0.1881,51.5
2017-09-15,0.1833,35.0
2017-09-17,0.1851,41.0
2017-09-20,0.1862,57.5
2017-09-22,0.1929,48.5
