network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,No-Timefilter,absolute,-0.015646559964941863,0.5512136633350807,-68.69315313971093,69.2241781602154,8.557894231729204,1453,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2015,absolute,-0.00959605507156817,0.8578239601023716,-67.47527380626781,68.0992590571977,9.197636050013697,351,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2016,absolute,0.122972416811418,0.018924795673257336,-68.1802813489011,68.66415806325051,8.13731145524977,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2017,absolute,-0.009374838143256552,0.8593039077179532,-69.38948015000001,69.82470315395234,7.7839074410169795,360,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2018,absolute,0.23274746772408478,4.805704168128398e-06,-69.65474905026456,70.2158434938447,8.858928394380644,378,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,winter,absolute,-0.35742114374067235,0.05697175768622764,-65.51938517241379,66.09909493814187,8.735016787069013,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,spring,absolute,-0.32551577180827795,6.959230756606571e-09,-70.96227359271523,71.3456316863162,7.386128029767371,302,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,summer,absolute,0.11043747600987436,0.003855362538510963,-70.4105158682284,70.7847937489742,7.269544776309711,683,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,fall,absolute,-0.14074730592298462,0.0031236523639833176,-64.66993252619591,65.38218596094828,9.624451573429617,439,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2015-winter,absolute,-0.6594814765398378,0.1070557679959026,-58.36774214285713,58.464949682003265,3.3700175762318447,7,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2016-winter,absolute,-0.7502821236290012,0.24971787637099885,-65.43374825,65.76793475701594,6.621618545244675,4,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2017-winter,absolute,0.006234288517033261,0.9863630238967611,-66.74358900000001,67.09204291958328,6.829022662305639,10,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2018-winter,absolute,0.8895447451163543,0.003096059408214029,-70.2896365,71.11738589150039,10.818945269223198,8,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2015-spring,absolute,0.06404587746165694,0.5877352238119831,-67.7954354054054,68.04776342424566,5.854660129640988,74,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2016-spring,absolute,-0.20049068805355977,0.0709130276401953,-69.59924784146342,69.83772519341026,5.766503281264982,82,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2017-spring,absolute,-0.014759125357933231,0.9078489799206381,-67.925105546875,68.25499830063758,6.702598709898373,64,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2018-spring,absolute,-0.03108547491451956,0.7815985020894082,-77.55365032926831,77.81187251307635,6.333942263458995,82,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2015-summer,absolute,-0.030734556222189867,0.7042167349582567,-71.17947211612902,71.54639864153691,7.236705593218779,155,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2016-summer,absolute,0.07626741603883129,0.30887326724142156,-71.38146882222222,71.72901168485669,7.052448232239883,180,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2017-summer,absolute,-0.052204776317188326,0.49138412224290307,-69.89579338636364,70.25617675589825,7.106928960302341,176,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2018-summer,absolute,0.2538644542521435,0.0007784487553178937,-69.2281403255814,69.62950885533328,7.46545983155402,172,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2015-fall,absolute,0.05846485869066531,0.5348313681050904,-62.83101315652174,63.77639379579838,10.940392649340453,115,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2016-fall,absolute,-0.14652845891156135,0.1499438843283262,-61.22535415306122,61.679298341882976,7.469394405119994,98,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2017-fall,absolute,0.04957053057557692,0.6070580764152806,-69.67191430000001,70.27732512077024,9.204715308139653,110,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,Y2018-fall,absolute,-0.18580905966780314,0.045827564539160696,-64.65981539655172,65.17827208221361,8.204597766308728,116,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,M01,absolute,0.9162805384124107,0.010220029685943237,-75.26136666666666,75.80600076207688,9.070636086050172,6,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ASCAT 12.5 TS,M02,absolute,,,,,,0,
