network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,No-Timefilter,absolute,0.028289462916497234,0.45749202660269633,-68.51519036416185,69.15022017219104,9.34995396914656,692,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015,absolute,-0.012673419304799295,0.8647939332211773,-68.18496801092897,68.99146081877622,10.518165394085068,183,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016,absolute,0.13492696429734066,0.07673979894118638,-67.62757287283237,68.28519325489388,9.454047026958976,173,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017,absolute,0.006161922996739143,0.937969729541455,-70.2257809074074,70.71757999015712,8.325612026096584,162,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018,absolute,0.24944067319627022,0.0009025667865688122,-68.15239064367815,68.69436922366468,8.612085263666428,174,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,winter,absolute,,,-65.79309599999999,65.79309599999999,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,spring,absolute,-0.3356057663550044,5.0447595051256994e-05,-69.05008596428571,69.28310722583893,5.677550104741231,140,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,summer,absolute,0.11746505068186103,0.025016614419571887,-70.59434401648353,71.02620226893798,7.820486022650273,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,fall,absolute,-0.05470444170187181,0.4571105669975803,-64.08216780213904,65.25740331217224,12.32900875277504,187,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-winter,absolute,,,-65.79309599999999,65.79309599999999,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-spring,absolute,0.08127259467010584,0.608889604354962,-66.94729269047619,67.11427372391162,4.7313569833449405,42,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-spring,absolute,-0.12768571297209635,0.4513808670374244,-67.98061516216215,68.1317024755512,4.534847780360162,37,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-spring,absolute,0.09305011499878035,0.6582045155497525,-67.93826712,68.24978682165215,6.513467734816117,25,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-spring,absolute,-0.14927071759883911,0.38490242302373506,-73.3746195277778,73.52946648846853,4.769449783011474,36,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-summer,absolute,-0.020388394063014056,0.8478799463289076,-71.52410571428571,72.03998669927093,8.605927341246359,91,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-summer,absolute,0.1022630333508516,0.33204279895597993,-71.45016164130433,71.83886257827815,7.463014000537126,92,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-summer,absolute,-0.043994782898484186,0.6822630559658219,-70.10074960674157,70.50390452767549,7.528974579615866,89,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-summer,absolute,0.21427500317633313,0.04026298558551266,-69.29636973913043,69.68980744337335,7.394755065056871,92,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-fall,absolute,0.04579473757518841,0.7521595198840192,-63.14738466000001,64.74527823345329,14.295414094361737,50,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-fall,absolute,-0.10874431206435138,0.48227370789454793,-59.33801079545454,60.32659013571121,10.876486208358317,44,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-fall,absolute,0.1309605891150237,0.3749526615667353,-71.64902320833333,72.35704974306135,10.09753043132664,48,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-fall,absolute,-0.01984544347129305,0.897046128783621,-61.688234599999994,62.41655330917613,9.507251912755256,45,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M04,absolute,-0.49288450675694007,0.007702394468688938,-66.68118207142857,66.83265971368299,4.497150426874484,28,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M05,absolute,-0.30527732257596374,0.0010641022207710752,-69.6423119375,69.88229448495971,5.786490342390332,112,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M06,absolute,0.20275902646501665,0.027664880936236712,-69.63659696610172,70.0780391224744,7.85340246210313,118,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M07,absolute,0.17298210347742454,0.05570635908818571,-73.80666145528454,74.13502739356046,6.969864523000085,123,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M08,absolute,-0.06532667710007234,0.47283270792671045,-68.3008408211382,68.71529495611796,7.535708595203847,123,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M09,absolute,0.05183165478836276,0.5772424526961201,-64.14795165254239,64.94439507289046,10.139760853529308,118,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M10,absolute,-0.3725167501491048,0.006015660739178275,-60.49159801886793,62.45775635637136,15.547922632800233,53,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M11,absolute,0.3839687442880541,0.14203151963380836,-75.49077431250001,75.78588208474339,6.681535531733682,16,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,M12,absolute,,,-65.79309599999999,65.79309599999999,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M04,absolute,0.28313093386430754,0.3988603207571971,-64.12041490909091,64.18300521808213,2.8338226321330597,11,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M04,absolute,0.2850484596541024,0.5840077782259244,-66.830252,66.91929375595537,3.450984556954918,6,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M04,absolute,0.17754189232575443,0.7751398970724303,-66.40120519999999,66.48654546032361,3.367591904487618,5,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M04,absolute,-0.31383597757899084,0.5447013603688547,-71.46016600000002,71.62335359277849,4.83212739159679,6,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M05,absolute,0.12703685347891522,0.4958638525775176,-67.9503783548387,68.12409010399963,4.861865272930521,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M05,absolute,-0.11569719652474751,0.5353961577330115,-68.20326609677419,68.36387873376081,4.683418543859537,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M05,absolute,-0.01492873301692925,0.9501904719792904,-68.3225326,68.68352473256803,7.032645932451204,20,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M05,absolute,-0.26705946085185633,0.1536797728066107,-73.75751023333335,73.9047899294717,4.663438505981703,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M06,absolute,0.025714236369854836,0.8927066760201557,-68.78436889999999,69.26530654618848,8.148207530872861,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M06,absolute,0.09803792757747962,0.6062711742681438,-72.37012859999999,72.88459399867708,8.64456643050743,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M06,absolute,0.5574339274951297,0.0020583177930837684,-69.36411985714284,69.81013617180001,7.878704764692039,28,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M06,absolute,0.1735492936670201,0.35905662116644466,-68.00960536666666,68.24899994183873,5.711354561867809,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M07,absolute,0.12598330928727722,0.49947340653476413,-77.50489587096774,77.90331229815739,7.86874723540448,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M07,absolute,-0.08545376797334014,0.6476192860540934,-72.93051635483873,73.16044731234787,5.795760101956711,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M07,absolute,-0.22837215717778364,0.22481832454379752,-72.47289116666667,72.69176625726863,5.636747958341482,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M07,absolute,-0.03383890508067923,0.8565904124208127,-72.27531758064517,72.60649667728063,6.926891681327704,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M08,absolute,-0.3671315825177653,0.04596372486270608,-68.08369270000001,68.3620124544223,6.162429322154898,30,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M08,absolute,0.06493852305079795,0.7285380365304004,-69.07951632258063,69.44590291729746,7.124174102099041,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M08,absolute,-0.45926116259898264,0.009350116300269396,-68.47047174193547,68.96041868031301,8.205720200011681,31,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M08,absolute,0.3660315746349373,0.042855070504628535,-67.56267774193549,68.07324994811864,8.321774740907697,31,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M09,absolute,0.09123849860127217,0.631581834314871,-64.99468223333332,66.06363016848825,11.836152771353321,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M09,absolute,-0.16139873482222125,0.3941804475983094,-61.34324839999999,61.76715814354969,7.2241055409078445,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M09,absolute,0.2263167196766733,0.23778665106326496,-68.7054015862069,69.4396871041554,10.071640283540987,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M09,absolute,-0.051726043929451127,0.7898705358628524,-61.61599068965517,62.27735498381826,9.051996194919694,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M10,absolute,-0.24584297180763645,0.4181553567201846,-50.760829615384615,52.38347196723763,12.937013260419223,13,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M10,absolute,-0.38166848515002094,0.3107790770954356,-46.57227211111111,48.050928235962886,11.828574501869488,9,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M10,absolute,0.07804446193175005,0.7659097590553123,-75.79755576470588,76.24094799750895,8.210523226638292,17,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M10,absolute,-0.39262475668869534,0.16494626941832416,-59.88964378571429,60.641506745920616,9.519606485343312,14,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M11,absolute,0.03874446749126559,0.934274706290164,-78.2339972857143,78.3700835648668,4.616456071821287,7,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M11,absolute,0.36779724792243174,0.5424893882215912,-70.2849148,70.56005798289097,6.225153339932773,5,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M11,absolute,1.0,1.0,-79.06901,79.54940696160217,8.729249999999997,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M11,absolute,1.0,1.0,-75.325907,75.34282838937877,1.5967230000000068,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2015-M12,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2016-M12,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2017-M12,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Active,Y2018-M12,absolute,,,-65.79309599999999,65.79309599999999,0.0,1,
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,No-Timefilter,absolute,0.3811799992772693,8.940887709176548e-33,-57.39208959581499,59.983084580679495,17.43899330921646,908,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2015,absolute,0.15589801895397473,0.023184013442851387,-56.81899345283019,59.081684275692844,16.194054460199002,212,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2016,absolute,0.3526659555355463,4.431765209426827e-08,-54.98674542543859,57.24270253758746,15.91178246849579,228,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2017,absolute,0.4595806458337779,1.2500653355645155e-13,-63.98620644017093,66.48434927089984,18.053644600767637,234,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2018,absolute,0.4574219822165623,1.6794557224941143e-13,-53.66085673931624,56.44478042198373,17.50787511060487,234,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,winter,absolute,0.1412943058965553,0.3720998753671492,-81.69162695238094,82.492941355157,11.470111564339716,42,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,spring,absolute,0.3378785363476799,5.292811255151904e-07,-54.64951995714287,56.555992188838076,14.56057076208752,210,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,summer,absolute,0.35720962398095296,2.832032565229063e-12,-51.62033556944444,53.9679287154317,15.744150835528275,360,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,fall,absolute,0.4180721074893172,5.955173253967175e-14,-62.90962508445946,65.26785450752726,17.385968588160303,296,True
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2015-winter,absolute,-0.5605456899799623,0.3256632697956572,-89.123042,89.34962828893386,6.359202783123559,5,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2016-winter,absolute,-0.006782212473896446,0.9824563091693987,-76.73044053846154,77.60868661801918,11.642496869122498,13,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2017-winter,absolute,0.28624353789829415,0.3670721989625472,-84.99304366666667,85.47256377334243,9.041110897681945,12,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2018-winter,absolute,0.19128932099465612,0.5514730324737169,-80.66840591666666,81.61376942122702,12.38610697536197,12,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2015-spring,absolute,0.16829290967681834,0.24269907383376932,-55.39183355999999,57.32820279563066,14.773882720470343,50,False
ICOS,Hyltemossa,SE-Htm,13.419064,56.097581,Forest,CCI Active,Y2016-spring,absolute,0.425875108911145,0.0016454031770223889,-54.82098257692308,56.65249287169626,14.288625471972153,52,True
