network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,No-Timefilter,absolute,0.050722669733413245,0.18293116552523986,0.22104220774240238,0.2540020126360674,0.12512939230867226,691,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2015,absolute,-0.03394659837912437,0.6482418959648607,0.3540952132786883,0.35959558798085517,0.06265434405064868,183,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2016,absolute,0.1534641742341978,0.044440733956005174,0.24905408110465121,0.2772454476200324,0.12180764717845081,172,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2017,absolute,-0.03316374764363175,0.6752510190796237,0.14289437320987664,0.16775933969096188,0.08788853257680464,162,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2018,absolute,0.18641032271867639,0.013784750149393662,0.12617558109195398,0.13428682540417675,0.045963835928255384,174,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,winter,absolute,,,0.13785265000000002,0.13785265000000002,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,spring,absolute,-0.1978896376362957,0.019535156988448637,0.25437195496402876,0.28068652326755034,0.11865847155514507,139,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,summer,absolute,0.1736776226504815,0.0008763415920943128,0.21951171920329668,0.250765433834807,0.12123492870774483,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,fall,absolute,-0.04390328028383428,0.5507540663675189,0.19969168647058816,0.23944713991328914,0.1321293425669959,187,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2015-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2016-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2017-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2018-winter,absolute,,,0.13785265000000002,0.13785265000000002,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2015-spring,absolute,0.06626535633260269,0.6767169909301645,0.3638378990476191,0.3647718269686184,0.026085800095803725,42,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2016-spring,absolute,-0.16627530990349781,0.3324393362910438,0.3157705844444444,0.33264334170454357,0.10459699221287262,36,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2017-spring,absolute,0.2914508141456823,0.15749283686965854,0.17279674760000002,0.17455137978444066,0.024687409817838932,25,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2018-spring,absolute,-0.17344947591941157,0.31169915123577313,0.1219125069444445,0.13096714363290396,0.04785115841735164,36,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2015-summer,absolute,-0.10442119373445921,0.3246041044676417,0.34396720428571426,0.35250244090197674,0.0771007990731698,91,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2016-summer,absolute,0.131418183363118,0.21177187856185126,0.24554802076086954,0.2750297287541932,0.12388511290314369,92,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2017-summer,absolute,-0.043955516143018694,0.6825314351349516,0.15341192561797742,0.1772443121218167,0.08877120736883161,89,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2018-summer,absolute,0.2250277041284054,0.0310352593396195,0.13431707510869564,0.1409231562364749,0.04264105179161181,92,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2015-fall,absolute,0.1009546898050948,0.4854353161844436,0.36434433360000007,0.3679025102858053,0.05104374249767565,50,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2016-fall,absolute,-0.08495339217320316,0.5834947580635029,0.20179870454545457,0.22755243544134696,0.10515414266240164,44,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2017-fall,absolute,0.10252600246941931,0.48804112851226467,0.10781892479166671,0.14444646831956023,0.09612419917358289,48,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,Y2018-fall,absolute,-0.12580115684946364,0.4102629165257278,0.11268171777777783,0.12240054081617141,0.04779877478283815,45,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M04,absolute,-0.6766398912359843,0.0001065199415469126,0.281756915925926,0.3140706703775505,0.13875671630344477,27,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M05,absolute,-0.06993677718186264,0.46371951398988215,0.2477702233035714,0.27202635872236025,0.11228649199188907,112,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M06,absolute,0.25064476443131656,0.00618973229720865,0.23426249652542377,0.2647535375559925,0.12335119930543101,118,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M07,absolute,0.26572527764163384,0.002972744803307807,0.22096884715447151,0.24942671699230018,0.11569985193067789,123,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M08,absolute,-0.05206071566866054,0.5674073570069993,0.20390343902439023,0.23798092592157846,0.12271230034726989,123,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M09,absolute,0.09476334482209506,0.30738025561029475,0.20666733076271188,0.239979798383351,0.12197917046582026,118,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M10,absolute,-0.35151539955780536,0.009851667369166331,0.18115024358490558,0.2359516103241564,0.1511878026286906,53,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M11,absolute,0.23575698773337905,0.37939196616795956,0.20966483937499997,0.24689306888371543,0.1303719394374208,16,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,CCI Combined,M12,absolute,,,0.13785265000000002,0.13785265000000002,0.0,1,
