network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,No-Timefilter,absolute,0.08352079963810544,9.021009845294361e-27,0.20200634055978525,0.24341723283403,0.13581379758412038,16392,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2015,absolute,-0.0583207983720757,0.0008205911736801155,0.35213395474574205,0.35953657694117813,0.0725825603964435,3288,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2016,absolute,0.08738582107598132,6.603939898669897e-09,0.23234232709016386,0.2715584864548382,0.14057401825362256,4392,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2017,absolute,-0.003134438150774528,0.8363778504660597,0.11260221068370163,0.15431557455252776,0.10551795438985734,4344,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2018,absolute,-0.16897783991959628,2.4330245646835932e-29,0.14740842203800364,0.1649875647598528,0.07410569234311501,4368,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,winter,absolute,0.1098201995088326,3.381585741894494e-11,0.141787284884106,0.20076384422965593,0.1421354529843379,3624,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,spring,absolute,0.22736300701806206,1.624858813900612e-48,0.21027494625872745,0.24502596985327751,0.12578621895274764,4039,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,summer,absolute,0.1691415566656522,1.995023277991923e-29,0.24911158018225474,0.278138965691748,0.12371218555653862,4373,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,fall,absolute,-0.18090574249276423,2.3043319590573112e-33,0.19714999218549129,0.23686586988574887,0.13129097797637598,4356,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2015-winter,absolute,0.13755940304566966,0.007887164724687536,0.3148012347849462,0.32965320470496406,0.09783362382190533,372,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2016-winter,absolute,0.1413329169957458,2.750663498049217e-06,0.1673802022344322,0.2370841294411707,0.1679069752358083,1092,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2017-winter,absolute,-0.20927082700689806,3.746420068325308e-12,0.06123558172222229,0.13954312269500882,0.1253893401474596,1080,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2018-winter,absolute,-0.35073598805995565,1.289169238727848e-32,0.13686801109259256,0.1466714517816455,0.05272250285498137,1080,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2015-spring,absolute,-0.09852063850356757,0.0076426624110970676,0.3198427227595628,0.3236091088349849,0.049228934771356786,732,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2016-spring,absolute,0.05116784733875254,0.0892597575586042,0.29719599632246385,0.3169009136806192,0.11000331295697126,1104,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2017-spring,absolute,0.10835176207742522,0.00032005933237934527,0.10174771147406736,0.14044490665773712,0.09680999440083876,1099,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2018-spring,absolute,-0.060059870428653836,0.04602984017082511,0.15874141306974635,0.17364174725253584,0.07037485463952091,1104,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2015-summer,absolute,-0.14023997454046955,3.287485745039612e-06,0.3653849823388279,0.3754848604088787,0.08650257266422527,1092,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2016-summer,absolute,-0.16366030613576754,4.5357849305698336e-08,0.26297868302536237,0.29547055780792086,0.1347036109596543,1104,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2017-summer,absolute,0.18331363067617512,1.4567890679664911e-09,0.16874298088536818,0.18928735494091614,0.08576426495020324,1073,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2018-summer,absolute,-0.15455339461806517,2.463084011723579e-07,0.19834678883423917,0.21177609121902286,0.07421363871387547,1104,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2015-fall,absolute,0.04865221543240696,0.10808874178899938,0.3732464378113553,0.37551640862395197,0.04122705188301624,1092,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2016-fall,absolute,-0.1471101237416626,1.0483720147801422e-06,0.2007650858424909,0.22493535345587962,0.10143615499898832,1092,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2017-fall,absolute,0.07056198714134712,0.019701354848497672,0.11916448859890105,0.14287760591377316,0.07882788167021768,1092,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,Y2018-fall,absolute,-0.01997448668340526,0.5119953693281334,0.09429366720370372,0.10914962409767597,0.05497585620925914,1080,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,M01,absolute,0.12123318622403542,4.898170938212123e-05,0.08740203351254486,0.15984789978399552,0.1338366003872867,1116,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,M02,absolute,-0.4945422677661393,5.0432610992887275e-64,0.1476161650294118,0.22216480301985533,0.1660321279838953,1020,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,M03,absolute,0.32782830231130433,2.2704584533613442e-29,0.1939605006989247,0.22879554441197492,0.12135371980864207,1116,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,ERA5 0-25,M04,absolute,0.3335879828528805,1.2243509697217798e-38,0.199388754620209,0.23369142644366803,0.12188440148057655,1435,True
