network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,No-Timefilter,absolute,-0.14804742283173805,3.751208934767529e-28,-30.895167123352852,32.348521410327855,9.587256429997927,5464,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2015,absolute,-0.061832780009716176,0.04069227072260203,-28.8357352080292,29.7595875411559,7.357542091768604,1096,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2016,absolute,-0.14278923638290883,4.09028141841272e-08,-31.703486881147544,33.04175892813767,9.308423746374634,1464,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2017,absolute,-0.2671771493580012,4.333455965680482e-25,-33.11176838121547,34.448320656794465,9.502504445780158,1448,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2018,absolute,-0.008298414858931315,0.751713471334651,-29.428215634615384,31.34317393240934,10.787709521480586,1456,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,winter,absolute,0.011318362593939237,0.6943271079116342,-42.636982692052975,42.67488494883938,1.7981969620295868,1208,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,spring,absolute,-0.1526870961304047,1.7844788292407126e-08,-32.660351438010395,34.29391195109392,10.458194913800117,1347,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,summer,absolute,0.3899546374506224,4.0895825341144185e-54,-23.03202222580645,23.26540890854963,3.287126993588498,1457,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,fall,absolute,0.041483071007562614,0.11409860258084648,-27.37917926997245,28.08044718497361,6.236349622239203,1452,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2015-winter,absolute,0.5005845375711887,3.2103026091765527e-09,-42.80043790322579,42.80053336444215,0.09039675236168093,124,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2016-winter,absolute,0.4600488288338558,1.8272730170590158e-20,-42.962688186813175,42.9629667737115,0.15471833020398001,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2017-winter,absolute,-0.3140762947908046,1.1058920007194947e-09,-43.07020027777777,43.07040760187426,0.13363765823603618,360,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2018-winter,absolute,-0.11069770538468979,0.03577344814997662,-41.818139422222224,41.93551585760886,3.135395590248247,360,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2015-spring,absolute,0.035304627014301725,0.583132300087905,-30.11986061885246,31.186720966162433,8.087370457829678,244,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2016-spring,absolute,-0.10793382003073379,0.038495914758706444,-33.1155950923913,34.564573004545096,9.902881836279613,368,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2017-spring,absolute,-0.28887741938575595,1.7422864132687165e-08,-34.133711215258856,35.65037699571994,10.287815055213102,367,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2018-spring,absolute,-0.19100375183296142,0.00022815605569253064,-32.42020757065217,34.608081420724275,12.10989020178583,368,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2015-summer,absolute,-0.09983469683631432,0.05704969662048279,-24.653987903846154,24.742015575569276,2.0852374394107196,364,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2016-summer,absolute,0.049958963502296394,0.33921597098155315,-24.481377989130436,24.624700942740994,2.652928244930348,368,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2017-summer,absolute,0.32949296753873436,1.7380630453887077e-10,-23.527822969187667,23.635470708058357,2.253224782850004,357,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2018-summer,absolute,-0.04818963182860092,0.3566182526768251,-19.497350233695652,19.7288525436381,3.0134625521521956,368,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2015-fall,absolute,0.1225131828309872,0.019378041989303985,-27.39948873626374,27.90062184145083,5.264286858730202,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2016-fall,absolute,-0.13995930426259218,0.007489797638029614,-26.318132417582415,26.913411952340297,5.629178356294201,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2017-fall,absolute,0.13682665719637582,0.008953844439853444,-31.63204313186813,32.50653313600975,7.489228520090313,364,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,Y2018-fall,absolute,-0.29890069443892087,7.282293381344203e-09,-24.131362499999998,24.34009632286987,3.180822676632114,360,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,M01,absolute,0.0798622423702928,0.12414641790782383,-43.038586908602156,43.03880728239146,0.13772872442439912,372,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,M02,absolute,-0.02762991728923822,0.6116699131524448,-42.996891064705885,42.99718223804484,0.158237737138204,340,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,GLDAS,M03,absolute,0.16132087270392703,0.0017996746968984704,-42.92479215053763,42.92501450614798,0.13816362096348192,372,True
