network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,No-Timefilter,absolute,0.09642353930243316,0.008493487085235018,0.07272846969086028,0.1544666978181949,0.1362737334605725,744,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015,absolute,-0.02711537183975773,0.7059830412822735,0.20282739525510213,0.2221098366264925,0.09051976171134013,196,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016,absolute,0.06443793411822724,0.3928053387716613,0.09889021842696633,0.1664031431150926,0.1338309782451316,178,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017,absolute,0.09009801205751908,0.22644175410976605,0.002587744725274732,0.11278541529968042,0.1127557248283128,182,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018,absolute,0.1821524748015738,0.012354336519021715,-0.019774555531914817,0.06678899937033637,0.06379449341758274,188,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,winter,absolute,1.0,1.0,0.20633779499999996,0.20816245704309327,0.02750132500000002,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,spring,absolute,0.09594127061498894,0.3165007834461902,0.12708620648648644,0.18246680790579048,0.13093216605633148,111,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,summer,absolute,0.19338915444475255,0.0002518818667040303,0.05889478612994353,0.1369933278126132,0.12368741258463739,354,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,fall,absolute,-0.004181366221284004,0.9447688070932232,0.0676605871841156,0.16262645326826558,0.1478830897855332,277,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-winter,absolute,,,0.17883646999999997,0.17883646999999997,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-winter,absolute,,,0.23383912,0.23383912,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-spring,absolute,0.02362324731836933,0.8961782390002744,0.22408697909090913,0.23759576089565568,0.07897323215809311,33,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-spring,absolute,-0.52926409863854,0.0031545828422977333,0.16818954413793097,0.20198704045790103,0.11185276820721378,29,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-spring,absolute,0.3284721681761526,0.07635897323528759,0.08757715533333332,0.13922113196494457,0.10822553048759664,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-spring,absolute,-0.16070194883707,0.5110387789150682,-0.04174278052631586,0.059868984807542415,0.04291661235253284,19,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-summer,absolute,0.048708014410815334,0.6560637278330794,0.1672378424418604,0.186120017087491,0.08168332030493984,86,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-summer,absolute,-0.14451377930353673,0.176640372481443,0.08732819606741582,0.16761891915559649,0.14307301712937134,89,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-summer,absolute,0.025038924503298574,0.8168768568901218,-0.003144694659090952,0.09857010117250754,0.09851992560218192,88,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-summer,absolute,0.11097482829781304,0.29499038136404343,-0.011309631648351692,0.058263820719578294,0.05715562121805486,91,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-fall,absolute,-0.07849636329491273,0.4974010698611636,0.2334655157142857,0.2503820550049438,0.09047113595374673,77,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-fall,absolute,0.0265468104740841,0.841807378921409,0.08091383355932208,0.14339239382169083,0.11838213608754157,59,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-fall,absolute,0.214051438685204,0.09207643267987918,-0.03354684301587302,0.11436296538140314,0.10933205007908882,63,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-fall,absolute,-0.10294220180829514,0.36978922956308874,-0.0242990657692308,0.07692887202649021,0.07299045659543928,78,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M01,absolute,,,0.23383912,0.23383912,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M04,absolute,0.6935733884414336,0.19398957990824905,0.317690222,0.32345452089049986,0.06079267990550783,5,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M05,absolute,0.13327882584783263,0.17319652515006945,0.11809545103773589,0.17300166209178033,0.1264240464892351,106,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M06,absolute,0.25828824212329066,0.0051199444495359904,0.08587731258620673,0.15097817608831487,0.12417526661104908,116,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M07,absolute,0.3211205065680888,0.0004153578488549441,0.05696323034188039,0.12679293206230216,0.11327682026775582,117,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M08,absolute,0.038887537163254784,0.6719429171814835,0.034894942809917395,0.13231826609550867,0.12763411185421564,121,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M09,absolute,-0.04448892930686414,0.6353528763943922,0.03237529500000008,0.14365824838812105,0.1399626114489368,116,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M10,absolute,-0.04373375742551417,0.6381849298632881,0.08716846618644075,0.16770384968519297,0.14326981434320754,118,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M11,absolute,0.11057178689570425,0.4802683275827828,0.10931556790697666,0.19369400124227773,0.15989831997372156,43,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,M12,absolute,,,0.17883646999999997,0.17883646999999997,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M01,absolute,,,0.23383912,0.23383912,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M04,absolute,0.6536080279217698,0.34639197207823025,0.34325231500000003,0.34521694073838977,0.036777498826234434,4,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M04,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M04,absolute,,,0.21544185000000002,0.21544185000000002,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M04,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M05,absolute,0.07833382478465106,0.6862814200324835,0.20765038103448286,0.21863279401640964,0.06842234924098964,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M05,absolute,-0.52926409863854,0.0031545828422977333,0.16818954413793097,0.20198704045790103,0.11185276820721378,29,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M05,absolute,0.33190975235744696,0.07857420592727937,0.0831680279310345,0.1358321119968974,0.10739386285817427,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M05,absolute,-0.16070194883707,0.5110387789150682,-0.04174278052631586,0.059868984807542415,0.04291661235253284,19,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M06,absolute,0.21691278490854835,0.26754687918445963,0.1643067492857142,0.18429179115003438,0.08346709785567805,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M06,absolute,-0.23569993901566735,0.2098848862094878,0.1522846963333334,0.21596591316203365,0.15313604053447216,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M06,absolute,0.35228688566866195,0.06597638721528142,0.016374013928571574,0.08364271044150032,0.08202435417525465,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M06,absolute,0.11839952124877486,0.533190483681225,0.011138866666666747,0.05716798820706008,0.056072315138798956,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M07,absolute,0.21395754147428828,0.2742793275702676,0.15437506071428586,0.1743919640482251,0.08112273265896579,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M07,absolute,0.24715413991948826,0.18792752529932966,0.07862165833333329,0.1410132610452753,0.11706141393106252,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M07,absolute,-0.11903422759402019,0.538544693836222,-0.002997765517241402,0.10795700805290752,0.10791537883749089,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M07,absolute,-0.024589383171561816,0.8973750406957517,0.0023493900000000068,0.05623279778446448,0.05618369793184116,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M08,absolute,-0.35977469955170716,0.05084498209831903,0.18197879233333347,0.19803772586209706,0.07811952384348396,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M08,absolute,-0.2965843783663442,0.11821995964266352,0.02913857965517247,0.13193162023082966,0.1286736009926319,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M08,absolute,-0.14885817271346857,0.42416537517881797,-0.02091194580645156,0.10178029311274227,0.09960882786532407,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M08,absolute,0.4531833540248802,0.01045937437437536,-0.0462523929032258,0.06117295221704015,0.040035562112625635,31,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M09,absolute,-0.07039165152491375,0.7116601741317805,0.19484666266666667,0.21513768951970236,0.0912085714148514,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M09,absolute,-0.23178905789475954,0.2545481929199052,0.04792610499999994,0.12667830313766434,0.11726244473558853,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M09,absolute,-0.009787507081882758,0.9590612947110666,-0.06734821266666674,0.11311252298103297,0.09087717593400531,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M09,absolute,-0.1655857174273832,0.3818614431330604,-0.043849933666666785,0.08253889112236593,0.06992747575265901,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M10,absolute,-0.2001990849064402,0.2802161610775972,0.2475022712903227,0.2599151719499995,0.07936323025135358,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M10,absolute,-0.009212127850701277,0.9607725560336101,0.11139302451612898,0.15540855149717495,0.10836702435519374,31,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M10,absolute,0.06807374814138392,0.7358337578532509,-0.007620464444444586,0.11193713683298295,0.11167744232393982,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M10,absolute,0.10185829762129137,0.5990504708093528,-0.021866297241379173,0.06884603564827534,0.0652812505198487,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2015-M11,absolute,0.07285534396661837,0.7885933372113555,0.27867965125000005,0.28987721523672677,0.07979004883178095,16,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2016-M11,absolute,1.0,1.0,0.037326845000000025,0.15359488742343952,0.14899025500000002,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2017-M11,absolute,0.26293610545413704,0.614684937646451,0.018791301666666704,0.13027454259130541,0.1289121539229183,6,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3 Enhanced,Y2018-M11,absolute,-0.32650299838181146,0.17246876555737814,0.0028575526315789412,0.07939721155702698,0.07934577238888693,19,False
