network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,No-Timefilter,absolute,0.06706255118262483,0.06863823008433907,0.07146002821138209,0.15337915184071008,0.13571524817574504,738,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2015,absolute,-0.04304667440243386,0.5491219066866199,0.2040258002040815,0.22175092502522525,0.08687315811358097,196,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2016,absolute,0.059775320519167924,0.43065951041197587,0.09716663022727273,0.16436891340681467,0.13257369899347826,176,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2017,absolute,0.037500027530715525,0.621219312910648,-0.0026247934659091587,0.11018218161203513,0.11015091286071493,176,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2018,absolute,0.22403035659276854,0.0018883047694805751,-0.020478522578947334,0.06616940123125954,0.0629207419877337,190,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,winter,absolute,,,0.22917801,0.22917801,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,spring,absolute,0.09849135321604718,0.3037488713734277,0.1204299599099099,0.17591409672945515,0.12822789939883442,111,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,summer,absolute,0.1785168425366675,0.000727942638044968,0.05821251270422534,0.13652151844730595,0.12348857584334877,355,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,fall,absolute,-0.059268994367252095,0.3310328538209821,0.06817400461254608,0.16364769390693798,0.14877120963461785,271,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2015-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2016-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2017-winter,absolute,,,0.22917801,0.22917801,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2018-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2015-spring,absolute,0.0986545426606643,0.5911403345637883,0.22037231750000008,0.2313386512171372,0.07038190979678977,32,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2016-spring,absolute,-0.3882136899542301,0.041207819284828896,0.17531620714285717,0.19792841787167667,0.09186885279695109,28,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2017-spring,absolute,0.3473948791007594,0.06482362960556115,0.08678010620689652,0.1346405669139592,0.10294316599770997,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMAP L3,Y2018-spring,absolute,-0.021078845604185922,0.9258182979689102,-0.05043934045454551,0.06734756885638996,0.044626986962785664,22,False
