network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,No-Timefilter,absolute,0.18131623626707427,3.1139273354476282e-06,0.19190766078637062,0.2308335759769994,0.12827934178905223,653,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015,absolute,0.0014534623170741126,0.9847254586278282,0.30137500511363635,0.3123544731866238,0.08208789930585952,176,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016,absolute,0.027685023865657982,0.7307061903404842,0.2201273925095542,0.25442300036884524,0.12757348542557778,157,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017,absolute,-0.03855382432437233,0.6272777008251516,0.11077702192546585,0.15153967018552583,0.10340562389571861,161,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018,absolute,-0.14203865947482433,0.07410346764335149,0.12502264427358487,0.15384021088409738,0.08964456985062848,159,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,spring,absolute,0.35278261036324265,0.00029648381564537253,0.22807921172772277,0.2522201905197419,0.10767960662760394,101,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,summer,absolute,0.2706891386822728,5.517612914699788e-07,0.1917388587319277,0.2277531349310224,0.12291338626482617,332,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,fall,absolute,-0.07368569342879967,0.276511545337049,0.17555636822727272,0.22510695414402476,0.14090103753645786,220,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-winter,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-spring,absolute,0.4861711572720416,0.007494991095460265,0.29099310793103444,0.29566543987046096,0.0523551666068451,29,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-spring,absolute,-0.22326910666083147,0.2729142616440862,0.2808653893846153,0.3062812653710514,0.12215910348034148,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-spring,absolute,0.24452571071541812,0.2189834050797058,0.162170372962963,0.17834386070941938,0.07421120391015276,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-spring,absolute,-0.03508525091743004,0.8866110505222277,0.1534789505526316,0.17654640426717408,0.08725161658634951,19,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-summer,absolute,-0.07303325555838609,0.5039643899509582,0.28134884290697676,0.2943699981736718,0.08658247178079913,86,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-summer,absolute,-0.06203256175560096,0.5798260997110863,0.21754878365853658,0.2551400209193606,0.13330025132543075,82,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-summer,absolute,-0.10364434721353216,0.3511095853110834,0.11367711072289155,0.15487353194232126,0.105182343546741,83,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-summer,absolute,0.01019971006189331,0.9279908666669358,0.15045802665432098,0.17357488185508704,0.08654837853071003,81,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-fall,absolute,-0.02265769801757416,0.8623971444919933,0.334544266885246,0.34318074431193235,0.07650592631100703,61,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-fall,absolute,-0.07181957456689739,0.6238559620111154,0.19221429061224488,0.2206602372723779,0.10837253710019702,49,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-fall,absolute,0.04928158552517488,0.7312790036912398,0.07884902490196072,0.12892078796261705,0.10199706290336027,51,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-fall,absolute,-0.3001020227008181,0.020926122249695586,0.08093898677966105,0.11126631925768281,0.07634837405101995,59,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M04,absolute,-1.0,1.0,0.40405,0.40406648586587823,0.0036500000000000005,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M05,absolute,0.37758219828041356,0.00011676573844511906,0.22452424630808082,0.24819709553740776,0.10578592086375853,99,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M06,absolute,0.2944794763116141,0.0018820635149341116,0.1931275266972476,0.22901870862831245,0.12309072805692457,109,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M07,absolute,0.2864916906684526,0.002195768116836415,0.20392589615178564,0.23796581863938102,0.12264566734867514,112,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M08,absolute,0.1771988156991368,0.06281143626661603,0.17807838126126113,0.21564957334870272,0.12162577281500167,111,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M09,absolute,-0.05588757508071176,0.5656351086594414,0.16697592990740745,0.21483011836892765,0.13517033176686385,108,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M10,absolute,-0.08816472552346138,0.411311463617143,0.19187978089887647,0.23867704176093876,0.14194675038884152,89,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M11,absolute,-0.05050532686320437,0.8189830206552472,0.15268261217391316,0.2180584454460498,0.15568399265852076,23,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,M12,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M01,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M02,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M03,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M04,absolute,-1.0,1.0,0.40405,0.40406648586587823,0.0036500000000000005,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M04,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M04,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M04,absolute,,,,,,0,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M05,absolute,0.587343887239449,0.001277320382817026,0.2826185233333333,0.28600596132611317,0.04388826930923901,27,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M05,absolute,-0.22326910666083147,0.2729142616440862,0.2808653893846153,0.3062812653710514,0.12215910348034148,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M05,absolute,0.24452571071541812,0.2189834050797058,0.162170372962963,0.17834386070941938,0.07421120391015276,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M05,absolute,-0.03508525091743004,0.8866110505222277,0.1534789505526316,0.17654640426717408,0.08725161658634951,19,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M06,absolute,-0.04884833441152194,0.8013230171114238,0.2594310410344827,0.27560153243017754,0.09301472800383132,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M06,absolute,-0.19577675900861657,0.3277464119821731,0.27108518814814814,0.2991139011163424,0.12641972396631868,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M06,absolute,0.36761705774533665,0.06466043059527432,0.09060384923076925,0.12305325694186262,0.08326491787402482,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M06,absolute,0.24463936273011722,0.21876256965776827,0.14268148370370362,0.16157924002425206,0.07582773249230512,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M07,absolute,0.051088124029628694,0.7924056778689437,0.27664138413793116,0.28980159477465117,0.0863394980074636,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M07,absolute,0.027511771901910266,0.8894759362055502,0.22058571749999994,0.25814423869708975,0.1340909736242908,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M07,absolute,-0.42529224440337676,0.02405988611066116,0.10792857428571428,0.152143529209381,0.1072337462412781,28,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M07,absolute,0.02095706425232153,0.9173642558945219,0.2081000021851852,0.22711810011514083,0.09097813193530113,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M08,absolute,-0.33410100794010394,0.08227729354234052,0.3089250057142856,0.3170130652776229,0.07115212155054086,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M08,absolute,-0.18507370258356276,0.3553900513254576,0.16086296629629643,0.1977994065817037,0.11509870250541825,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M08,absolute,-0.3000727198420698,0.11375098065603007,0.1399137941379311,0.18089750401434704,0.1146648907405809,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M08,absolute,0.22692892584891605,0.2549997828374211,0.10059259407407403,0.11266870295825859,0.05074807034503744,27,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M09,absolute,0.10222355056623662,0.6047276184228408,0.3339321467857143,0.34118482209552814,0.0699743107964728,28,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M09,absolute,-0.05479156422425556,0.7903605911606963,0.16746923500000005,0.1994730499520021,0.10836767500352075,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M09,absolute,0.19699587339810362,0.30570670547135337,0.08085862482758627,0.11643568305647399,0.08378037407304482,29,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M09,absolute,-0.38916219901034865,0.05450874058375427,0.07936800359999996,0.10905554094166904,0.07479191811038435,25,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2015-M10,absolute,-0.09253557770839987,0.6599830688765855,0.3416480056,0.3479941995016585,0.0661559003894774,25,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2016-M10,absolute,-0.02837546579278391,0.8977371180646163,0.22018696217391304,0.24239109040305645,0.10134664471706241,23,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2017-M10,absolute,-0.13482220100652897,0.5821118510705919,0.07055790263157902,0.13953735731412817,0.12038378820440611,19,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-BEC,Y2018-M10,absolute,-0.21392502097819444,0.33909431145403135,0.09687273090909093,0.12084324508334246,0.07224101251012222,22,False
