network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,No-Timefilter,absolute,0.26260818205311287,4.0648255407430484e-16,0.2517195281987038,0.29832904183174197,0.16011713313592404,929,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,Y2015,absolute,-0.0017002690913393258,0.9815745368866194,0.3389718249732621,0.3581559290591084,0.11564502321539531,187,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,Y2016,absolute,0.1943713542015267,0.0021058867733463695,0.30337479906414433,0.3485040301316266,0.1715190669015423,248,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,Y2017,absolute,0.20813210066253834,0.0010488531592050573,0.19519449017342455,0.24775216790251461,0.15257866071745643,245,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,Y2018,absolute,-0.032464765363637106,0.6101620851663985,0.19036188821766664,0.2331417898607952,0.13460106126513177,249,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,winter,absolute,0.20000600496516174,0.0038596254069420033,0.31739504648694095,0.35233942511940314,0.15298187787781936,207,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,spring,absolute,0.29567018585776816,5.846630691823495e-06,0.29075963191365195,0.3328118217359155,0.1619337677466205,227,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,summer,absolute,0.19651069372052338,0.0021785667175660277,0.2010356214746889,0.24150705962791302,0.133829513741947,241,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,fall,absolute,0.027279553625828186,0.6652322680846556,0.21139624351968503,0.26460295832654634,0.15914255804443395,254,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,SMOS-IC,Y2015-winter,absolute,0.048815393341303796,0.824947365626479,0.4383972939130436,0.45307877461052826,0.11440362184956551,23,False
