network,station,station_code,lon,lat,cover,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,No-Timefilter,absolute,0.35023187305058046,5.308549816468601e-12,-55.424879754098356,60.438104554357544,24.10077148904556,366,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2015,absolute,0.0712834700423296,0.7081646157010537,-76.38480666666666,81.10095556150166,27.253005402792223,30,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2016,absolute,0.3172780607938108,0.07199428869998518,-61.709887878787875,63.863680226688054,16.44564957926854,33,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2017,absolute,0.26764813276079547,0.0007018242468614097,-53.38218974522293,59.748510908769205,26.837033625576588,157,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2018,absolute,0.1709329959800942,0.03912732482197475,-51.89405273972603,55.1787988423121,18.7538564547902,146,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,winter,absolute,0.2581029380846743,0.06204615716191693,-39.203745094339624,43.446493442705574,18.72602902499888,53,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,spring,absolute,0.5216715722996219,2.6770323327049944e-05,-49.725455172413795,56.61389972063033,27.06497274105135,58,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,summer,absolute,0.36098877289331927,7.597167928027951e-06,-68.72939726027397,70.40394160283265,15.263844386474629,146,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,fall,absolute,0.1663705506267743,0.08380801570084245,-48.5242119266055,54.79661956655988,25.45722633800017,109,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2015-winter,absolute,,,-43.3905,43.3905,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2016-winter,absolute,-1.0,1.0,-49.4848,51.39636045412165,13.8867,2,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2017-winter,absolute,0.2647197904908075,0.21127300777366578,-29.716807916666667,33.99177989438776,16.503103575765422,24,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2018-winter,absolute,0.3067454211509694,0.1274606239431785,-47.00903846153846,50.0561951000765,17.1980513668997,26,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2015-spring,absolute,-0.20953065227378856,0.6903035435760283,-83.07003333333334,88.45128661832267,30.380909572222418,6,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2016-spring,absolute,,,-75.8899,75.8899,0.0,1,
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2017-spring,absolute,0.4030389003313938,0.020038361881355642,-45.21940606060606,51.27297914307951,24.168651301483305,33,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2018-spring,absolute,0.3070490237464287,0.21520258640042222,-45.418105555555556,50.79500565237689,22.744851878379283,18,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2015-summer,absolute,-0.26152051231655227,0.4966724238800828,-90.44638888888889,90.8476700369299,8.529354494846924,9,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2016-summer,absolute,0.24259931545368701,0.30273877432902224,-70.7137,71.55283736147715,10.926168898017274,20,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2017-summer,absolute,-0.06495687681816334,0.6375219328312538,-74.22642727272728,75.12892176289911,11.61001204057718,55,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2018-summer,absolute,0.18938756155422104,0.14040900914988028,-60.06043548387097,61.770256866840725,14.432904173563164,62,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2015-fall,absolute,0.07443996870925017,0.8003374128894223,-66.83685714285714,72.8093112729311,28.879583364444123,14,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2016-fall,absolute,0.028180901440183925,0.9384032115403513,-44.729279999999996,45.993672577605714,10.710248729959543,10,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2017-fall,absolute,-0.050401767033808484,0.7423068124296945,-46.51347777777777,54.88320190039733,29.131807974376574,45,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,Y2018-fall,absolute,-0.2854099852760329,0.07423039585751295,-45.325595,49.08477194187623,18.83892975946285,40,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M01,absolute,0.30498111785501586,0.21846724108299395,-43.93093277777778,47.60087970388321,18.328035733758576,18,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M02,absolute,0.5448553274190483,0.05416822933921524,-43.5513,47.25974147962268,18.351224292421723,13,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M03,absolute,0.3725899966169376,0.17140508596622428,-37.71293333333334,40.6488752252589,15.167917341356468,15,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M04,absolute,-0.11082536738663898,0.7185201812227124,-21.686676923076924,26.956393349944335,16.010471150812705,13,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M05,absolute,0.6261612270446979,0.00021450840113085935,-67.88185333333332,71.1023610727614,21.15655307825818,30,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M06,absolute,0.4975364038331232,0.00023683771607511047,-73.72233,74.94797623252146,13.498785157253966,50,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M07,absolute,0.10554957962995193,0.47523270040461113,-68.62440208333334,70.35896353312212,15.526596154991731,48,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M08,absolute,0.35776539356001297,0.012539827612808047,-63.63342083333333,65.38380469199095,15.02763018736873,48,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M09,absolute,0.4306845209389782,0.00441063437086384,-58.33217142857143,60.81794659325094,17.209892627418654,42,True
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M10,absolute,0.13366803888709167,0.4109158076176812,-51.114525,57.610625772122106,26.576108365971773,40,False
ICOS,Degero,SE-Deg,19.556539,64.182029,Wetland,Sentinel-1,M11,absolute,-0.2878375675414187,0.14542180808840902,-29.429885185185185,38.093967050736424,24.187438550814143,27,False
