network,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
HOBE,ERA5 0-1,No-Timefilter,absolute,-0.17273160121461228,0.0,-0.04988266589411197,0.1835603171430364,0.1766525110858843,94326,True
HOBE,ERA5 0-1,Y2015,absolute,-0.25958356063492755,4.381624853437246e-302,-0.0013332546827555247,0.2029955213446306,0.2029911429543892,19786,True
HOBE,ERA5 0-1,Y2016,absolute,-0.2652683371641757,0.0,-0.06069839035177652,0.20211352312516945,0.1927837691268945,26315,True
HOBE,ERA5 0-1,Y2017,absolute,-0.07424901584440839,7.614889886956736e-33,-0.07720795058579358,0.16321228134967228,0.1437956228461292,25777,True
HOBE,ERA5 0-1,Y2018,absolute,-0.14057135321191294,1.9941208744791986e-99,-0.0486183660735032,0.1636671453907642,0.15627920194544245,22448,True
HOBE,ERA5 0-1,winter,absolute,-0.20674920862015014,2.7727500862409287e-198,-0.0775396434391637,0.18335455506052872,0.16615202844615476,20662,True
HOBE,ERA5 0-1,spring,absolute,-0.23853317734696414,5.833921260083385e-302,-0.0535696105111243,0.1938451118910941,0.1862960660716088,23552,True
HOBE,ERA5 0-1,summer,absolute,-0.09899978626233034,1.3723387222729194e-56,-0.023715790533275882,0.1797860199599734,0.17821496640975398,25514,True
HOBE,ERA5 0-1,fall,absolute,-0.16085764519830092,3.0328429633408436e-142,-0.050262301161232585,0.17738030453674047,0.17011018052875124,24598,True
HOBE,ERA5 0-1,Y2015-winter,absolute,-0.2715723353897119,4.927287689207596e-39,-0.0345896439516129,0.2006382293217432,0.19763414582673985,2232,True
HOBE,ERA5 0-1,Y2016-winter,absolute,-0.3103970248481597,2.9784714458758342e-146,-0.08179509211788064,0.20172936565270025,0.18440254844244494,6549,True
HOBE,ERA5 0-1,Y2017-winter,absolute,-0.03131871539071018,0.013298360139106487,-0.09125655801216387,0.16431439982680027,0.1366435604418084,6248,True
HOBE,ERA5 0-1,Y2018-winter,absolute,-0.2618431301180975,5.7640444898500816e-89,-0.07439605799751467,0.173508133408893,0.15674915921136115,5633,True
HOBE,ERA5 0-1,Y2015-spring,absolute,-0.3272078541263712,4.3577444489917124e-110,0.003104824525165084,0.1961403342890368,0.19611575867248165,4391,True
HOBE,ERA5 0-1,Y2016-spring,absolute,-0.4122357154978282,4.2795477174353695e-270,-0.05279540091513135,0.2253954430224099,0.2191249674899667,6622,True
HOBE,ERA5 0-1,Y2017-spring,absolute,-0.15524864372055358,8.699855838851122e-37,-0.08924921012002432,0.17133384392764506,0.14625274208702685,6582,True
HOBE,ERA5 0-1,Y2018-spring,absolute,-0.18242047189614088,9.724487966051502e-46,-0.05678282782910867,0.1769053389021737,0.16754464896206844,5957,True
HOBE,ERA5 0-1,Y2015-summer,absolute,-0.26082535069529034,2.806568053187526e-103,0.010099323986237141,0.2035633573908875,0.20331267576634568,6612,True
HOBE,ERA5 0-1,Y2016-summer,absolute,-0.20407570959846166,4.017444520353428e-63,-0.04335844054475357,0.1968542630142077,0.19201991172895044,6614,True
HOBE,ERA5 0-1,Y2017-summer,absolute,-0.03886107037410383,0.0017363627692567145,-0.05591611797782234,0.15955636816414154,0.14943768725465925,6493,True
HOBE,ERA5 0-1,Y2018-summer,absolute,-0.0074016414482278034,0.573206543250963,-0.003800747207937881,0.14925620817554686,0.14920780810535192,5795,False
HOBE,ERA5 0-1,Y2015-fall,absolute,-0.2419575829075259,6.576958772834654e-88,-0.004516212263776576,0.20768326759141045,0.20763415774923427,6551,True
HOBE,ERA5 0-1,Y2016-fall,absolute,-0.13965430253271954,8.440175078247998e-30,-0.06511764367595713,0.1817615885776859,0.16969669285043545,6530,True
HOBE,ERA5 0-1,Y2017-fall,absolute,-0.09456611850049154,2.683629438492153e-14,-0.07274817365199868,0.15717830169287714,0.139329543720475,6454,True
HOBE,ERA5 0-1,Y2018-fall,absolute,-0.19714548690640665,1.5391723224531374e-45,-0.061629755376259136,0.15149940020880456,0.13839740429607048,5063,True
HOBE,ERA5 0-1,M01,absolute,-0.13308886136295875,1.2390540572763956e-26,-0.0868947886989197,0.17181282042491844,0.1482192327578826,6387,True
HOBE,ERA5 0-1,M02,absolute,-0.3440093323123619,7.617645870527324e-165,-0.0861510134134858,0.1974417066435296,0.17765480688723,5947,True
HOBE,ERA5 0-1,M03,absolute,-0.4079088047098564,1.1548722731596098e-261,-0.0864913211334552,0.21257719936400055,0.19418629472244325,6564,True
HOBE,ERA5 0-1,M04,absolute,-0.29701869718201857,3.8266734379701976e-171,-0.05394640791048316,0.19135738369544,0.18359584245924407,8423,True
HOBE,ERA5 0-1,M05,absolute,-0.0637277101327762,3.5702333697914875e-09,-0.02796869130274376,0.1807866198600389,0.17861006194285373,8565,True
HOBE,ERA5 0-1,M06,absolute,-0.07106320522320186,9.159254971477978e-11,-0.01912583266662649,0.18808394053717856,0.18710898218097688,8297,True
HOBE,ERA5 0-1,M07,absolute,-0.05728653740018226,9.128669208954213e-08,-0.016901590889963125,0.1756140868439092,0.1747988664820467,8688,True
HOBE,ERA5 0-1,M08,absolute,-0.18268683182136528,6.6365175387754485e-65,-0.03512212737472156,0.17568106689865987,0.17213446324116866,8529,True
HOBE,ERA5 0-1,M09,absolute,-0.13274261303645365,1.3702843227554316e-33,-0.043264627218175145,0.17637806199083153,0.17098945225748266,8209,True
HOBE,ERA5 0-1,M10,absolute,-0.18511296403720454,4.528491794743721e-65,-0.04577928976216217,0.1768863717022989,0.17085972352452125,8325,True
HOBE,ERA5 0-1,M11,absolute,-0.17181136752704687,1.8046129495366045e-54,-0.062013910200892926,0.17890038249578696,0.16780828882607218,8064,True
HOBE,ERA5 0-1,M12,absolute,-0.18622849885946208,7.159602323578097e-66,-0.06421554041186361,0.18147197260637865,0.16973049581988076,8328,True
HOBE,ERA5 0-1,Y2015-M01,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M01,absolute,-0.11084998074633763,1.5286260683548017e-07,-0.10029800330345134,0.1845910641717555,0.1549650654354136,2231,True
HOBE,ERA5 0-1,Y2017-M01,absolute,-0.18079674300124327,1.9227116287508534e-16,-0.08476276658165767,0.15731659607879533,0.13252843016968946,2039,True
HOBE,ERA5 0-1,Y2018-M01,absolute,-0.13440638048707038,5.342734589144549e-10,-0.07482328247047709,0.1712177835030428,0.15400326551095608,2117,True
HOBE,ERA5 0-1,Y2015-M02,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M02,absolute,-0.4754378128701848,4.061418490643781e-118,-0.06495734048418023,0.2262746772209619,0.21675048666305866,2086,True
HOBE,ERA5 0-1,Y2017-M02,absolute,-0.14143991936668554,2.0844670521647047e-10,-0.12260136461769112,0.1820609641355241,0.13459234768677064,2001,True
HOBE,ERA5 0-1,Y2018-M02,absolute,-0.33037289922739965,1.308052193257907e-48,-0.07070630855913981,0.17765503559782864,0.1629783102231873,1860,True
