location,lat,lon,location_veg_class,prod_name,triplet,anomaly,n,err_std,r
837412,55.375,13.125,Ocean ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
837412,55.375,13.125,Ocean ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
837412,55.375,13.125,Ocean ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
837413,55.375,13.375,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
837413,55.375,13.375,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
837413,55.375,13.375,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
838852,55.625,13.125,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,0.00033787,0.91196
838852,55.625,13.125,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,0.00042129,0.62291
838852,55.625,13.125,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,133.4949,0.56212
838853,55.625,13.375,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,167,0.00049765,0.89319
838853,55.625,13.375,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,167,0.0004485,0.72571
838853,55.625,13.375,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,167,119.1225,0.6477
838854,55.625,13.625,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,174,0.00056646,0.89156
838854,55.625,13.625,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,174,0.00057764,0.62585
838854,55.625,13.625,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,174,131.2686,0.65903
838855,55.625,13.875,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,173,0.0010626,0.80485
838855,55.625,13.875,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,173,0.00058379,0.56583
838855,55.625,13.875,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,173,126.6889,0.66796
838856,55.625,14.125,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
838856,55.625,14.125,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
838856,55.625,14.125,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
840291,55.875,12.875,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
840291,55.875,12.875,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
840291,55.875,12.875,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
840292,55.875,13.125,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,122,0.00010984,0.96287
840292,55.875,13.125,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,122,0.00043789999999999996,0.57788
840292,55.875,13.125,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,122,136.2225,0.61343
840293,55.875,13.375,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,168,-0.0001472,1.0297
840293,55.875,13.375,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,168,0.00051329,0.66796
840293,55.875,13.375,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,168,169.3029,0.5485
840294,55.875,13.625,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,157,-0.00021997,1.045
840294,55.875,13.625,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,157,0.00058601,0.56793
840294,55.875,13.625,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,157,175.2735,0.46141
840295,55.875,13.875,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,83,-0.0013109000000000003,1.3118
840295,55.875,13.875,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,83,0.00064388,0.16746
840295,55.875,13.875,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,83,173.4904,0.25534
840296,55.875,14.125,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,228,0.00061968,0.87601
840296,55.875,14.125,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,228,0.00058045,0.61588
840296,55.875,14.125,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,228,468.5974,0.35994
841730,56.125,12.625,Ocean ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,0.00010831,0.97694
841730,56.125,12.625,Ocean ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,0.00026827,0.68849
841730,56.125,12.625,Ocean ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,188.8327,0.54632
841731,56.125,12.875,Cropland,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,2.0513e-06,0.99925
841731,56.125,12.875,Cropland,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,0.00036527,0.61672
841731,56.125,12.875,Cropland,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,96,211.5305,0.53505
841732,56.125,13.125,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,90,0.001078,0.74869
841732,56.125,13.125,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,90,0.00054227,0.44776
841732,56.125,13.125,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,90,144.7559,0.60789
841733,56.125,13.375,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,143,0.00010647,0.98032
841733,56.125,13.375,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,143,0.00075267,0.47673
841733,56.125,13.375,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,143,135.791,0.44854
841734,56.125,13.625,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,135,0.00049533,0.90012
841734,56.125,13.625,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,135,0.00073938,0.49073
841734,56.125,13.625,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,135,138.8268,0.45642
841735,56.125,13.875,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,0.00042738,0.92053
841735,56.125,13.875,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,0.00075294,0.32287
841735,56.125,13.875,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,115,130.9887,0.52347
