point,cell,grid,lat,lon
844599,1361,quarter,56.625,9.875
837402,1397,quarter,55.375,10.625
835962,1397,quarter,55.125,10.625
834521,1396,quarter,54.875,10.375
843152,1361,quarter,56.375,8.125
837401,1397,quarter,55.375,10.375
840288,1397,quarter,55.875,12.125
838838,1361,quarter,55.625,9.625
840276,1361,quarter,55.875,9.125
837409,1397,quarter,55.375,12.375
848921,1397,quarter,57.375,10.375
847481,1397,quarter,57.125,10.375
843158,1361,quarter,56.375,9.625
835980,1433,quarter,55.125,15.125
834524,1396,quarter,54.875,11.125
846039,1361,quarter,56.875,9.875
840278,1361,quarter,55.875,9.625
838845,1397,quarter,55.625,11.375
835961,1397,quarter,55.125,10.375
840274,1361,quarter,55.875,8.625
840275,1361,quarter,55.875,8.875
838846,1397,quarter,55.625,11.625
837407,1397,quarter,55.375,11.875
835954,1361,quarter,55.125,8.625
838836,1361,quarter,55.625,9.125
847477,1361,quarter,57.125,9.375
843157,1361,quarter,56.375,9.375
834528,1396,quarter,54.875,12.125
837397,1361,quarter,55.375,9.375
834525,1396,quarter,54.875,11.375
835957,1361,quarter,55.125,9.375
847479,1361,quarter,57.125,9.875
843159,1361,quarter,56.375,9.875
841714,1361,quarter,56.125,8.625
838848,1397,quarter,55.625,12.125
841719,1361,quarter,56.125,9.875
840273,1361,quarter,55.875,8.375
847478,1361,quarter,57.125,9.625
841713,1361,quarter,56.125,8.375
848920,1397,quarter,57.375,10.125
847476,1361,quarter,57.125,9.125
843154,1361,quarter,56.375,8.625
843162,1397,quarter,56.375,10.625
838834,1361,quarter,55.625,8.625
850361,1397,quarter,57.625,10.375
843156,1361,quarter,56.375,9.125
834518,1360,quarter,54.875,9.625
838847,1397,quarter,55.625,11.875
843160,1397,quarter,56.375,10.125
841717,1361,quarter,56.125,9.375
838835,1361,quarter,55.625,8.875
834517,1360,quarter,54.875,9.375
844597,1361,quarter,56.625,9.375
844595,1361,quarter,56.625,8.875
841716,1361,quarter,56.125,9.125
838837,1361,quarter,55.625,9.375
835979,1397,quarter,55.125,14.875
843163,1397,quarter,56.375,10.875
841720,1397,quarter,56.125,10.125
840280,1397,quarter,55.875,10.125
843155,1361,quarter,56.375,8.875
846037,1361,quarter,56.875,9.375
835967,1397,quarter,55.125,11.875
844600,1397,quarter,56.625,10.125
838849,1397,quarter,55.625,12.375
835968,1397,quarter,55.125,12.125
846035,1361,quarter,56.875,8.875
843161,1397,quarter,56.375,10.375
846033,1361,quarter,56.875,8.375
844598,1361,quarter,56.625,9.625
837405,1397,quarter,55.375,11.375
835956,1361,quarter,55.125,9.125
841718,1361,quarter,56.125,9.625
837406,1397,quarter,55.375,11.625
835955,1361,quarter,55.125,8.875
840286,1397,quarter,55.875,11.625
837408,1397,quarter,55.375,12.125
838844,1397,quarter,55.625,11.125
841715,1361,quarter,56.125,8.875
846040,1397,quarter,56.875,10.125
837399,1361,quarter,55.375,9.875
840279,1361,quarter,55.875,9.875
838833,1361,quarter,55.625,8.375
837395,1361,quarter,55.375,8.875
837396,1361,quarter,55.375,9.125
837400,1397,quarter,55.375,10.125
847480,1397,quarter,57.125,10.125
843153,1361,quarter,56.375,8.375
834527,1396,quarter,54.875,11.875
848919,1361,quarter,57.375,9.875
841712,1361,quarter,56.125,8.125
834516,1360,quarter,54.875,9.125
846038,1361,quarter,56.875,9.625
840289,1397,quarter,55.875,12.375
840277,1361,quarter,55.875,9.375
