point,cell,grid,lat,lon
2000503,1361,smos,57.319,9.963
1005632,1361,smos,57.341,9.692
1006656,1361,smos,57.146,9.444
1007166,1361,smos,57.09,8.782
1007167,1361,smos,57.069,9.052
1007168,1361,smos,57.048,9.321
2000499,1361,smos,56.929001,9.465
2000501,1361,smos,57.125,9.713
2000502,1361,smos,57.222,9.838
2001012,1361,smos,56.897999,9.72
2001013,1361,smos,56.994999,9.845
2001014,1361,smos,57.091999,9.97
2001015,1397,smos,57.188999,10.095
2001016,1397,smos,57.285999,10.22
2001525,1361,smos,56.867001,9.977
2001526,1397,smos,56.964001,10.102
2001527,1397,smos,57.061001,10.227
2001528,1397,smos,57.157001,10.352
2001529,1397,smos,57.254002,10.479
2002038,1397,smos,56.833,10.232
1004608,1361,smos,57.535999,9.942
2000505,1397,smos,57.513,10.215
2000506,1397,smos,57.610001,10.343
2001018,1397,smos,57.479,10.475
2007159,1397,smos,55.734001,11.621
2007672,1397,smos,55.768002,11.869
2008185,1397,smos,55.800999,12.119
2008697,1397,smos,55.705002,12.241
2009209,1397,smos,55.609001,12.362
2009210,1397,smos,55.737,12.489
2015872,1397,smos,55.215,14.802
1008190,1361,smos,56.893002,8.541
1008191,1361,smos,56.873001,8.809
1008702,1361,smos,56.793999,8.421
1008703,1361,smos,56.775002,8.687
1008704,1361,smos,56.754002,8.954
1009214,1361,smos,56.695,8.302
1009215,1361,smos,56.674999,8.567
1009216,1361,smos,56.654999,8.833
2000497,1361,smos,56.733002,9.22
2000498,1361,smos,56.831001,9.342
2001009,1361,smos,56.604,9.352
2001010,1361,smos,56.702,9.475
2001011,1361,smos,56.799999,9.597
2001522,1361,smos,56.575001,9.607
2001523,1361,smos,56.672001,9.729
2001524,1361,smos,56.77,9.852
2002035,1361,smos,56.542999,9.861
2002036,1361,smos,56.639999,9.984
2002037,1397,smos,56.737,10.107
2002548,1397,smos,56.512001,10.114
2002549,1397,smos,56.608002,10.237
2003061,1397,smos,56.479,10.366
2003574,1397,smos,56.444,10.619
2004087,1397,smos,56.41,10.871
2001002,1361,smos,55.915001,8.512
2001003,1361,smos,56.013,8.63
2001513,1361,smos,55.688,8.526
2001514,1361,smos,55.786999,8.644
2001515,1361,smos,55.887001,8.762
2001516,1361,smos,55.986,8.88
2002026,1361,smos,55.660999,8.774
2002027,1361,smos,55.758999,8.892
2002028,1361,smos,55.859001,9.012
2002029,1361,smos,55.957001,9.131
2002539,1361,smos,55.632,9.024
2002540,1361,smos,55.730999,9.142
2002541,1361,smos,55.830002,9.262
2002542,1361,smos,55.928001,9.381
2003052,1361,smos,55.604,9.272
2003053,1361,smos,55.701,9.392
2003054,1361,smos,55.799,9.512
2003055,1361,smos,55.896,9.633
2003565,1361,smos,55.574001,9.52
2003566,1361,smos,55.672001,9.64
2003567,1361,smos,55.769001,9.76
2003568,1361,smos,55.866001,9.881
2004080,1397,smos,55.737,10.01
2004591,1397,smos,55.512001,10.017
2005104,1397,smos,55.479,10.263
2005105,1397,smos,55.576,10.385
2005617,1397,smos,55.445999,10.51
2005618,1397,smos,55.542,10.633
2006130,1397,smos,55.411999,10.758
2006133,1397,smos,55.698002,11.126
2006645,1397,smos,55.568001,11.25
2006646,1397,smos,55.698002,11.373
2007156,1397,smos,55.341,11.25
2007157,1397,smos,55.472,11.373
2007158,1397,smos,55.603001,11.496
2007669,1397,smos,55.376999,11.496
2007670,1397,smos,55.507,11.619
2007671,1397,smos,55.638,11.744
2008181,1397,smos,55.283001,11.618
2008182,1397,smos,55.411999,11.741
2008183,1397,smos,55.542,11.866
2008694,1397,smos,55.317001,11.864
2008695,1397,smos,55.445999,11.989
2008696,1397,smos,55.576,12.114
2009206,1397,smos,55.222,11.984
2009207,1397,smos,55.351002,12.109
2009719,1397,smos,55.255001,12.23
2009720,1397,smos,55.382999,12.357
2016384,1397,smos,55.116001,14.916
2016896,1433,smos,55.014,15.029
1009726,1361,smos,56.596001,8.182
1010239,1361,smos,56.478001,8.329
1010240,1361,smos,56.458,8.593
1010751,1361,smos,56.376999,8.211
1010752,1361,smos,56.359001,8.472
1011264,1361,smos,56.258999,8.354
2000493,1361,smos,56.339001,8.736
2000494,1361,smos,56.437,8.855
2000495,1361,smos,56.535,8.977
2001006,1361,smos,56.310001,8.989
2001007,1361,smos,56.409,9.109
2001008,1361,smos,56.506001,9.23
2001519,1361,smos,56.279999,9.241
2001520,1361,smos,56.379002,9.362
2001521,1361,smos,56.477001,9.484
2002033,1361,smos,56.348,9.614
2002034,1361,smos,56.445,9.737
2002546,1361,smos,56.318001,9.868
2002547,1361,smos,56.415001,9.991
2003059,1397,smos,56.285,10.119
2003060,1397,smos,56.381001,10.243
2003573,1397,smos,56.348,10.496
2004086,1397,smos,56.313999,10.746
2007674,1397,smos,56.027,12.123
2008187,1397,smos,56.060001,12.373
2008699,1397,smos,55.963001,12.496
1011776,1361,smos,56.159,8.236
2000491,1361,smos,56.139999,8.496
2000492,1361,smos,56.240002,8.616
2001004,1361,smos,56.112,8.748
2001005,1361,smos,56.212002,8.869
2001517,1361,smos,56.084,9.001
2001518,1361,smos,56.181999,9.121
2002030,1361,smos,56.055,9.251
2002031,1361,smos,56.152,9.373
2002032,1361,smos,56.25,9.494
2002543,1361,smos,56.026001,9.503
2002544,1361,smos,56.123001,9.623
2002545,1361,smos,56.221001,9.746
2003056,1361,smos,55.993999,9.753
2003057,1361,smos,56.091,9.875
2003058,1361,smos,56.188,9.996
2003569,1397,smos,55.963001,10.003
2003570,1397,smos,56.060001,10.126
2004082,1397,smos,55.93,10.253
2004084,1397,smos,56.123001,10.5
2006647,1397,smos,55.827999,11.498
2008186,1397,smos,55.93,12.246
2008698,1397,smos,55.833,12.368
1007678,1361,smos,56.992001,8.661
2002536,1361,smos,55.338001,8.67
2003047,1361,smos,55.111,8.682
2003048,1361,smos,55.209999,8.8
2003049,1361,smos,55.310001,8.918
2003559,1360,smos,54.986,8.812
2003560,1361,smos,55.084,8.928
2003561,1361,smos,55.181999,9.046
2003562,1361,smos,55.279999,9.163
2004072,1360,smos,54.958,9.057
2004073,1361,smos,55.055,9.175
2004074,1361,smos,55.153,9.293
2004075,1361,smos,55.250999,9.411
2004585,1360,smos,54.929001,9.302
2004586,1361,smos,55.026001,9.42
2004588,1361,smos,55.221001,9.656
2005098,1360,smos,54.897999,9.546
2005099,1360,smos,54.994999,9.664
2005612,1360,smos,54.965,9.909
2005614,1397,smos,55.158001,10.149
2006127,1397,smos,55.125,10.394
2006639,1396,smos,54.994999,10.519
2006640,1397,smos,55.091,10.638
2007152,1396,smos,54.963001,10.762
2007153,1397,smos,55.056999,10.883
2008177,1396,smos,54.798,11.128
2008178,1396,smos,54.890999,11.25
2008690,1396,smos,54.798,11.371
2009203,1396,smos,54.833,11.614
2009716,1396,smos,54.867001,11.857
1012288,1361,smos,56.061001,8.119
2000490,1361,smos,56.041,8.378
2001000,1361,smos,55.715,8.276
2001001,1361,smos,55.816002,8.394
2000999,1361,smos,55.617001,8.159
2001512,1361,smos,55.59,8.409
2002024,1361,smos,55.464001,8.539
2002025,1361,smos,55.562,8.656
2002537,1361,smos,55.436001,8.788
2002538,1361,smos,55.534,8.906
2003050,1361,smos,55.408001,9.034
2003051,1361,smos,55.506001,9.154
2003563,1361,smos,55.379002,9.282
2003564,1361,smos,55.477001,9.402
2004076,1361,smos,55.348,9.529
2004590,1361,smos,55.415001,9.895
2005102,1397,smos,55.285999,10.022
2005103,1397,smos,55.382999,10.142
2005615,1397,smos,55.255001,10.269
2005616,1397,smos,55.351002,10.39
2006128,1397,smos,55.222,10.515
2006129,1397,smos,55.317001,10.635
2006641,1397,smos,55.187,10.76
2007668,1397,smos,55.248001,11.373
2009205,1397,smos,55.091,11.861
2009717,1396,smos,54.994999,11.98
2009718,1397,smos,55.125,12.105
2009202,1396,smos,54.702,11.491
2009715,1396,smos,54.737,11.734
2010228,1396,smos,54.771,11.977
1005120,1361,smos,57.438,9.817
2000504,1397,smos,57.416,10.088
2001017,1397,smos,57.382999,10.347
2002556,1397,smos,57.278999,11.121
