point,cell,grid,lat,lon
2658225,1396,warp,54.688339,11.436009
2658229,1396,warp,54.688339,11.629841
2658233,1396,warp,54.688339,11.823671
2661931,1396,warp,54.800629,11.078955
2661935,1396,warp,54.800629,11.273322
2661939,1396,warp,54.800629,11.46769
2661943,1396,warp,54.800629,11.662057
2661947,1396,warp,54.800629,11.856424
2661951,1396,warp,54.800629,12.050793
2665589,1360,warp,54.912918,8.770873
2665593,1360,warp,54.912918,8.965781
2665597,1360,warp,54.912918,9.16069
2665601,1360,warp,54.912918,9.355598
2665605,1360,warp,54.912918,9.550507
2665609,1360,warp,54.912918,9.745415
2665653,1396,warp,54.912918,11.889406
2669283,1361,warp,55.025208,8.795373
2669287,1361,warp,55.025208,8.990826
2669291,1361,warp,55.025208,9.186278
2669295,1361,warp,55.025208,9.381732
2669299,1361,warp,55.025208,9.577185
2669303,1361,warp,55.025208,9.772637
2669347,1397,warp,55.025208,11.922617
2669351,1397,warp,55.025208,12.11807
2672965,1361,warp,55.137489,8.820045
2672969,1361,warp,55.137489,9.016046
2672973,1361,warp,55.137489,9.212047
2672977,1361,warp,55.137489,9.408048
2672993,1397,warp,55.137489,10.192051
2672997,1397,warp,55.137489,10.388052
2673001,1397,warp,55.137489,10.584053
2673005,1397,warp,55.137489,10.780054
2673029,1397,warp,55.137489,11.95606
2673089,1397,warp,55.137489,14.896075
2676639,1361,warp,55.249775,8.844889
2676643,1361,warp,55.249775,9.041442
2676647,1361,warp,55.249775,9.237994
2676651,1361,warp,55.249775,9.434547
2676655,1361,warp,55.249775,9.631101
2676663,1397,warp,55.249775,10.024207
2676667,1397,warp,55.249775,10.22076
2676671,1397,warp,55.249775,10.417313
2676675,1397,warp,55.249775,10.613866
2676699,1397,warp,55.249775,11.793184
2676703,1397,warp,55.249775,11.989738
2676707,1397,warp,55.249775,12.186291
2680297,1361,warp,55.362053,8.672798
2680301,1361,warp,55.362053,8.869906
2680305,1361,warp,55.362053,9.067016
2680309,1361,warp,55.362053,9.264125
2680313,1361,warp,55.362053,9.461234
2680325,1397,warp,55.362053,10.052561
2680329,1397,warp,55.362053,10.24967
2680333,1397,warp,55.362053,10.446779
2680337,1397,warp,55.362053,10.643888
2680361,1397,warp,55.362053,11.826542
2680365,1397,warp,55.362053,12.023651
2680369,1397,warp,55.362053,12.22076
2683947,1361,warp,55.474331,8.499763
2683951,1361,warp,55.474331,8.697433
2683955,1361,warp,55.474331,8.895102
2683959,1361,warp,55.474331,9.092771
2683963,1361,warp,55.474331,9.290439
2683967,1361,warp,55.474331,9.488108
2683975,1361,warp,55.474331,9.883446
2683979,1397,warp,55.474331,10.081115
2683983,1397,warp,55.474331,10.278784
2684011,1397,warp,55.474331,11.662466
2684015,1397,warp,55.474331,11.860135
2684019,1397,warp,55.474331,12.057804
2694837,1361,warp,55.811153,8.174269
2694841,1361,warp,55.811153,8.373641
2694845,1361,warp,55.811153,8.573013
2694849,1361,warp,55.811153,8.772387
2694853,1361,warp,55.811153,8.971759
2694857,1361,warp,55.811153,9.171131
2698451,1361,warp,55.923424,8.39783
2698455,1361,warp,55.923424,8.597778
2698459,1361,warp,55.923424,8.797727
2698463,1361,warp,55.923424,8.997675
2698467,1361,warp,55.923424,9.197623
2698471,1361,warp,55.923424,9.397572
2698475,1361,warp,55.923424,9.59752
2698479,1361,warp,55.923424,9.797468
2698483,1361,warp,55.923424,9.997416
2698487,1397,warp,55.923424,10.197365
2698527,1397,warp,55.923424,12.196848
2698531,1397,warp,55.923424,12.396796
2702053,1361,warp,56.035694,8.422191
2702057,1361,warp,56.035694,8.622719
2702061,1361,warp,56.035694,8.823247
2702065,1361,warp,56.035694,9.023776
2702069,1361,warp,56.035694,9.224304
2702073,1361,warp,56.035694,9.424832
2702077,1361,warp,56.035694,9.62536
2702081,1361,warp,56.035694,9.825889
2702085,1397,warp,56.035694,10.026418
2702089,1397,warp,56.035694,10.226946
2702125,1397,warp,56.035694,12.031701
2702129,1397,warp,56.035694,12.232229
2702133,1397,warp,56.035694,12.432757
2705639,1361,warp,56.147961,8.245613
2705643,1361,warp,56.147961,8.446726
2705647,1361,warp,56.147961,8.647839
2705651,1361,warp,56.147961,8.84895
2705655,1361,warp,56.147961,9.050063
2705659,1361,warp,56.147961,9.251176
2705663,1361,warp,56.147961,9.452289
2705667,1361,warp,56.147961,9.6534
2705671,1361,warp,56.147961,9.854513
2705675,1397,warp,56.147961,10.055626
2709221,1361,warp,56.260223,8.269736
2709225,1361,warp,56.260223,8.471437
2709229,1361,warp,56.260223,8.673138
2709233,1361,warp,56.260223,8.874839
2709237,1361,warp,56.260223,9.076539
2709241,1361,warp,56.260223,9.27824
2709245,1361,warp,56.260223,9.479941
2709249,1361,warp,56.260223,9.681643
2709253,1361,warp,56.260223,9.883343
2709257,1397,warp,56.260223,10.085044
2709261,1397,warp,56.260223,10.286745
2709269,1397,warp,56.260223,10.690146
2712791,1361,warp,56.372486,8.294032
2712795,1361,warp,56.372486,8.496325
2712799,1361,warp,56.372486,8.698619
2712803,1361,warp,56.372486,8.900912
2712807,1361,warp,56.372486,9.103206
2712811,1361,warp,56.372486,9.305499
2712815,1361,warp,56.372486,9.507792
2712819,1361,warp,56.372486,9.710086
2712823,1361,warp,56.372486,9.91238
2712827,1397,warp,56.372486,10.114674
2712831,1397,warp,56.372486,10.316967
2712835,1397,warp,56.372486,10.51926
2712839,1397,warp,56.372486,10.721554
2716349,1361,warp,56.484745,8.318503
2716353,1361,warp,56.484745,8.521394
2716357,1361,warp,56.484745,8.724284
2716361,1361,warp,56.484745,8.927175
2716365,1361,warp,56.484745,9.130065
2716369,1361,warp,56.484745,9.332955
2716373,1361,warp,56.484745,9.535845
2716377,1361,warp,56.484745,9.738735
2716381,1361,warp,56.484745,9.941626
2716385,1397,warp,56.484745,10.144516
2716389,1397,warp,56.484745,10.347406
2716393,1397,warp,56.484745,10.550297
2716397,1397,warp,56.484745,10.753187
2719903,1361,warp,56.597004,8.546643
2719907,1361,warp,56.597004,8.750134
2719911,1361,warp,56.597004,8.953626
2719915,1361,warp,56.597004,9.157118
2719919,1361,warp,56.597004,9.360609
2719923,1361,warp,56.597004,9.5641
2719927,1361,warp,56.597004,9.767591
2719931,1361,warp,56.597004,9.971084
2719935,1397,warp,56.597004,10.174575
2723437,1361,warp,56.709259,8.367978
2723445,1361,warp,56.709259,8.776173
2723449,1361,warp,56.709259,8.980269
2723453,1361,warp,56.709259,9.184366
2723457,1361,warp,56.709259,9.388463
2723461,1361,warp,56.709259,9.592561
2723465,1361,warp,56.709259,9.796658
2723469,1397,warp,56.709259,10.000754
2726963,1361,warp,56.821514,8.392985
2726971,1361,warp,56.821514,8.8024
2726979,1361,warp,56.821514,9.211813
2726983,1361,warp,56.821514,9.41652
2726987,1361,warp,56.821514,9.621227
2726991,1361,warp,56.821514,9.825934
2726995,1397,warp,56.821514,10.030642
2726999,1397,warp,56.821514,10.235348
2730481,1361,warp,56.933765,8.418175
2730485,1361,warp,56.933765,8.623496
2730497,1361,warp,56.933765,9.23946
2730501,1361,warp,56.933765,9.444781
2730505,1361,warp,56.933765,9.650103
2730509,1361,warp,56.933765,9.855424
2730513,1397,warp,56.933765,10.060745
2730517,1397,warp,56.933765,10.266068
2733991,1361,warp,57.046017,8.649488
2733995,1361,warp,57.046017,8.855429
