point,cell,grid,lat,lon
2948,1507,era_interim,69.824,28.125
3137,1471,era_interim,69.123,21.6
3140,1507,era_interim,69.123,27
3339,1471,era_interim,68.421,23.333
3340,1507,era_interim,68.421,25
3341,1507,era_interim,68.421,26.667
3342,1507,era_interim,68.421,28.333
3556,1507,era_interim,67.719,25
3557,1507,era_interim,67.719,26.667
3558,1507,era_interim,67.719,28.333
3772,1507,era_interim,67.017,25
3773,1507,era_interim,67.017,26.667
3774,1507,era_interim,67.017,28.333
3988,1471,era_interim,66.316,24
3989,1507,era_interim,66.316,25.6
3990,1507,era_interim,66.316,27.2
3991,1507,era_interim,66.316,28.8
4215,1507,era_interim,65.614,25.5
4216,1507,era_interim,65.614,27
4217,1507,era_interim,65.614,28.5
4455,1506,era_interim,64.912,25.5
4456,1506,era_interim,64.912,27
4457,1506,era_interim,64.912,28.5
4694,1470,era_interim,64.21,24
4695,1506,era_interim,64.21,25.5
4696,1506,era_interim,64.21,27
4697,1506,era_interim,64.21,28.5
4698,1542,era_interim,64.21,30
4934,1470,era_interim,63.509,23.04
4935,1470,era_interim,63.509,24.48
4936,1506,era_interim,63.509,25.92
4937,1506,era_interim,63.509,27.36
4938,1506,era_interim,63.509,28.8
4939,1542,era_interim,63.509,30.24
5183,1470,era_interim,62.807,21.6
5184,1470,era_interim,62.807,23.04
5185,1470,era_interim,62.807,24.48
5186,1506,era_interim,62.807,25.92
5187,1506,era_interim,62.807,27.36
5188,1506,era_interim,62.807,28.8
5189,1542,era_interim,62.807,30.24
5434,1470,era_interim,62.105,22.5
5435,1470,era_interim,62.105,23.906
5436,1506,era_interim,62.105,25.312
5437,1506,era_interim,62.105,26.719
5438,1506,era_interim,62.105,28.125
5439,1506,era_interim,62.105,29.531
5691,1470,era_interim,61.403,22.667
5692,1470,era_interim,61.403,24
5693,1506,era_interim,61.403,25.333
5694,1506,era_interim,61.403,26.667
5695,1506,era_interim,61.403,28
5696,1506,era_interim,61.403,29.333
5961,1470,era_interim,60.702,22.667
5962,1470,era_interim,60.702,24
5963,1506,era_interim,60.702,25.333
5964,1506,era_interim,60.702,26.667
5965,1506,era_interim,60.702,28
