point,cell,grid,lat,lon
919548,1507,quarter,69.625,27.125
916674,1507,quarter,69.125,28.625
905136,1471,quarter,67.125,24.125
866250,1470,quarter,60.375,22.625
893637,1507,quarter,65.125,29.375
889313,1506,quarter,64.375,28.375
887861,1506,quarter,64.125,25.375
884980,1506,quarter,63.625,25.125
876352,1506,quarter,62.125,28.125
876354,1506,quarter,62.125,28.625
872019,1470,quarter,61.375,24.875
870570,1470,quarter,61.125,22.625
869133,1470,quarter,60.875,23.375
918109,1507,quarter,69.375,27.375
908016,1471,quarter,67.625,24.125
902261,1507,quarter,66.625,25.375
899382,1507,quarter,66.125,25.625
899386,1507,quarter,66.125,26.625
892198,1506,quarter,64.875,29.625
890743,1506,quarter,64.625,25.875
890746,1506,quarter,64.625,26.625
886416,1470,quarter,63.875,24.125
880677,1506,quarter,62.875,29.375
876359,1506,quarter,62.125,29.875
876347,1506,quarter,62.125,26.875
870587,1506,quarter,61.125,26.875
913770,1471,quarter,68.625,22.625
910909,1507,quarter,68.125,27.375
909459,1471,quarter,67.875,24.875
906576,1471,quarter,67.375,24.125
906594,1507,quarter,67.375,28.625
897952,1507,quarter,65.875,28.125
897949,1507,quarter,65.875,27.375
895062,1507,quarter,65.375,25.625
893631,1507,quarter,65.125,27.875
892180,1506,quarter,64.875,25.125
886429,1506,quarter,63.875,27.375
883556,1506,quarter,63.375,29.125
874909,1506,quarter,61.875,27.375
870576,1470,quarter,61.125,24.125
867707,1506,quarter,60.625,26.875
906579,1471,quarter,67.375,24.875
900825,1507,quarter,66.375,26.375
890745,1506,quarter,64.625,26.375
887857,1470,quarter,64.125,24.375
882106,1506,quarter,63.125,26.625
880656,1470,quarter,62.875,24.125
877794,1506,quarter,62.375,28.625
873454,1470,quarter,61.625,23.625
870567,1470,quarter,61.125,21.875
918104,1507,quarter,69.375,26.125
910908,1507,quarter,68.125,27.125
902260,1507,quarter,66.625,25.125
887855,1470,quarter,64.125,23.875
887877,1506,quarter,64.125,29.375
887880,1542,quarter,64.125,30.125
886426,1506,quarter,63.875,26.625
884995,1506,quarter,63.625,28.875
877768,1470,quarter,62.375,22.125
877777,1470,quarter,62.375,24.375
874908,1506,quarter,61.875,27.125
867704,1506,quarter,60.625,26.125
906577,1471,quarter,67.375,24.375
896506,1507,quarter,65.625,26.625
895071,1507,quarter,65.375,27.875
890760,1542,quarter,64.625,30.125
889303,1506,quarter,64.375,25.875
887868,1506,quarter,64.125,27.125
884992,1506,quarter,63.625,28.125
883532,1470,quarter,63.375,23.125
883537,1470,quarter,63.375,24.375
883552,1506,quarter,63.375,28.125
883553,1506,quarter,63.375,28.375
882111,1506,quarter,63.125,27.875
880681,1542,quarter,62.875,30.375
874920,1542,quarter,61.875,30.125
870590,1506,quarter,61.125,27.625
869136,1470,quarter,60.875,24.125
916666,1507,quarter,69.125,26.625
915227,1507,quarter,68.875,26.875
912340,1507,quarter,68.375,25.125
912349,1507,quarter,68.375,27.375
909471,1507,quarter,67.875,27.875
908025,1507,quarter,67.625,26.375
903711,1507,quarter,66.875,27.875
903696,1471,quarter,66.875,24.125
902277,1507,quarter,66.625,29.375
897950,1507,quarter,65.875,27.625
897948,1507,quarter,65.875,27.125
892190,1506,quarter,64.875,27.625
890739,1470,quarter,64.625,24.875
884999,1506,quarter,63.625,29.875
880663,1506,quarter,62.875,25.875
873448,1470,quarter,61.625,22.125
873453,1470,quarter,61.625,23.375
872007,1470,quarter,61.375,21.875
872028,1506,quarter,61.375,27.125
918107,1507,quarter,69.375,26.875
903705,1507,quarter,66.875,26.375
889311,1506,quarter,64.375,27.875
889315,1506,quarter,64.375,28.875
882113,1506,quarter,63.125,28.375
882105,1506,quarter,63.125,26.375
880670,1506,quarter,62.875,27.625
880682,1542,quarter,62.875,30.625
877780,1506,quarter,62.375,25.125
876328,1470,quarter,62.125,22.125
873474,1506,quarter,61.625,28.625
873450,1470,quarter,61.625,22.625
872011,1470,quarter,61.375,22.875
916669,1507,quarter,69.125,27.375
913771,1471,quarter,68.625,22.875
910912,1507,quarter,68.125,28.125
908026,1507,quarter,67.625,26.625
906586,1507,quarter,67.375,26.625
906596,1507,quarter,67.375,29.125
902271,1507,quarter,66.625,27.875
900831,1507,quarter,66.375,27.875
899377,1471,quarter,66.125,24.375
864814,1470,quarter,60.125,23.625
883543,1506,quarter,63.375,25.875
883548,1506,quarter,63.375,27.125
883557,1506,quarter,63.375,29.375
882120,1542,quarter,63.125,30.125
877785,1506,quarter,62.375,26.375
870578,1470,quarter,61.125,24.625
869150,1506,quarter,60.875,27.625
915205,1471,quarter,68.875,21.375
915223,1507,quarter,68.875,25.875
913768,1471,quarter,68.625,22.125
912345,1507,quarter,68.375,26.375
910907,1507,quarter,68.125,26.875
906583,1507,quarter,67.375,25.875
905146,1507,quarter,67.125,26.625
903713,1507,quarter,66.875,28.375
903701,1507,quarter,66.875,25.375
899395,1507,quarter,66.125,28.875
899399,1507,quarter,66.125,29.875
864815,1470,quarter,60.125,23.875
882096,1470,quarter,63.125,24.125
877765,1470,quarter,62.375,21.375
877766,1470,quarter,62.375,21.625
872035,1506,quarter,61.375,28.875
869131,1470,quarter,60.875,22.875
867701,1506,quarter,60.625,25.375
