point,cell,grid,lat,lon
4019394,1506,smos,64.780998,29.849001
4019395,1506,smos,64.778999,29.568001
4019396,1506,smos,64.777,29.288
4019397,1506,smos,64.775002,29.007
4019398,1506,smos,64.772003,28.728001
4019399,1506,smos,64.766998,28.448
4019400,1506,smos,64.763,28.17
4019401,1506,smos,64.759003,27.891001
4019402,1506,smos,64.752998,27.611
4019403,1506,smos,64.748001,27.333
4019404,1506,smos,64.740997,27.055
4019405,1506,smos,64.736,26.778
4019406,1506,smos,64.726997,26.5
4019407,1506,smos,64.721001,26.225
4019408,1506,smos,64.711998,25.947001
4019409,1506,smos,64.704002,25.672001
4019916,1506,smos,64.876999,27.177
4019917,1506,smos,64.871002,26.899
4019918,1506,smos,64.863998,26.621
4019919,1506,smos,64.857002,26.343
4019920,1506,smos,64.848999,26.065001
4019921,1506,smos,64.841003,25.788
4019922,1506,smos,64.833,25.51
4019924,1470,smos,64.814003,24.958
4019925,1470,smos,64.804001,24.683001
4018378,1506,smos,64.484001,27.368
4018379,1506,smos,64.476997,27.091
4018380,1506,smos,64.471001,26.815001
4018381,1506,smos,64.462997,26.541
4018382,1506,smos,64.456001,26.266001
4018383,1506,smos,64.446999,25.992001
4018384,1506,smos,64.439003,25.718
4018385,1506,smos,64.43,25.444
4018386,1506,smos,64.418999,25.17
4018387,1470,smos,64.410004,24.898001
4016317,1542,smos,63.998001,30.443001
4016318,1542,smos,63.997002,30.169001
4016319,1506,smos,63.993999,29.893
4016320,1506,smos,63.993,29.620001
4016321,1506,smos,63.990002,29.346001
4016322,1506,smos,63.986,29.072001
4016829,1542,smos,64.127998,30.575001
4016830,1542,smos,64.126999,30.299
4016831,1542,smos,64.125999,30.024
4016832,1506,smos,64.125,29.749001
4016833,1506,smos,64.122002,29.474001
4016834,1506,smos,64.119003,29.198
4016835,1506,smos,64.114998,28.923
4016836,1506,smos,64.111,28.649
4016837,1506,smos,64.108002,28.375
4016838,1506,smos,64.101997,28.101
4016839,1506,smos,64.097,27.827
4016840,1506,smos,64.092003,27.555
4016841,1506,smos,64.084,27.281
4016842,1506,smos,64.079002,27.009001
4016843,1506,smos,64.070999,26.736
4016844,1506,smos,64.064003,26.465
4016845,1506,smos,64.055,26.194
4017342,1542,smos,64.260002,30.431
4017343,1542,smos,64.258003,30.155001
4017344,1506,smos,64.257004,29.878
4017345,1506,smos,64.253998,29.601
4017346,1506,smos,64.250999,29.326
4017347,1506,smos,64.249001,29.049
4017348,1506,smos,64.245003,28.774
4017349,1506,smos,64.239998,28.5
4017350,1506,smos,64.236,28.225
4017351,1506,smos,64.232002,27.950001
4017352,1506,smos,64.224998,27.676001
4017353,1506,smos,64.220001,27.4
4017354,1506,smos,64.212997,27.128
4017355,1506,smos,64.207001,26.854
4017356,1506,smos,64.198997,26.58
4017357,1506,smos,64.192001,26.308001
4017863,1506,smos,64.364998,28.072001
4017864,1506,smos,64.361,27.797001
4017865,1506,smos,64.355003,27.521
4017866,1506,smos,64.348,27.246
4017867,1506,smos,64.342003,26.972
4017868,1506,smos,64.334,26.697001
4018388,1470,smos,64.400002,24.625
4018389,1470,smos,64.388,24.354
4025560,1471,smos,66.112,24.597
4026074,1471,smos,66.162003,23.950001
4037842,1507,smos,69.064003,28.461
4037843,1507,smos,69.041,28.065001
4038354,1507,smos,69.18,28.545
4038355,1507,smos,69.155998,28.148001
4038356,1507,smos,69.134003,27.752001
4038866,1507,smos,69.294998,28.631001
4038867,1507,smos,69.273003,28.232
4038868,1507,smos,69.25,27.833
4038869,1507,smos,69.224998,27.436001
4038870,1507,smos,69.198997,27.038
4039377,1507,smos,69.431999,29.121
4039378,1507,smos,69.412003,28.718
4039379,1507,smos,69.389,28.316
4039380,1507,smos,69.365997,27.916
4039381,1507,smos,69.342003,27.517
4039382,1507,smos,69.317001,27.118
4039383,1507,smos,69.291,26.719
4039889,1507,smos,69.549004,29.211
4039890,1507,smos,69.527,28.806
4039891,1507,smos,69.504997,28.402
4039892,1507,smos,69.483002,28
4039893,1507,smos,69.458,27.597
4039894,1507,smos,69.432999,27.197001
4039895,1507,smos,69.407997,26.798
4039896,1507,smos,69.382004,26.399
4039897,1507,smos,69.352997,26.002001
4040403,1507,smos,69.622002,28.489
4040404,1507,smos,69.598999,28.084
4040405,1507,smos,69.574997,27.681
4040406,1507,smos,69.551003,27.278
4040407,1507,smos,69.526001,26.877001
4040408,1507,smos,69.5,26.476
4040409,1507,smos,69.472,26.076
4040918,1507,smos,69.667999,27.361
4040919,1507,smos,69.641998,26.957001
4040920,1507,smos,69.615997,26.555
4040921,1507,smos,69.588997,26.152
4041433,1507,smos,69.708,26.229
4037334,1507,smos,68.848999,26.808001
4037846,1507,smos,68.967003,26.884001
4037847,1507,smos,68.940002,26.492001
4037848,1507,smos,68.912003,26.101
4037849,1507,smos,68.884003,25.711
4038357,1507,smos,69.109001,27.356001
4038358,1507,smos,69.083,26.961
4038359,1507,smos,69.056,26.566
4038360,1507,smos,69.028999,26.174
4038361,1507,smos,69.000999,25.783001
4038871,1507,smos,69.174004,26.642
4038872,1507,smos,69.147003,26.249001
4038873,1507,smos,69.119003,25.854
4039384,1507,smos,69.264,26.323
4039385,1507,smos,69.236,25.927
4008141,1470,smos,61.736,24.4
4008142,1470,smos,61.723,24.148001
4007095,1506,smos,61.653,29.788
4007096,1506,smos,61.650002,29.531
4007097,1506,smos,61.645,29.275
4007098,1506,smos,61.639999,29.02
4007099,1506,smos,61.636002,28.763
4007100,1506,smos,61.630001,28.509001
4007607,1506,smos,61.784,29.908001
4007608,1506,smos,61.779999,29.649
4007609,1506,smos,61.777,29.392
4007610,1506,smos,61.771999,29.135
4007611,1506,smos,61.768002,28.878
4007612,1506,smos,61.762001,28.622
4007613,1506,smos,61.756001,28.367001
4007614,1506,smos,61.75,28.111
4007615,1506,smos,61.743,27.854
4007616,1506,smos,61.736,27.599001
4007617,1506,smos,61.728001,27.343
4007618,1506,smos,61.720001,27.089001
4007619,1506,smos,61.712002,26.833
4007620,1506,smos,61.702,26.579
4007621,1506,smos,61.693001,26.325001
4007622,1506,smos,61.681999,26.07
4007623,1506,smos,61.673,25.818001
4007624,1506,smos,61.660999,25.565001
4007625,1506,smos,61.650002,25.312
4007626,1506,smos,61.638,25.059
4008135,1506,smos,61.806999,25.922001
4008136,1506,smos,61.797001,25.666
4008137,1506,smos,61.785,25.413
4008138,1506,smos,61.775002,25.159
4008139,1470,smos,61.763,24.906
4008140,1470,smos,61.75,24.652
4020435,1506,smos,64.959999,25.349001
4017856,1542,smos,64.388,30.01
4017857,1506,smos,64.387001,29.732
4017858,1506,smos,64.385002,29.454
4017859,1506,smos,64.382004,29.177
4017860,1506,smos,64.377998,28.9
4017861,1506,smos,64.375,28.625
4017862,1506,smos,64.371002,28.349001
4010168,1542,smos,62.436001,30.256001
4010169,1506,smos,62.431999,29.993
4010170,1506,smos,62.43,29.732
4010171,1506,smos,62.425999,29.469
4010172,1506,smos,62.423,29.208
4010173,1506,smos,62.417,28.945
4010174,1506,smos,62.411999,28.684
4010175,1506,smos,62.408001,28.423
4010176,1506,smos,62.402,28.163
4010177,1506,smos,62.395,27.902
4010178,1506,smos,62.388,27.642
4010179,1506,smos,62.381001,27.381001
4010180,1506,smos,62.374001,27.121
4010181,1506,smos,62.366001,26.863001
4010182,1506,smos,62.355999,26.604
4010183,1506,smos,62.347,26.344
4010184,1506,smos,62.338001,26.086
4010185,1506,smos,62.327,25.827
4010186,1506,smos,62.318001,25.569
4010700,1506,smos,62.431,25.158001
4010701,1470,smos,62.418999,24.899
4010702,1470,smos,62.408001,24.642
4010165,1542,smos,62.441002,31.044001
4010166,1542,smos,62.438999,30.781
4010167,1542,smos,62.437,30.518
4010677,1542,smos,62.57,31.172001
4010678,1542,smos,62.569,30.908001
4010679,1542,smos,62.568001,30.643
4010680,1542,smos,62.567001,30.379
4010681,1542,smos,62.563,30.117001
4010682,1506,smos,62.561001,29.854
4010683,1506,smos,62.556999,29.59
4010684,1506,smos,62.555,29.327
4010685,1506,smos,62.549,29.065001
4010686,1506,smos,62.546001,28.802
4010687,1506,smos,62.541,28.541
4010688,1506,smos,62.534,28.278
4010689,1506,smos,62.528,28.017
4010690,1506,smos,62.521,27.756001
4010691,1506,smos,62.514,27.495001
4010692,1506,smos,62.507,27.233
4010693,1506,smos,62.5,26.972
4010694,1506,smos,62.492001,26.712
4010695,1506,smos,62.483002,26.452
4010696,1506,smos,62.473,26.193001
4010697,1506,smos,62.464001,25.934
4010698,1506,smos,62.452999,25.674
4010699,1506,smos,62.443001,25.416
4011189,1542,smos,62.700001,31.299
4011190,1542,smos,62.700001,31.034
4011191,1542,smos,62.699001,30.77
4011192,1542,smos,62.695999,30.506001
4011193,1542,smos,62.694,30.24
4011194,1506,smos,62.693001,29.976
4011195,1506,smos,62.688999,29.712
4011196,1506,smos,62.686001,29.448
4011197,1506,smos,62.681,29.184
4011198,1506,smos,62.678001,28.922001
4011199,1506,smos,62.673,28.658001
4011200,1506,smos,62.667,28.395
4011201,1506,smos,62.660999,28.132
4011202,1506,smos,62.654999,27.870001
4011203,1506,smos,62.647999,27.607
4011204,1506,smos,62.640999,27.346001
4011205,1506,smos,62.632999,27.083
4011206,1506,smos,62.625,26.822001
4011207,1506,smos,62.618,26.562
4011208,1506,smos,62.609001,26.301001
4011209,1506,smos,62.598,26.041
4011210,1506,smos,62.589001,25.781
4011211,1506,smos,62.577999,25.52
4011212,1506,smos,62.568001,25.26
