point,cell,grid,lat,lon
2831313,1470,warp,60.300392,24.415195
2831317,1470,warp,60.300392,24.641264
2831321,1470,warp,60.300392,24.867331
2831325,1506,warp,60.300392,25.093397
2831329,1506,warp,60.300392,25.319464
2831337,1506,warp,60.300392,25.771597
2834459,1470,warp,60.412582,22.230764
2834463,1470,warp,60.412582,22.457609
2834467,1470,warp,60.412582,22.684454
2834471,1470,warp,60.412582,22.911299
2834475,1470,warp,60.412582,23.138144
2834479,1470,warp,60.412582,23.364986
2834483,1470,warp,60.412582,23.591831
2834487,1470,warp,60.412582,23.818676
2834491,1470,warp,60.412582,24.045521
2834495,1470,warp,60.412582,24.272366
2834499,1470,warp,60.412582,24.49921
2834503,1470,warp,60.412582,24.726055
2834507,1470,warp,60.412582,24.952898
2834511,1506,warp,60.412582,25.179743
2834515,1506,warp,60.412582,25.406588
2834519,1506,warp,60.412582,25.633432
2834523,1506,warp,60.412582,25.860277
2834531,1506,warp,60.412582,26.313967
2837625,1470,warp,60.524773,21.852354
2837629,1470,warp,60.524773,22.079983
2837633,1470,warp,60.524773,22.307611
2837637,1470,warp,60.524773,22.53524
2837641,1470,warp,60.524773,22.762869
2837645,1470,warp,60.524773,22.990498
2837649,1470,warp,60.524773,23.218126
2837653,1470,warp,60.524773,23.445755
2837657,1470,warp,60.524773,23.673384
2837661,1470,warp,60.524773,23.901012
2837665,1470,warp,60.524773,24.128641
2837669,1470,warp,60.524773,24.35627
2837673,1470,warp,60.524773,24.583899
2837677,1470,warp,60.524773,24.811527
2837681,1506,warp,60.524773,25.039156
2837685,1506,warp,60.524773,25.266785
2837689,1506,warp,60.524773,25.494413
2837693,1506,warp,60.524773,25.722042
2837697,1506,warp,60.524773,25.949671
2837701,1506,warp,60.524773,26.177299
2837705,1506,warp,60.524773,26.404928
2837709,1506,warp,60.524773,26.632557
2837713,1506,warp,60.524773,26.860186
2837721,1506,warp,60.524773,27.315443
2837725,1506,warp,60.524773,27.543072
2840779,1470,warp,60.636959,21.471399
2840783,1470,warp,60.636959,21.69982
2840787,1470,warp,60.636959,21.928238
2840791,1470,warp,60.636959,22.156658
2840795,1470,warp,60.636959,22.385077
2840799,1470,warp,60.636959,22.613497
2840803,1470,warp,60.636959,22.841915
2840807,1470,warp,60.636959,23.070333
2840811,1470,warp,60.636959,23.298754
2840815,1470,warp,60.636959,23.527172
2840819,1470,warp,60.636959,23.755592
2840823,1470,warp,60.636959,23.984011
2840827,1470,warp,60.636959,24.212431
2840831,1470,warp,60.636959,24.440849
2840835,1470,warp,60.636959,24.669268
2840839,1470,warp,60.636959,24.897688
2840843,1506,warp,60.636959,25.126106
2840847,1506,warp,60.636959,25.354527
2840851,1506,warp,60.636959,25.582945
2840855,1506,warp,60.636959,25.811363
