point,cell,grid,lat,lon
2754,1472,era_interim,70.526,24.375
2755,1508,era_interim,70.526,26.25
2757,1544,era_interim,70.526,30
2944,1471,era_interim,69.824,20.625
2945,1471,era_interim,69.824,22.5
2946,1471,era_interim,69.824,24.375
2947,1507,era_interim,69.824,26.25
2949,1543,era_interim,69.824,30
3135,1435,era_interim,69.123,18
3136,1435,era_interim,69.123,19.8
3138,1471,era_interim,69.123,23.4
3139,1507,era_interim,69.123,25.2
3141,1507,era_interim,69.123,28.8
3337,1471,era_interim,68.421,20
3766,1435,era_interim,67.017,15
3982,1399,era_interim,66.316,14.4
4207,1399,era_interim,65.614,13.5
4446,1398,era_interim,64.912,12
4447,1398,era_interim,64.912,13.5
4685,1398,era_interim,64.21,10.5
4686,1398,era_interim,64.21,12
4687,1398,era_interim,64.21,13.5
4925,1398,era_interim,63.509,10.08
4926,1398,era_interim,63.509,11.52
5174,1362,era_interim,62.807,8.64
5175,1398,era_interim,62.807,10.08
5176,1398,era_interim,62.807,11.52
5423,1362,era_interim,62.105,7.031
5424,1362,era_interim,62.105,8.438
5425,1362,era_interim,62.105,9.844
5426,1398,era_interim,62.105,11.25
5678,1362,era_interim,61.403,5.333
5679,1362,era_interim,61.403,6.667
5680,1362,era_interim,61.403,8
5681,1362,era_interim,61.403,9.333
5682,1398,era_interim,61.403,10.667
5683,1398,era_interim,61.403,12
5949,1362,era_interim,60.702,6.667
5950,1362,era_interim,60.702,8
5951,1362,era_interim,60.702,9.333
5952,1398,era_interim,60.702,10.667
5953,1398,era_interim,60.702,12
6219,1362,era_interim,60,6.25
6220,1362,era_interim,60,7.5
6221,1362,era_interim,60,8.75
6222,1398,era_interim,60,10
6223,1398,era_interim,60,11.25
6507,1361,era_interim,59.298,6.25
6508,1361,era_interim,59.298,7.5
6509,1361,era_interim,59.298,8.75
6510,1397,era_interim,59.298,10
6511,1397,era_interim,59.298,11.25
6795,1361,era_interim,58.596,6.25
6796,1361,era_interim,58.596,7.5
6797,1361,era_interim,58.596,8.75
