point,cell,grid,lat,lon
923857,1472,quarter,70.375,24.375
920983,1507,quarter,69.875,25.875
918101,1507,quarter,69.375,25.375
915192,1435,quarter,68.875,18.125
910862,1435,quarter,68.125,15.625
900777,1399,quarter,66.375,14.375
870505,1362,quarter,61.125,6.375
861869,1361,quarter,59.625,7.375
861881,1397,quarter,59.625,10.375
854670,1361,quarter,58.375,7.625
896451,1399,quarter,65.625,12.875
893570,1399,quarter,65.125,12.625
892131,1398,quarter,64.875,12.875
892132,1398,quarter,64.875,13.125
890693,1398,quarter,64.625,13.375
877714,1362,quarter,62.375,8.625
867627,1362,quarter,60.625,6.875
922410,1472,quarter,70.125,22.625
922418,1472,quarter,70.125,24.625
920962,1471,quarter,69.875,20.625
919514,1435,quarter,69.625,18.625
919524,1471,quarter,69.625,21.125
918083,1471,quarter,69.375,20.875
916659,1471,quarter,69.125,24.875
910867,1435,quarter,68.125,16.875
906544,1435,quarter,67.375,16.125
864769,1398,quarter,60.125,12.375
860422,1361,quarter,59.375,5.625
858997,1361,quarter,59.125,9.375
879157,1362,quarter,62.625,9.375
873405,1398,quarter,61.625,11.375
867637,1362,quarter,60.625,9.375
925288,1472,quarter,70.625,22.125
923867,1508,quarter,70.375,26.875
922423,1508,quarter,70.125,25.875
913758,1435,quarter,68.625,19.625
900781,1435,quarter,66.375,15.375
876264,1362,quarter,62.125,6.125
867624,1362,quarter,60.625,6.125
856107,1361,quarter,58.625,6.875
890688,1398,quarter,64.625,12.125
869078,1362,quarter,60.875,9.625
886362,1398,quarter,63.875,10.625
884925,1398,quarter,63.625,11.375
882042,1398,quarter,63.125,10.625
874833,1362,quarter,61.875,8.375
874834,1362,quarter,61.875,8.625
915216,1471,quarter,68.875,24.125
915183,1435,quarter,68.875,15.875
910871,1435,quarter,68.125,17.875
899335,1399,quarter,66.125,13.875
854672,1361,quarter,58.375,8.125
895011,1399,quarter,65.375,12.875
873386,1362,quarter,61.625,6.625
873404,1398,quarter,61.625,11.125
871950,1362,quarter,61.375,7.625
871956,1362,quarter,61.375,9.125
922409,1472,quarter,70.125,22.375
922425,1508,quarter,70.125,26.375
920956,1435,quarter,69.875,19.125
915198,1435,quarter,68.875,19.625
864752,1362,quarter,60.125,8.125
860436,1361,quarter,59.375,9.125
857554,1361,quarter,58.875,8.625
889250,1398,quarter,64.375,12.625
884927,1398,quarter,63.625,11.875
874835,1362,quarter,61.875,8.875
925297,1472,quarter,70.625,24.375
925315,1508,quarter,70.625,28.875
920996,1507,quarter,69.875,29.125
920970,1471,quarter,69.875,22.625
920974,1471,quarter,69.875,23.625
918098,1471,quarter,69.375,24.625
916636,1435,quarter,69.125,19.125
916639,1435,quarter,69.125,19.875
915182,1435,quarter,68.875,15.625
902217,1399,quarter,66.625,14.375
864756,1362,quarter,60.125,9.125
857550,1361,quarter,58.875,7.625
897896,1399,quarter,65.875,14.125
895010,1399,quarter,65.375,12.625
876272,1362,quarter,62.125,8.125
877713,1362,quarter,62.375,8.375
874845,1398,quarter,61.875,11.375
871945,1362,quarter,61.375,6.375
923853,1472,quarter,70.375,23.375
922399,1436,quarter,70.125,19.875
918078,1435,quarter,69.375,19.625
867626,1362,quarter,60.625,6.625
866187,1362,quarter,60.375,6.875
866207,1398,quarter,60.375,11.875
863316,1361,quarter,59.875,9.125
863326,1397,quarter,59.875,11.625
860435,1361,quarter,59.375,8.875
889254,1398,quarter,64.375,13.625
869074,1362,quarter,60.875,8.625
876274,1362,quarter,62.125,8.625
883475,1362,quarter,63.375,8.875
874823,1362,quarter,61.875,5.875
871943,1362,quarter,61.375,5.875
871968,1398,quarter,61.375,12.125
925320,1544,quarter,70.625,30.125
919522,1471,quarter,69.625,20.625
919560,1543,quarter,69.625,30.125
918090,1471,quarter,69.375,22.625
916649,1471,quarter,69.125,22.375
867621,1362,quarter,60.625,5.375
866200,1398,quarter,60.375,10.125
860431,1361,quarter,59.375,7.875
860446,1397,quarter,59.375,11.625
857542,1361,quarter,58.875,5.625
857552,1361,quarter,58.875,8.125
857556,1361,quarter,58.875,9.125
854667,1361,quarter,58.375,6.875
854665,1361,quarter,58.375,6.375
870516,1362,quarter,61.125,9.125
870521,1398,quarter,61.125,10.375
876284,1398,quarter,62.125,11.125
880598,1362,quarter,62.875,9.625
877717,1362,quarter,62.375,9.375
874819,1326,quarter,61.875,4.875
874844,1398,quarter,61.875,11.125
871965,1398,quarter,61.375,11.375
922413,1472,quarter,70.125,23.375
919540,1507,quarter,69.625,25.125
919557,1507,quarter,69.625,29.375
905096,1399,quarter,67.125,14.125
902218,1399,quarter,66.625,14.625
866194,1362,quarter,60.375,8.625
864754,1362,quarter,60.125,8.625
863304,1361,quarter,59.875,6.125
856106,1361,quarter,58.625,6.625
853226,1361,quarter,58.125,6.625
895009,1399,quarter,65.375,12.375
877706,1362,quarter,62.375,6.625
874827,1362,quarter,61.875,6.875
874830,1362,quarter,61.875,7.625
874839,1362,quarter,61.875,9.875
873403,1398,quarter,61.625,10.875
871954,1362,quarter,61.375,8.625
926752,1508,quarter,70.875,28.125
923877,1508,quarter,70.375,29.375
920965,1471,quarter,69.875,21.375
918102,1507,quarter,69.375,25.625
912311,1435,quarter,68.375,17.875
907982,1435,quarter,67.625,15.625
896456,1399,quarter,65.625,14.125
892125,1398,quarter,64.875,11.375
889256,1398,quarter,64.375,14.125
882034,1362,quarter,63.125,8.625
867649,1398,quarter,60.625,12.375
923852,1472,quarter,70.375,23.125
920976,1471,quarter,69.875,24.125
919517,1435,quarter,69.625,19.375
915200,1471,quarter,68.875,20.125
864759,1362,quarter,60.125,9.875
864761,1398,quarter,60.125,10.375
864767,1398,quarter,60.125,11.875
860425,1361,quarter,59.375,6.375
887810,1398,quarter,64.125,12.625
880589,1362,quarter,62.875,7.375
880600,1398,quarter,62.875,10.125
877716,1362,quarter,62.375,9.125
873390,1362,quarter,61.625,7.625
873398,1362,quarter,61.625,9.625
871946,1362,quarter,61.375,6.625
867648,1398,quarter,60.625,12.125
923860,1508,quarter,70.375,25.125
923863,1508,quarter,70.375,25.875
922416,1472,quarter,70.125,24.125
919529,1471,quarter,69.625,22.375
916675,1507,quarter,69.125,28.875
903660,1435,quarter,66.875,15.125
900773,1399,quarter,66.375,13.375
899331,1399,quarter,66.125,12.875
864753,1362,quarter,60.125,8.375
864755,1362,quarter,60.125,8.875
864765,1398,quarter,60.125,11.375
861867,1361,quarter,59.625,6.875
861877,1361,quarter,59.625,9.375
860439,1361,quarter,59.375,9.875
853227,1361,quarter,58.125,6.875
884920,1398,quarter,63.625,10.125
883486,1398,quarter,63.375,11.625
867639,1362,quarter,60.625,9.875
919519,1435,quarter,69.625,19.875
919525,1471,quarter,69.625,21.375
918096,1471,quarter,69.375,24.125
916637,1435,quarter,69.125,19.375
910853,1399,quarter,68.125,13.375
906543,1435,quarter,67.375,15.875
902220,1435,quarter,66.625,15.125
876266,1362,quarter,62.125,6.625
867622,1362,quarter,60.625,5.625
861865,1361,quarter,59.625,6.375
863312,1361,quarter,59.875,8.125
854671,1361,quarter,58.375,7.875
869071,1362,quarter,60.875,7.875
886361,1398,quarter,63.875,10.375
880594,1362,quarter,62.875,8.625
871951,1362,quarter,61.375,7.875
871962,1398,quarter,61.375,10.625
923882,1544,quarter,70.375,30.625
922430,1508,quarter,70.125,27.625
920999,1507,quarter,69.875,29.875
920982,1507,quarter,69.875,25.625
918092,1471,quarter,69.375,23.125
916640,1471,quarter,69.125,20.125
912309,1435,quarter,68.375,17.375
900776,1399,quarter,66.375,14.125
867625,1362,quarter,60.625,6.375
860434,1361,quarter,59.375,8.625
859006,1397,quarter,59.125,11.625
854666,1361,quarter,58.375,6.625
874836,1362,quarter,61.875,9.125
874848,1398,quarter,61.875,12.125
873396,1362,quarter,61.625,9.125
922414,1472,quarter,70.125,23.625
920975,1471,quarter,69.875,23.875
920978,1471,quarter,69.875,24.625
919533,1471,quarter,69.625,23.375
916651,1471,quarter,69.125,22.875
915189,1435,quarter,68.875,17.375
912300,1435,quarter,68.375,15.125
869065,1362,quarter,60.875,6.375
866181,1362,quarter,60.375,5.375
860438,1361,quarter,59.375,9.625
858993,1361,quarter,59.125,8.375
857547,1361,quarter,58.875,6.875
853232,1361,quarter,58.125,8.125
870526,1398,quarter,61.125,11.625
880590,1362,quarter,62.875,7.625
867632,1362,quarter,60.625,8.125
867643,1398,quarter,60.625,10.875
923872,1508,quarter,70.375,28.125
923879,1508,quarter,70.375,29.875
919541,1507,quarter,69.625,25.375
915197,1435,quarter,68.875,19.375
866191,1362,quarter,60.375,7.875
863313,1361,quarter,59.875,8.375
856111,1361,quarter,58.625,7.875
869072,1362,quarter,60.875,8.125
882040,1398,quarter,63.125,10.125
874841,1398,quarter,61.875,10.375
873397,1362,quarter,61.625,9.375
867641,1398,quarter,60.625,10.375
926742,1508,quarter,70.875,25.625
919537,1471,quarter,69.625,24.375
918071,1435,quarter,69.375,17.875
915214,1471,quarter,68.875,23.625
913756,1435,quarter,68.625,19.125
860421,1361,quarter,59.375,5.375
858986,1361,quarter,59.125,6.625
876270,1362,quarter,62.125,7.625
880601,1398,quarter,62.875,10.375
879148,1362,quarter,62.625,7.125
925305,1508,quarter,70.625,26.375
922426,1508,quarter,70.125,26.625
920980,1507,quarter,69.875,25.125
919530,1471,quarter,69.625,22.625
918089,1471,quarter,69.375,22.375
916650,1471,quarter,69.125,22.625
915217,1471,quarter,68.875,24.375
910868,1435,quarter,68.125,17.125
876265,1362,quarter,62.125,6.375
866201,1398,quarter,60.375,10.375
858995,1361,quarter,59.125,8.875
856103,1361,quarter,58.625,5.875
870517,1362,quarter,61.125,9.375
883476,1362,quarter,63.375,9.125
883487,1398,quarter,63.375,11.875
874829,1362,quarter,61.875,7.375
919563,1543,quarter,69.625,30.875
918082,1471,quarter,69.375,20.625
913751,1435,quarter,68.625,17.875
905100,1435,quarter,67.125,15.125
858998,1361,quarter,59.125,9.625
893571,1399,quarter,65.125,12.875
869085,1398,quarter,60.875,11.375
870512,1362,quarter,61.125,8.125
870514,1362,quarter,61.125,8.625
876287,1398,quarter,62.125,11.875
887811,1398,quarter,64.125,12.875
886363,1398,quarter,63.875,10.875
884926,1398,quarter,63.625,11.625
879159,1362,quarter,62.625,9.875
873393,1362,quarter,61.625,8.375
871967,1398,quarter,61.375,11.875
867638,1362,quarter,60.625,9.625
923865,1508,quarter,70.375,26.375
912306,1435,quarter,68.375,16.625
909411,1399,quarter,67.875,12.875
905104,1435,quarter,67.125,16.125
900772,1399,quarter,66.375,13.125
899334,1399,quarter,66.125,13.625
866208,1398,quarter,60.375,12.125
861874,1361,quarter,59.625,8.625
858991,1361,quarter,59.125,7.875
890691,1398,quarter,64.625,12.875
870511,1362,quarter,61.125,7.875
870527,1398,quarter,61.125,11.875
876285,1398,quarter,62.125,11.375
