point,cell,grid,lat,lon
3038979,1471,warp,68.70974,23.126829
3038983,1471,warp,68.70974,23.435188
3038995,1471,warp,68.70974,24.36026
3038999,1471,warp,68.70974,24.668619
3039003,1471,warp,68.70974,24.976976
3057315,1471,warp,69.606194,22.811266
3057319,1471,warp,69.606194,23.132551
3057323,1471,warp,69.606194,23.453836
3057327,1471,warp,69.606194,23.775122
3057331,1471,warp,69.606194,24.096407
3057335,1471,warp,69.606194,24.417692
3057339,1471,warp,69.606194,24.738977
3057343,1507,warp,69.606194,25.060263
3057347,1507,warp,69.606194,25.381548
3057351,1507,warp,69.606194,25.702833
3057395,1507,warp,69.606194,29.236973
3057399,1507,warp,69.606194,29.55826
3057403,1507,warp,69.606194,29.879545
3057411,1543,warp,69.606194,30.522116
3057415,1543,warp,69.606194,30.843401
3059557,1471,warp,69.718239,22.931839
3059561,1471,warp,69.718239,23.254824
3059565,1471,warp,69.718239,23.577806
3059569,1471,warp,69.718239,23.900791
3059573,1471,warp,69.718239,24.223774
3059577,1471,warp,69.718239,24.546759
3059581,1471,warp,69.718239,24.869741
3059585,1507,warp,69.718239,25.192726
3059589,1507,warp,69.718239,25.515709
3059593,1507,warp,69.718239,25.838692
3059633,1507,warp,69.718239,29.068529
3059637,1507,warp,69.718239,29.391512
3059641,1507,warp,69.718239,29.714497
3059645,1543,warp,69.718239,30.037479
3064033,1507,warp,69.942337,25.462191
3064037,1507,warp,69.942337,25.788628
3064041,1507,warp,69.942337,26.115067
3064045,1507,warp,69.942337,26.441505
3064053,1507,warp,69.942337,27.094381
3064069,1507,warp,69.942337,28.400135
3064073,1507,warp,69.942337,28.726574
3064077,1507,warp,69.942337,29.053011
3064081,1507,warp,69.942337,29.37945
3066195,1472,warp,70.054382,21.989094
3066199,1472,warp,70.054382,22.317289
3066203,1472,warp,70.054382,22.645485
3066207,1472,warp,70.054382,22.97368
3066211,1472,warp,70.054382,23.301876
3066215,1472,warp,70.054382,23.63007
3066219,1472,warp,70.054382,23.958265
3066223,1472,warp,70.054382,24.286461
3066227,1472,warp,70.054382,24.614656
3066231,1472,warp,70.054382,24.942852
3066235,1508,warp,70.054382,25.271048
3066239,1508,warp,70.054382,25.599243
3066243,1508,warp,70.054382,25.927439
